slovo,poradi
léto,1
jaro,2
prázdniny,3
podzim,4
zimu,5
leto,6
létě,1
zimě,5
zimy,5
zima,5
sezónu,7
letní,8
večery,9
jaře,2
prázdnin,3
vánoce,10
sezonu,11
sluníčko,12
prázdninové,13
slunečné,14
víkend,15
léta,1
velikonoce,16
prázdninách,3
podzimu,4
sezóna,7
sezóně,7
deštivé,17
rok,18
sezóny,7
letošní,19
víkendy,15
týden,20
jara,2
vedro,21
letos,22
horko,23
slunné,24
podzimní,25
dovolenou,26
sezona,11
létem,1
sezony,11
chladné,27
dny,28
horké,29
jarní,30
sezoně,11
moře,31
období,32
nadcházející,33
teplé,34
plavky,35
zimní,36
báječné,37
summer,38
žně,39
vinobraní,40
měsíce,41
vedrech,21
dovolená,26
letních,8
radovánky,42
pláži,43
festivaly,44
semestr,45
mrazivé,46
letošek,47
dovču,48
vedra,21
plavkové,49
celoročně,50
chladnější,27
lenošení,51
příští,52
dovolených,26
slunce,53
opalování,54
týdny,20
chladno,55
noc,56
zahradě,57
teplo,58
počasí,59
chalupě,60
svátky,61
koupání,62
dovolené,26
lednové,63
mrazy,64
sucho,65
srpnové,66
obdobím,32
půlrok,67
chvíle,68
červnové,69
slunečno,70
chvilky,71
prázdninový,13
teď,72
teplejší,34
mimosezóna,73
měsíc,41
zimou,5
krásné,74
výlety,75
horách,76
opálení,77
slunečný,14
srpnu,78
zahrádce,79
nejteplejší,34
tábory,80
sezónou,7
sluníčku,12
šatičky,81
mrazů,64
večírky,82
sandálky,83
den,28
dubnové,84
hory,76
květnové,85
procházky,86
srpen,78
odpoledne,87
loňské,88
víkendu,15
červenci,89
únoru,90
terase,91
pohodové,92
slavnosti,93
moři,31
trávila,94
mrazech,64
polokouli,95
pláže,43
venku,96
žhavé,97
prázdninami,3
květnu,98
osvěžení,99
sklizně,100
červnu,101
letním,8
roční,102
brigádě,103
únorové,104
tady,105
týdnů,20
jahody,106
strávit,107
trávili,94
říjen,108
víkendové,109
slunečnější,14
březnu,110
letošního,19
koupaliště,111
říjnu,108
nezapomenutelné,112
jaru,2
pastelové,113
louce,114
ročník,115
teplý,34
festival,44
čas,116
sezón,7
bláznivé,117
lednu,118
březnové,119
dlouhé,120
koupališti,121
dekády,122
hezké,123
říjnové,124
kraťásky,125
veselé,126
párty,127
červen,101
dubnu,128
večer,9
celoroční,129
brigádu,103
době,130
červenec,89
příjemné,131
festivalové,132
tejden,20
přehradě,133
sezon,134
soboty,135
večerů,9
suché,136
plesové,137
tropy,138
radostné,139
trávit,94
koupací,140
uplynulé,141
slunění,142
vysněné,143
stvořené,144
celé,145
zahrádky,79
sukni,146
zahrádku,79
sníh,147
kraťasy,148
cestování,149
kalhoty,150
měsíců,41
strávené,151
pěkné,152
květované,153
chatě,154
prosincové,155
sluníčkem,12
peklo,156
dekádě,122
advent,157
dopoledne,158
pořádné,159
túry,160
přelom,161
ráno,162
prší,163
barvičky,164
pobyty,165
nudné,166
naplánované,167
plánuju,168
víkendů,15
minišaty,169
mládí,170
letními,8
jarem,2
vánocích,10
loni,171
přelomu,161
letovisko,172
grilování,173
děvče,174
déšť,175
záplavy,176
mráz,64
válet,177
takhle,178
tábor,80
vydařené,179
plavkách,35
kalendářní,180
pláž,43
téma,181
dobrodružství,182
přírodě,183
noci,56
horka,23
časy,116
dní,28
měsících,41
chladnějších,27
kvést,184
zase,185
září,186
květen,98
chaloupce,187
rozpálené,188
letního,8
sluníčka,12
minulý,189
kolo,190
baroko,191
hody,192
poledne,193
horku,23
šťastné,194
kolekci,195
tropické,196
šaty,197
pestré,198
táboření,199
chvíli,68
akce,200
půlce,201
tílko,202
tohle,203
kempování,204
výlet,75
soustředění,205
pauze,206
koncerty,207
doma,208
takové,209
úžasné,210
listopadové,211
vloni,171
víno,212
jídlo,213
zahradu,57
chystáme,214
vodě,215
leden,118
místečko,216
deště,175
horkém,29
vánoc,10
podzimních,25
poèasí,217
bouřky,218
volno,219
roky,18
nové,220
vyjížďky,221
teplákové,222
trávím,94
rekonvalescenci,223
strávila,107
víkendech,15
tělo,224
sezónní,225
