slovo,poradi
zboží,1
zboţí,2
zbožím,1
výrobky,3
výrobků,3
sortimentu,4
dovozu,5
obchodě,6
výrobku,3
zásilky,7
objednaného,8
objednané,8
oblečení,9
skladě,10
eshopu,11
nakoupené,12
prodejce,13
objednávky,14
odběratele,15
nabízeného,16
skladu,10
produkty,17
prodejci,13
zákazníkovi,18
potraviny,19
prodejně,20
vývozu,21
potravin,19
skladem,10
sortiment,4
hračky,22
dodání,23
produktu,17
odběrateli,15
položky,24
objednávání,25
dodávky,26
dodavatele,27
objednání,28
nabízení,29
komodity,30
ceny,31
nákupu,32
produktů,17
materiálu,33
součástky,34
nářadí,35
oděvy,36
spotřebního,37
sklad,10
prodejny,20
zakoupeného,38
zakoupené,38
obchod,6
prodavače,39
dárků,40
prodávané,41
služby,42
prodané,43
prodeje,44
nabízené,16
nakoupit,45
nabídky,46
nakoupili,45
skladování,47
nakupujících,48
dodávek,26
košíku,49
zásob,50
zákazníkům,18
výrobek,3
spotřebiče,51
poptávky,52
nákupy,32
maloobchodu,53
pečivo,54
položek,24
dodací,55
prodavači,39
doručení,56
přepravy,57
prádlo,58
obchodu,6
punčochové,59
objednávce,14
vývoz,21
příslušenství,60
služeb,42
balení,61
nakupovat,48
spotřební,37
kupující,62
nakupování,63
kupujícímu,62
koření,64
dodavateli,27
vrácené,65
odběr,66
dovoz,5
ovoce,67
zásilek,7
komodit,30
nakupují,48
dodáno,68
objednáno,28
obchůdku,69
dárky,40
reklamovat,70
zákazníci,18
autodoplňky,71
prodávající,72
prodejnách,20
sklady,10
textilu,73
množství,74
zákazníky,18
zásilce,7
značkového,75
katalogu,76
dovozci,77
produkt,17
prodejnu,20
prodejců,13
velkoobchodu,78
dovozem,5
komponenty,79
oděvů,36
obchody,6
prodávajícímu,72
vybavení,80
sortimentem,4
zákazníka,18
značkové,75
spotřebiteli,81
elektrospotřebiče,82
knihy,83
suroviny,84
obchodů,6
kupujícího,62
reklamace,85
zásoby,50
kupujícím,62
zbozi,86
odběratel,15
zásilku,7
dodaného,68
zákazník,18
suvenýry,87
objednávek,14
přepravě,57
nákup,32
polotovary,88
obchodech,6
zakázky,89
prodejcem,13
obalu,90
nábytku,91
zlevněné,92
obchodování,93
surovin,84
nákupů,32
dovozce,77
kapitálu,94
odběratelům,15
výrobce,95
výrobci,95
trhu,96
přepravce,97
uskladnění,98
stroje,99
šperků,100
statků,101
dárkové,102
velkoobchod,78
dovezené,103
dárku,40
koupené,104
vozidlo,105
internetového,106
vrácení,107
odběratelé,15
zákazníků,18
zakoupení,108
součástek,34
dodané,68
obuvi,109
prodáváme,110
nakupuje,48
peněz,111
elektroniky,112
vybraného,113
potravinářského,114
nádobí,115
slevy,116
odeslání,117
provozovny,118
podniku,119
faktury,120
prodáno,43
odvětví,121
prádla,58
rozvozu,122
maloobchod,53
odběratelem,15
prodávajícího,72
objednávat,25
odbytu,123
nemovité,124
statky,101
automobilu,125
maloobchodní,126
skladové,127
provozovně,118
kupujících,62
obchodem,6
prodejné,128
exportu,129
prodejcům,13
použitého,130
řetězce,131
velkoobchodní,132
dodavatelů,27
dopravce,133
regálu,134
prodeji,44
věcičky,135
dodávce,26
eshopy,136
eshop,137
hospodářství,138
odpadu,139
účtenky,140
maso,141
prodejen,20
jídlo,142
odbyt,123
prodávat,110
obchodníků,143
cen,31
drobného,144
věci,145
dovážet,146
kupci,147
nakoupím,45
obchodníky,143
prodejna,20
zahraničního,148
zabalení,149
spotřebitel,81
tržby,150
obchodníci,143
prodej,44
expedujeme,151
komponentů,152
kusů,153
eshopů,154
nakoupíte,45
ošacení,155
dobírku,156
dodávku,26
obalů,90
šperky,100
bohatství,157
hotovosti,158
platby,159
objednaných,8
skladů,10
hraček,22
dodavatelé,27
přeprava,57
železářství,160
modely,161
předmětu,162
látky,163
autodíly,164
nápoje,165
spotřebitelé,81
povlečení,166
občerstvení,167
objednávku,14
spotřebním,37
padělky,168
automobilů,125
polotovarů,88
trh,96
supermarketu,169
přepravu,57
krmiva,170
dárečky,171
hotové,172
dodávaného,173
pečiva,54
řetězci,131
zákazníkem,18
převzetí,174
členského,175
erotického,176
kupce,147
fakturu,120
zabalené,177
spotřebitele,81
prodávali,110
vozidla,105
díly,178
nakupujete,48
autodílů,179
náčiní,180
přepravky,181
celního,182
elektrospotřebičů,82
knihkupectví,183
kusu,153
balíky,184
koše,185
jídla,142
zásilka,7
použité,130
letáku,186
látek,163
dodáním,23
přístroje,187
dopravu,188
textil,73
měny,189
elektřiny,190
balené,191
dodávání,192
dopravci,133
přidané,193
krmivo,170
dováží,146
rozvoz,122
tržiště,194
kamenného,195
doručeno,196
spotřeby,197
levné,198
obilí,199
vadné,200
bavlněného,201
souvisejícího,202
klenoty,203
skladech,10
cla,204
odesíláme,205
obchodníka,143
veškerého,206
dokladu,207
krámu,208
kousky,209
prodavač,39
materiál,33
dodacích,55
zákazníku,18
výprodejizboží,210
zařízení,211
nejrůznějšího,212
stánkové,213
objednávka,14
splátky,214
spotřebitelům,81
softwaru,215
dodávané,173
předmětného,216
skladiště,217
předmětné,162
uhlí,218
tržišti,194
sáčku,219
prodávaných,41
prodejního,220
adresu,221
doručit,196
prodávají,110
poštovného,222
neprodejné,223
balíků,184
dodavatel,27
nosiče,224
značení,225
plateb,159
luxusního,226
automobily,125
oběhu,227
zeleniny,228
cukrovinky,229
ložního,230
zásobování,231
druhů,232
dovezeme,233
plátci,234
nakoupí,45
objednáte,28
předměty,162
potřebami,235
koupě,236
nakoupil,45
prodejní,220
pomůcek,237
obstarávání,238
vystavení,239
vlněné,240
odběratelů,15
devizové,241
ostatního,242
čaje,243
spotřebované,244
vybrané,113
nabízeno,16
přebytky,245
reklamaci,85
výdeje,246
doručování,247
pomůcky,237
užití,248
výrobě,249
nakupuji,48
zdroje,250
díla,251
výrobců,95
plátce,252
náhradního,253
oblečením,254
daně,255
objednám,28
květiny,256
komiksy,257
kupujete,258
vyzvednutí,259
aktivum,260
nemovitého,124
sběratelské,261
dodavatelem,27
vystavování,262
auto,263
přepravní,264
tuzemsku,265
auta,263
suvenýrů,87
kupují,258
obaly,90
střelivo,266
strojů,99
potravinami,19
ceníkové,267
tiskovin,268
zabaleno,269
drahého,270
kamionů,271
dodávka,26
materiálů,33
dodavatelské,272
peníze,111
doplňky,273
dílů,178
bavlněné,201
nerostné,274
filmy,275
vyrobeného,276
provozovnu,118
určitého,277
vracení,278
poukázek,279
majetku,280
obchodník,143
poskytování,281
zasílání,282
objednat,28
obchodníkům,143
zájezdy,283
výrobkem,3
elektrické,284
kupované,285
osiva,286
padělání,287
vyhledávače,288
palety,289
trhy,96
dříví,290
materiály,33
půjčovny,291
tržeb,150
výprodej,292
odběru,66
vozu,293
dostupnosti,294
vozidel,105
kousků,209
spoje,295
řemeslné,296
dodáváno,297
kartonové,298
léků,299
závadné,300
koupi,236
pochoutky,301
sestupnězboží,302
potisku,303
poskytované,304
doručené,305
specifikované,306
prodavačky,307
cukrovinek,308
jednotlivého,309
staveniště,310
zdražování,311
kusy,153
letáky,312
zlevnění,313
pizzy,314
marže,315
vystavené,316
skladník,317
prádlem,58
dopravě,188
prodávajícím,72
potřeby,235
popisu,318
slevě,116
doplňkového,319
řezivo,320
doručovat,321
léky,299
nákupem,32
osivo,322
faktuře,120
internetu,323
kamionu,271
pokladny,324
aukce,325
komponent,326
elektrozařízení,327
odsávače,328
zakoupeno,329
nabídce,46
nabídka,46
hotového,172
druhu,232
poskytovatele,330
sošky,331
tkaniny,332
pašování,333
vstupenek,334
distributora,335
podezřelého,336
zaúčtování,337
dodavatelům,27
konkrétního,338
řeziva,320
kojenecké,339
nabízených,16
vozy,293
regálů,134
dresy,340
nářadím,35
importu,341
počítačového,342
převozu,343
internetový,106
léčiv,344
označování,345
podnikání,346
veškeré,206
zdanitelného,347
odeslané,348
dopravy,188
míče,349
pytle,350
výrobkům,3
naskladňujeme,351
hedvábí,352
novinky,353
výstroje,354
shopu,355
zaslání,356
pokrmy,357
nabídkové,358
masa,141
pleny,359
výrobcem,95
papírnictví,360
hrnce,361
clo,204
hardware,362
dětské,363
tiskopisy,364
prodávám,110
kusové,365
textilního,366
potisky,367
movité,124
zaměstnání,368
kupní,369
zakoupit,329
distributoři,335
distributory,335
výprodeji,292
přepravovaných,370
balíku,184
potravinářské,114
dovézt,233
biopotravin,371
košík,49
nemovitosti,372
produktys,17
lodě,373
pánské,374
květin,256
levného,198
provozoven,118
závady,375
nabídku,46
tranzitu,376
plodiny,377
předmětů,162
prostředky,378
pojištění,379
aut,263
pneuservisu,380
obchodní,381
tiskárny,382
značky,383
hmotného,384
vady,385
zakázkové,386
vyráběného,387
postoupení,388
pokrmů,357
vyrobené,276
zbraně,389
transportu,390
katalogové,391
produkce,392
ceníky,393
tepla,394
přebytku,245
elektronické,395
prodavačka,307
druhy,232
bižuterie,396
převzaté,397
pochutiny,398
plnění,399
subjektu,400
spojovacího,401
slev,116
cukroví,402
směně,403
pleteniny,404
kupóny,405
účtu,406
ubytování,407
prodat,408
materiálové,409
jmění,410
sluţby,411
nejlevnějšího,198
prodávalo,110
odpadů,139
papírového,412
obchodyz,413
dovozcem,77
plenky,414
pronájem,415
chování,416
mobiliáře,417
celníci,418
svítidla,419
časopisy,420
tuzemské,421
zavazadel,422
ropy,423
dílo,251
logistické,424
plavidla,425
těsnění,426
doručeného,427
pneumatik,428
ausgewählten,429
zemědělské,430
koupili,431
oleje,432
dodáme,433
přehrávače,434
krmiv,170
dobírky,435
státu,436
předražené,437
realizované,438
slevu,116
celním,182
pohybu,439
vloženého,440
celní,182
kamenné,195
erotické,176
dárek,40
dekorace,441
vadného,200
tohoto,442
poptávku,52
firmy,443
drogerii,444
nákupech,32
sáčků,445
zavazadla,422
obal,90
triček,446
přepravovat,447
supermarkety,169
exempláře,448
pojištěnce,449
přívěsů,450
nábytek,91
kontejneru,451
dodani,452
ceníku,393
zpracování,453
distribuce,454
zájezdů,283
hřištědomácí,455
objednali,28
pneumatiky,428
pojetí,456
výpisu,457
koženého,458
napodobeniny,459
maloobchodních,126
kosmetiky,460
postavičky,461
soupravy,462
výdejním,463
dodáváme,464
poukázky,279
vyvážet,465
výzbroje,466
ukradené,467
transakce,468
potřebného,469
pouzdro,470
muže,471
tržnici,472
příze,473
klenotů,203
úlovky,474
podnikateli,475
nápojů,165
biopotraviny,476
nosičů,224
přirážky,477
značku,383
hypermarketu,478
figurky,479
stránky,480
poštovné,222
dostanu,481
baleno,482
karty,483
elektroniku,112
výrobcích,95
víno,484
počínání,485
potřeb,235
půjčování,486
směny,403
zdravotnického,487
objednaný,8
dobírka,488
objektu,489
všechno,490
nejprodávanější,41
členění,491
koupit,431
subjekty,400
znázornění,492
kupuje,258
poptávkového,493
vozů,293
trzích,96
nákupní,494
obchodníkem,143
kódu,495
dodávkách,26
tištěného,496
supermarketech,169
náboje,497
software,215
tiskoviny,268
skladovat,498
artiklem,499
elektrosoučástky,500
cenami,31
zdanitelné,347
vývozní,501
částky,502
ozdoby,503
podniky,119
užitku,504
nehmotného,384
kódů,495
doprava,188
autosedačky,505
zasíláme,506
vodotiskem,507
obchodního,381
kupónu,508
voucheru,509
pojistného,510
kovového,511
potištěné,512
doplňků,273
výstupu,513
bazaru,514
lihovin,515
filtrování,516
poukazů,517
kočárky,518
zdravotnické,487
zprostředkování,519
značek,383
zaplacení,520
zaplacené,521
nakoupila,45
elektronika,112
osvobozené,522
logistice,523
oděvu,36
katalogy,76
výroby,249
peněžních,524
vzorků,525
materiálového,409
poštovních,526
starožitnosti,527
umění,528
požadované,529
prodejem,44
placení,530
burzy,531
odebrané,532
ekonomice,533
firem,443
literatury,534
kódy,495
skladových,127
vyprodáno,535
kožešin,536
kuponu,537
léčiva,344
toto,442
rozbalení,538
plastového,539
boty,540
internetovém,106
jízdenky,541
hnacího,542
sjednané,543
zaslané,544
vícedílné,545
zvířátko,546
čluny,547
spotřebitelské,548
letadel,549
vzdělání,550
autíčko,551
nákladního,552
spotřebičů,51
elektronického,395
kupujeme,258
prodejnou,20
dámské,553
provozovateli,554
poskytovateli,330
potravinové,555
zabavení,556
přijaté,557
doklady,207
uzeniny,558
doručovací,559
knížky,560
saldo,561
celních,182
prodejním,220
zajatce,562
vyřazené,563
odpolednev,564
zpracovatelského,565
tekutiny,566
tašky,567
zakázek,89
jídlu,142
vzorky,525
přepravou,57
paletě,289
pytlů,350
zahraniční,148
textilie,568
výkupu,569
hráče,570
dopravců,133
nástroje,571
galanterie,572
přivézt,573
uvedené,574
pohledávky,575
znehodnocení,576
řemeslo,577
obchodovat,578
opotřebení,579
pláště,580
plynů,581
internetové,106
obratu,582
vojsku,583
balík,184
odbavení,584
jízdného,585
sušeného,586
obsahu,587
příjemci,588
oblečky,589
počítače,590
produkci,392
prostředku,378
dokladů,207
export,129
knih,83
doprodej,591
zdrojů,250
exponáty,592
kamiónu,593
zájezdu,283
cennosti,594
řeznictví,595
zdražení,596
kamenném,195
hmoty,597
plynu,581
sušičce,598
poštou,599
měně,189
slevové,600
zdrojové,601
dopravcem,133
provozovatele,554
vína,484
službami,42
prodejů,44
obyvatelstvu,602
propuštění,603
portfolia,604
nakládání,605
prvky,606
nemovitostmi,372
konopí,607
výdejního,608
pirátství,609
krabičky,610
motocyklů,611
zisků,612
tílko,613
mražené,614
slevách,116
reklamního,615
jakéhokoli,616
