slovo,poradi
licence,1
licenci,1
licencí,1
licencování,2
licenční,3
koncese,4
akreditace,5
oprávnění,6
licenčních,3
autorizace,7
autorská,8
verze,9
kopie,10
certifikace,11
software,12
povolení,13
patentu,14
registrace,15
autorské,8
certifikátu,16
předplatného,17
patenty,14
softwaru,12
záruky,18
softwarové,19
práva,20
smlouvy,21
certifikáty,16
povolenky,22
domény,23
osvědčení,24
distribuce,25
držitele,26
konfigurace,27
předplatné,17
služby,28
provozování,29
legální,30
certifikátů,16
kvalifikace,31
udělení,32
instalace,33
copyright,34
dotace,35
přidělení,36
dokumentace,37
nekomerční,38
karty,39
fakturace,40
patentů,14
aktivace,41
držitel,26
trial,42
zakoupení,43
aplikace,44
trenérské,45
databáze,46
autorských,8
výhradní,47
modifikace,48
platnosti,49
vysílací,50
vlastnictví,51
autorského,8
akreditaci,52
edice,53
smlouva,21
permanentky,54
implementace,55
oprávněním,6
vlastnická,56
legislativa,57
držitelé,26
softwarová,19
privilegia,58
registraci,15
kódy,59
záruka,18
autorství,60
terminologie,61
udělené,62
koncepce,63
výjimka,64
držitelem,26
praxe,65
autorizaci,66
užití,67
platformy,68
autority,69
učebnice,70
pravidla,71
federace,72
poplatky,73
patent,14
publikace,74
kontrakty,75
aktualizace,76
restrikce,77
autorita,69
proprietární,78
komerční,79
programy,80
domain,81
autonomie,82
svolení,83
metadata,84
diplomu,85
zbrojní,86
počítače,87
doména,88
verzi,9
tituly,89
způsobilosti,90
zakoupené,91
kopii,10
infrastruktury,92
držitelů,26
díla,93
upgradu,94
rotace,95
počítačové,96
služba,28
koncesi,97
odměny,98
softwarového,19
data,99
držiteli,26
směrnice,100
výjimky,64
udělování,101
správa,102
práv,20
serverové,103
upgrade,104
monopolu,105
razítka,106
technologie,107
opravňuje,108
karta,39
průkazy,109
amnestie,110
stanice,111
funkcionality,112
výsady,113
certifikát,16
mutace,114
patentové,115
legálně,116
podmínka,117
korporace,118
akreditací,119
podmínky,117
odkoupení,120
doménu,121
administrace,122
provozovatele,123
legislativy,57
loga,124
kvóty,125
právo,20
kompetence,126
marže,127
vlastnit,128
certifikační,129
zákonná,130
trenérů,131
jízdenky,132
výpůjčka,133
certifikované,134
infrastruktura,92
dodávky,135
sady,136
kontraktu,75
smlouvou,21
trofeje,137
elektronická,138
výstroje,139
monopol,105
klíče,140
nahrávky,141
metodiky,142
titulu,89
verzí,9
příručky,143
organizace,144
žádosti,145
listiny,146
vysílání,147
způsobilost,90
hardware,148
pobídky,149
kartu,39
držby,150
instance,151
honoráře,152
virtualizace,153
bezplatné,154
víza,155
leasingové,156
zvýhodněná,157
knížky,158
kmitočty,159
faktury,40
garance,160
právy,20
stavebnice,161
definice,162
zdrojové,163
editace,164
částky,165
kapacity,166
investice,167
funkce,168
ovladačů,169
povolenek,22
distributoři,170
vlastník,171
instituce,172
medaile,173
utility,174
zvýhodněné,175
šablony,176
bezplatná,154
neomezená,177
doložky,178
certifikací,179
přístupová,180
lokalizace,181
replikace,182
známky,183
síťové,184
prémie,185
strategie,186
konzole,187
ovladače,169
dohody,188
faktura,40
blokace,189
sankce,190
antivirové,191
hardwaru,148
předmětné,192
předplatitele,193
placené,194
výpůjčky,133
přístupové,180
vydavatelské,195
pravomoci,196
nájemní,197
vývojářské,198
freeware,199
citace,200
vydání,201
liberalizace,202
asociace,203
povinnosti,204
pozastavení,205
edici,53
profese,206
regulace,207
pravidel,71
pronajímat,208
akreditované,209
zálohy,210
akvizice,211
platforma,68
šarže,212
opce,213
kolektivní,214
vlastnící,215
stipendia,216
finance,217
poštovní,218
průkazů,109
platit,219
lekce,220
regulované,221
cloudové,222
systémy,223
ceny,224
kompenzační,225
pravomoc,196
počítačového,96
koupě,226
adresy,227
členství,228
banka,229
výuka,230
platba,231
peníze,232
vlastnického,56
pásma,233
distribuci,25
specializace,234
kalibrace,235
certifikovaná,236
patentované,237
devizové,238
televize,239
smlouvu,21
poskytnutá,240
podoba,241
zdrojového,163
certifikaci,11
hry,242
federální,243
série,244
žádost,145
aktualizací,245
kvóta,125
aktiva,246
telekomunikační,247
zbraně,248
osnovy,249
digitalizace,250
softwarových,19
aukce,251
cena,224
omezení,252
platná,253
sazba,254
školení,255
výstroj,256
produkce,257
udělena,258
podmínek,117
kmitočtů,159
klientské,259
udělovat,260
transakce,261
exkluzivní,262
žaloba,263
bezplatně,264
asistence,265
autentizace,266
vypršení,267
nosiče,268
kategorizace,269
jurisdikci,270
platné,253
akreditační,271
žaloby,263
zdrojový,163
záloha,210
čipové,272
prodeje,273
znalosti,274
přijímače,275
soukromé,276
videohry,277
vyprší,278
provize,279
zakoupena,280
přenosová,281
operátora,282
správy,102
skripta,283
doméně,284
vysokoškolské,285
diplomy,286
získání,287
čísla,288
zapůjčení,289
klony,290
odebrána,291
dokoupení,292
garantovaná,293
knihovny,294
podpory,295
karetní,296
provozovat,297
telekomunikačního,247
soutěže,298
pomůcky,299
poskytovatele,300
grafiky,301
lhůty,302
podniková,303
odnětí,304
vývozní,305
trvalá,306
professional,307
omezená,177
záruce,18
vydavatele,308
vysílacích,50
fotografie,309
bankovní,310
tarifu,311
distribuční,312
rozhlasové,313
vlastníkem,171
vysílače,314
zaplacení,315
telekomunikace,316
předvolby,317
svobody,318
knihy,319
akademická,320
komponenty,321
zákona,322
frekvence,323
předkupní,324
poskytnutí,325
placená,194
autorský,8
platnost,49
pořízení,326
doložka,178
specifikace,327
pokuty,328
fonty,329
infrastrukturu,92
jednotné,330
příjmy,331
zmocnění,332
výluka,333
učebnic,70
provozovatelů,123
přiřazení,334
pirátské,335
digitální,336
syntaxe,337
čepice,338
kompatibilita,339
provozované,340
pirátství,341
počítač,87
teze,342
vlastníka,171
hostování,343
moduly,344
reputace,345
tarify,346
ujednání,347
registrační,348
soupravy,349
komprese,350
přihlášky,351
obnovování,352
master,353
doložku,178
pušky,354
užívání,355
povaha,356
kvalifikovaného,357
receptury,358
uniformy,359
přidělené,36
banky,229
směnky,360
registračního,348
zaměstnanecké,361
samospráva,362
půjčování,363
dodávka,135
síťová,184
nálepka,364
postoupení,365
podepisování,366
poukázky,367
distributory,170
dodatečné,368
vlastnické,56
jistiny,369
akreditovaného,370
aktivaci,41
povinnost,204
kupony,371
centralizace,372
průkaz,109
otázka,373
repozitáře,374
akademie,375
uděluje,260
hardwarové,376
bezplatného,154
svobodné,377
příslušné,378
zpoplatnění,379
knihovního,380
známka,183
cizojazyčné,381
knihovna,294
prověrky,382
rámcové,383
emise,384
prodané,385
počítačová,96
výpůjčce,386
extraligové,387
vyhrazené,388
konverze,389
souborové,390
variace,391
kartičky,392
družice,393
oprávněni,394
tarifů,346
poskytování,395
vybavení,396
informace,397
zpřístupnění,398
kolekce,399
evidence,400
zrcadlovky,401
nabídka,402
odbornost,403
jednotky,404
mapy,405
embargo,406
majetková,407
dema,408
předlohy,409
instalačního,410
virtualizaci,411
používání,412
pošta,413
výhody,414
modifikaci,48
aktivity,415
verzím,9
instruktory,416
cenzury,417
logika,418
kódů,59
forma,419
náhrady,420
analogové,421
federaci,72
použití,422
ilustrace,423
zkoušky,424
přidělování,425
privilegium,58
adaptace,426
konstrukce,427
záruku,18
energie,428
výroba,429
vlajky,430
správcovská,431
statutu,432
videa,433
smlouvami,21
znalost,274
zadarmo,434
teorie,435
platností,49
sestavy,436
kšiltovky,437
autorskými,8
konzoly,438
elektrárny,439
zakoupí,280
vstupenka,440
schvalovací,441
melodie,442
výuky,230
podmínkami,117
bonusové,443
poplatek,73
elektřiny,444
vklady,445
transkripce,446
cenzura,417
encyklopedie,447
pozice,448
kompenzace,449
nabídky,402
využívání,450
živnosti,451
specializované,452
verzemi,9
náklady,453
vydávat,454
záležitost,455
doktríny,456
aktivační,457
vstupenky,440
prodloužení,458
adresa,227
příslušná,378
paušální,459
kontraktů,75
činnost,460
svoboda,318
limitovaná,461
zákony,322
neplatná,253
příslušnosti,462
provozovatelé,123
výukové,463
dráha,464
debetní,465
divize,466
poskytnuté,240
přípojky,467
topologie,468
jednorázová,469
dovozní,470
předpisy,471
oprávněnosti,472
nároku,473
klubové,474
archivní,475
agendy,476
správu,102
počítačů,87
vztahuje,477
lhůta,302
distributorů,170
tratě,478
synchronizace,479
hesla,480
převedení,481
odkoupit,482
nainstalované,483
premiérové,484
titulů,89
činnosti,460
úprava,485
týmy,486
letadla,487
provozovateli,123
jízdenka,132
vydávání,488
vakcíny,489
symetrie,490
podpisy,491
filozofie,492
autorskému,8
techniky,493
sféra,494
pronajmout,495
přenosové,281
volná,496
homologaci,497
instalaci,33
sezóna,498
firmy,499
držitelům,26
provozovatel,123
doplňková,500
výhoda,414
listina,146
volnost,501
podíly,502
nehmotné,503
deaktivace,504
regulační,505
letecké,506
zakázky,507
formulace,508
prémiové,509
vlastníky,171
oprávněna,394
účtu,510
privátní,511
odměn,98
implementaci,55
objednávky,512
doživotní,513
klíčů,140
vlastnictvím,51
hypotéky,514
doktrína,456
poskytnuta,240
pravomoce,196
výstavy,515
kapitálová,516
odrůdy,517
statistika,518
uživatelské,519
odebrány,291
agenda,476
poskytovatelem,300
zdroje,520
homologace,497
komise,521
archivace,522
formáty,523
zřízení,524
provozovaná,525
dodané,526
koncová,527
volné,496
dohoda,188
postavička,528
patřičné,529
zálohu,210
udělením,530
hybridní,531
kontrakt,75
kopií,10
dokumenty,532
výbava,533
úložiště,534
vozidla,535
pronajímá,208
vlastníte,128
klauzule,536
zpravodajská,537
půjčovat,538
rozhodnutí,539
televizní,540
nájem,541
souhlasu,542
páky,543
kompilace,544
linux,545
vektorové,546
přihláška,351
úvěry,547
pilotní,548
průkazu,109
kolaudace,549
udělit,550
nahrát,551
portfolio,552
vztahovat,477
logiky,418
živnostenské,553
filmová,554
akvizici,211
nové,555
source,556
platby,231
přihlašovací,557
obdoba,558
částka,165
bibliografie,559
bezúplatně,560
výlučné,561
provozovatelem,123
kontraindikace,562
vykonávání,563
filmové,554
platformu,68
burzy,564
distributora,170
seriály,565
sluţby,566
operátoři,567
výpočetní,568
podmínkou,117
podpora,295
zvýhodněnou,569
přidělena,36
povoluje,570
dispozice,571
paušál,572
identity,573
zavedení,574
metody,575
neoprávněného,394
poplatků,73
náročnosti,576
limitované,577
prostředky,578
serverů,579
řehole,580
zdarma,581
konkurence,582
akcie,583
budovy,584
výjimku,64
analogie,585
neomezené,177
tuzemské,586
vydavatelem,308
cloud,587
úhrady,588
akademické,320
nájmu,541
úrovně,589
účely,590
úhrada,588
televizního,540
politika,591
elektronické,138
dotovat,592
trenéry,131
směna,593
jednoroční,594
záplaty,595
nahrávka,141
poskytovat,596
sanitky,597
reprezentace,598
nainstalovat,599
střelné,600
kryptografie,601
přiděluje,602
nahrávací,603
těžební,604
úvěrová,605
korekce,606
živnost,451
povinná,607
četba,608
stanoviska,609
programu,80
arbitráže,610
helmy,611
windows,612
jména,613
dovednosti,614
sazby,254
radiostanice,615
předběžná,616
parcely,617
obnovení,618
vyhrazená,388
nahrávek,141
zbrojního,86
oprávněn,394
vstupenku,440
provozovatelům,123
administrativa,619
funkcionalita,620
výuku,230
dráhy,464
produkty,621
korespondence,622
firewally,623
kvalifikované,357
loterie,624
samosprávy,362
provoz,625
multiplatformní,626
výdaje,627
nabízená,628
schémata,629
půjčky,630
kšiltovka,437
arbitráž,610
koupi,226
univerzitní,631
knihovní,380
operátory,282
free,632
výpočetního,568
technická,633
databázové,634
pošty,413
sbírky,635
nároky,473
šifrování,636
zaváděcí,637
židle,638
uděleny,258
milost,639
programů,80
rukavice,640
ověřovací,641
kariéra,642
diskové,643
resources,644
receptura,645
nahrání,646
dodavatelské,647
manuály,648
metodika,142
přidělit,649
ústředny,650
studentská,651
kódu,59
mise,652
automatické,653
herní,654
neoprávněné,394
celoplošné,655
existence,656
juniorské,657
doprovodné,658
logo,124
konzoli,659
modulace,660
známku,183
databází,46
hierarchie,661
kompozice,662
překlady,663
kauce,664
bunda,665
adresáře,666
automatizace,667
tréninková,668
hokejová,669
éra,670
asociační,671
use,672
magisterské,673
konfiguraci,674
nahrávat,675
komponenta,676
mutaci,114
oficiální,677
oběhu,678
výtisky,679
amatérské,680
nelegálně,116
plachetnice,681
programové,682
repliky,683
distributor,170
databázi,46
privilegií,58
sumy,684
vydané,685
žalobu,263
odebrání,686
obnova,687
dodaného,526
složky,688
dominance,689
zakoupit,280
uvedení,690
výpovědi,691
pojistka,692
soustavy,693
systému,223
golfová,694
víz,155
orchestrace,695
zřizovací,696
omezené,177
prezentace,697
nájemné,698
grafika,301
aktualizaci,76
majitele,699
trika,700
marketingová,701
knowledge,702
pásmo,233
soutěžní,703
potřebná,704
nadvláda,705
smlouvě,21
intervence,706
prvoligové,707
příslušného,378
varianta,708
produktové,709
ochranné,710
iniciativy,711
stahovat,712
povolená,713
standardizované,714
advokacie,715
trenérskou,716
tovární,717
uživatele,718
položky,719
šablona,176
přístupového,180
údaje,720
oprávněnost,472
audiovizuální,721
držitelka,26
bible,722
petice,723
kabeláže,724
souprav,349
trofej,137
legitimní,725
uhrazení,726
měřidla,727
poukázka,367
kasina,728
amatérská,680
varianty,708
uživatelská,519
vysílat,729
elektrárna,439
volitelné,730
firemní,731
odvozená,732
demo,733
modulů,734
diplom,286
portfolia,552
nainstaluje,599
záložní,735
kontinuity,736
pokladny,737
platformami,68
razítek,106
podnikové,303
fakturační,738
relace,739
filosofie,740
registrací,15
záloh,210
balíčky,741
zaplacené,742
sféry,494
unie,743
postačuje,744
spolupráce,745
kongregace,746
autonomní,747
kategorie,748
číslo,288
zvýhodnění,749
stažené,750
kreditů,751
cloudového,752
důlní,753
košile,754
soutěž,298
novely,755
schválená,756
převodu,757
udělených,258
stroje,758
pohlednice,759
vzdělávací,760
zakázané,761
koncového,527
nejzákladnější,762
maturita,763
daně,764
tiskárny,765
kabelové,766
workflow,767
formule,768
dividendy,769
nálepky,364
administrativy,619
měny,770
libovolné,771
vydavatelé,308
disková,772
nástroje,773
hráčské,774
výukového,775
postačující,776
znalostí,274
volba,777
dodatečného,368
interpretace,778
dotaci,35
rozvodné,779
hostingu,780
èinnosti,781
výroby,429
baterie,782
zkratky,783
kurzy,784
odbornosti,403
linuxové,785
replika,786
automatická,653
dodávku,135
vystavení,787
motivace,788
firmwaru,789
poukázek,367
antivirový,191
zrušení,790
funkčnost,791
normy,792
udělované,793
rekvalifikace,794
farmaceutické,795
účty,510
pronajaté,796
hypotéka,514
soustava,693
značková,797
metodologie,798
stipendium,216
výluky,333
studentské,799
známce,183
stíhačky,800
přístroje,801
platného,253
kauza,802
zakoupených,91
instrukce,803
konfederace,804
legislativu,57
razítko,106
originály,805
technika,806
zakoupeny,280
tvorba,807
poskytovaná,808
uznání,809
závodní,810
flexibilita,811
povinné,607
seriálové,812
subjekty,813
časová,814
vlastněné,815
domén,816
granty,817
kvalita,818
řidičského,819
pořizování,820
krabice,821
prvenství,822
neexistence,656
harmonizace,823
dotované,824
požadovaná,825
soukromá,276
smluv,21
prémiová,826
soubory,827
udílení,828
sestava,436
zřizování,829
digitalizaci,830
stanic,111
přestávky,831
docházka,832
sekvence,833
zkušební,834
vlastníci,171
kvót,125
driver,835
agregace,836
určitého,837
geologie,838
argumentace,839
písma,840
studia,841
úložišť,842
identifikace,843
servery,844
doklady,845
přidělených,36
požadavky,846
autora,847
díly,848
hráče,849
libovolná,771
internetová,850
způsobilostí,90
webové,851
doba,852
service,853
náhrada,420
účet,510
pauza,854
vývojář,855
komerčního,79
křivka,856
profesionální,857
mzdy,858
domněnka,859
báze,860
platební,861
léčiva,862
sběrnice,863
vyhlášky,864
úhradu,588
operačního,865
elektrické,866
zámořské,867
zákaznická,868
neomezený,177
náročnost,576
zaškolení,869
vydána,685
nápovědy,870
internetové,850
smyčky,871
streaming,872
výměry,873
zažádat,874
mapka,875
outsourcingu,876
vázaná,877
periodika,878
exempláře,879
hudby,880
evoluce,881
specialita,882
záruční,883
nelegální,30
měna,770
stezky,884
pokračovací,885
klubová,886
původní,887
právům,20
audioknihy,888
experience,889
sekce,890
fontů,891
anonymity,892
struktura,893
herny,894
edition,895
úvazky,896
inteligence,897
datová,898
udělují,260
přenosná,899
provozována,297
plati,900
pečeti,901
emisi,384
tričko,902
nutná,903
ucelená,904
dvouletá,905
odznaky,906
plavidla,907
vízum,155
veřejnoprávní,908
miniatury,909
operátorům,282
atlasy,910
dodatečná,368
dočasná,911
koupené,912
fermentace,913
wikipedie,914
výkupní,915
povolením,13
součástky,916
samostatné,917
kancelářské,918
zákazy,919
působnost,920
literatura,921
statky,922
schéma,629
sazbu,254
autorizovaného,923
dat,924
chráničů,925
sítě,926
přijímačů,275
charge,927
nominace,928
zbraň,248
zapůjčit,929
vstupenek,440
přidružené,930
auditorské,931
mandátu,932
placený,194
standardů,933
přiznání,934
názvy,935
angličtina,936
perspektiva,937
vypršela,278
firmě,499
dokoupit,292
federálního,243
páčka,938
vyplacení,939
programátoři,940
zneužití,941
vázané,877
obstarání,942
vozítka,943
vydány,685
webová,851
účastnických,944
jezdecká,945
produkční,946
smluvní,947
multiplexu,948
tržby,949
podpěry,950
zakoupením,43
žádat,951
nevztahuje,477
vědomosti,952
mikina,953
kosmické,954
linuxu,955
tematické,956
záruk,18
stáže,957
generátory,958
strojvedoucího,959
legislativou,57
klasifikace,960
karet,39
teologie,961
řízení,962
mašinka,963
cirkulace,964
plodiny,965
zápočtu,966
peněženka,967
elektrotechniky,968
vzdělání,969
standardy,933
serie,970
platící,971
údajů,720
nadnárodní,972
kvalifikační,973
dekrety,974
penze,975
vynálezu,976
schválení,977
wiki,978
zkopírovat,979
pravidly,71
převod,757
instalační,410
distributorem,170
reklamy,980
obrazovky,981
automaty,982
občanství,983
trvání,984
zrušené,985
čeština,986
nesmyslná,987
využití,988
distribuované,989
procedury,990
určitá,837
volnosti,501
výbory,991
studium,992
vydaná,685
terminály,993
držitelkou,994
disciplinární,995
kuponu,996
deklarace,997
blokové,998
literatury,921
nedovolené,999
lokomotivy,1000
library,1001
souprava,349
smluvně,1002
genové,1003
příslušnost,462
stávající,1004
řidičák,1005
prostory,1006
konvence,1007
atestaci,1008
poštovního,218
samostatnost,1009
vlaky,1010
technické,633
role,1011
linky,1012
zásoba,1013
dolarů,1014
ceníky,1015
vynálezy,976
směrnic,100
zóny,1016
fotografická,1017
ustanovení,1018
předplatném,17
nárokuje,1019
dodávání,1020
server,1021
kulisy,1022
grantu,817
kluby,1023
dekretů,974
pobočky,1024
aktivita,415
nezákonné,130
farmaceutická,795
příkazy,1025
řády,1026
poskytována,808
privatizace,1027
auta,1028
údržba,1029
služeb,28
modifikované,1030
delegace,1031
nastavení,1032
interaktivity,1033
zakázka,507
osobní,1034
souhlas,542
správce,1035
resuscitace,1036
ruka,1037
majitel,699
úsečky,1038
centralizované,1039
vygenerování,1040
vzdělávacího,760
existovat,1041
relativity,1042
přilby,1043
vesmírné,1044
sběratelské,1045
odkup,1046
taška,1047
programátory,940
konzolí,1048
automatizované,1049
pojišťovací,1050
hokejové,669
nezávislost,1051
kontroly,1052
nekompletní,1053
kompresory,1054
zástavního,1055
pilulky,1056
svobodná,377
certifikovaný,1057
identita,573
speciální,1058
tréninkové,1059
čepičky,1060
odborné,1061
náležitosti,1062
prodávat,1063
