slovo,poradi
zas,1
zase,2
taky,3
tak,4
teda,5
holt,6
prostě,7
dneska,8
přece,9
docela,10
takhle,11
snad,12
vždycky,13
zrovna,14
určo,15
nejspíš,16
teď,17
dost,18
akorát,19
asi,20
teďka,21
nějak,22
furt,23
sakra,24
určitě,25
brzo,26
fakt,27
moc,28
přeci,29
ještě,30
trošku,31
každopádně,32
strašně,33
trochu,34
beztak,35
tolik,36
pak,37
tam,38
uplně,39
opět,40
ale,41
hrozně,42
ted,43
pořád,44
zkrátka,45
naštěstí,46
možná,47
krapet,48
děsně,49
sice,50
tady,51
vůbec,52
kupodivu,53
opravdu,54
jaksi,55
páč,56
skoro,57
prej,58
radši,59
úplně,60
hooodně,61
potom,62
aspoň,63
eště,30
jenom,64
ono,65
prý,58
spíš,66
takže,67
znova,68
pokaždý,69
ikdyž,70
teprv,71
konečně,72
rozhodně,73
samozřejmě,74
když,75
hnedka,76
hodně,77
příliš,78
zřejmě,79
pokaždé,80
aspon,81
někdy,82
jistě,83
stejně,84
nic,85
pochopitelně,86
vubec,87
pořádně,88
vyloženě,89
nikdy,90
neni,91
hrozný,92
brzy,26
nejak,93
nijak,94
ovšem,95
očividně,96
neskutečně,97
jindy,98
fajn,99
evidentně,100
nakonec,101
bohužel,102
trošičku,103
bejt,104
najednou,105
budem,106
překvapivě,107
tohle,108
šíleně,109
maličko,110
něco,111
občas,112
malinko,113
chvilku,114
mezitím,115
není,104
pěkně,116
myslím,117
jenomže,118
třeba,119
blbý,120
skutečně,121
nikterak,122
naopak,123
tentokrát,124
protože,125
jenže,126
jeste,127
ješte,128
nekdy,129
strašný,130
vlastně,131
obyčejně,132
vcelku,133
dosti,18
příjde,134
normálně,135
zbytečně,136
neva,137
strašlivě,138
sem,139
tož,140
takovej,141
vždyť,142
navíc,143
přijde,144
příště,145
zdaleka,146
jakože,147
obzvlášť,148
hned,149
poněkud,150
nečekaně,151
nebude,104
každej,152
říkám,153
zdá,154
pekelně,155
tenkrát,156
nemusim,157
natolik,158
znovu,159
ani,160
dávno,161
letos,162
dvakrát,163
divný,164
koukám,165
budu,104
nemusím,166
sotva,167
věru,168
vždy,169
nejdřív,170
nepřijde,144
nebudu,104
tudíž,171
totiž,172
dřív,26
většinou,173
jinak,174
zjevně,175
tenhle,108
děsný,176
víc,77
zatím,177
vskutku,178
poměrně,179
nechci,180
zejtra,181
klidně,182
zatim,183
proto,184
náhodou,185
moooc,186
myslim,187
ostatně,188
doufám,189
žádnej,190
zato,191
hrozné,92
pač,192
nebudem,104
mooooc,193
hrozne,194
jakoby,195
fakticky,196
vidim,197
jen,198
mimochodem,199
tedy,200
mně,201
málem,202
však,203
často,204
nějakej,205
vidím,206
kolikrát,207
pomalu,208
popravdě,209
jsem,104
extrémně,210
hrozná,92
obvykle,211
