slovo,poradi
předchozí,1
předešlé,2
předcházející,3
dřívější,4
následující,5
předešlý,2
minulé,6
dosavadní,7
loňské,8
poslední,9
předchozích,1
úvodní,10
další,11
včerejší,12
původní,13
předchozím,1
první,14
novější,15
předposlední,16
letošní,17
navazující,18
předchozího,1
obdobné,19
pozdější,20
předešlých,2
starší,21
minulá,6
aktuální,22
nejnovější,15
zmíněné,23
třetí,24
nynější,25
loňskou,8
stávající,26
úspěšné,27
uplynulé,28
stejné,29
předešlém,2
předcházejícího,3
předchozími,1
prvotní,30
předcházejících,3
nedávné,31
její,32
rozsáhlejší,33
výchozí,34
předešlého,2
autorovy,35
páteční,36
úterní,37
návaznosti,38
telefonické,39
osobní,40
ostatní,41
zmiňované,42
loňská,8
minulou,6
uvedené,43
jiné,44
předcházejícím,3
nadcházející,45
temnější,46
několikaleté,47
kratší,48
dřívějších,4
čtvrteční,49
navazuje,50
delší,51
pondělní,52
neúspěšné,27
vydařené,53
loňský,8
oficiální,54
březnové,55
existující,56
počáteční,57
následné,58
slabší,59
zbývající,60
středeční,61
jakékoliv,62
budoucí,63
tradiční,64
započaté,65
standardní,66
minulý,6
viz,67
této,68
hlavní,69
doplňující,70
příští,71
zrušené,72
pokračující,73
roční,74
dílčí,75
nové,15
vážnější,76
tři,77
únorové,78
předchůdce,79
minulých,6
úspěšnější,27
dvouleté,80
všechny,81
závěrečné,82
příslušné,83
podobné,84
dávné,31
jakékoli,85
předběžné,86
dnešní,87
desetileté,88
pětileté,89
výraznější,90
mladší,91
konkrétní,92
případné,93
tehdejší,94
minule,95
vítězné,96
téže,97
zásadnější,98
čtyři,99
květnové,100
současná,101
lednové,102
silnější,103
někdejší,104
čtvrté,105
několikaměsíční,106
podrobnější,107
své,108
koncepční,109
klasické,110
postarší,111
významnější,112
zmíněná,23
základní,113
letité,114
tříleté,115
některé,116
horší,117
plánované,118
zkušenosti,119
posledni,120
moje,121
detailnější,122
listopadové,123
minulém,6
oblíbené,124
dlouhodobější,125
momentální,126
minulosti,127
dubnové,128
obdobnou,19
ostřejší,129
nejbližší,130
hlubší,131
vlastní,132
nedávnou,31
vybrané,133
prvni,134
ukončené,135
mojí,121
opakované,136
tyto,68
obnovené,137
běžné,138
nedokončené,139
eventuální,140
druhé,141
současný,101
dokončené,139
obdobná,19
jeho,32
naše,121
současnou,101
formální,142
několikáté,143
drsnější,144
dlouholeté,145
domluvě,146
vrcholné,147
dříve,148
předtím,149
předchůdkyně,150
pokročilejší,151
osvědčené,152
předmětné,153
dřívějšího,4
nižší,154
druhou,141
menší,155
dvě,156
jmenované,157
závažnější,158
soutěžní,159
citované,160
stejnojmenné,161
chystané,162
diskusní,163
negativní,164
neoficiální,54
šesté,165
pracovní,166
půlroční,167
obecnější,168
popisované,169
pozdní,170
prosincové,171
podzimní,172
veškeré,173
intenzivnější,174
legendární,175
nastávající,176
předválečné,177
dva,156
stěžejní,178
nejúspěšnější,27
dosavadních,7
vládní,179
srovnávací,180
změněné,181
konkurenční,182
navazují,50
určité,183
tamní,184
slavné,185
páté,186
komplikovanější,187
nepovedené,188
současné,101
posledn,189
druhý,141
mnohaleté,190
posledně,191
komplexnější,192
zjištěné,193
úspěšnou,27
krátké,48
pokračování,194
jednotlivé,195
sobotní,196
připravované,197
nedávný,31
staré,21
kultovní,198
srpnové,199
zbylé,200
zásadní,98
kalendářní,201
než,202
stejný,29
všechna,81
dlouhodobé,125
chybějící,203
předběžná,86
závěr,204
sledované,205
rychlejší,206
písemné,207
ročníky,208
nejhorší,209
referenční,210
poválečné,211
takovéto,212
téhle,213
moji,121
pomalejší,214
společné,215
popsané,216
finální,217
probíhající,218
nedávná,31
pouhé,219
červnové,220
vaše,221
shodné,222
odvážnější,223
teoretické,224
ilustrační,225
obvyklou,226
konkrétnější,92
dopolední,227
předchůdci,79
ukončení,228
větší,229
zahajovací,230
následují,231
stejná,29
čtvrtá,105
provedené,232
sesterské,233
relevantní,234
novodobé,235
jiný,44
shrnující,236
dvacetileté,237
drobnější,238
realizované,239
související,240
navázala,241
případnou,93
zveřejněné,242
diskuzní,243
vyšší,244
náročnější,245
zmíněný,23
kterékoli,246
modernější,247
dané,248
podobná,84
samostatné,249
zkušenost,119
domluvy,146
sedmé,250
zmíněnou,23
zdařilé,251
kvalitnější,252
podobnou,84
souběžné,253
kontrolní,254
výsledné,255
porovnávací,256
stejnou,29
předchůdců,79
věty,257
generační,258
prováděcí,259
obdobný,19
kontroverzní,260
navazovala,50
zamýšlené,261
hráčské,262
předchozímu,1
jejich,32
alternativní,263
zajímavější,264
znalosti,265
nedělní,266
pátou,186
návštěvní,267
navázaly,268
jakoukoli,85
evidentní,269
internetové,270
čtvrtou,105
obvyklé,226
dlouhohrající,271
zavedené,272
výše,273
nástupnické,274
každé,275
naší,121
dlouhé,51
jakýkoli,85
trvající,276
vzájemné,277
uživatelské,278
jakákoliv,62
konvenční,279
modelové,280
facebookové,281
nejslavnější,185
jemnější,282
dokončení,283
lehčí,284
kterýkoliv,285
několikadenní,286
kterékoliv,285
historické,287
prohrané,288
každoroční,289
myšlenkové,290
jinou,44
svojí,108
závěrečnou,82
živější,291
bohatší,292
dávnou,31
čtvrtý,105
vzdálenější,293
zkušební,294
uvedený,43
četné,295
výsledek,296
jakýkoliv,62
starozákonní,297
odstavec,298
večerní,299
reakci,300
jiná,44
ostatně,301
naplánované,302
následná,58
plánovanou,118
propracovanější,303
podkladové,304
povedené,305
mnohé,306
výpovědi,307
nejprodávanější,308
lepší,309
šestileté,310
prezentované,311
jakoukoliv,62
identické,312
navazoval,50
obdobně,313
stejně,314
civilní,315
minulému,6
vybraná,133
čtyřleté,316
koaliční,317
již,318
tuto,68
dobu,319
kterýkoli,246
opakovanou,136
obvyklá,226
přísnější,320
nejsilnější,103
přestože,321
totožné,322
jasnější,323
textové,324
loňském,8
vedlejší,325
fenomenální,326
válečné,327
bližší,130
publikované,328
ačkoliv,329
tvrdší,330
častější,331
složitější,332
samotné,333
vizte,334
finálovou,335
nejzásadnější,98
čtvrtletní,336
provozní,337
mnohá,306
nejslabší,59
faktické,338
svou,108
naši,121
podrobné,107
generace,339
rozsáhlé,33
svoje,108
zdejší,340
domácí,341
šestou,165
dohodnuté,342
hororové,343
výkonnější,344
můj,121
přípravné,345
návaznost,38
chladnější,346
katastrofální,347
zkušenější,348
zvířecí,349
ohledu,350
standartní,351
klubové,352
odpovědi,353
očekávané,354
