slovo,poradi
snaha,1
snahou,1
snahy,1
snahu,1
snaze,1
touha,2
neochota,3
ochota,4
snaží,5
cílem,6
snažit,5
snažila,5
snah,1
nutnost,7
obava,8
motivace,9
nechuť,10
snažící,11
potřeba,12
pokouší,13
pokusit,14
snažili,5
tendence,15
usilující,16
marná,17
myšlenka,18
iniciativa,19
snažil,5
snažíme,5
snažím,5
cílená,20
nemožnost,21
usilovat,22
úsilí,23
prosba,24
systematická,25
nesnaží,5
pokus,26
usiluje,22
snahám,1
pokoušet,13
podpora,27
jde,28
snažíte,5
šlo,28
snažily,5
nedůvěra,29
pokoušela,13
následná,30
záměrem,31
pokusila,14
možnost,32
neúspěšná,33
cesta,34
neschopnost,35
snažilo,5
motivací,9
úvaha,36
aktivita,37
schopnost,38
postupná,39
zásluha,40
odvaha,41
nutno,42
pokoušejí,13
převaha,43
pokoušeli,13
představa,44
pokusem,26
úkolem,45
informovanost,46
přílišná,47
umožnit,48
kritika,49
touhou,2
angažovanost,50
umožnila,48
šance,51
nutné,42
rivalita,52
chtělo,53
vstřícnost,54
evidentní,55
údajná,56
mohla,57
zbytečná,58
dokonalost,59
jediná,60
nejde,28
případná,61
odhodlání,62
úspěšná,33
snažení,63
pokoušel,13
jakási,64
zřetelná,65
úloha,66
nezbytnost,67
žádoucí,68
usilovala,22
vyváženost,69
chtěla,53
nezájem,70
míra,71
pokusí,14
shoda,72
nespokojenost,73
provázanost,74
usilují,22
vyústila,75
pokusil,14
pomsta,76
umožnění,77
přehnaná,78
přímá,79
pokusy,26
možno,80
důsledné,81
chyba,82
výzva,83
idea,84
nedostatečná,85
patrná,86
snažte,5
musela,87
změna,88
důvěra,89
dohoda,90
stačila,91
slušnost,92
pokusili,14
ochotě,4
nutí,93
touhu,2
vzájemná,94
hloupost,95
úlohou,66
záchrana,96
plánovaná,97
nešlo,28
spolupráce,98
určitá,99
absence,100
spoluúčast,101
záliba,102
donutila,103
pokusu,26
usiloval,22
snažíš,5
dokázat,104
úmyslné,105
motivaci,9
prioritou,106
lhostejnost,107
paradoxně,108
přinutit,109
ochoty,4
důvodem,110
opakovaná,111
schopná,112
pochvala,113
příklon,114
společná,115
hlavně,116
odlišnost,117
zřejmá,118
nějaká,119
chce,53
agresivita,120
donutit,103
podmínka,121
chtěli,53
víra,122
výrazná,123
dosažená,124
umožňující,125
proměna,126
taková,127
touze,2
preciznost,128
schopna,112
nucená,129
zapotřebí,130
měla,131
dovedla,132
obrana,133
dokázala,104
napomoci,134
výhoda,135
možné,80
úcta,136
zviditelnění,137
argumentace,138
hrozba,139
symbolická,140
častá,141
zajistit,142
přiměla,143
špatná,144
přízeň,145
skutečná,146
byla,147
vytrvalá,148
zásluhou,40
usilovali,22
částečná,149
trpělivost,150
účelem,151
vůle,152
politika,153
nenechat,154
především,155
včasná,156
kreativita,157
příprava,158
drobná,159
korektnost,160
efektivita,161
dokonalá,162
myšlenkou,18
vidina,163
spíš,164
nezbytná,165
okamžitá,166
obhajoba,167
jakákoliv,168
debata,169
chceme,53
ztráta,170
zdůrazňovat,171
podařilo,172
pokusíme,14
jistota,173
vyzdvihnout,174
jednoznačná,175
úmysl,176
prosazovat,177
záměr,31
zaměřená,178
vyžadovala,179
vina,180
poctivá,181
dlouhodobá,182
odměnou,183
získání,184
tendenci,15
taktika,185
úsilím,23
ochotu,4
nedávná,186
třeba,187
sláva,188
obrovská,189
povinnost,190
ochotna,191
požadavkem,192
účelnost,193
pokusily,14
profesionalita,194
marné,17
pokusech,26
láska,195
odměna,183
cílené,20
naděje,196
trvalá,197
samotná,198
připomínka,199
zamezit,200
zvýšená,201
pomohla,202
přeměna,203
otázka,204
kampaň,205
takováto,206
prosazení,207
negativa,208
zjevná,209
ambice,210
návštěva,211
