slovo,poradi
venku,1
vevnitř,2
doma,3
zahradě,4
ven,5
uvnitř,6
balkoně,7
sluníčku,8
zimě,9
zahrádce,10
trávě,11
balkóně,12
terase,13
tělocvičně,14
prší,15
zvenku,16
chladno,17
teple,18
dešti,19
dvorku,20
hřišti,21
vedro,22
venkovním,23
hnusně,24
čerstvém,25
procházce,26
pršelo,15
zavřený,27
venkovní,23
lese,28
zevnitř,29
horku,30
vedrech,22
venkovních,23
sluníčko,8
mřížemi,31
někde,32
setmění,33
zimu,9
létě,34
baráku,35
tma,36
kurtech,37
procházkách,26
garáži,38
tmě,36
procházky,26
zima,9
mrazech,39
barákem,35
vedru,22
autě,40
běhat,41
mrazu,39
spí,42
chladném,43
sněží,44
školce,45
grilovat,46
přírodě,47
procházku,26
zavřená,27
počasí,48
horko,30
spali,42
vně,49
celoročně,50
chodbě,51
bazénu,52
pršet,15
tady,53
oknem,54
místnostech,55
posedět,56
lavičce,57
dovnitř,58
okny,54
vlhko,59
vlhku,59
dětma,60
sklepě,61
teplo,18
slunci,62
horách,63
hezky,64
exteriéru,65
noci,66
halách,67
zvenčí,68
venkovního,23
hale,67
teplém,69
sauně,70
sedět,71
slunečno,72
bytě,73
obýváku,74
hřištích,21
dopoledne,75
teplotách,76
posilovně,77
spal,42
horkém,78
tam,79
dneska,80
zavřené,27
herně,81
schovaný,82
chladu,83
spinká,84
jaro,85
mráz,39
zahradu,4
seděli,71
trávíme,86
výletě,87
výběhu,88
stanem,89
spala,42
válet,90
ležet,91
pohodě,92
nulou,93
kabině,94
pejskem,95
chatě,96
suchu,97
sněhu,98
zamčené,99
paneláku,100
domečku,101
pískovišti,102
místnosti,55
naboso,103
schované,82
spát,42
pokojíku,104
kempování,105
zavřenými,27
dvoře,106
parapetu,107
altánu,108
všude,109
mokro,110
odpoledne,111
střechou,112
ochladí,113
tak,114
chvilku,115
klukama,116
sedím,71
normálně,117
schodech,118
rozpáleném,119
grilování,120
louce,121
boudě,122
chodbách,51
takhle,123
domě,124
sušit,125
střechách,112
kočku,126
pořád,127
uzavřeném,128
sedíte,71
furt,129
parkovišti,130
ledě,131
bouřce,132
zahradách,4
ráno,133
tělocvičny,14
kočárku,134
potichu,135
posezení,136
ležím,91
krásně,137
klubovně,138
střeše,112
kdekoli,139
terasu,13
mrazů,39
posteli,140
gauči,141
dveřmi,142
dětmi,143
záchodě,144
skleníku,145
interiérech,146
táboře,147
podvečer,148
trávníku,149
kdekoliv,150
léto,34
šatně,151
večer,152
běhají,153
sprše,154
pokoji,155
holkama,156
oknech,54
vzduchu,157
vycházky,158
nejhoršího,159
navečer,160
přestávkách,161
kočáru,162
sníh,98
přístřešku,163
běhání,164
teď,165
jaře,85
květináči,166
deště,19
chalupě,167
svítilo,168
bouřka,132
dusno,169
zimy,9
prostorech,170
obědě,171
deštěm,19
vlhkém,172
staveništi,173
pejsky,95
kuse,174
psem,175
děcka,176
veselo,177
dvorek,20
divočině,178
zahrádku,10
teplejší,69
terénu,179
mokrý,180
stanech,89
noc,66
svítí,168
otevřeném,181
pokojíčku,182
hoďky,183
houpačce,184
domem,124
plotem,185
stadionech,186
nahoře,187
kleci,188
víkendu,189
koupelně,190
kočkou,126
včera,191
mokré,180
vodě,192
dítětem,143
domova,193
budovách,194
sluníčka,8
okně,54
klidu,195
spinkat,196
nahý,197
řádí,198
tichu,199
suchém,200
námi,201
suterénu,202
vycházku,158
dětičky,203
autobuse,204
nádherně,205
zataženo,206
prostorách,207
domku,208
nás,209
lavicích,210
pobývat,211
náma,201
interiéru,146
parcích,212
oběda,171
mokrém,180
hodinku,213
vzduch,157
déšť,19
sklenících,145
spíme,42
fotit,214
ptáčky,215
když,216
indoor,217
zůstávat,218
kočárem,162
kočky,126
teplota,76
nejlíp,219
zdmi,220
stínu,221
permanentně,222
sněžit,44
ložnici,223
zateplené,224
cely,225
jenom,226
chladné,43
mrazy,39
postýlce,227
venkově,228
dýl,229
pěkně,230
pryč,231
ulicích,232
předsíni,233
cestách,234
kluci,235
nepříznivém,236
chviličku,237
dole,238
školky,45
vodítku,239
samotě,240
lítat,241
vzadu,242
neděli,243
topit,244
pralese,245
sněhem,98
stadionu,186
půdě,246
přestávce,161
miminkem,247
déle,248
otevřené,181
chlad,83
antuce,249
schovat,250
deštivé,251
mimino,252
chození,253
fouká,254
běhal,41
balkonu,255
zimním,256
kouřit,257
oblečené,258
osvětlené,259
sousedi,260
parku,212
nima,261
vězení,262
nepřízni,263
hrajeme,264
čekárně,265
vlhkosti,266
vepředu,267
prostranstvích,268
rána,133
chodit,269
teplotě,76
zimou,9
sportování,270
nekde,271
dlouho,248
slunečného,272
ošklivě,273
chatky,274
táboření,275
koutě,276
zápasy,277
krbu,278
dítko,279
palubovce,280
oplocené,281
konečně,282
ledničce,283
kamarády,284
relaxovat,285
svítit,168
pelíšku,286
sobotu,287
pláži,288
schne,289
běhá,41
ticho,199
podlaze,290
sousedů,260
úkrytu,291
procházka,26
nocích,66
vedra,22
zase,292
zůstat,293
výběh,88
sedě,71
lítá,241
bazénech,52
mrazáku,294
stolem,295
ohřát,296
zastřešené,297
chladnější,43
sluníčkem,8
garážích,38
terasách,13
skleník,145
koupat,298
prcka,299
celej,300
chladí,301
batole,302
zavření,27
počasím,48
pódiu,303
stanu,89
bezdomovci,304
domácnostech,305
schovávat,306
válí,90
teplotně,307
trávili,86
mrazem,39
jídelně,308
stodole,309
děti,143
podzim,310
trávník,149
prázdno,311
přespat,312
pohodička,92
bunkru,313
autem,40
větru,314
tričku,315
uklízet,316
táborech,147
morčata,317
poklidu,318
cizím,319
trénovat,320
učebnách,321
viset,322
plavkách,323
vyspat,324
sucho,97
dvorcích,325
letním,326
teplu,18
ním,261
klídek,327
nervózní,328
viditelně,329
jsme,330
kuchyni,331
poho,332
grilu,333
dílně,334
karavanu,335
nemocná,336
zahřát,337
zmrzlé,338
poledne,339
nebem,340
běžkách,341
něm,261
seděl,71
spaní,342
prcek,299
zápase,277
domovech,193
chodíme,269
bedně,343
domově,193
slunce,62
nádvoří,344
příjemně,345
víkend,189
polednem,339
jara,85
spící,346
domácím,347
teplotou,76
kamnech,348
večery,152
stromě,349
kamny,348
střídačku,350
odpočívá,351
brzo,352
kytky,353
přespání,354
křoví,355
nerušeně,356
přilehlém,357
teplot,76
slunečný,272
přístřešek,163
zahrádkou,10
zapnuté,358
mrazivé,359
zápasech,277
kdesi,360
chatách,96
teplé,69
zařízeních,361
pejsci,95
zahrádka,10
teploty,76
fotila,214
klimatizované,362
chladnějších,43
širým,363
spokojeně,364
stan,89
odpočívat,351
párty,365
uvězněni,366
nechávat,367
kryté,368
fyzicky,369
tatínkem,370
poledni,339
pobyt,371
hřeje,372
jízdě,373
věznicích,374
živo,375
městském,376
možně,377
navíc,378
podkroví,379
teďka,380
dozorem,381
nepřekáží,382
kole,383
průvan,384
pohromadě,385
naštěstí,386
balónu,387
vsedě,388
tajně,389
dovádění,390
pohybu,391
kočičky,392
deku,393
víkendech,189
lavičky,57
schovává,306
pohode,394
oblečená,258
zahrádky,10
vchodem,395
zadu,396
hlučné,397
pejska,95
aspoň,398
prakticky,399
taky,400
spacáku,401
panička,402
bezdomovce,304
ránem,133
dýchat,403
parádu,404
troubě,405
bruslích,406
chvíli,407
skoro,408
nepřetržitě,409
nikde,410
divočina,178
kostele,411
jíst,412
trampolíně,413
sklepení,414
schodišti,415
zůstali,293
oblečený,258
mrazničce,416
prostranství,417
parkovat,418
vesele,419
pohodlně,420
opuštěném,421
ohniště,422
cítit,423
grilem,424
děcko,176
zacvičit,425
zasněžené,426
rukavicích,427
večerech,152
boudy,122
grilované,428
otevřená,181
procházek,26
stromech,349
pláštěnky,429
včerejška,430
slunečné,272
tráví,86
přeci,431
pódiích,303
bazének,432
džungli,433
dlažbě,434
zápasem,277
pekle,435
leze,436
vlhkost,266
zrovna,437
umýt,438
tepláčky,439
chodníku,440
kolech,383
všichni,441
cele,225
hradě,442
spím,42
holčičky,443
bordelu,444
zámeckém,445
zvířaty,446
skleníků,145
mokrá,180
družině,447
hráli,264
mizerně,448
teplý,69
vnějšku,449
lesoparku,450
lenošení,451
stromy,349
fotili,214
sportovat,270
pejsek,95
teda,452
stromem,349
botách,453
nazí,197
vidět,454
pasivně,455
pastvinách,456
zdech,220
lidma,457
obřad,458
nosit,459
zahrady,4
tráva,11
sluncem,62
parádně,460
přece,461
teplého,69
kurtu,37
líp,219
půlnoci,462
holky,463
klíně,464
sezení,465
vlhkostí,266
procházkám,26
suší,125
věznici,374
sebou,466
koutech,276
focení,467
površích,468
kopcích,469
zamknout,470
strávené,471
posezením,472
nošení,473
obchodech,474
bytech,73
škole,475
zvnějšku,476
hraní,477
umělém,478
vaně,479
tmy,36
pobytech,371
stále,480
trávit,86
pískoviště,102
ježdění,481
dokonce,482
malej,483
naschvál,484
pak,485
kluky,235
kempu,486
chůzi,487
kočička,126
bříšku,488
trávu,11
nimi,261
zahradou,4
klíšťata,489
chodnících,440
hrát,264
sále,490
nesvítí,168
ale,491
posilovny,77
pěkném,492
chodí,269
altán,493
nejdřív,494
mimčo,495
terénem,496
rychlovka,497
lesem,28
uklidit,316
izolaci,498
maminkou,499
