slovo,poradi
popřípadě,1
případně,2
nebo,3
anebo,3
eventuelně,4
eventuálně,5
jakož,6
buď,7
respektive,8
buďto,9
zda,10
pokud,11
určí,12
jestli,13
nikoliv,14
klidně,15
doplnit,16
alespoň,17
ledaže,18
požadovat,19
popř,1
jestliže,20
nedejbože,21
nikoli,14
případné,22
třeba,23
dokonce,24
tak,25
použít,26
následně,27
doporučí,28
kdyžtak,29
možná,30
vyznačí,31
zdali,32
které,33
zpravidla,34
zvolit,35
možno,36
účelem,37
poptat,38
takže,39
některé,40
natož,41
uvedou,42
doplňte,16
poprosit,43
současně,44
zeptat,45
jiné,46
předpokládám,47
případnými,22
přičemž,48
aniž,49
kde,50
například,51
požádejte,52
příslušné,53
navrhnout,54
některou,40
příslušný,53
doplnění,55
rovnou,56
pak,57
aby,58
poradíte,59
požádají,52
některá,40
také,60
některého,40
sdělit,61
přednostně,62
potažmo,63
příležitostně,64
jeslti,65
případná,22
případnou,22
navrhne,54
uvede,42
nějaké,66
jejich,67
někdo,68
zároveň,69
jen,70
samostatně,71
tudíž,72
aspoň,73
přiložit,74
zjistit,75
nejlépe,76
nějakým,66
pakliže,77
poraďte,59
zajistit,78
případný,22
případných,22
nařídit,79
jednotlivě,80
zejména,81
raději,82
vhodnější,83
vhodné,83
nějakou,66
provést,84
jejichž,85
též,86
apod,87
opatřit,88
vyžádat,89
požádat,52
zvažte,90
občas,91
popište,92
příslušného,53
uvedením,93
uvést,42
potom,94
příslušným,53
pověřené,95
případě,96
jedině,97
poradit,59
případného,22
bud,98
nějaký,66
povolit,99
napiš,100
ale,101
oprávněné,102
posléze,103
výjimečně,104
spíš,105
možné,36
určené,106
pouze,107
minimálně,108
upraví,109
taktéž,110
případech,96
každopádně,111
většinou,112
jiných,46
konkrétní,113
poradím,59
doplňující,114
kterými,33
kterým,33
nejdříve,115
konzultovat,116
případným,22
doporučili,28
použije,26
zkusit,117
dotyčný,118
povolí,99
příslušná,53
spíše,119
určité,120
zjistím,75
stanovit,121
abych,58
kam,122
vhodným,83
některý,40
přibližnou,123
uveďte,42
ideálně,124
umožnit,125
chcete,126
alternativně,127
zkontrolovat,128
alespon,129
přidat,130
postačí,131
vyžadují,132
obvykle,133
protože,134
vkládají,135
prostřednictvím,136
vhodnou,83
někoho,68
bydliště,137
umístit,138
naopak,139
určitých,120
vhodnými,83
požádá,52
kterých,33
jinou,46
nějaká,66
přechodně,140
netuším,141
vhodně,142
může,143
ještě,144
obsahovat,145
budoucnu,146
dotyčná,118
upravit,109
jak,147
abyste,58
můžu,143
doplní,16
některých,40
některém,40
vyžadovat,132
dočasně,148
neprodleně,149
můžete,143
naznačit,150
určit,12
umožní,125
oznámit,151
určitě,152
osoby,153
odůvodněných,154
dodatečně,155
samozřejmě,156
odkud,157
požádání,158
nejčastěji,159
určených,106
označí,160
dále,161
mohou,143
napsat,100
využít,162
jaké,163
jenom,164
zajímalo,165
lze,166
jakékoliv,167
doporučit,28
zvážit,90
bezprostředně,168
jakým,163
vyčkat,169
nevím,170
pověřit,171
použijí,26
napíšeš,100
doporučil,28
zjistěte,75
požadované,172
jednorázově,173
příslušnou,53
nýbrž,174
jinak,175
hlavně,176
uloží,177
někdy,178
eventuální,179
krátkodobě,180
poskytnout,181
zeptám,45
zvolí,35
obdobného,182
trvalého,183
aspon,184
navrhují,185
příslušných,53
neumožní,186
kterém,33
dotyčné,118
obdobné,182
odnětím,187
doporučím,28
udělat,188
sdělí,61
nevíte,170
příslušném,53
avšak,189
mohu,143
vyplňte,190
určitého,120
jakékoli,191
způsobem,192
nezřídka,193
předepsat,194
napište,100
vyhledat,195
určuje,196
jakými,163
kdybyste,197
umožňujících,198
poprosil,199
částečně,200
nařídí,79
předloží,201
uvážení,202
docílit,203
zvláště,204
leda,205
doporučíme,28
majících,206
provádět,207
uložit,177
jiným,46
nějakého,66
vícero,208
poskytnou,181
můžeme,143
můžou,143
doložit,209
jinými,46
poskytnutím,210
nutné,211
poskytnutí,210
vyzvat,212
ošetřujícím,213
tam,214
provádějí,207
pověřená,95
přiměřeným,215
příslušnými,53
pokaždé,216
nehledě,217
odpovídající,218
něco,219
včetně,220
ošetřujícího,221
určitý,120
konkrétně,222
vyměnit,223
rovněž,224
souhlasem,225
která,33
postupovat,226
prosím,43
vyznačení,31
obdobným,182
osobně,227
plánujete,228
vyznačením,31
prostě,229
určením,230
omezit,231
nezbytné,232
určená,106
přidám,130
domluvit,233
žádoucí,234
jakože,235
kterou,33
abychom,58
umístí,138
stačí,236
poprosila,199
ikdyž,237
prokáže,238
doplněním,55
kupříkladu,239
napíšu,100
dohodnout,240
spýtať,241
pomocí,242
vhodná,83
doporučují,243
přiměřenou,215
odnětí,187
radši,244
doplníme,16
napíšete,100
pověřených,95
vhodnosti,245
vyměním,223
maximálně,246
zajistí,78
jakožto,247
obdobně,248
poradí,59
žádají,249
jakoukoliv,167
zprostředkovaně,250
kterému,33
přidáním,251
nejprve,252
oprávněných,102
domluvě,253
zkus,117
přiložte,74
jejíž,85
neboť,254
nahrazující,255
kteří,33
doporučujeme,243
namísto,256
zadat,257
individuálně,258
požadují,19
odložit,259
některým,40
vlastníte,260
jeho,67
fyzická,261
způsoby,192
způsob,192
přemístit,262
jakou,163
bezodkladně,263
oprávněna,102
jaký,163
stanoví,121
posoudí,264
vhodných,83
atp,265
případném,22
tím,266
potřebují,267
nastavit,268
schválně,269
přípustné,270
rozhodnou,271
vyžadující,272
mnohdy,273
dotyčného,118
fyzické,261
doplněné,274
jelikož,275
napíši,100
doporučovat,243
dát,276
pošlete,277
požadujete,19
zajít,278
přivolat,279
donést,280
vyžadujících,272
máte,281
obdobných,182
taky,282
který,33
vybavit,283
nechám,284
nejspíš,285
takové,286
často,159
položit,287
rozhodnout,271
vložit,288
jež,85
doloží,209
akorát,289
když,290
zapisují,291
někým,68
daného,292
proto,293
vhodný,83
zavolat,294
doplněných,274
zpracovávají,295
použijte,26
vždy,296
posunout,297
vyjímečně,298
volitelně,299
některými,40
pořídit,300
kterékoliv,301
hodláte,302
použijete,26
umožňují,303
jakoukoli,191
společně,304
doporučuji,243
oznámí,151
volí,305
zašlu,306
určitými,120
kdo,307
chystáte,308
jej,309
atd,310
upravte,109
nejenom,311
prodiskutovat,312
navrhovat,185
podat,313
pošli,277
přímo,314
přinejmenším,315
dají,276
zamezit,316
přiloží,74
určeného,106
především,317
byť,318
učinit,319
pověřeného,95
domluvte,233
někde,320
kdyby,197
kdykoliv,321
navrhuji,185
nechat,284
oprávněného,102
sdělte,61
byste,322
obohatit,323
stejně,324
jednotlivé,325
požadovaného,172
povoluje,326
nabídněte,327
dané,292
konkrétního,113
osobám,153
bych,322
zkusím,117
pošlu,277
ohlásí,328
určo,329
někteří,40
doporučovala,243
objednat,330
snad,331
kolika,332
osvědčí,333
nasměrovat,334
kdoví,335
můžeš,143
kterékoli,336
opravit,337
doplňovat,338
ukládají,339
přiměřené,215
zase,340
provádí,207
doplň,16
prozradit,341
ukládat,339
způsobech,192
upřesnit,342
různými,343
připevnit,344
způsobit,345
přesunout,346
kdykoli,321
necháte,284
vyzkoušet,347
místně,348
mohly,143
určenou,106
podobně,349
ovlivňujících,350
nechají,284
sháníte,351
počítám,352
určovat,196
přidávat,353
někomu,68
doporučoval,243
dovolí,354
jiný,46
třebas,355
mimo,356
případnému,22
mohli,143
kolik,332
navrhujeme,185
chtěla,126
zapůjčit,357
změně,358
uvidím,359
pokusit,360
jejího,67
souvisejících,361
dohodnou,240
oprávněn,102
možnostech,362
zabezpečit,363
chtít,126
dočasné,364
potřebuji,267
používají,365
umístíme,138
přidejte,130
používat,365
zabrání,366
povětšinou,367
přihlédnout,368
učiní,319
osobě,153
konkrétních,113
jiná,46
umístěním,369
nahradit,370
nejspíše,119
jehož,85
prováděním,371
formou,372
nahrazují,373
jaká,163
kterého,33
obsahujících,374
souběžně,375
necháme,284
určeným,106
ponechání,376
přemýšlíte,377
předložit,201
daná,292
obdobnou,182
uvedete,42
ohledem,378
nějak,379
použitím,380
příjmení,381
odkázat,382
nabytí,383
umožňující,198
seženu,384
přemístění,385
zváží,90
pádem,386
zkombinovat,387
přijímají,388
počkat,389
libovolným,390
zaslat,391
předpokládaného,392
informovat,393
několika,394
vyžaduje,132
doporučila,28
chtějí,126
pošlou,277
odloží,259
vhodném,83
zajistěte,78
někam,395
uložením,396
spojit,397
zamezí,316
padně,398
zajišťujících,399
čímž,400
nestanoví,401
umístění,369
výběrem,402
poskytne,181
odpovídajícím,218
napadá,403
její,67
přihlášeniprosím,404
uvažujete,405
rozhoduje,406
zaznamenat,407
jakých,163
žádat,249
zanechat,408
vybrání,409
jiného,46
zhodnotit,410
obraťte,411
určitou,120
rozdělit,412
kdy,413
nejdřív,414
důvodech,415
prokazatelně,416
sloužící,417
nesmí,418
nevyžadují,132
přiměřeně,419
oznamovat,151
žádající,420
připojit,421
vhodného,83
sháním,351
zásadně,422
vyzvání,423
najdu,424
mající,206
další,425
ujistit,426
daný,292
procentuální,427
pravděpodobně,428
kontaktovat,429
oprávněná,102
jedná,430
ponechat,376
preferuji,431
preferujete,432
hromadně,433
mohla,143
abysme,434
zakoupit,435
doporučuje,243
svévolně,436
určují,196
kdybys,197
požaduje,19
odebírají,437
skutečně,438
potřebovat,267
povinna,439
modifikovat,440
zařídit,441
poskytnem,181
zakrýt,442
obrátit,411
poskytují,443
soukromě,444
vybereš,445
zapotřebí,446
udělají,188
dopsat,447
trošku,448
zčásti,449
předat,450
odebírat,437
oprávněný,102
kterýkoliv,301
uložení,396
patřičné,451
zjišťovat,452
jakýmkoli,191
mají,281
nejbližšího,453
poměrnou,454
ohledu,378
zajišťující,399
přidávám,455
zeptej,45
nějakém,66
nežli,456
přidáte,130
určitém,120
výměnou,457
vybrat,445
možnými,36
přibližný,123
členského,458
dostavit,459
mohl,143
uvádět,460
součinnost,461
potenciálně,462
vložením,463
předpokládanou,392
zřizovat,464
jednotlivá,325
určení,230
kdybych,197
hodlají,302
pripadne,465
počkejte,389
jakýkoli,191
požadovaným,172
snesou,466
zajímá,165
žadatele,467
takovým,286
formě,372
dostatečné,468
poslouží,469
zapnout,470
připojí,421
připojením,471
upravují,472
jako,473
hned,474
jmenovitě,475
následným,476
nechte,284
znáte,477
zalít,478
abys,58
chybějících,479
určeném,106
zkuste,117
volit,305
potřebné,480
předem,481
zveřejní,482
zajistíme,78
obdobném,182
identifikaci,483
různého,343
doplnili,16
posuzují,484
umístěte,138
postupně,485
odpovídajících,218
vypustit,486
navrhuje,185
jímž,85
udělá,188
musí,487
hledají,488
zkontroluje,128
počkám,389
používejte,365
