slovo,poradi
opakovaně,1
několikrát,2
vícekrát,3
mnohokrát,4
pravidelně,5
opětovně,6
znovu,7
často,8
pokaždé,9
třikrát,10
opakovat,11
dvakrát,12
neúspěšně,13
častěji,8
neustále,14
dlouhodobě,15
poněkolikáté,16
periodicky,17
nepravidelně,5
častokrát,18
víckrát,19
tolikrát,20
soustavně,21
dokonce,22
průběžně,23
nejednou,24
jednorázově,25
příležitostně,26
permanentně,27
vytrvale,28
opakované,29
čtyřikrát,30
cíleně,31
pětkrát,32
důrazně,33
současně,34
následně,35
bezdůvodně,36
opět,37
nezřídka,38
každoročně,39
naposledy,40
úspěšně,13
opakuje,11
intenzivně,41
jedenkrát,42
vždy,43
opakoval,11
prokazatelně,44
dokola,45
opakují,11
donekonečna,46
opakovala,11
každodenně,47
kontinuálně,48
občas,49
krátkodobě,50
běžně,51
systematicky,52
párkrát,53
hromadně,54
hojně,55
nepřetržitě,56
stále,57
vědomě,58
pořád,59
několikáté,60
desetkrát,61
zřídka,38
záměrně,62
podruhé,63
opakovaným,29
opakovaná,29
poprvé,64
nejčastěji,8
různě,65
denně,66
znova,67
svévolně,68
hlasitě,69
někdy,70
trpělivě,71
kolikrát,72
potřetí,73
postupně,74
střídavě,75
oprávněně,76
opakovaný,29
nesmyslně,77
neúnavně,78
opakovalo,11
stokrát,79
tisíckrát,80
zpětně,81
prvně,82
masivně,83
opakovanou,29
zřetelně,84
marně,85
aktivně,86
jej,87
obvykle,88
zásadně,89
opakovaných,29
již,90
důsledně,91
pečlivě,92
rovněž,93
složitě,94
šestkrát,95
důkladně,96
několikanásobně,97
zpravidla,98
veřejně,99
okamžitě,100
opakující,101
úmyslně,102
neoprávněně,76
tajně,103
opakovaného,29
mnohonásobně,104
nadále,105
agresivně,106
automaticky,107
poctivě,108
sporadicky,109
výjimečně,110
kdykoli,111
devětkrát,112
případech,113
trvale,114
vehementně,115
opakovaném,29
obtížně,116
mnohdy,117
účinně,118
beztrestně,119
nesprávně,120
explicitně,121
nadměrně,122
kdykoliv,111
silně,123
takto,124
přitom,125
nechtěně,126
oblibou,127
jednou,128
sedmkrát,129
ustavičně,130
málokdy,131
minulosti,132
náhodně,133
zuřivě,134
opatrně,135
intenzívně,136
vášnivě,137
osmkrát,138
mockrát,139
jednotlivě,140
preventivně,141
nevhodně,142
standardně,143
