slovo,poradi
pomoc,1
pomoci,1
výpomoc,2
asistenci,3
podporu,4
radu,5
pomoct,6
prosba,7
součinnost,8
podpora,4
záchranu,9
prosbou,7
asistence,3
pomáhat,10
intervenci,11
záchrana,9
nouzi,12
útěchu,13
pomáhající,10
péči,14
konzultace,15
pomocnou,16
přivolat,17
pomohla,6
odbornou,18
vstřícnost,19
přivolání,17
záchranou,9
humanitární,20
službu,21
ochranu,22
prosbu,7
poradenství,23
okamžitou,24
laskavost,25
pomohli,6
oporu,26
poskytnuta,27
žádost,28
spoluúčast,29
záchraně,9
okamžitá,24
poskytnout,30
metodickou,31
úlevu,32
potravinovou,33
poskytnutou,27
služba,21
milost,34
potřebným,35
lékařskou,36
poradit,37
krizovou,38
rychlou,39
poradna,40
poradenskou,41
podporou,4
pomůžou,42
povzbuzení,43
výpomoci,44
iniciativu,45
zdravotnickou,46
asistenční,47
přímluvu,48
obětem,49
prosí,50
práci,51
zavolání,52
pomůcku,53
postiženým,54
starost,55
konzultaci,15
vděčnost,56
pomůže,6
bližnímu,57
trpělivost,58
odměnu,59
nápovědu,60
činnost,61
zkušenost,62
poskytovanou,63
zavolat,64
poskytnutí,65
pozornost,66
nesnázích,67
spolupráci,68
příležitost,69
obrátit,70
orientaci,71
potížích,72
krizová,38
obživu,73
přímou,74
návštěvu,75
spásu,76
psychologickou,77
pomohl,6
žádající,78
půjčku,79
oběť,49
pomohou,6
připravenost,80
výzvu,81
iniciativa,45
ochotu,82
útočiště,83
samostatnost,84
materiální,85
bezplatnou,86
lásku,87
pomáhala,10
poskytnutá,27
včasnou,88
včasná,88
spojence,89
účast,90
přivolal,17
pohotovost,91
ruku,92
kontaktování,93
případnou,94
prevenci,95
záchrannou,96
náhradu,97
poskytnou,30
žádat,98
poskytovat,99
odpověď,100
pomáhají,10
poskytovali,99
poskytli,30
psychickou,101
zprostředkovat,102
žádají,98
informaci,103
informovanost,104
angažovanost,105
technickou,106
telefonická,107
domluvu,108
uklidnění,109
zprostředkování,110
požádat,111
opravu,112
napomoci,113
podpory,4
zavolala,64
solidaritu,114
pomůžu,6
finanční,115
potřebná,35
ochrana,22
uprchlíkům,116
léčbu,117
opatrnost,118
cílenou,119
poradnu,40
záminku,120
azyl,121
vyškolení,122
potřebují,123
ošetřování,124
pomáhali,10
bezplatná,86
pomůcka,53
snahu,125
kompenzaci,126
pomáhá,10
dobrovolnou,127
dobrovolníky,128
cestu,129
přízeň,130
oplátku,131
důvěru,132
potřebnou,35
odborníka,133
inspiraci,134
dobrovolníků,128
věc,135
nezávislost,136
rady,5
uzdravení,137
zavolali,64
poradenská,41
doprovod,138
pomocníka,139
požádá,111
pomáhajících,140
užitečná,141
službou,21
doučování,142
posilu,143
účinnou,144
rodinám,145
péče,14
podpoře,4
poskytovaná,63
cestou,129
podpůrnou,146
psychologa,147
krátkodobou,148
volání,149
poradu,150
