slovo,poradi
počítač,1
počítače,1
notebook,2
počítači,1
laptop,3
počítačový,4
počítačů,1
procesor,5
hardware,6
internet,7
počítačem,1
stroj,8
televizor,9
softwarový,10
notebooku,2
mozek,11
telefon,12
přístroj,13
mobil,14
monitor,15
disk,16
smartphone,17
modem,18
software,19
antivirový,20
automobil,21
připojený,22
tablet,23
počítačích,1
server,24
router,25
notebooky,2
přehrávač,26
přenosný,27
počítačům,1
tiskárnu,28
computer,29
počítačové,4
fotoaparát,30
souborový,31
počítačovou,4
skener,32
notebookem,2
větrák,33
hacker,34
zapnutý,35
kávovar,36
prohlížeč,37
hardwarem,6
firewall,38
hardwaru,6
robot,39
ovladač,40
projektor,41
mobilní,42
bankomat,43
kancelářský,44
foťák,45
výpočetní,46
desktop,47
stůl,48
nainstalovaný,49
váš,50
monitoru,15
linux,51
spotřebič,52
dataprojektor,53
směrovač,54
chytrý,55
terminál,56
diktafon,57
přijímač,58
procesorem,5
webový,59
přístupový,60
hackeři,34
internetem,7
zesilovač,61
vesmír,62
stolní,63
gramofon,64
síťový,65
vypnutý,66
operační,67
monitorem,15
mikroskop,68
elektroniku,69
psací,70
elektronický,71
čip,72
rekordér,73
klávesnici,74
vysavač,75
instalovaný,76
internetový,77
systém,78
antivirus,79
výkonnější,80
windows,81
uživatel,82
řidičák,83
procesory,5
systémový,84
počítačového,4
trezor,85
raketoplán,86
nábytek,87
nástroj,88
obrazovku,89
program,90
mixér,91
internetu,7
automatizovaný,92
analogový,93
člověk,94
dotykový,95
ventilátor,96
vypínač,97
multitasking,98
procesoru,5
zabezpečený,99
ledničku,100
kalkulátor,101
trenažér,102
gauč,103
databázový,104
bezdrátový,105
multimediální,106
podnikový,107
vůz,108
virus,109
strojový,110
desktopu,111
dům,112
aparát,113
sejf,114
motocykl,115
fyzický,116
restartovat,117
displej,118
čítač,119
elektrický,120
virtuální,121
auto,122
pokoj,123
klient,124
lednička,100
kamarád,125
počítačová,4
kapesní,126
televizoru,9
textový,127
zápisník,128
robotický,129
palubní,130
malware,131
dětský,132
algoritmus,133
záchod,134
softwaru,19
softwarem,19
obrazovka,89
výkonný,80
panel,135
účet,136
řadič,137
obrazovkou,89
mikrofon,138
akumulátor,139
vlak,140
slovník,141
diář,142
autobus,143
majetek,144
nainstalován,145
notebooků,2
starý,146
rozvaděč,147
školák,148
pult,149
myš,150
sporák,151
spyware,152
konzole,153
kalkulačku,154
programovatelný,155
simulátor,156
běžný,157
grafický,158
doma,159
elektronika,69
stojan,160
papír,161
brácha,162
rozbočovač,163
automat,164
puberťák,165
adresář,166
klávesnicí,74
desktopové,167
elektroměr,168
počítačovým,4
digitální,169
síťovou,65
port,170
rádio,171
obýváku,172
teenager,173
nervový,174
kufřík,175
tiskárna,28
uživatelský,176
spotřebitelský,177
dvoujádrový,178
konzoli,179
štít,180
motor,181
net,182
koutek,183
zdrojový,184
drahý,185
kufr,186
integrovaný,187
monitory,15
připojené,22
přístroje,13
rohlík,188
přihlašovací,189
studentský,190
vestavěný,191
softwarové,10
byt,192
výukový,193
televize,194
telefony,12
šachový,195
nainstalované,196
obrazovky,89
vozík,197
mobilu,14
svět,198
zaměstnanec,199
televizi,194
datový,200
signál,201
automatický,202
zákazník,203
zrcadlovku,204
nakonfigurovat,205
líný,206
organizér,207
vybavený,208
hloupý,209
osobní,210
učebny,211
pomalý,212
odposlech,213
procesorů,5
komponenty,214
peněženku,215
přístup,216
komponent,217
blok,218
wifi,219
ovládaný,220
ultrabooky,221
vařič,222
kabel,223
klávesnice,74
minidisk,224
nový,225
kulečník,226
hardwarové,227
satelit,228
sériový,229
výpočetního,46
mechanický,230
levný,231
můj,232
záznamník,233
obrazový,234
nainstalovat,145
vesmírný,235
certifikovaný,236
opravený,237
kancelářskou,44
koncový,238
domácnost,239
videohry,240
bezdrátovou,241
plnohodnotný,242
netbooky,243
napájecí,244
učitelský,245
programátor,246
škodlivý,247
tabletem,248
učebnu,211
režim,249
komunikátor,250
malý,251
kameru,252
jogurt,253
školáka,254
stolek,255
automobilu,21
zloděj,256
jistič,257
vadný,258
zálohovat,259
batoh,260
muž,261
cílový,262
papírový,263
koupený,264
soukromý,265
pračku,266
náklaďák,267
tabletu,23
optimalizovaný,268
elektromobil,269
vyřazený,270
žák,271
routeru,272
kamerový,273
vir,109
obývák,172
domov,274
kancelářské,44
mobily,14
softwarovou,10
vypnout,275
barák,276
stroje,8
úvěr,277
kopírka,278
pes,279
dalekohled,280
vynález,281
krám,282
reproduktor,283
domácnosti,239
kámoš,284
schovaný,285
traktor,286
ipad,287
připojen,22
sektor,288
svetr,289
libovolný,290
přepínač,291
stoleček,292
útočník,293
džus,294
paměti,295
televizory,9
datům,296
přítel,297
reaktor,298
tužku,299
organismus,300
čtyřjádrový,301
počítačových,4
spolehlivý,302
řízený,303
nepřítel,304
rozum,305
nabíječku,306
tenis,307
zakoupený,308
nepoužitelný,309
zapnu,310
tablety,23
kosmický,311
krb,312
teleskop,313
rám,314
tuner,315
zámek,316
tranzistor,317
plechový,318
veškerý,319
interface,320
videokamera,321
byznys,322
obrazovce,89
joystick,323
řídicí,324
svůj,325
překladač,326
ukradený,327
opravdový,328
uživatele,82
fotbal,329
zvukový,330
parfém,331
obraz,332
skříně,333
hračku,334
portem,335
důvěryhodný,336
chladič,337
browser,338
čas,339
vyhledávač,340
spánek,341
linuxu,342
zapalovač,343
pevný,344
tiskárnou,28
pokladnu,345
nahraný,346
viry,109
příruční,347
basketbal,348
síti,349
stylový,350
smartphonu,17
kompilátor,351
rozbitý,352
klasický,353
ztracený,354
náš,232
milovaný,355
multimédia,356
jakýkoli,357
táta,358
balík,359
poškozený,360
nainstaluje,145
jednoduchý,361
radiátor,362
tachometr,363
herní,364
sešit,365
alkohol,366
podnikatelský,367
člun,368
koš,369
taťka,370
volant,371
příkaz,372
navržený,373
bateriový,374
oběd,375
pracovny,376
konektor,377
kytaru,378
motorku,379
vyspělý,380
prohlížeče,37
obal,381
kreslený,382
hračky,334
pravopis,383
trh,384
kůň,385
elektrotechnický,386
videokameru,321
uložený,387
chlapec,388
analyzátor,389
generátor,390
adaptér,391
skříň,333
vypínat,275
disku,16
bankomatu,43
iphone,392
zvuk,393
školní,394
programy,90
kalkulačky,154
přenosné,27
skutečný,395
testovaný,396
špičkový,397
ekosystém,398
koberec,399
vypnul,275
spotřebiče,52
chlap,400
matematický,401
hotový,402
nejvýkonnější,80
firemní,403
skleník,404
chléb,405
bankovnictví,406
připojením,407
zabudovaný,408
restart,409
průměrný,410
pojízdný,411
útok,412
skupinový,413
reálný,414
jablečný,415
paměť,295
kancelář,416
prémiový,417
starej,418
měnič,419
klíč,420
připojená,22
časovač,421
kabelový,422
miniaturní,423
programátora,246
reproduktory,283
ethernet,424
bezpečný,425
šatník,426
dotazník,427
snowboard,428
běžící,429
tréninkový,430
síť,349
maily,431
model,432
připravený,433
posilovač,434
hackerů,34
test,435
instalován,436
strýček,437
oblek,438
snímač,439
skútr,440
vektor,441
tenký,442
pokročilý,443
tatínek,444
připojení,407
přehrávače,26
stolního,63
ovladatelný,445
orloj,446
stromeček,447
internetovou,77
serveru,24
knihovnu,448
teploměr,449
zásuvku,450
poštu,451
budík,452
magnetický,453
americký,454
obyčejný,455
tým,456
lístek,457
rozhlas,458
roboti,39
skříňku,459
kompresor,460
upgrade,461
synek,462
značkový,463
dřevěný,464
mladík,465
tiskárny,28
čtečku,466
učitel,467
nějaký,468
úsporný,469
koník,470
průmysl,471
nastavený,472
domeček,473
nůž,474
pomyslný,475
plastový,476
časopis,477
hrnec,478
profesionál,479
computing,480
veřejný,481
nainstaloval,145
modul,482
výdělek,483
zálohu,484
život,485
psacího,70
konfigurovat,486
přívěs,487
soubory,488
hrneček,478
rodič,489
sešity,365
operačním,67
organizmus,490
šachy,491
komiks,492
dálkový,493
správce,494
zastaralý,495
televizorem,9
diskety,496
specializovaný,497
hrníček,498
klon,499
průmyslový,500
protokol,501
takový,502
vláček,503
úložný,504
prototyp,505
vysílač,506
nefungoval,507
tisk,508
zapnout,310
multimetr,509
chod,510
prázdný,511
internetové,77
projekt,41
fotbálek,329
zdroj,512
zapojený,513
strejda,514
kterýkoliv,515
banán,516
někdo,517
airbag,518
souborového,31
připojeného,22
vektorový,519
periferní,520
vypnuté,66
obytný,521
kuchyňský,522
samotný,523
vybraný,524
pokojíček,525
sdílený,526
jazyk,527
virem,109
porty,528
heslo,529
stole,48
zralý,530
ledničky,100
sítě,349
vyhrazený,531
čtenářský,532
diagnostický,533
hotelový,534
vypne,275
krabičku,535
cukr,536
provoz,537
šroubovák,538
proudový,539
tester,540
dron,541
palcový,542
důchod,543
tuzemský,544
stát,545
vytvořený,546
prostředek,547
softwarového,10
kartu,548
antivirové,20
disky,16
deštník,549
nefunkční,550
experiment,551
socialismus,552
serverů,553
mobilního,42
nosič,554
aktualizovaný,555
elektrárnu,556
strom,557
ransomware,558
programový,559
mechanizmus,560
nemocný,561
kout,562
tlustý,563
motorový,564
dotyčný,565
servery,566
bojler,567
výkon,568
hokej,569
hardwarovou,227
televizí,194
síťové,65
ukrást,570
génius,571
spínač,572
klienta,124
elektrospotřebiče,573
zásuvce,450
telefonování,574
sovětský,575
zapne,310
myčku,576
okno,577
informatice,578
hudbu,579
strojek,8
věšák,580
použitý,581
jakýkoliv,582
alarm,583
interaktivní,584
tunel,585
rámeček,586
zapnutí,587
šicí,588
jednotlivý,589
elektronickou,71
vědec,590
offline,591
upgradovat,592
student,593
dokovací,594
šifrování,595
šifrovací,596
pacient,597
práci,598
komunismus,599
neoprávněný,600
placený,601
sýr,602
plakát,603
učebně,211
československý,604
médium,605
ovladače,40
letadlo,606
trénink,607
mazlíček,608
domácí,609
idiot,610
raketoplánu,86
výtvor,611
oděv,612
nabíječkou,306
spolužák,613
záznam,614
jeden,615
hry,616
novodobý,617
letoun,618
košík,619
umělec,620
informatika,578
přehrávačem,26
dekodér,621
měřič,622
každý,623
modemu,624
nádor,625
miláček,626
grafiku,627
klavír,628
dítko,629
zabezpečení,630
automobily,21
detektor,631
citlivý,632
nenáročný,633
elektřinu,634
fyzicky,635
operačního,67
zařízení,636
výrobek,637
kluk,638
obývací,639
sekačku,640
kámen,641
vrtulník,642
radar,643
kotel,644
balkón,645
hráč,646
kapitalismus,647
kdokoli,648
šlehač,649
napájením,650
padák,651
lidský,652
kontejner,653
napájení,654
záložní,655
přídavný,656
řídící,657
monitorů,15
sál,658
blog,659
používáte,660
reset,661
infarkt,662
úřad,663
domek,664
koncept,665
stolem,48
kanál,666
most,667
požadovaný,668
hliníkový,669
auta,122
kvalifikovaný,670
člověka,94
elektronikou,69
vodovod,671
smartphony,17
senzor,672
uživatelů,82
plán,673
diskové,674
tenhle,675
interiér,676
metabolismus,677
obchod,678
mikrovlnka,679
přenosnou,27
hrnek,498
vzdálený,680
přijímače,58
deníček,681
vozidlo,682
dolar,683
balíček,684
pokladna,345
hlasový,685
filtr,686
zrcadlo,687
fén,688
android,689
řidičský,690
vysokorychlostní,691
switch,692
šikovný,693
chytřejší,55
uživatelé,82
automobilový,694
dat,695
certifikát,696
kdokoliv,697
rodinný,698
vaše,50
periferie,699
pomocník,700
prostorový,701
všestranný,702
kurzor,703
učebna,211
odšťavňovač,704
věk,705
centrál,706
pracovník,707
socialistický,708
antivirů,709
operátor,710
paměťový,711
řidič,712
opuštěný,713
kupon,714
konektivitu,715
rozpočet,716
plášť,717
společník,718
deník,681
notes,719
nápoj,720
tichý,721
pořádný,722
položený,723
policista,724
transformátor,725
tvůj,726
poklad,727
pokyn,728
prostor,729
postižený,730
nakrájený,731
kalkulátory,732
použitelný,733
zničený,734
zapínat,310
milionář,735
firmware,736
vypíná,737
ohřívač,738
kognitivní,739
poskytnutý,740
kabelem,223
přenosná,27
kanceláři,416
palác,741
náročný,742
informatik,578
dotykovou,743
hru,616
běžecký,744
živý,745
klíně,746
ten,747
produktivní,748
kartáček,749
rychlý,750
pohon,751
ekonomický,752
intelekt,753
chráněný,754
webovou,59
akumulátorový,755
vzdáleně,756
daný,757
mobilem,14
prádlo,758
regulátor,759
chlapík,760
čipy,72
poker,761
skeneru,762
telefonu,12
protějšek,763
takovýto,764
kapitál,765
vědecký,766
sofistikovaný,767
robota,39
kovový,768
paušál,769
obličej,770
programovat,771
virtualizaci,772
přípojku,773
vodič,774
routery,775
rádiový,776
žehlička,777
tarif,778
blbej,779
spotřebitel,780
upgradu,781
hardwarového,227
astronomický,782
příbor,783
budovu,784
manžel,785
rozvrh,786
surfování,787
účty,136
soubor,488
atlas,788
tento,789
pakety,790
tempomat,791
spotřebu,792
koníček,793
zákaznický,794
šuplík,795
děcka,796
dítě,797
ovládat,798
míček,799
stejnosměrný,800
zabezpečovací,801
slovníky,141
kamenný,802
emaily,803
tank,804
občan,805
kombinovaný,806
graf,807
laserový,808
čistý,809
podstavec,810
elektromotor,811
klíček,812
odpojit,813
pohovor,814
batůžek,260
komp,815
kávovaru,36
kino,816
nápad,817
filmový,818
postroj,819
editor,820
samopal,821
malwaru,131
nevinný,822
čaj,823
odborník,824
vlastníte,825
bazén,826
okamžik,827
soused,828
licenci,829
všechen,830
jaderný,831
sestrojil,832
běžet,833
basketbalový,834
daňový,835
kosmonauta,836
slušný,837
kompakt,838
svačinu,839
nečinnosti,840
techniku,841
pohádkový,842
dědeček,843
astronaut,844
fotoaparáty,30
skenování,845
softwarová,10
měřicí,846
připojenou,22
nejede,847
napaden,848
benzínový,849
odpojí,813
elektrickou,120
autosalon,850
programování,851
připojíte,852
samostatný,853
pozemský,854
držák,855
syntezátor,856
úkol,857
nákup,858
rozhlasový,859
trouba,860
žehličku,777
telefonní,861
ventilátoru,96
klimatizaci,862
komunikační,863
externí,864
normalizovaný,865
příslušný,866
skript,867
kolega,868
praktický,869
přenos,870
bankovní,871
jeřáb,872
zabezpečením,630
vrtačka,873
film,874
zrak,875
kalkulačka,154
sálové,876
nehmotný,877
autorizovaný,878
telekomunikační,879
elektrotechniku,880
mód,881
akademický,882
alternátor,883
neziskový,884
sluchátkový,885
klubový,886
skříni,333
zapnuté,887
barevný,888
celozrnný,889
data,296
linuxové,890
složitý,891
vysněný,892
informatiky,578
programátoři,246
telefonický,893
cizí,894
králík,895
vypněte,275
odpadkový,896
komplet,897
google,898
ruský,899
akcelerátor,900
zabavit,901
kandidát,902
ovladačem,40
rozhraním,903
bytový,904
načte,905
mateřský,906
televizní,907
poplatník,908
městský,909
zapíná,910
platební,911
propadák,912
demokratický,913
technologický,914
schopný,915
obličejový,916
uzel,917
termostat,918
tělocvičnu,919
matematiku,920
míč,921
konzolí,922
display,923
registr,924
ručník,925
neviditelný,926
jedinec,927
hlas,928
podnikové,107
diskem,16
symetrický,929
jugoslávský,930
terminály,56
stroji,8
kurz,931
virů,109
výběrový,932
prohlížečem,37
filmy,874
nepoužíváte,660
kartáč,933
tabletů,934
miláčka,626
čistič,935
krást,570
algoritmy,133
český,936
síťovým,65
řádný,937
protivník,938
tištěný,939
elektrotechnika,940
hamburger,941
proud,942
dokument,943
telefonát,944
chladničku,945
firewally,946
falešný,947
prach,948
adware,949
tiskárně,28
mrazák,950
dluhopis,951
rozpočtový,952
skromný,953
čtenář,954
kosmonaut,836
sestrojit,955
odkudkoliv,956
sedíte,957
počítačovými,4
restartu,958
programovací,959
box,960
něčí,961
telefonem,12
příjem,962
sluch,963
koláč,964
nabíječka,306
animovaný,965
nákladný,966
zálohování,967
skype,968
cloud,969
stan,970
žaludek,971
autě,122
peníze,972
instalovat,436
močový,973
baterka,974
plošný,975
bezdrátové,976
zavlažovací,977
maloobchod,978
formát,979
raketový,980
salát,981
vestavný,982
vyvinutý,983
hodinky,984
panelový,985
nezávislý,986
stromek,987
pracujícího,988
spacák,989
styl,990
maličký,991
proces,992
tvor,993
zapomenutý,994
kluzák,995
zvonek,996
konfiguraci,997
nejeden,998
kalendář,999
gril,1000
hardwarových,227
systémy,78
klávesy,1001
stvořený,1002
vibrátor,1003
grafika,627
plánovaný,1004
designový,1005
didaktický,1006
business,1007
červ,1008
malej,1009
tábor,1010
zakoupen,1011
web,1012
cvičný,1013
koupelnu,1014
snímek,1015
zařízením,636
poč,1016
periferií,699
tranzistory,317
správně,1017
pokoji,123
baterky,974
vývar,1018
používaný,1019
unavený,1020
potřebný,1021
pronajatý,1022
informační,1023
oblíbený,1024
úloh,1025
motorka,379
pomůcky,1026
trávník,1027
autorádio,1028
obsluhovat,1029
pohovku,1030
trpaslíka,1031
kosmické,311
správný,1032
poplatek,1033
víceúčelový,1034
spuštěn,1035
klimatizace,862
přístroji,13
virtuálně,1036
zadaný,1037
zdravotnický,1038
pytel,1039
umělý,1040
partner,1041
hodinový,1042
baterku,974
pracovitý,1043
zpravodajský,1044
učitele,467
národ,1045
jednotku,1046
jiný,1047
paket,1048
kupón,1049
doklad,1050
širokoúhlý,1051
hokejový,1052
pracovna,376
platformu,1053
chlebíček,1054
vlastní,1055
orgán,1056
domova,274
propojený,1057
rozložený,1058
obrněný,1059
podvozek,1060
sám,1061
připojit,852
zvířegril,1062
knihovník,1063
jediný,1064
klíče,420
stojánek,160
financí,1065
plochý,1066
tlakový,1067
dospělý,1068
licence,829
kráječ,1069
