slovo,poradi
televize,1
televizi,1
televizí,1
televizní,2
televizory,3
rádia,4
vysílání,5
rozhlasu,6
televizor,3
pořadů,7
rozhlas,6
obrazovky,8
veřejnoprávní,9
televizorů,3
televizoru,3
televizích,1
televizního,2
pořady,7
odvysílala,10
kabelové,11
obrazovkách,8
pořadu,7
vysílala,12
kabelová,11
odvysílá,13
rozhlasové,14
rádio,4
pořad,7
lednice,15
seriály,16
moderátorka,17
moderátorky,17
zpravodajství,18
videohry,19
vysílat,12
televizím,1
zpravodajská,20
média,21
stanice,22
obrazovek,8
televizních,2
kina,23
kinematografie,24
ledničky,25
internet,26
zpravodajské,20
vysílací,27
počítače,28
obrazovku,8
televizorem,3
obrazovce,8
reklamy,29
reportérka,30
vysílá,12
obýváku,31
diváky,32
plazmové,33
rádií,4
noviny,34
lednička,25
talkshow,35
obrazovka,8
seriálů,16
médií,21
filmy,36
obrazovkou,8
natáčela,37
internetová,38
rozhlasová,14
digitalizace,39
internetové,38
reportáže,40
kamery,41
satelitní,42
vysíláním,5
internetu,26
pohovky,43
pračka,44
novin,34
rozhlase,6
reportáži,40
televizními,2
veřejnoprávních,9
telekomunikace,45
metropole,46
klimatizace,47
policie,48
kuchyně,49
satelitu,50
rozhlasového,14
seriálová,51
kamerami,41
přijímače,52
domácnosti,53
přenosy,54
divák,32
reportáž,40
kabelovou,11
komnata,55
cenzura,56
spotů,57
elektrospotřebiče,58
redakce,59
počítačové,60
redaktorka,61
producentka,62
mikrovlnka,63
sledovanosti,64
diváka,32
kino,23
moderátoři,65
moderátor,17
multiplexu,66
spoty,67
pohádky,68
videa,69
digitální,70
reklama,29
pořadech,7
digitalizaci,71
pořadem,7
vysílače,72
filmů,36
sdělovací,73
satelit,50
konzole,74
inspekce,75
vysílají,12
sledování,76
plovárně,77
zpravodajského,20
moderátora,17
médium,21
nejsledovanější,78
gauči,79
banka,80
pračky,44
společnosti,81
reportér,30
komentátor,82
telekomunikační,83
aerolinie,84
pornografie,85
gauč,79
publicistiky,86
počítač,28
vláda,87
natáčení,88
radia,89
filmové,90
agentury,91
stanic,22
radio,4
kanálu,92
fotbalová,93
show,94
přenosů,54
rádiu,4
vysílající,12
reklamě,29
relace,95
monitory,96
vysílacích,27
monitorů,96
natočila,97
seriál,16
přehrávače,98
cenzury,56
služba,99
divákům,32
novináře,100
tiskárny,101
reklamu,29
moderátorů,17
celoplošné,102
filmová,90
prezentace,103
pohovka,43
revoluce,104
kamerové,105
analogové,106
vysíláno,107
hudby,108
časopisy,109
lenošení,110
