slovo,poradi
aktuální,1
nejaktuálnější,1
momentální,2
konkrétní,3
aktuálně,4
aktuálního,1
nejnovější,5
relevantní,6
aktuálních,1
současné,7
neaktuální,8
aktuálním,1
aktualizované,9
aktualizovaná,9
dosavadní,10
výchozí,11
stávající,12
nejčerstvější,13
dřívější,14
informace,15
přehled,16
aktuálnímu,1
detailní,17
nynější,18
podrobné,19
současnou,7
reflektuje,20
poslední,21
kompletní,22
optimální,23
měnící,24
současná,7
dnešní,25
reálné,26
vypovídající,27
komplexní,28
původní,29
roční,30
podrobnější,19
budoucí,31
další,32
aktualizovaný,9
oficiální,33
sledující,34
alternativní,35
předchozí,36
následující,37
globální,38
objektivní,39
zajímavé,40
veškeré,41
atraktivní,42
potenciální,43
platné,44
dané,45
obecnější,46
individuální,47
nové,5
aktuálními,1
existující,48
stěžejní,49
nejrůznější,50
základní,51
skutečné,52
letošní,53
neoficiální,33
procentuální,54
standardní,55
zobrazující,56
přesné,57
exkluzivní,58
situaci,59
vybrané,60
legislativní,61
změněné,62
historické,63
informativní,64
reagující,65
současný,7
mapující,66
shrnující,67
denní,68
nadcházející,69
souhrnné,70
sezónní,71
úvodní,72
dobové,73
extrémní,74
minulé,75
zásadní,76
její,77
průběžné,78
subjektivní,79
včerejší,80
plánované,81
specifické,82
koncepční,83
reflektují,84
novinky,85
podrobná,19
nejzajímavější,40
přehledné,86
připravované,87
vybraná,60
aktualizovat,88
stav,89
zohledňující,90
situace,59
zobrazuje,56
zachycující,91
dlouhodobější,92
aktualizuje,88
adekvátní,93
ekonomické,94
nejlepší,95
moderní,96
negativní,97
proměnlivé,98
tradiční,99
očekávané,100
páteční,101
určité,102
hlavní,103
pozitivní,104
požadované,105
tržní,106
čerstvé,13
minimální,107
tristní,108
nejžádanější,109
ukazující,110
akční,111
nejbližší,112
detailnější,17
nedávné,113
počáteční,114
zvolené,115
trendy,116
celkové,117
originální,118
aktuality,119
nepříznivé,120
provozní,121
osobní,122
sledujte,123
zjištěné,124
pracovní,125
loňské,126
stručné,127
popisující,128
reálný,26
každoroční,129
relativní,130
unikátní,131
úterní,132
probíhající,133
praktické,134
mimořádné,135
dílčí,136
aktuálnost,137
fundamentální,138
dění,139
příslušné,140
inspirativní,141
odpovídající,142
nadčasové,143
kontroverzní,144
týdenní,145
témata,146
potencionální,147
rozsáhlejší,148
netradiční,99
podrobný,19
jakékoli,149
průměrné,150
možnou,151
přetrvávající,152
zhoršující,153
čtvrteční,154
perspektivní,155
evidentní,156
případné,157
prezentované,158
nastávající,159
alarmující,160
nejdůležitější,161
problematické,162
předcházející,163
bezprostřední,164
platnou,44
převládající,165
zveřejňované,166
zlepšující,167
demografické,168
bezkonkurenční,169
jedinečné,170
obdobné,171
události,172
finální,173
přehledy,16
chybějící,174
povětrnostní,175
odrážející,176
skutečnou,52
prvotní,177
zdravotní,178
životní,179
doplňující,180
aktivní,181
všechny,182
novější,5
kritické,183
pravděpodobné,184
existenciální,185
dlouhodobé,92
přesný,57
orientační,186
soudobé,187
maximální,188
tehdejší,189
konkrétnější,3
fascinující,190
jakékoliv,191
ohledem,192
podrobnou,19
žhavé,193
pondělní,194
dynamické,195
návaznosti,196
závažné,197
finanční,198
podstatné,199
očekávanou,100
kritický,183
eventuální,200
čerstvá,13
paradoxní,201
obsáhlé,202
