slovo,poradi
stejný,1
stejnej,2
obdobný,3
podobný,4
shodný,5
tentýž,6
totožný,7
stejné,1
stejny,8
samý,9
identický,10
odlišný,11
stejná,1
jiný,12
opačný,13
společný,14
stejnou,1
obvyklý,15
rozdílný,16
stejně,17
takový,18
různý,19
stejných,1
určitý,20
jediný,21
skutečný,22
stejném,1
stejným,1
jinej,23
každý,24
ten,25
nějaký,26
jakýkoli,27
klasický,28
neobvyklý,15
tento,29
velký,30
špatný,31
druhý,32
jednoznačný,33
správný,34
běžný,35
jednotný,36
divný,37
srovnatelný,38
jeden,39
výsledný,40
stejní,1
jasný,41
mimořádný,42
skvělý,43
nový,44
týž,45
zajímavý,46
ohromný,47
totéž,6
jakýkoliv,48
dobrý,49
značný,50
tenhle,51
podivný,52
podstatný,53
nulový,54
specifický,55
takovýto,56
shodné,5
úžasný,57
výjimečný,58
jaký,59
stejného,1
jedinečný,60
dvojnásobný,61
logický,62
dokonalý,63
neskutečný,22
svůj,64
totožné,7
jednoduchý,65
libovolný,66
obrovský,67
přesný,68
klíčový,69
slušný,70
stejn,71
nemalý,72
obyčejný,73
onen,74
výrazný,75
prostý,76
pěkný,77
starý,78
častý,79
reálný,80
nesprávný,34
stálý,81
jako,82
důležitý,83
konečný,84
neznámý,85
celkový,86
krásný,87
žádný,88
rovný,89
stanovený,90
osvědčený,91
opravdový,92
neuvěřitelný,93
hrozný,94
uvedený,95
jistý,96
tragický,97
většinový,98
bezvadný,99
výborný,100
rozdílné,16
výsledek,101
nečekaný,102
nepříjemný,103
vzájemný,104
daný,105
zřetelný,106
samé,9
předešlý,107
pokaždý,108
váš,109
typický,110
přirozený,111
šílený,112
pokaždé,113
stejnými,1
takovej,114
malý,115
minulý,116
náš,117
podstatě,118
zmíněný,119
zachován,120
zřejmý,121
jednotlivý,122
fantastický,123
neurčitý,124
zachovaný,120
pravděpodobný,125
zanedbatelný,126
strašný,127
drobný,128
použitelný,129
víceméně,130
podobně,131
hezký,132
čtvrtý,133
popsaný,134
můj,117
sporný,135
veškerý,136
nekonečný,84
poloviční,137
průměrný,138
přijatelný,139
odlišné,11
tytéž,6
problematický,140
nejasný,41
nesmyslný,141
obrácený,142
pořád,143
úplně,144
celý,145
předepsaný,146
zásadě,147
rovnoměrný,148
princip,149
akorát,150
báječný,151
dostatečný,152
vždy,153
případný,154
zbytečný,155
významný,156
nějakej,157
větší,30
omezený,158
požadovaný,159
příslušný,160
jakýsi,161
identické,10
blbý,162
ojedinělý,163
kterýkoliv,164
vybraný,165
obdobně,166
shodná,5
komplikovaný,167
skoro,168
obdobné,3
přímý,169
použitý,170
příšerný,171
pozoruhodný,172
magický,173
shodně,174
nádherný,175
nepatrný,176
dobrej,49
ukradený,177
veliký,178
silný,179
příjemný,103
tvůj,180
řešený,181
samotný,182
kterýkoli,183
nepřijatelný,139
příznivý,184
přibližně,185
děsivý,186
pravidelný,187
nevelký,30
možný,188
blbej,189
rozdílná,16
rozumný,190
charakteristický,191
oblíbený,192
nepřekonatelný,193
plošný,194
složitý,195
naprostý,196
divnej,197
záhadný,198
normální,199
zamýšlený,200
oprávněný,201
živý,202
uložený,203
jedinej,21
nízký,204
okamžitý,205
velkej,206
zjevný,207
čtvercový,208
povedený,209
stejnému,1
menší,115
všechen,210
dávný,211
vyrovnaný,212
přítomný,213
nastavený,214
nadčasový,215
neobyčejný,73
zaručený,216
standartní,217
lepší,218
úspěšný,219
symetrický,220
pevný,221
překvapivý,222
trvalý,223
zavedený,224
ostrý,225
takovýhle,226
mužský,227
každej,228
smrtelný,229
známý,85
bezchybný,230
smysluplný,231
čistý,232
rozšířený,233
neomezený,158
pěknej,234
historický,235
stále,236
potvrzený,237
zhruba,238
samostatný,239
nižší,204
postup,240
stejnojmenný,241
pochopitelný,242
vymyšlený,243
současný,244
plný,245
ztracený,246
myšlenkový,247
definovaný,248
zvětšený,249
přibližný,250
vyšší,251
zapomenutý,252
otevřený,253
působivý,254
vážný,255
vysoký,251
faktický,256
jenom,257
různorodý,258
praktický,259
sledovaný,260
chlup,261
shodných,5
trojúhelníkový,262
hotový,263
časový,264
pátý,265
zvýšený,266
dodatečný,267
věčný,268
použit,170
kladný,269
dvojitý,270
náhodný,271
opakovaný,272
několikátý,273
lichý,274
výhodný,275
žádnej,276
lidský,277
nezaměnitelný,278
skvělej,279
taktéž,280
hladký,281
pohodový,282
ženský,283
vždycky,284
patrný,176
výtečný,285
shodnou,286
řádný,287
cenný,288
dostupný,289
zůstal,290
údajný,291
minimálně,292
prakticky,293
obdobná,3
špičkový,294
záporný,295
standardní,296
chybný,297
závažný,298
marný,299
skromný,300
potřebný,301
horší,302
všichni,210
celosvětový,303
mít,304
znatelný,305
úchvatný,306
bezproblémový,307
využitelný,308
přípustný,309
dvojí,310
dočasný,311
překrásný,312
prodloužený,313
samozřejmě,314
uplně,315
shodném,5
jenomže,316
trapný,317
tajný,318
zjednodušený,319
nutný,320
jednorázový,321
zasloužený,322
původní,323
kritický,324
dosažený,325
dohodnutý,326
doplňkový,327
všude,328
nebývalý,329
uveden,95
nepravidelný,187
aplikován,330
zůstává,331
loňský,332
desátý,333
hodinový,334
nešťastný,335
rozdíl,336
jinak,337
klidný,338
výchozí,339
pojatý,340
modifikovaný,341
totožná,7
hnusný,342
odvozený,343
patřičný,344
středový,345
rychlý,346
očekávaný,347
opět,348
několikanásobný,349
byl,350
nejistý,96
osobitý,351
odlišná,11
užitečný,352
symbolický,353
snadný,354
ostatně,355
rozmanitý,356
zaveden,224
pochopitelně,357
nepoužitelný,358
cílový,359
hodnotný,360
biologický,361
zakázaný,362
používaný,363
dynamický,364
dvojnásobek,365
obdobnou,3
stanoven,90
pouhý,366
rozdělený,367
zbytek,368
spolehlivý,369
geometrický,370
dlouhodobý,371
rozhodující,372
smíšený,373
nezávislý,374
barevný,375
mírný,376
systémový,377
autentický,378
původ,379
rozložený,380
těžký,381
předběžný,382
slavný,383
desetkrát,384
teoretický,385
zdravý,386
technický,387
nebyl,350
exotický,388
falešný,389
plánovaný,390
světový,391
uplatněn,392
hromadný,393
téměř,394
sprostý,395
podrobný,396
problém,397
pořádný,398
zadaný,399
sdílený,400
náročný,401
nepříznivý,184
udělaný,402
důležitější,83
kulatý,403
nedostatečný,152
evropský,404
význam,405
neotřelý,406
stejne,407
než,408
tvar,409
soukromý,410
opačně,411
následný,412
ale,413
pouze,414
nejeden,415
průběžný,416
furt,417
tak,418
atypický,419
ověřený,420
zmiňovaný,421
oba,422
jedno,39
sympatický,423
tutéž,6
schovaný,424
vyvážený,425
takovy,426
normálně,427
čtyřikrát,428
předpokládaný,429
evidentní,430
nesrovnatelně,431
ukázkový,432
datový,433
silnější,179
blízký,434
jinde,435
kruhový,436
vášnivý,437
částečný,438
odporný,439
přiměřený,440
pohodlný,441
teplý,442
ovšem,443
významový,444
bodový,445
mrtvý,446
nápadný,447
volný,448
přece,449
nesmysl,450
skrytý,451
jiny,452
podmíněný,453
číselný,454
děsný,455
rozdílnou,16
častější,79
shodným,5
plnohodnotný,456
vhodný,457
atmosférický,458
zvláštní,459
neustálý,460
mnohem,461
odborný,462
krvavý,463
obdélníkový,464
podpůrný,465
nenápadný,447
nadprůměrný,466
splněný,467
drahý,468
modelový,469
snížený,470
cenový,471
politický,472
úspěch,473
každém,24
oddělený,474
šťastný,335
zaručen,216
zjištěn,475
kmenový,476
složitější,195
taky,477
vcelku,478
aplikovaný,479
jakej,480
mechanický,481
hospodářský,482
přesvědčivý,483
povolený,484
dramatický,485
uvolněný,486
nezávisle,487
bláznivý,488
pravý,489
zákonný,490
podobnou,4
mají,304
parádní,491
jiná,12
vadný,492
temný,493
nezměnil,494
závazný,495
bezpečný,496
den,497
úměrný,498
kvalitnější,499
osud,500
vymezený,501
zásadní,502
všeobecný,503
originální,504
stoprocentní,505
plochý,506
smutný,507
nejenom,508
názor,509
tedy,510
rychlejší,346
malinký,511
sice,512
nejspíš,513
tisíckrát,514
rozdílem,336
vzácný,515
dvojnásobně,516
úplný,517
existoval,518
počet,519
slabý,520
platí,521
nepoškozený,522
tajemný,523
tuhý,524
minimální,525
nepřímý,526
designový,527
znám,85
nezbytný,528
instalovaný,529
trojnásobný,530
každopádně,531
třikrát,532
ekonomický,533
automatický,534
vtipný,535
společné,14
měl,304
souhrnný,536
celej,537
získaný,538
optimalizovaný,539
nalezený,540
povinný,541
náboženský,542
věrný,543
zase,544
veřejný,545
finálový,546
zlý,547
vylepšený,548
nezapomenutelný,549
vyřešen,550
doporučený,551
válcový,552
kouzelný,553
konstantní,554
poctivý,555
účinný,556
odlišně,557
přinejmenším,558
upravený,559
levný,560
jiném,12
koupený,561
přebytečný,562
realizovaný,563
být,350
efekt,564
novej,565
týmový,566
vlastně,567
cílený,568
necelý,145
obtížný,569
poněkolikáté,570
pomalý,571
statický,572
jmenovaný,573
podobná,4
skupinový,574
nevýrazný,575
nemožný,188
neúspěšný,219
podobné,4
desetiletý,576
estetický,577
nemění,578
výhodnější,275
obdobným,3
viditelný,579
pravdivý,580
přesně,581
svérázný,582
zajištěný,583
odlišným,11
obecný,584
naprosto,585
jemný,586
integrovaný,587
způsob,588
konzistentní,589
rozdílně,590
obdélný,591
podezřelý,592
nepřetržitý,593
nebezpečný,496
zřejmě,594
uzavřený,595
zábavný,596
poznatek,597
hlavní,598
dlouholetý,599
kulový,600
sdílejí,601
účel,602
standardně,603
samí,9
docela,604
proměnlivý,605
vítězný,606
prémiový,607
oboustranný,608
rostlinný,609
růstový,610
rozsáhlý,611
nicméně,612
svuj,613
uváděný,614
základ,615
zdařilý,616
paměťový,617
vesměs,618
víc,619
napínavý,620
etický,621
mohutný,622
přijatelnější,139
zrychlený,623
hluboký,624
opakuje,625
přístup,626
bezejmenný,627
katastrofální,628
spravedlivý,629
čtenářský,630
obnovený,631
zcela,632
podstatně,633
dosažen,325
diametrálně,634
léčebný,635
asymetrický,636
dávno,637
tatáž,6
obráceně,638
starém,78
opakoval,625
pocit,639
účinek,640
nepatrně,641
chemický,642
uložen,203
dělaný,643
sdílí,601
identická,10
jen,644
delší,645
stejnì,646
protáhlý,647
komplikovanější,167
odpovídající,648
dělený,649
kaţdý,650
průběh,651
krásnej,652
takřka,653
velkolepý,654
nepoužitý,655
přizpůsobený,656
funguje,657
propojený,658
zářivý,659
hloupý,660
různou,19
nejlepší,661
předchozí,662
běžnější,35
zaoblený,663
žhavý,664
chladný,665
pohádkový,666
smysl,667
běžné,35
kopíruje,668
pozemský,669
anatomický,670
ještě,671
tvrdý,672
realistický,673
sladký,674
šestý,675
nadějný,676
terapeutický,677
zesílený,678
zastaralý,679
jisté,96
fakt,680
dva,681
cíl,682
členitý,683
řídký,684
dvakrát,685
dlouhý,645
výchovný,686
tvarovaný,687
přitažlivý,688
běžně,689
nastaven,690
optický,691
zakoupený,692
krátký,693
příznivější,184
spíš,694
také,695
neviditelný,579
optimální,696
strategický,697
obdobného,3
vývojový,698
ošklivý,699
většině,700
odlišnou,11
opuštěný,701
označený,702
nadměrný,703
první,704
dán,705
nechráněný,706
harmonický,707
kdejaký,708
kupodivu,709
stylový,710
dřívější,711
zůstane,290
navrhovaný,712
takže,713
přitom,714
technologický,715
nehledě,716
připojený,717
fuk,718
pomocný,719
psychologický,720
zaznamenán,721
citlivý,722
úspěšnější,219
důsledek,723
využívaný,724
zvukový,725
nahraný,726
uznávaný,727
zůstával,331
vzniklý,728
kvalitativně,729
následující,730
druhej,32
bohužel,731
přísný,732
asijský,733
hezčí,132
tropický,734
asi,735
tudíž,736
koncept,737
božský,738
obdobném,3
obě,422
hodný,739
perfektní,740
podíl,741
naplánovaný,742
vícekrát,743
ekvivalentní,744
protože,745
existuje,518
objednaný,746
odděleně,747
etnický,748
bejt,350
činný,749
vytvořený,750
všechny,210
dodržen,751
rozdílných,16
obsah,752
nyní,753
věrohodný,754
zázračný,755
zajímavější,46
bezkonkurenční,756
dražší,468
kratší,693
značkový,757
zapojený,758
složený,759
propracovaný,760
izolovaný,761
nepostradatelný,762
vyhrazený,763
podélný,764
prázdný,765
znovu,766
přidaný,767
nadále,768
připravený,769
užívaný,770
lhostejný,771
zkrátka,772
známe,773
prostorový,774
tepelný,775
neexistuje,518
dokonalejší,63
nákladný,776
těsný,777
vyprodaný,778
položený,779
přísnější,732
fyzický,780
obrazový,781
rozbitý,782
předcházející,783
genetický,784
kilometrový,785
spojený,786
ekologický,787
ukrytý,788
snad,789
vzorový,790
různém,19
napsaný,791
umístěný,792
rovnocenné,793
obdobných,3
tentokrát,794
nestandardní,795
vliv,796
poslední,797
koncový,798
posvátný,799
téže,45
vložený,800
krutý,801
opravený,802
horký,803
ohledu,804
poškozený,805
milion,806
shodovat,286
kopírují,668
určující,807
přechodný,808
chronický,809
nebeský,810
ostatní,811
novodobý,812
poutavý,813
stokrát,814
vloni,815
zvyklý,816
někdo,817
závislý,374
mladý,818
vzdálený,819
zdánlivý,820
opačným,13
zpětný,821
propracovanější,760
masový,822
hygienický,823
případ,824
romantický,825
věcný,826
obvyklé,15
tupý,827
novější,44
nabízený,828
rovněž,829
povrchový,830
