slovo,poradi
zajímat,1
zajímá,1
zajímal,1
zajímají,1
zajímala,1
zajímaly,1
bavit,2
zajímali,1
ptát,3
zaměřovat,4
informovat,5
zajímalo,1
angažovat,6
zaměřit,7
zvažovat,8
zkoumat,9
zabývat,10
podporovat,11
přesvědčovat,12
uvažovat,13
starat,14
objevovat,15
přitahovat,16
přemýšlet,17
lákat,18
myslet,19
představovat,20
jednat,21
nezajímá,1
sledovat,22
ovlivňovat,23
zjišťovat,24
projevovat,25
nezajímají,1
studovat,26
vědět,27
usilovat,28
probírat,29
znamenat,30
preferovat,31
rozebírat,32
oslovit,33
vztahovat,34
diskutovat,35
překvapit,36
obtěžovat,37
trápit,38
prověřovat,39
soustředit,40
zajímám,1
zmiňovat,41
zlobit,42
řešit,43
popisovat,44
těšit,45
bát,46
vnímat,47
upozorňovat,48
bavilo,2
poznávat,49
spekulovat,50
všímat,51
následovat,52
kontaktovat,53
milovat,54
vyvíjet,55
vyšetřovat,56
kritizovat,57
inspirovat,58
obávat,59
vadit,60
postihnout,61
pokoušet,62
napadat,63
mluvit,64
znát,65
seznamovat,66
varovat,67
napadlo,63
věnovat,68
zajímavé,69
debatovat,70
hledat,71
ohrožovat,72
týkat,73
motivovat,74
čekat,75
učit,76
shromažďovat,77
snažit,78
potěšit,79
zahrnovat,80
připravovat,81
navštěvovat,82
líbit,83
napadnout,63
ovlivnit,84
posuzovat,85
uvědomovat,86
zatěžovat,87
otravovat,88
propagovat,89
pamatovat,90
zajímathttps,91
poprosit,92
dozvědět,93
prosazovat,94
zajímavější,69
zeptat,95
hovořit,96
odlišovat,97
spolupracovat,98
doprovázet,99
dívat,100
psát,101
rozhodovat,102
pronásledovat,103
vzdělávat,104
nacházet,105
vyprávět,106
zpochybňovat,107
objevit,108
zajímáte,1
strašit,109
hodit,110
vysvětlovat,111
chápat,112
zohledňovat,113
postarat,114
nenávidět,115
chtít,116
důležitější,117
povídat,118
vás,119
vyhledávat,120
reprezentovat,121
vyžadovat,122
domnívat,123
pozorovat,124
dovědět,125
přínosem,126
pracovat,127
zaujmout,128
komplikovat,129
působit,130
číst,131
zklamat,132
upozornit,133
doporučovat,134
spoléhat,135
jmenovat,136
přesvědčit,137
prezentovat,138
hlídat,139
začít,140
zájem,141
odkazovat,142
dít,143
zaujalo,128
orientovat,144
ukazovat,145
rozvíjet,146
zkoušet,147
kontrolovat,148
sbírat,149
směřovat,150
bolet,151
tvořit,152
seznámit,153
existovat,154
překvapí,36
pátrat,155
chránit,156
nabízet,157
zaujme,128
důležité,117
šetřit,158
potřebovat,159
shánět,160
dělat,161
oslovovat,162
projevit,163
mít,164
zastupovat,165
respektovat,166
nenapadne,63
ignorovat,167
specifikovat,168
zvážit,169
využívat,170
baví,2
říkat,171
tlačit,172
nutit,173
fungovat,174
naučit,175
skrývat,176
zasáhnout,177
reagovat,178
zaujmou,128
poznat,179
hádat,180
provokovat,181
zapojovat,182
ohrozit,183
rušit,184
obracet,185
připomínat,186
nastat,187
nenapadlo,63
zaujala,128
představit,188
praktikovat,189
označovat,190
komentovat,191
rozhodnout,192
vzpomínat,193
projednávat,194
zdůrazňovat,195
očekávat,196
intenzivněji,197
převažovat,198
soutěžit,199
podceňovat,200
potkat,201
užitečnější,202
zaměří,7
napadne,63
ucházet,203
přicházet,204
lákalo,18
pochybovat,205
ocenit,206
uznávat,207
souviset,208
vybírat,209
divit,210
ubírat,211
jít,212
spojovat,213
prozkoumat,214
vážit,215
pečovat,216
ovlivní,84
vypadat,217
rozepisovat,218
stíhat,219
zhoršovat,220
zjistit,221
docházet,222
požádat,223
analyzovat,224
zaujal,128
podívat,225
přínosné,226
poučit,227
způsobovat,228
uplatňovat,229
nepřekvapí,230
pochopit,231
provázet,232
rozlišovat,233
řídit,234
potkávat,201
předpokládat,235
napadá,236
soudit,237
mapovat,238
zachraňovat,239
naznačovat,240
zaznamenávat,241
koukat,242
reflektovat,243
přestat,244
dohadovat,245
vznikat,246
brát,247
podpořit,248
požadovat,249
zohlednit,113
otevírat,250
zobrazovat,251
žádat,252
pohlížet,253
tvářit,254
urážet,255
dostávat,256
zařazovat,257
rozšiřovat,258
poptat,259
prozradit,260
škodit,261
uvádět,262
vypisovat,263
zlepšovat,264
pomýšlet,265
vyskytovat,266
vyhodnocovat,267
záviset,268
obdivovat,269
vést,270
zdokonalovat,271
napodobovat,272
tušit,273
vypovídat,274
svádět,275
scházet,276
stydět,277
navrhovat,278
útočit,279
uvědomit,280
přispívat,281
počítat,282
výhodnější,283
vykládat,284
pokusit,285
ztrácet,286
akceptovat,287
přimělo,288
dělit,289
poškozovat,290
vydávat,291
prosit,92
točit,292
svědčit,293
prohlížet,294
publikovat,295
nabídnout,296
navštívit,297
formovat,298
podělit,299
dráždit,300
poslouchat,301
rozpoznávat,302
nazývat,303
zajímavá,69
prověřit,304
nakupovat,305
přibližovat,306
monitorovat,307
nasměrovat,308
programovat,309
přijít,310
pozvat,311
potěšilo,79
ovlivnila,84
vydírat,312
nahlížet,313
dotknout,314
trápí,38
určovat,315
výhodné,283
podrobněji,316
vyučovat,317
vycházet,318
hodnotit,319
platit,320
ptáte,3
zveřejňovat,321
zaměříme,7
poškodit,290
zaměřil,7
jistě,322
hledět,323
vyjadřovat,324
zaznamenat,325
obohatit,326
odradit,327
vymýšlet,328
sportovat,329
říci,330
získávat,331
ovlivnily,84
živit,332
prodiskutovat,35
zvědaví,333
setkávat,334
radit,335
zájmem,141
potěší,79
nudit,336
zdát,337
stačit,338
podílet,339
doplňovat,340
rozdělovat,341
zaskočit,342
brzdit,343
chystat,344
mohlo,345
láká,18
posoudit,346
chválit,347
organizovat,348
dokumentovat,349
sdružovat,350
odvíjet,351
překvapilo,36
obsahovat,352
pohlídat,139
zahrnout,353
nenapadá,354
experimentovat,355
bránit,356
konzultovat,357
vyskytnout,266
vzbudit,358
patřit,359
plánovat,360
přimět,288
přinutit,361
nalákat,362
přiblížit,306
mrknout,363
stěžovat,364
zkusit,365
odkázat,142
jevit,366
informuje,5
pokračovat,367
umět,368
prostudovat,369
dařit,370
hrát,371
chybět,372
produkovat,373
chodit,374
považovat,375
přesvědčí,137
dohlížet,376
profitovat,377
obrátit,378
také,379
podrobně,316
pravděpodobně,380
říct,330
nadchla,381
odpovídat,382
odmítat,383
definovat,384
povzbudit,385
vysvětlit,386
dbát,387
stresovat,388
narazit,389
zamyslet,390
ujistit,391
používat,392
předstírat,393
testovat,394
propojovat,395
blížit,396
nebavilo,2
sdělovat,397
stavět,398
litovat,399
formulovat,400
překvapuje,401
cestovat,402
vyzkoušet,403
seznámí,153
ovlivnilo,84
dočíst,404
nastínit,405
iniciovat,406
trénovat,407
informovali,5
obcházet,408
polemizovat,409
plést,410
lákala,411
zakládat,412
zmínit,41
rozumět,413
tvrdit,414
účinkovat,415
zmapovat,416
rádi,417
poučí,418
určitě,419
zasahovat,420
poznamenat,421
upoutat,422
naučí,175
utrácet,423
dozvíme,93
pomáhat,424
odrážet,425
komunikovat,426
zajímavý,69
závidět,427
zaměřili,7
zavádět,428
argumentovat,429
zpracovávat,430
přispět,431
ovlivnil,84
vyjednávat,432
spočívat,433
oslovila,33
opírat,434
počkat,435
pravděpodobné,436
nevidět,437
porovnávat,438
postaráno,439
omezovat,440
odhalovat,441
dotýkat,314
připravit,442
důležitá,117
lišit,443
měnit,444
dominovat,445
porušovat,446
těžit,447
být,448
oslovil,33
prohlubovat,449
zvažují,8
zapojit,182
dozvěděli,93
léčit,450
detailněji,451
dočkat,452
pomoct,453
přihlížet,454
pobavit,455
uklidnit,456
oslavovat,457
zastavovat,458
ujasnit,459
budoucnu,460
nejspíš,461
kouknout,242
konkrétně,462
ukázat,463
napadnou,63
evidovat,464
inzerovat,465
dávat,466
nejzajímavější,69
možná,467
usmívat,468
bavil,2
vylučovat,469
tolerovat,470
pořádat,471
zvědavý,333
pálit,472
fascinuje,473
vhodnější,474
projeví,163
přát,475
překvapením,476
smát,477
ptají,3
uvidí,478
přidávat,479
aplikovat,480
přiměje,288
přečíst,481
krást,482
ochránit,483
pobaví,455
způsobit,484
záležet,485
vidět,437
opakovat,486
nepochybně,487
prohledávat,488
přednášet,489
využít,490
podstatnější,491
nadchnou,381
spadat,492
věřit,493
objasnit,494
přínosný,226
užitečné,202
vyvolávat,495
zapisovat,496
uvažují,13
rozmyslet,497
potrápit,38
neláká,18
padat,498
najít,499
zajišťovat,500
zařadit,257
mířit,501
připomenout,502
dozvědí,93
zdržovat,503
vracet,504
narůstat,505
vystupovat,506
naplňovat,507
znít,508
spolehnout,509
přijímat,510
dopadnout,511
studoval,26
bavily,2
všimnout,51
radovat,512
pohybovat,513
vyrábět,514
zapomínat,515
potěšil,79
volit,516
kupovat,517
stávat,518
přecházet,519
investovat,520
opřít,521
založit,522
křičet,523
ovlivnili,84
dozví,93
překládat,524
přesvědčila,137
pochopitelně,525
nadávat,526
doopravdy,527
nahrávat,528
napadají,236
čeká,75
přinášet,529
stimulovat,530
bavila,2
budovat,531
prodávat,532
děsí,533
naznačit,534
identifikovat,535
chytat,536
vymlouvat,537
zvát,538
zneužívat,539
fotografovat,540
informován,541
chovat,542
intenzivně,197
zanedlouho,543
přehodnotit,544
odhalit,545
nebaví,2
nadchne,381
začínat,546
hýčkat,547
vyloučit,548
podnikat,549
navazovat,550
narušovat,551
záležitosti,552
uvolňovat,553
přesvědčil,137
zaměstnávat,554
donutit,555
uspokojovat,556
trpět,557
rozeznávat,558
zajisté,559
zaměřená,560
míchat,561
sáhnout,562
soupeřit,563
ověřovat,564
přínosná,226
klást,565
klesat,566
nabírat,567
zmást,568
uvést,569
poučné,570
hlásit,571
naslouchat,572
pochybuji,205
přiměla,288
zaměřena,560
zastávat,573
nadchl,381
zacházet,574
učili,76
dozvíte,93
mohly,345
probouzet,575
sledují,22
sloužit,576
namítnout,577
vyhodnotit,267
zásobovat,578
interpretovat,579
zapůsobí,580
zarazilo,581
obávají,59
donutí,555
odvolávat,582
čekají,75
upozornili,133
účastnit,583
zareagovat,584
důležit,585
čekalo,75
obchodovat,586
vliv,587
bojovat,588
přepisovat,589
učil,76
bude,448
dodržovat,590
obával,59
odebírat,591
skloňovat,592
pojmenovat,593
pokrývat,594
ovládat,595
uvítali,596
těší,45
problémem,597
nejspíše,598
odrazuje,599
vyjasnit,600
zvolit,601
lovit,602
vyjímat,603
končit,604
sázet,605
osloví,33
váhat,606
zvažoval,8
nepřestává,607
zážitkem,608
poskytovat,609
znáte,65
vytvářet,610
vyšetřit,611
přivedlo,612
přibývat,613
pořizovat,614
předávat,615
zaměřila,7
důležitý,117
střílet,616
trestat,617
splňovat,618
podrobnější,619
netrápí,620
řadit,621
rozlišit,622
uvažuje,13
zkomplikovat,623
připravujeme,81
probudit,575
mýlit,624
zřejmě,625
pohánět,626
poradit,627
brzy,628
překvapil,36
naučil,175
uvažovali,13
diskutuje,35
ovlivňuje,23
přivést,612
hlasovat,629
vyvážet,630
aktivně,631
odlišit,97
okouzlí,632
pociťovat,633
dovážet,634
výhodná,283
slyšet,635
myslíte,19
vybrat,636
vlastnit,637
hýbat,638
věděli,27
procházet,639
táhnout,640
rozvinout,641
nominovat,642
malovat,643
postupovat,644
sdělit,397
patrně,645
zaměstnat,646
odradí,327
zodpovídat,647
podepisovat,648
dozvěděl,93
vychovávat,649
ničit,650
zdůraznit,651
souhlasit,652
upozorní,133
poznal,179
čekal,75
nemyslet,19
doufat,653
přesvědčily,137
zná,65
bezpochyby,654
obhajovat,655
vydělávat,656
dojít,657
pojmout,658
provozovat,659
odhadnout,660
vyhledat,661
zachránit,662
složitější,663
chtěli,116
zabírat,664
stanovovat,665
netěší,45
vykašlat,666
zachytit,667
ošetřovat,668
zhodnotit,669
třeba,670
inspirují,58
rozpoznat,302
užitečná,202
hrozit,671
vrhnout,672
ptali,3
promyslet,673
nás,674
zájemce,675
doporučit,676
mělo,164
určit,677
může,345
přilákat,678
samozřejmě,679
rozhodit,680
pronikat,681
dotovat,682
rád,417
chutnat,683
odhadovat,684
problematiku,685
chtěl,116
začal,140
žalovat,686
přiměly,288
popsat,687
vymyslet,688
zainteresované,689
pustit,690
důvěřovat,691
opouštět,692
zastrašit,693
předvídat,694
sleduje,22
optimalizovat,695
promluvit,696
rozeznat,697
zamlouvat,698
schovávat,699
vhodné,474
svést,700
domlouvat,701
upozornil,133
potýkat,702
chystá,703
víc,704
vyslechnout,705
zaměřují,4
trvat,706
skládat,707
zkoumají,9
začalo,140
přistupovat,708
vychutnávat,709
obohatí,326
inspiruje,58
posílat,710
kreslit,711
posilovat,712
udělat,713
muset,714
podíváme,225
zapomnělo,715
přebírat,716
postará,114
utvářet,717
pěstovat,718
případem,719
projevily,163
zaměňovat,720
upravovat,721
přestane,244
odcházet,722
budeme,448
fotit,723
zabíjet,724
zasáhne,177
konzumovat,725
informují,5
házet,726
příště,727
činit,728
přestává,607
zastavit,458
zapomenout,715
domnívají,123
riskovat,729
přihodit,730
přestávají,607
vyzvat,731
znají,65
šířit,732
shodovat,733
nasazovat,734
obávala,59
každopádně,735
nejenom,736
chlubit,737
domnívá,123
napadla,63
vyřešit,738
informace,739
dohánět,740
množit,741
přivítat,742
přetrvávat,743
pročíst,744
předpokládám,235
informujeme,5
uklidní,456
přiměl,288
dobývat,745
domníval,123
změnit,746
užívat,747
děkovat,748
zakročit,749
lákavé,750
otvírat,751
očekával,196
informoval,5
ovlivňují,23
podívejme,225
expandovat,752
ohodnotit,753
zmíním,41
přijatelnější,754
ohromí,755
nemělo,164
seznámil,153
vylepšovat,756
opustit,757
mysleli,758
získat,759
přesvědčuje,12
vyčítat,760
nejen,761
zprostředkovat,762
vnímá,47
vlastně,763
začnou,140
zlákat,764
korespondovat,765
honit,766
zaměřujeme,4
zvětšovat,767
vsadit,768
citovat,769
vyřizovat,770
přestanou,244
potěšila,79
protestovat,771
staral,14
seznámíme,153
zpracovat,772
zlepšit,773
realizovat,774
putovat,775
odehrávat,776
překvapila,36
zeptá,95
zkoumal,9
překvapivé,777
nejvhodnější,474
budit,778
tajit,779
doporučí,676
začali,140
uvažoval,13
krotit,780
přinést,781
koordinovat,782
okouzlit,632
nejdůležitější,117
mrzelo,783
podívá,225
napříště,784
soustředí,40
sledovali,22
zaměřené,560
lákadlem,785
napomoci,786
snižovat,787
koncertovat,788
kopat,789
závažnější,790
zdokumentovat,791
stravovat,792
přistoupit,793
probrat,794
vědí,27
naučíme,175
podpoří,248
postaral,114
zaměřením,795
poučil,227
přemluvit,796
vyrůstat,797
zapadnout,798
pozorně,799
hostit,800
projevil,163
podstatné,491
umisťovat,801
podobat,802
informována,541
zabývá,10
pocházet,803
potlačovat,804
obávali,59
uvítají,805
bít,806
inspiroval,58
ocení,206
zabývají,10
inspirovaly,58
naučím,175
blokovat,807
přijmout,808
ohlídat,809
vzpomenout,810
těšíte,45
chtělo,116
pochopíte,231
vydat,811
vyhrávat,812
projednat,813
podniknout,814
dál,815
spravovat,816
povědět,817
postarají,114
kecat,818
podařit,819
výrazněji,820
nabývat,821
dodávat,822
prožívat,823
zaměřuje,4
ptá,3
chápete,112
naštvalo,824
sepsat,825
omezit,826
oddělovat,827
uvítal,596
oblékat,828
odmítnout,829
zvyšovat,830
ctít,831
specializují,832
pojednává,833
postihne,61
rozumnější,834
připustit,835
mlátit,836
začala,140
vnímají,47
chtěla,116
vázat,837
soustředil,40
pochopil,231
poznala,179
nastupovat,838
dovést,839
pochválit,840
proč,841
pochopili,231
tušil,273
zamířit,842
uspokojit,843
hájit,844
navrhnout,845
slavit,846
zúčastněné,847
zvažuje,8
představovali,20
přemýšlí,17
sledujete,22
budou,448
bavili,2
právě,848
odnejnovějšíhonejstaršíhonejlepšíhovybrat,849
zmíní,41
čekala,75
posloužit,850
napadly,63
nahlédnout,851
tahat,852
rozhodují,102
donutilo,555
nechávat,853
vyplatí,854
vážně,855
splácet,856
neví,27
pamatuje,90
vidí,437
věděl,27
zakazovat,857
inspirovalo,58
nejdříve,628
moct,345
znali,65
klasifikovat,858
ochutnat,683
rozhodnou,192
zařídit,859
mrzí,783
připadat,860
zabýval,10
nepřekvapuje,401
podnětem,861
pochopitelné,862
neobvyklá,863
vyprovokovat,864
rekonstruovat,865
pro,866
dozvěděla,93
opomenout,867
objednávat,868
probíhat,869
sahat,870
obsáhnout,352
napsat,871
komplikovanější,872
prohlédnout,873
upozorňoval,48
schvalovat,874
obtížné,875
otázka,876
dovolit,877
problematika,685
přesvědčili,137
nepochopitelné,862
vystavovat,878
zveme,538
požádali,223
řeší,43
kvést,879
záležitost,552
učila,76
čekali,75
zranit,880
koncentrovat,881
skončit,882
tématem,883
zúčastnit,884
nechat,853
rozdělit,885
čtenáře,886
přednostně,887
tancovat,888
odrazit,889
ozvat,890
vyšetřuje,56
přenášet,891
povzbudí,385
vraždit,892
propojit,395
přitáhnout,893
proniknout,894
těším,45
odpovědět,895
pochopí,231
přesměrovat,896
pořídit,897
nasnadě,898
vodítkem,899
jíst,900
dopad,901
zaútočit,279
lákavá,750
prosadit,902
popovídat,903
vyvolat,904
uznat,207
zavítat,905
mohla,345
dozvím,93
ptal,3
třídit,906
pouštět,907
otázkou,876
zvykat,908
zabavit,909
kontaktoval,910
přemýšlel,17
razit,911
stýkat,912
oslovili,33
konkurovat,913
předvádět,914
udělovat,915
podporovali,11
doporučoval,134
zpomalit,916
mluvilo,64
sledoval,22
charakterizovat,917
podávat,918
pokládat,919
umírat,920
zaměřoval,4
myslel,19
ukáže,463
vykazovat,921
cvičit,922
zviditelnit,923
zřejmé,924
potěšující,925
zajímavosti,926
zasáhla,177
ušetřit,927
dívá,100
ptejte,928
zajistit,929
tedy,930
fascinující,931
