slovo,poradi
kněz,1
farář,2
teolog,3
biskup,4
jezuita,5
kazatel,6
kaplan,7
spisovatel,8
misionář,9
vikář,10
katolický,11
varhaník,12
básník,13
rabín,14
novinář,15
hudebník,16
arcibiskup,17
kněze,1
mnich,18
světec,19
filozof,20
vědec,21
filosof,20
historik,22
voják,23
katolík,24
děkan,25
kanovník,26
věřící,27
pastor,28
šlechtic,29
fyzik,30
malíř,31
politik,32
publicista,33
poutník,34
knězem,1
kněží,1
učenec,35
učitel,36
římskokatolický,37
jazykovědec,38
pedagog,39
administrátor,40
policista,41
léčitel,42
křesťan,43
služebník,44
lékař,45
zpěvák,46
přírodovědec,47
řeckokatolický,48
skladatel,49
mučedník,50
prorok,51
disident,52
důstojník,53
právník,54
filolog,55
sociolog,56
psychiatr,57
knězi,1
diplomat,58
rodák,59
náboženský,60
archeolog,61
pravoslavný,62
kantor,63
aktivista,64
folklorista,65
biolog,66
muslimský,67
žurnalista,68
mladík,69
františkánský,70
kardinál,71
knihovník,72
humanista,73
úředník,74
archivář,75
buditel,76
papež,77
muž,78
psycholog,79
evangelický,80
poustevník,81
probošt,82
pastýř,83
etnograf,84
farářem,2
kronikář,85
odbojář,86
profesor,87
antropolog,88
duchovní,89
mág,90
legionář,91
sochař,92
lingvista,93
vězeň,94
ekonom,95
jezuitský,96
apoštolský,97
otec,98
revolucionář,99
umělec,100
křesťanský,101
protestantský,102
komunista,103
svatý,104
reformátor,105
redaktor,106
fotbalista,107
bratr,108
patriarcha,109
muzikant,110
chrámový,111
astronom,112
herec,113
meteorolog,114
dramatik,115
státník,116
kazatelem,6
orientalista,117
kazatele,6
kaplanem,7
lékárník,118
mládenec,119
charismatický,120
romanopisec,121
funkcionář,122
geolog,123
řečník,124
botanik,125
prozaik,126
moderátor,127
rolník,128
šachista,129
badatel,130
písničkář,131
notář,132
rychtář,133
kouzelník,134
terapeut,135
myslitel,136
muslim,137
generál,138
chirurg,139
středoškolský,140
