slovo,poradi
knihovna,1
knihovny,1
knihovnu,1
knihovnou,1
knihovně,1
studovna,2
knihovnice,3
knihoven,1
knihovnami,1
kavárna,4
knihovní,5
pobočka,6
jídelna,7
klubovna,8
služba,9
galerie,10
škola,11
knihovník,12
univerzita,13
knihovního,5
knihovnické,14
cukrárna,15
lékárna,16
vinotéka,17
síň,18
prodejna,19
muzeum,20
zbrojnice,21
studovny,22
knihovnách,1
školka,23
pokladna,24
hvězdárna,25
prádelna,26
půjčovna,27
kancelář,28
herna,29
tělocvična,30
knihkupectví,31
burza,32
knihovníků,12
zahrada,33
synagoga,34
sbírka,35
knihovních,5
muzea,20
library,36
fakulta,37
samospráva,38
komora,39
komunita,40
učebna,41
knihovnictví,42
depozitář,43
laboratoř,44
banka,45
dílna,46
instituce,47
kronika,48
skříň,49
posilovna,50
poliklinika,51
výpůjční,52
vědecká,53
internetová,54
pošta,55
tiskárna,56
kniha,57
komoda,58
katedrála,59
infocentrum,60
čistírna,61
polička,62
správa,63
záložna,64
rada,65
literatura,66
místnost,67
pracovna,68
encyklopedie,69
vinárna,70
výpůjčka,71
šatna,72
chodba,73
beletrie,74
nástěnka,75
detektivka,76
databáze,77
pekárna,78
knihovnických,14
architektura,79
radnice,80
kaple,81
družina,82
četba,83
centrála,84
budova,85
knih,57
platforma,86
hospoda,87
bibliografie,88
rodina,89
sokolovna,90
infrastruktura,91
schránka,92
webová,93
agenda,94
knížka,95
umělecká,96
návštěva,97
archivy,98
archiv,98
diskotéka,99
police,100
botanická,101
akademická,102
výstava,103
periodika,104
kovárna,105
modlitebna,106
domovská,107
sauna,108
počítačová,109
veřejná,110
akademie,111
učebny,41
kuchyně,112
hala,113
kuchyňka,114
lékařská,115
kancelářská,116
obec,117
garda,118
městská,119
fakultní,120
restaurace,121
směnárna,122
nemocnice,123
knihami,57
babička,124
centrum,125
jednota,126
stezka,127
zahrádka,128
scéna,129
studentská,130
elektrárna,131
poradna,132
univerzitní,133
věž,134
vitrína,135
půda,136
technická,137
beseda,138
třída,139
skříňka,140
mešita,141
církev,142
komise,143
podlaha,144
lednička,145
ambulance,146
charita,147
kino,148
databázová,149
observatoř,150
úschovna,151
kuchařka,152
farnost,153
kina,148
policie,154
administrativa,155
pohovka,156
pokladnice,157
elektronická,158
ordinace,159
obrazovka,160
anketa,161
sušička,162
dětská,163
vláda,164
víceúčelová,165
odborná,166
agentura,167
klinika,168
vestavěná,169
zrcadlovka,170
kopírka,171
lidová,172
úřad,173
polytechnická,174
mládež,175
výmalba,176
tržnice,177
podatelna,178
pedikúra,179
základna,180
iniciativa,181
trafika,182
obálka,183
hrobka,184
chaloupka,185
archív,186
právnická,187
katolická,188
bohoslužba,189
soustava,190
adresa,191
mapa,192
evangelická,193
antikvariát,194
hudba,195
studoven,196
výzdoba,197
armáda,198
knihy,57
digitalizace,199
stránka,200
kotelna,201
volnočasová,202
přístavba,203
sněmovna,204
mateřská,205
ekonomika,206
kapitulní,207
pojízdná,208
asistentka,209
informatika,210
školička,11
výpůjčky,71
divadla,211
prohlídka,212
archivu,98
školská,213
brána,214
ročenka,215
periodik,216
časopisy,217
obecní,218
jízdárna,219
autorita,220
specializovaná,221
čtečka,222
lampička,223
síť,224
nezisková,225
elektronika,226
softwarová,227
kultura,228
středisko,229
výzkumná,230
kuchyň,112
muzeem,20
vysokoškolská,231
věda,232
postýlka,233
fond,234
výuka,235
dráha,236
spolková,237
tělovýchovná,238
matrika,239
publikace,240
obrazová,241
buňka,242
ulička,243
peněženka,244
opera,245
bible,246
dokumentace,247
učitelka,248
cenzura,249
klubová,250
abeceda,251
výtvarná,252
museum,253
kasárna,254
politika,255
technika,256
klubovny,8
čtenářský,257
zámecká,258
přehlídka,259
literatury,66
spisová,260
továrna,261
ústředna,262
jednotka,263
veřejnost,264
nadílka,265
vybavenost,266
skřínka,267
bratrská,268
zrekonstruovaná,269
půjčovnu,27
sportoviště,270
bedna,271
ukázka,272
spisovatelka,273
prokuratura,274
ubytovna,275
zřízena,276
krypta,277
ústava,278
zájmová,279
nadstavba,280
hra,281
kaplička,282
nástavba,283
didaktika,284
zvuková,285
besídka,286
kavárny,4
literaturu,66
architektonická,287
čtenářka,288
ilustrátorka,289
stavba,290
deska,291
ikona,292
lavička,293
doména,294
pedagogická,295
fara,296
pobočku,6
lyžařská,297
pračka,298
klasika,299
vojenská,300
chata,301
pravoslavná,302
podpora,303
poštu,55
dáma,304
poradenská,305
linka,306
pracoviště,307
depozitáře,43
cela,308
televize,309
půjčovny,27
hlídka,310
fotbalová,311
cyklostezka,312
složka,313
šachová,314
zbrojnici,315
filmová,316
položka,317
zastávka,318
teta,319
paleta,320
zvonice,321
parfumerie,322
aréna,323
hotelová,324
učeben,325
tenisová,326
zařízená,327
pohádka,328
uměleckoprůmyslová,329
pohádková,330
ložnice,331
firma,332
vzdělanost,333
židle,334
svazků,335
pracovny,68
lingvistika,336
příruční,337
jídelny,7
exkurze,338
zdravotnická,339
angličtina,340
síťová,341
fronta,342
hřiště,343
galerií,10
venkovská,344
skladiště,345
společenská,346
činnost,347
divadlo,211
regály,348
rozhledna,349
léčebna,350
střelnice,351
encyklopedií,69
databanka,352
gymnastika,353
trouba,354
skládka,355
kašna,356
laboratoře,44
organizace,357
úklidová,358
fasáda,359
novostavba,360
terasa,361
medicína,362
rozsáhlá,363
nadace,364
stylová,365
zábava,366
židlička,334
báňská,367
provozovna,368
konzervatoř,369
filharmonie,370
bazilika,371
hora,372
vyhlídka,373
otevřena,374
zvonička,375
dřevěná,376
paměť,377
autobusová,378
farní,379
zřízená,276
čínština,380
vizitka,381
redakce,382
polština,383
karta,384
planetárium,385
fotogalerie,386
kadeřnictví,387
stěna,388
cvičná,389
vrtačka,390
klimatizovaná,391
sedačka,392
učebnice,393
repozitáře,394
informační,395
archivů,98
čistička,396
krajská,397
olympiáda,398
literaturou,66
biskupská,399
kamarádka,400
vesnička,401
kulturní,402
turistická,403
ústav,404
metadata,405
polévka,406
grafika,407
legislativa,408
řečtina,409
kampusu,410
programová,411
jazyková,412
datová,413
pracovnice,414
komunitní,415
zemědělská,416
katedrální,59
školy,11
tematická,417
pečovatelská,418
klášterní,419
koupelna,420
knížky,95
bibliografické,421
kroniky,422
střecha,423
jídelnu,7
stopa,424
hospodářská,425
zoologická,426
čtenářské,257
historická,427
náboženská,428
zpřístupněna,429
stolička,430
smlouva,431
katedra,432
gramotnost,433
půjčovat,434
klenba,435
mrtvola,436
sál,437
procházka,438
křesťanská,439
lanovka,440
manikúra,441
bezplatná,442
soukromá,443
hvězdárny,25
synagogy,34
sakristie,444
rozlehlá,445
univerzity,13
matematická,446
uklízečka,447
turistika,448
porota,449
škála,450
dvoupatrová,451
ikonka,452
ošetřovatelská,453
památka,454
patrová,455
centra,125
vypůjčit,456
tužka,457
zásoba,458
vlajka,459
ponorka,460
budově,85
káva,461
vinařská,462
malba,463
sekretářka,464
vzduchotechnika,465
bufet,466
vestavba,467
tvorba,468
přípojka,469
botník,470
čtenářství,471
hasičská,472
kyvadlová,473
fotografická,474
cesta,475
recepce,476
čestná,477
sbírek,35
letecká,478
databázi,77
rešerše,479
vesnická,480
naučná,481
čtenářů,482
zpráva,483
zastaralá,484
legenda,485
databází,77
muzika,486
pojišťovna,487
poezie,488
elita,489
dlažba,490
lesnická,491
lampa,223
knížek,95
střediska,229
špičková,492
grafická,493
klub,494
postel,495
zpravodajská,496
komunistická,497
mikrovlnka,498
encyklopedická,499
pyramida,500
soutěž,501
československá,502
školami,11
mincovna,503
šatník,504
nápověda,505
představa,506
poličky,62
archívu,186
strojnická,507
vodárna,508
ortopedie,509
mraznička,510
keramická,511
komponenta,512
skupinka,513
redaktorka,514
podniková,515
tělocvičny,30
prosklená,516
průmyslová,517
zóna,518
lázeň,519
lékařka,520
projektová,521
budovu,85
liga,522
věznice,523
půjčování,524
rukopisů,525
parlament,526
sbírku,35
kachlová,527
odbočka,528
metoda,529
plošina,530
dům,531
lávka,532
sklářská,533
polici,100
spořitelna,534
rostlina,535
skripta,536
kurátorka,537
kavárnu,4
křižovatka,538
židovská,539
studna,540
dynamická,541
památková,542
autorit,220
zakázka,543
skupina,544
bouda,545
maturita,546
myčka,547
školu,11
otevřená,374
odysea,548
úložiště,549
nakladatelství,550
univerzitou,13
pozůstalost,551
zřizuje,552
chalupa,553
sbírkami,35
louka,554
nabídka,555
žehlička,556
promenáda,557
sdílená,558
ekonomická,559
menšina,560
klášter,561
záložka,562
pečeť,563
výbava,564
rodačka,565
hvězda,566
přírodovědná,567
prádelny,26
hymna,568
čarodějka,569
sýpka,570
objednávka,571
sbírky,35
rezidence,572
kosmetika,573
opravená,574
tajná,575
nová,576
statická,577
sekretář,578
příručka,579
časopisů,217
umístěna,580
fakulty,37
sjezdovka,581
optika,582
bývalá,583
knížku,95
krytina,584
přízemí,585
kláštera,561
jeskyně,586
kamenná,587
květina,588
kapela,589
vozovna,590
přístupná,591
kopírovací,592
basketbalová,593
rotunda,594
lektorka,595
mobiliáře,596
paměťová,597
klasická,598
edice,599
kabinet,600
automatizace,601
lípa,602
vila,603
díla,604
jídelnou,7
razítka,605
pivnice,606
garáž,607
kmenová,608
partnerská,609
výstavba,610
skříně,49
adresář,611
házená,612
ekonomka,613
obnova,614
regál,348
pařížská,615
telekomunikace,616
spolupráce,617
jáma,618
sestra,619
badatele,620
postava,621
institucemi,47
potravinářská,622
bodová,623
epopej,624
funkcionalita,625
jazzová,626
společnost,627
prostorová,628
písemnictví,629
celnice,630
řemeslná,631
klubovně,8
novinka,632
souprava,633
próza,634
loděnice,635
kapitula,636
zásuvka,637
wikipedie,638
chladnička,639
musea,640
dobová,641
prodejny,19
mamka,642
sídlila,643
prodavačka,644
služby,9
prostorná,645
pizzerie,646
královská,647
česká,648
kalkulačka,649
zahradnická,650
císařská,651
ústřední,652
čajová,653
geologická,654
čínská,655
četbu,83
knižní,656
přístupová,657
autodoprava,658
voda,659
myšlenka,660
cihlová,661
obsáhlá,662
krajina,663
jaderná,664
obsluha,665
maminka,666
budovy,85
supermarket,667
móda,668
rekonstrukce,669
sekce,670
hřbitov,671
lékárnu,16
dobrodružná,672
taška,673
rozhlasová,674
galerii,10
knihtisku,675
sklad,676
kabelová,677
meteorologická,678
koutek,679
socha,680
okresní,681
hromada,682
tělocvičnu,30
tréninková,683
kinematografie,684
sazba,685
centrální,686
vyhlídková,373
záchranná,687
studentka,688
lokalita,689
rohová,690
videokamera,691
čtenáře,482
lupa,692
klášteře,561
doprava,693
bazar,694
využívaná,695
značková,696
hrdinka,697
oprava,698
památník,699
vydavatelství,700
schůzka,701
nainstalována,702
tištěná,703
hračka,704
vazba,705
světová,706
archeologie,707
šatny,72
službou,9
mše,708
knihu,57
zeleninová,709
bytová,710
studánka,540
kostka,711
dívenka,712
šlechta,713
amatérská,714
zmrzlina,715
kroniku,48
muzeu,20
mozaika,716
elektrotechnická,717
zrekonstruována,718
římskokatolická,719
učebnu,41
domácnost,720
válka,721
teologická,722
čtenáři,482
statistika,723
sféra,724
dokumentační,725
fary,726
vířivka,727
pražská,728
stuha,729
automatická,730
sídlí,643
sestava,731
elektroinstalace,732
institucí,47
demokratická,733
gymnázia,734
grafička,735
tajemná,736
konzole,737
pravicová,738
disková,739
dívka,740
slavná,741
fontána,742
institut,743
místnosti,67
románská,744
márnice,745
hokejová,746
malá,747
psychiatrická,748
šperkovnice,749
zástavba,750
katalogy,751
slovesnost,752
filozofická,753
kresba,754
měna,755
přehrávač,756
tržiště,757
ředitelka,758
pobočky,6
záloha,759
kritika,760
listina,761
značka,762
prostory,763
farmaceutická,764
prezentace,765
