slovo,poradi
osm,1
šest,2
devět,3
sedm,4
pět,5
dvanáct,6
jedenáct,7
deset,8
třináct,9
patnáct,10
šestnáct,11
čtrnáct,12
dvacet,13
třicet,14
sedmnáct,15
osmnáct,16
devatenáct,17
čtyřicet,18
padesát,19
šedesát,20
pětadvacet,21
sedmdesát,22
čtyřiadvacet,23
osmdesát,24
devadesát,25
několik,26
sto,27
osmi,1
devíti,3
čtyř,28
šesti,2
jedenácti,7
pěti,5
deseti,8
dvanácti,6
sedmi,4
desítek,29
tří,30
čtyři,28
patnácti,10
šestnácti,11
tisíc,31
sedmnácti,15
dvou,32
necelých,33
třinácti,9
desítky,29
čtrnácti,12
dvaceti,13
stě,27
osmnácti,16
stovek,34
sta,27
desíti,8
devatenácti,17
padesáti,19
třech,30
tisíce,31
čtyřech,28
stovky,34
třiceti,14
tucet,35
tři,30
pár,36
čtyřiceti,18
čtvrt,37
celých,33
pětadvaceti,21
šedesáti,20
stovku,34
osmdesáti,24
milion,38
sedmdesáti,22
dalších,39
nìkolik,40
zhruba,41
pouhých,42
prvních,43
rovných,44
půl,45
dlouhých,46
dva,32
bezmála,47
několika,26
devadesáti,25
zbývajících,48
milionů,49
desítku,29
miliónů,49
posledních,50
desetin,51
neuvěřitelných,52
pěkných,53
procent,54
desítkách,29
plných,55
mnoho,56
nekolik,57
milión,49
rekordních,58
nejméně,59
úctyhodných,60
přibližně,61
tisícovku,62
hodin,63
hezkých,64
let,65
měsíců,66
necelé,33
stovkou,34
krásných,67
celkem,68
dní,69
set,70
čtyřikrát,71
týdnů,72
jeden,73
oněch,74
samostatných,75
dobrých,76
celkových,77
minut,78
šestice,79
řadu,80
zbylých,81
čtvrtě,37
jdoucích,82
stovka,34
procentních,83
kompletních,84
minimálně,85
dvě,32
stovkách,34
roků,65
zmíněných,86
nespočet,87
desítka,29
pětici,88
takových,89
úvodních,90
třikrát,91
každých,92
desítkami,29
nějakých,93
jejích,94
sest,95
dvakrát,96
následujících,97
pětkrát,98
nádherných,99
sladkých,100
obvyklých,101
miliardu,102
nejmíň,59
horních,103
statečných,104
svých,105
jedno,73
základních,106
metrů,107
stálých,108
krátkých,109
