slovo,poradi
alternativní,1
alternativy,2
alternativa,2
alternativního,1
alternativu,2
alternativních,1
netradiční,3
nekonvenční,4
konvenční,4
experimentální,5
tradiční,3
originální,6
progresivní,7
alternativ,2
hybridní,8
kompromisní,9
moderní,10
perspektivní,11
alternativně,12
racionální,13
konkrétní,14
alternativním,1
alternativou,2
přírodní,15
existující,16
inovativní,17
náhradní,18
adekvátní,19
lokální,20
standardní,21
nejrůznější,22
klasické,23
globální,24
alternative,2
využívající,25
aktuální,26
potenciální,27
komplementární,28
výchozí,29
konzervativní,30
další,31
fyzikální,32
spirituální,33
speciální,34
seriózní,35
stávající,36
primární,37
hudební,38
paralelní,39
regulérní,40
způsob,41
oficiální,42
neoficiální,42
extrémní,43
mobilní,44
virtuální,45
lineární,46
populární,47
efektivní,48
kontroverzní,49
externí,50
radikální,51
substituční,52
interaktivní,53
modernější,10
komplexní,54
nejefektivnější,48
paušální,55
solární,56
univerzální,57
způsoby,41
instrumentální,58
levnější,59
odmítající,60
relevantní,61
eventuální,62
liberální,63
zahraniční,64
variantu,65
dřívější,66
plnohodnotná,67
původní,68
fiktivní,69
nestandardní,70
zvířecí,71
dosavadní,72
individuální,73
optimální,74
celostní,75
přijatelnější,76
pouliční,77
nejlepší,78
revoluční,79
vhodnější,80
podpůrné,81
módní,82
metody,83
pozitivní,84
propagující,85
vegetariánské,86
bizarní,87
obnovitelné,88
instantní,89
negativní,90
legitimní,91
nejpravděpodobnější,92
efektivnější,48
sexuální,93
rocková,94
atraktivní,95
momentální,96
plnohodnotné,67
legální,97
terapeutické,98
komerční,99
standartní,100
vysokokapacitní,101
používající,102
nejvhodnější,80
ekologické,103
dlouhodobější,104
různé,22
systémové,105
environmentální,106
avantgardní,107
vyhovující,108
konstruktivní,109
rockové,94
krajní,110
takovýto,111
behaviorální,112
výhodnější,113
jiné,114
podporující,115
kombinující,116
účinnější,117
klasická,23
místní,118
řešení,119
jiná,114
jiný,114
neexistující,16
kooperativní,120
absurdní,121
kvalitní,122
konkrétnější,14
činoherní,123
základní,124
fungující,125
evoluční,126
neinvazivní,127
vlastní,128
velkokapacitní,129
postmoderní,130
humánní,131
inspirativní,132
hledající,133
spekulativní,134
fosilní,135
nejmodernější,10
šetrnější,136
nejúčinnější,117
záložní,137
soudobé,138
nekompromisní,9
komunikační,139
marginální,140
divadelní,141
léčebné,142
zohledňující,143
klasický,23
objektivní,144
konkurenční,145
aktivní,146
duchovní,147
variabilní,148
rozumnější,149
možnou,150
duální,151
nekomerční,152
existenciální,153
proprietární,154
vládní,155
nové,156
profesionální,157
nabízející,158
distribuční,159
osvědčené,160
nejnovější,156
smysluplné,161
multimediální,162
elektronické,163
mezinárodní,164
nativní,165
operní,166
legislativní,167
privátní,168
modifikované,169
dvojí,170
korporátní,171
implicitní,172
budoucí,173
ekvivalentní,174
přístupy,175
nynější,176
levné,59
reformní,177
srovnávací,178
agresivní,179
doplňkový,180
hlavní,181
drsnější,182
kapacitní,183
regionální,184
nevyhovující,108
hypotetické,185
podporované,186
doplňující,187
odlišné,188
zjednodušené,189
šetřící,190
jinou,114
komplexnější,54
možnosti,191
herní,192
klasickou,23
elektrické,193
omezující,194
militantní,195
respektující,196
odpovídající,197
současná,198
koncepční,199
ekologická,103
rozličné,200
integrační,201
převažující,202
armádní,203
systémový,105
praktičtější,204
nejlevnější,59
nejpoužívanější,205
chybějící,206
převládající,207
prvotní,208
nelineární,46
ortodoxní,209
rockovou,94
vysvětlující,210
skutečné,211
metodu,83
televizní,212
antikoncepční,213
neutrální,214
nezávislé,215
perorální,216
multikulturní,217
neotřelý,218
institucionální,219
skutečná,211
výukové,220
západní,221
vizuální,222
ambulantní,223
tranzitní,224
coby,225
dopravní,226
léčebná,142
sociální,227
kreativní,228
jako,229
potencionální,230
současnou,198
kvalitnější,122
přímou,231
živoucí,232
formy,233
primitivní,234
indie,235
interdisciplinární,236
koncept,237
komunitní,238
přijatelné,76
psychologické,239
lepší,240
zobrazovací,241
využití,242
podrobnější,243
medicínské,244
komediální,245
propojující,246
reklamní,247
multiplatformní,248
folkové,249
recyklační,250
rozšiřující,251
sekundární,252
technologické,253
potravní,254
sportovní,255
různá,22
nejvýhodnější,113
provizorní,256
akční,257
interní,258
sezónní,259
dodatečný,260
ekologický,103
skutečný,211
nejjednodušší,261
vnitrostátní,262
porovnávací,263
varianty,65
preferovat,264
kulturní,265
vodní,266
normální,267
zvláštní,268
multifunkční,269
nejběžnější,270
digitální,271
inteligentní,272
ideální,273
plnohodnotnou,67
unikátní,274
industriální,275
všemožné,276
doplňková,180
provokativní,277
osobní,278
autonomní,279
její,280
explicitní,281
jednodenní,282
temnější,283
nový,156
konspirační,284
obecnější,285
tamní,286
literární,287
relaxační,288
varianta,65
konopné,289
paliativní,290
dílčí,291
nevšední,292
evropské,293
výstřední,294
hororové,295
právní,296
zajímavější,297
zjednodušený,189
novější,156
pasivní,298
zastřešující,299
domácí,300
komparativní,301
vertikální,302
reálná,303
životní,304
jakožto,305
úspornější,306
mediální,307
dodatečné,260
obdobné,308
neformální,309
nouzové,310
koncepty,311
injekční,312
autoritativní,313
manipulativní,314
poskytující,315
brutální,316
kontinuální,317
oblastní,318
selektivní,319
filmové,320
zdravější,321
flexibilní,322
žánrové,323
politické,324
manipulační,325
jazzové,326
takovéto,111
nekorektní,327
cílené,328
spotřební,329
samostatný,330
perverzní,331
audiovizuální,332
bulvární,333
komorní,334
taneční,335
stupidní,336
propracovanější,337
rychlejší,338
tuzemské,339
zaměřený,340
reverzní,341
firemní,342
zaměřené,340
přímé,231
diferenciální,343
triviální,344
abstraktní,345
sluneční,346
koncertní,347
zjednodušená,189
současný,198
pokročilejší,348
rockový,94
využívané,349
smrtící,350
novodobé,351
přirozenější,352
bezpilotní,353
depresivní,354
zamýšlené,355
konceptuální,356
společný,357
odstrašující,358
východisko,359
udržitelné,360
iracionální,361
nejoblíbenější,362
specifické,363
terapie,364
rovnocenné,365
nejžádanější,366
osvědčená,160
optimalizované,367
přímá,231
universální,368
několikadenní,369
destruktivní,370
venkovní,371
geotermální,372
přednostní,373
formu,233
bláznivé,374
klávesové,375
kolektivní,376
invazivní,377
nadstandardní,378
motivační,379
popové,380
medicína,381
nejčastější,382
regresní,383
komplikovanější,384
inspirující,385
exaktní,386
plnohodnotný,67
energie,387
následující,388
rozdílné,389
pomocné,390
běžné,270
efektní,391
nesmyslné,392
volitelné,393
nevládní,155
cílená,328
internetová,394
zlepšující,395
nelegální,97
humanistické,396
intuitivní,397
novodobý,351
požadující,398
sofistikované,399
vynikající,400
současné,198
exkluzivní,401
knižní,402
rozsáhlejší,403
vzdělávací,404
imaginární,405
medicínu,381
historické,406
cizí,407
filosofické,408
zdroje,409
civilní,410
směry,411
protestní,412
pomocný,390
konfliktní,413
geniální,414
vedlejší,415
vnější,416
různorodé,417
terapii,364
zavedené,418
tvrdší,419
reálné,303
skutečnou,211
terapeutická,98
ambiciózní,420
hledají,421
popová,422
nežádoucí,423
periferní,424
síťové,425
nefunkční,426
bezpečnější,427
podpůrnou,81
preferují,264
myšlenkový,428
možnost,191
česká,429
energetické,430
neefektivní,48
národní,431
nejaktuálnější,26
představující,432
zavádějící,433
metalové,434
vybraná,435
různý,22
nejsilnější,436
internetové,394
denní,437
problémové,438
permanentní,439
širší,440
podobný,441
urgentní,442
nejzajímavější,297
posilující,443
definitivní,444
fascinující,445
zaměřující,446
automobilové,447
paradoxní,448
navrhovaná,449
legendární,450
mentální,451
spolehlivější,452
orientální,453
takové,454
expresivní,455
drogové,456
rotační,457
nestátní,458
počáteční,459
zaměřená,340
menšinové,460
posilovací,461
duplicitní,462
české,429
protichůdné,463
doplňkovou,180
exotické,464
psychoterapie,465
korektní,466
civilizační,467
fixní,468
procentuální,469
finální,470
nová,156
kvalitativní,471
upřednostňují,472
pohodlnější,473
masové,474
účelové,475
nezávislý,215
extravagantní,476
nadějné,477
navrhované,449
zkoumající,478
emocionální,479
ilegální,480
specifický,363
rozvojové,481
terapeutický,98
letní,482
kuriózní,483
dynamické,484
dobové,485
podzemní,486
náhrada,487
vědecké,488
praktické,204
nepřímé,231
testovací,489
parlamentní,490
autentické,491
stimulující,492
křesťanský,493
evidentní,494
lesní,495
konzistentní,496
skupinovou,497
náhražka,498
zajímavé,297
jeví,499
nahrazující,500
razantní,501
subjektivní,502
smysluplný,161
dostupnější,503
levicové,504
biologické,505
detoxikační,506
světový,507
náročnější,508
zásobovací,509
novou,156
nejbezpečnější,427
horizontální,510
opravdové,511
jakékoli,512
podivné,513
odlišný,188
církevní,514
jevištní,515
bylinné,516
opačný,517
laserová,518
inovační,519
přijatelná,76
světelné,520
doporučené,521
užívající,522
nejrozšířenější,523
vzdálenější,524
nesmyslný,525
šetrné,136
pivní,526
kontaktní,527
typy,528
intenzivnější,529
nouzový,310
skvělé,530
odvážnější,531
čínské,532
komunální,533
problematické,534
náboženské,535
konstituční,536
politický,324
přímý,231
synchronní,537
kombinované,538
parciální,539
pravděpodobný,92
skupinové,497
propojovací,540
regulační,541
finanční,542
přirozené,352
kontextové,543
tržní,544
první,545
internetový,394
podpůrná,81
krátkodobé,546
neověřené,547
odborný,548
strhující,549
úsporné,306
přepravní,550
britská,551
nesprávné,552
orální,553
lidové,554
neziskové,555
startovací,556
afektivní,557
terénní,558
středověké,559
složitější,560
nějaký,561
svérázný,562
empirické,563
historický,406
amatérské,564
tamější,565
mírnější,566
osobité,567
nemocniční,568
jazzová,326
textilní,569
systémová,105
evropskou,293
kontrastní,570
nacionální,571
ukazující,572
buddhistické,573
velkoplošné,574
reálný,303
klinické,575
sjednocené,576
osobitou,567
správná,552
pochybné,577
významnější,578
informační,579
referenční,580
kriminální,581
komfortní,582
energetický,430
doplňkové,180
strukturální,583
existují,584
utopie,585
dominantní,586
obdobný,308
správný,552
transportní,587
karetní,588
procesní,589
modní,590
vojenské,591
