slovo,poradi
postavit,1
stavět,2
vybudovat,3
vystavět,4
zbudovat,5
postavil,1
postaví,1
sestavit,6
postavili,1
přestavět,7
budovat,8
umístit,9
zbourat,10
vytvořit,11
zřídit,12
založit,13
vystavit,14
postavila,1
postavíte,1
položit,15
navrhnout,16
vypracovat,17
nasadit,18
vyrobit,19
postavíme,1
připravit,20
dát,21
posadit,22
namontovat,23
pořídit,24
udělat,25
přemístit,26
postavily,1
poskládat,27
postavilo,1
připevnit,28
stavěl,2
postavte,1
vymyslet,29
sestrojit,30
opravit,31
vyvinout,32
staví,2
instalovat,33
zhotovit,34
pověsit,35
strhnout,36
složit,37
prodat,38
připojit,39
koupit,40
zničit,41
zastavit,42
pustit,43
realizovat,44
provozovat,45
napojit,46
využít,47
rozebrat,48
spustit,49
osadit,50
prosadit,51
otevřít,52
vybavit,53
opustit,54
usadit,55
zasadit,56
vystavěl,4
zavést,57
předělat,58
stavěli,2
odstavit,59
zprovoznit,60
schovat,61
použít,62
rekonstruovat,63
uspořádat,64
dopravit,65
přeměnit,66
zavěsit,67
rozložit,68
stvořit,69
nechat,70
vzít,71
vsadit,72
přesunout,73
zvednout,74
demontovat,75
odložit,76
zabezpečit,77
přizpůsobit,78
zachránit,79
zajistit,80
utvořit,81
přivést,82
zrealizovat,83
integrovat,84
představit,85
zapojit,86
natočit,87
rozjet,88
zorganizovat,89
zpracovat,90
zvládnout,91
vyrůst,92
najmout,93
rozhodnout,94
postaven,95
upravit,96
proměnit,97
upevnit,98
namalovat,99
najít,100
dokončit,101
ustoupit,102
nainstalovat,103
ovládnout,104
sestavovat,105
ubránit,106
zařídit,107
vytáhnout,108
spojit,109
převzít,110
bránit,111
vydat,112
montovat,113
zrekonstruovat,114
dovést,115
obstarat,116
opatřit,117
stavějí,2
začlenit,118
strčit,119
vylézt,120
zpřístupnit,121
otestovat,122
uzavřít,123
nastavit,124
přijmout,125
pokusit,126
posunout,127
adaptovat,128
propojit,129
zlikvidovat,130
vrhnout,131
vystavěli,4
bourat,132
dostat,133
obsadit,134
zapálit,135
stanovit,136
padnout,137
přestěhovat,138
rozvinout,139
zaútočit,140
získat,141
stavěla,2
vybudoval,3
svést,142
zařadit,143
vrátit,144
přenést,145
skočit,146
natáhnout,147
transformovat,148
zahájit,149
sednout,150
zaměstnat,151
spravovat,152
vyčlenit,153
vybuduje,3
postavené,95
rozbít,154
připravovat,155
vypravit,156
přivézt,157
navrhovat,158
jít,159
porazit,160
zvolit,161
bojovat,162
obnovit,163
pojmenovat,164
pozvednout,165
pronajmout,166
vyrábět,167
zasáhnout,168
spravit,169
zavázat,170
vypěstovat,171
vzniknout,172
demonstrovat,173
vykoupit,174
nakreslit,175
shodit,176
svrhnout,177
vystoupit,178
naplánovat,179
odkoupit,180
provést,181
sebrat,182
svolat,183
přepravit,184
dokázat,185
obejít,186
přehodit,187
vybudovali,3
nabídnout,188
naprogramovat,189
napsat,190
otočit,191
vyřešit,192
přitáhnout,193
předložit,194
nastoupit,195
postavenou,95
naplnit,196
sehnat,197
ukázat,198
spadnout,199
stavíte,2
prezentovat,200
postarat,201
uvolnit,202
poskytnout,203
přidat,204
pojmout,205
převézt,206
zavřít,207
shromáždit,208
nahradit,209
zakročit,210
dovézt,211
vychovat,212
sejmout,213
vycvičit,214
odstartovat,215
vyrazit,216
vyměnit,217
přistoupit,218
přiblížit,219
zaplatit,220
ochránit,221
vybrat,222
vyslat,223
změnit,224
stoupnout,225
čelit,226
vložit,227
přidělit,228
postavený,95
odvolat,229
překonat,230
převést,231
využívat,232
ovládat,233
srovnat,234
vylepšit,235
obětovat,236
dodělat,237
uvařit,238
zachovat,239
udržet,240
uvést,241
uskutečnit,242
popravit,243
orientovat,244
dosadit,245
sejít,246
pojistit,247
stavělo,2
naučit,248
postavena,95
vypustit,249
zkusit,250
definovat,251
chránit,252
uchytit,253
sjednotit,254
zpevnit,255
klást,256
odhalit,257
tvořit,69
vytvářet,258
přepracovat,259
tvarovat,260
spálit,261
podpořit,262
splnit,263
odvézt,264
izolovat,265
dovolit,266
poslat,267
prorazit,268
táhnout,147
ukrýt,269
zabít,270
implementovat,271
zakoupit,272
připnout,273
vyzkoušet,274
prozkoumat,275
vyjít,276
zaparkovat,277
vymezit,278
stavíme,2
předat,279
modernizovat,280
sáhnout,281
uvažovat,282
rozvíjet,283
sundat,284
podat,285
nechal,70
donutit,286
zahodit,287
financovat,288
pěstovat,289
stavím,2
napadnout,290
dobýt,291
půjčit,292
sklopit,293
vyfotit,294
dodávat,295
vyzdobit,296
zaujmout,297
začít,298
nařídit,299
oživit,300
vést,301
oslovit,302
postaveny,95
přehodnotit,303
dostavit,304
ukrást,305
sepsat,306
zapomenout,307
vyklidit,308
přejít,309
akceptovat,310
rozdělit,311
přesvědčit,312
prohlásit,313
vyložit,314
přiřadit,315
vybojovat,316
vyrovnat,317
vyhlásit,318
protestovat,319
chytit,320
pohánět,321
modelovat,322
formovat,323
dotáhnout,324
trénovat,325
zahrát,326
učinit,327
označit,328
vyniknout,329
řešit,330
investovat,331
doplnit,332
dodat,333
organizovat,334
stabilizovat,335
navrátit,336
posoudit,337
pochopit,338
uchránit,339
udelat,340
odstranit,341
zneškodnit,342
usednout,343
