slovo,poradi
skoro,1
téměř,2
takřka,3
prakticky,4
asi,5
úplně,6
bezmála,7
podstatě,8
uplně,9
víceméně,10
zhruba,11
absolutně,12
pořád,13
snad,14
naprosto,15
stejně,16
opravdu,17
akorát,18
tak,19
minimálně,20
taky,21
sotva,22
docela,23
zdaleka,24
jenom,25
přibližně,26
doteď,27
zas,28
vcelku,29
necelé,30
beztak,31
nejmíň,32
prostě,33
zkrátka,34
vůbec,35
naštěstí,36
furt,37
normálně,38
kupodivu,39
jaksi,40
dávno,41
vždy,42
bohužel,43
vlastně,44
půl,45
sice,46
již,47
zatím,48
všude,49
fakticky,50
každý,51
takže,52
nikdy,53
dneska,54
neskutečně,55
všichni,56
jakoby,57
doslova,58
dost,59
jen,60
zcela,61
vždycky,62
nanejvýš,63
nejspíš,64
totálně,65
celkem,66
maximálně,67
teď,68
dokonce,69
necelých,30
ale,70
poměrně,71
uplne,72
přitom,73
většinou,74
hrozně,75
dva,76
skutečně,77
všechno,56
tenkrát,78
ještě,79
nikde,80
strašně,81
málem,82
zase,83
mnohdy,84
teda,85
dnes,86
stále,87
nikdo,88
fakt,89
dvakrát,90
tudíž,91
přece,92
samozřejmě,93
ani,94
nic,95
nějak,96
pochopitelně,97
pokaždé,98
tři,99
tolik,100
čtvrt,101
přinejmenším,102
každej,103
tam,104
neuvěřitelně,105
vesměs,106
stoprocentně,107
totiž,108
děsně,109
běžně,110
doposud,111
necelý,30
evidentně,112
zásadě,113
cca,114
dosud,115
očividně,116
aspoň,117
takhle,118
dvacet,119
hodně,120
ostatně,121
úplne,122
tedy,123
přes,124
tady,125
čtyři,126
pomalu,127
teoreticky,128
zřejmě,129
pěkně,130
přeci,131
ikdyž,132
překvapivě,133
prý,134
donedávna,135
moc,136
průměrně,137
jinak,138
popravdě,139
obyčejně,140
permanentně,141
zatim,142
najednou,143
zrovna,144
šíleně,145
hned,146
čtyřicet,147
není,148
povětšinou,149
zdánlivě,150
takříkajíc,151
dokonale,152
pokaždý,153
leckdy,154
všechny,56
třicet,155
padesát,156
příliš,157
jsem,148
nejméně,32
vskutku,158
stejne,159
spíš,160
jenomže,161
krásně,162
relativně,163
pořádně,164
celej,165
vyloženě,166
víc,120
obvykle,167
vubec,168
pouze,169
deset,170
celý,30
někdy,171
teďka,172
fantasticky,173
sto,174
dlouho,175
ovšem,176
lehce,177
zbytečně,178
úplnì,179
samé,180
samý,180
ted,181
příšerně,182
zpočátku,183
sedmdesát,184
možná,185
holt,186
určitě,187
hooodně,188
třikrát,189
taktéž,190
málo,32
jsme,148
standardně,191
facto,192
vše,56
několikrát,193
devadesát,194
žádný,195
neuvěřitelné,196
protože,197
rozhodně,198
naprostý,199
odjakživa,200
alespoň,201
zhola,202
navíc,203
trochu,204
úžasně,205
patnáct,206
přestože,207
velice,208
stejný,209
nijak,210
strašlivě,211
jenže,212
reálně,213
zjevně,214
trošku,215
nedá,216
velmi,217
nyní,218
mimochodem,219
přesně,220
strašný,221
doma,222
nejsme,148
žádní,195
často,223
sakra,224
párkrát,225
kompletně,226
extrémně,227
bezvadně,228
dosti,59
jistě,229
samí,180
dřív,230
brzo,230
neskutečné,231
neni,232
připadalo,233
jednoduše,234
šedesát,235
někde,236
osmdesát,237
naráz,238
nádherně,239
nejvýš,240
chvílemi,241
stokrát,242
nemusí,243
přirozeně,244
tisíce,245
však,246
zásadně,247
řádově,248
upřímně,249
pět,250
poslední,251
prd,252
žádné,195
klidně,253
půlku,254
nemůžu,255
opět,256
mám,257
okolo,258
necelou,259
nemožná,260
poctivě,261
údajně,262
jediný,263
ničem,95
jedno,264
nebyli,148
nejsou,148
ničím,95
perfektně,265
desítky,266
hezky,267
nakonec,268
neustále,269
ničeho,95
kolem,270
tolikrát,271
byť,272
stejnej,273
většinu,74
mnoho,274
vážně,275
vyjímečně,276
devět,277
beznadějně,278
doopravdy,279
napůl,280
prozatím,281
jeden,264
výjimečně,282
nikterak,283
klasicky,284
podezřele,285
méně,32
logicky,286
pětadvacet,287
pouhé,288
minulý,289
nevypadá,290
nemám,257
nikomu,88
možně,291
ačkoliv,292
neuvěřitelný,293
celých,30
několik,294
okamžitě,295
celou,30
sedm,296
necelá,30
připadala,233
plně,297
máme,257
něm,298
kolikrát,299
nejsem,148
připadá,233
jakože,300
neskutečný,231
nejspíše,301
vždyť,302
nikoho,88
nemusím,243
tohle,303
stejny,304
spoustu,305
připadají,233
letos,306
dvě,76
pekelně,307
hrozný,308
naprostou,199
věčně,309
troufám,310
všecko,311
vysloveně,312
oba,313
včera,314
jako,315
páč,316
pravidelně,317
nedalo,216
stovky,318
veskrze,319
zato,320
poněkud,321
jediné,263
nejde,322
přesto,323
patrně,324
čtyřikrát,325
stěží,326
dlouhou,327
pouhých,288
nezvykle,328
šest,329
obzvlášť,330
stejná,209
rázem,331
nadmíru,332
častokrát,333
nebylo,148
nesmírně,334
trvalo,335
stejní,209
osm,336
jednou,264
strašné,221
plno,337
tehdy,338
parádně,339
dvanáct,340
míň,32
těžce,341
nepřetržitě,342
ačkoli,343
krapet,344
rovnoměrně,345
nějakých,346
pohodě,347
hotový,348
hrozné,308
dodnes,349
vypadá,290
něco,350
žádnej,351
občas,352
každopádně,353
nejradši,354
nekonečně,355
tisíckrát,356
jelikož,357
neznamená,358
každé,51
pár,359
tradičně,360
nicméně,361
desetkrát,362
poho,363
ono,364
shodně,365
koneckonců,366
zpravidla,367
celkově,368
předtím,369
myslím,370
odhadem,371
čtrnáct,372
nejím,373
natolik,374
tragicky,375
těsně,376
zatraceně,377
zadarmo,378
naprostá,199
aktuálně,379
jednotně,380
zdá,381
tuším,382
vypadalo,290
než,383
každém,51
polovinu,384
naprostého,199
jedenáct,385
zprvu,386
pětkrát,387
týden,388
připadám,389
půlrok,390
více,120
dobře,391
skvěle,392
dokonalý,393
nemá,257
automaticky,394
nedávno,395
mimořádně,396
jich,298
naprosté,199
nemuseli,243
celé,30
krom,397
hotovo,348
buď,398
dlouhé,327
nestojí,399
dvojnásobně,400
hodinu,401
alespon,402
nich,298
začátku,403
malinko,404
stejnì,405
každého,51
maličko,406
nemožné,260
nečekaně,407
chvíli,241
včerejška,408
rovnou,409
ješte,410
vsude,411
málokdy,412
zbývají,413
desítkách,266
nebyl,148
když,414
neměla,257
brzy,230
připadat,233
pač,415
hrozná,308
velikostně,416
třináct,417
plošně,418
nejenom,419
momentálně,420
poprvé,421
poněkolikáté,422
stejn,423
čtvrtinu,424
obyčejný,425
kazdy,426
zvládám,427
naprostém,199
radši,354
nemusel,243
ohromné,428
notoricky,429
podobně,430
příjemně,431
sme,148
nejvíc,432
třetinu,433
pravděpodobně,434
nemusíme,243
nejdřív,435
dvaceti,119
každému,51
dlouhodobě,436
teprve,437
děsný,438
nejraději,439
staří,440
minule,441
připadal,233
jeste,442
bohuzel,443
kuse,444
nebývá,445
nás,446
krátce,447
vloni,448
vlastne,449
neskutečnou,450
ohromně,451
devatenáct,452
náhodou,453
jisté,454
pěkný,455
prvně,456
nebyly,148
aspon,457
totéž,458
tito,459
nebývají,445
děsivě,460
neuvěřitelných,196
nemůže,255
pouhý,288
málokdo,461
nedělá,462
doslovně,463
dostatečně,464
zoufale,465
krásný,466
nula,467
nebyla,148
jedenkrát,468
zbytečné,469
přespříliš,470
mnohde,471
první,472
ničemu,95
milion,473
nemusela,243
nejenže,474
hotové,348
měsíc,475
tihle,303
loni,448
stejné,209
nemáme,257
nějaký,346
napořád,476
padesáti,156
každodenně,477
neměli,257
kdybych,478
spíše,301
něj,298
být,148
stoprocentní,479
každou,51
rychle,480
nemohu,255
čtyřiceti,147
neměl,257
šílený,481
měř,482
jsou,148
nedokážu,483
trošičku,484
každých,51
sedmnáct,485
běžný,486
blbě,487
holé,488
kdybychom,478
nemůžou,255
kdysi,489
solidně,490
nezůstalo,491
uplynulý,492
zbytečný,469
stovkách,318
báječně,493
mnozí,494
totální,495
každýho,496
takový,497
denně,498
šestnáct,499
normální,500
nekonečný,501
úžasný,502
neuvěřitelnou,196
malinké,503
poloviční,504
jediného,263
nešlo,322
cokoliv,505
luxusně,506
nekolik,507
ještì,508
vsechno,509
mívám,510
potom,511
nulový,512
nerozhodně,198
stabilně,513
týdny,388
trapně,514
nevypadalo,515
bylo,148
stale,516
sporadicky,517
třeba,518
výborně,519
definitivně,520
tomhle,303
dělalo,462
matematicky,521
přijde,522
jakkoliv,523
mně,446
jasné,524
nedají,216
byli,148
všemu,56
hlavně,525
většině,74
začínám,526
druhý,527
starý,440
čtvrtě,101
žádná,195
každ,528
letošek,529
reálu,530
nepočítám,531
neexistují,532
tyhle,303
rovná,409
budem,533
úplný,534
nepatrně,324
plnohodnotně,535
devadesáti,194
obden,536
chlup,537
pul,538
desítek,266
hnedka,539
stejnou,209
třiceti,155
pak,540
barákem,541
tedka,542
bejt,148
uběhlo,543
vzdycky,544
čtyřiadvacet,545
obrovský,546
současně,547
různě,548
stovku,318
necelými,30
dobu,549
všeho,56
všechen,56
leda,550
dohromady,551
hodinku,401
jedny,264
neuvěřitelná,196
víckrát,552
evidentní,553
netřeba,554
absolutní,555
celosvětově,556
tenhle,303
nejak,557
ledacos,558
tuhle,303
konečně,355
bezkonkurenčně,559
jediní,263
osmnáct,560
vsichni,561
malý,562
sem,563
každoročně,564
hrozne,565
jednu,264
bez,566
nemůžeme,255
historicky,567
fajn,568
také,569
teprv,570
neříkám,571
kdekdo,572
cokoli,573
značně,574
nikam,575
dalo,216
pravdu,576
paradoxně,577
mnohem,578
vím,579
pádem,580
vsechny,581
takovej,582
nestihli,583
neomezeně,584
stovka,318
nepotřebovali,585
nesmyslně,586
částečně,587
univerzálně,588
náhodně,589
těžko,590
přez,591
veškeré,592
nepotřebovala,585
nesmím,593
nechci,594
nedělo,595
tentokrát,596
chviličku,597
chvilku,598
nemusely,243
principiálně,599
nemusim,600
každým,51
pouhou,288
nepoužitelný,601
mimo,602
divný,603
nejednou,604
veliké,605
zvlášť,606
vidím,607
nutně,608
někteří,609
všechna,56
nesmělo,593
žádnou,195
všech,56
slušně,610
nemam,611
nimi,298
slušný,612
mam,613
takto,614
zázračně,615
jednoho,264
neobvykle,167
delší,327
nemělo,257
veškerý,592
mnohokrát,616
desetitisíce,617
blbý,618
nelze,619
neviděla,607
nejeden,620
kromě,397
nepřišlo,522
třech,99
všecky,311
stačí,621
zároveň,622
pokrývá,623
třebaže,624
nebude,148
oficiálně,625
obrovské,546
vypadají,290
netvoří,626
takoví,497
vypadali,290
brutálně,627
nedovedu,628
suverénně,629
nedělám,462
spolehlivě,630
detailně,631
nemusíte,243
dokud,632
počítám,531
mnohé,494
nevypadají,515
běžné,486
oboje,633
bych,148
nepřipadá,233
jakkoli,523
nestálo,399
všechnu,56
šílené,481
nesmíme,593
jinde,634
zůstalo,491
divně,635
koukám,636
necítila,637
pozoruhodně,638
nima,298
vidim,639
nedávnem,395
nebudete,148
kontinuálně,640
spousty,305
mizerně,641
neplánovaně,642
zdálo,381
mít,257
tisícovku,643
desíti,170
nevidíte,607
směšně,644
nepoužívám,645
měli,257
rok,646
nepříliš,647
hoďky,648
šlo,322
příjde,649
mírně,650
měsíce,475
malinký,503
bychom,148
neviděli,607
nekonečné,501
můžu,255
nedlouho,175
jasně,651
jednoznačně,652
pravda,576
holý,488
nejen,653
takovy,654
hluboce,655
nejste,148
nezřídka,656
což,657
aniž,658
dokola,659
podruhé,660
vzdy,661
netrvalo,335
neviděl,607
leccos,662
typicky,663
kdesi,664
výhradně,665
nepravidelně,317
nejlíp,391
dlouhá,327
desetinu,666
uplynul,667
takze,668
posledního,251
nemají,257
viditelně,669
hotovy,348
čerstvě,670
nepřijde,522
dneška,671
strašnou,221
takzvaně,672
funkčně,673
dávám,674
spousta,305
jedinej,263
čtvrtstoletí,675
neskutečná,231
dříve,230
náramně,676
vidět,607
velký,677
nosím,678
formálně,679
prej,134
znova,680
posledních,251
natož,681
paráda,682
avšak,683
věru,684
nepoužitelné,685
pohodlně,686
vidíme,607
nebudeme,148
akorat,687
tejden,388
neznám,688
naprostým,199
ním,298
nevidí,607
záhadně,689
zabralo,690
nestál,399
deseti,170
osmdesáti,237
nemusejí,243
vùbec,691
jednotlivě,692
nechce,594
napoprvé,693
ona,298
milión,694
nemuselo,243
jste,148
rekordně,695
všem,56
několikáté,696
tolika,100
úplnou,534
nevidíme,607
nepatrné,697
několikátý,698
průběžně,699
podivně,700
samo,701
ten,702
běžní,486
nepotřebuju,703
nedělal,462
přišlo,522
stihli,704
takovýhle,705
nejdou,322
uplynulé,492
uplynulo,667
pětinu,706
dlouhý,327
pøes,707
obrovskou,546
nechtěla,594
zmizelo,708
několikanásobně,709
pořádný,710
hodnì,711
šedesáti,235
byly,148
možno,260
proto,712
nemusíš,243
sebou,713
rovný,409
nedělalo,462
hotova,348
jak,714
přesahující,715
libovolně,716
