slovo,poradi
snížení,1
zvýšení,2
snižování,3
navýšení,4
zvyšování,5
zmenšení,6
snížením,1
zlepšení,7
zmírnění,8
nárůstu,9
zhoršení,10
zvýšením,2
poklesu,11
snížené,12
posílení,13
zkrácení,14
zvýšeného,15
minimalizaci,16
omezení,17
zvýšené,15
navyšování,18
zpomalení,19
nárůst,9
redukci,20
snižováním,3
zjednodušení,21
eliminaci,22
překročení,23
výraznému,24
zlevnění,25
maximálního,26
maximalizaci,27
zvětšení,28
zesílení,29
úbytku,30
zrušení,31
dosažení,32
minimalizace,33
pokles,11
zpřísnění,34
zdražení,35
zamezení,36
výrazné,24
oddálení,37
rozšíření,38
zachování,39
zvednutí,40
prodloužení,41
omezování,42
udržení,43
stanovení,44
potlačení,45
zvyšováním,5
zhoršování,46
krácení,47
odstranění,48
výrazného,24
nadměrné,49
minimálního,50
nadměrného,49
celkové,51
zúžení,52
uvolnění,53
oslabení,54
zohlednění,55
navýšením,4
prohloubení,56
posunutí,57
eliminace,58
zvýšenému,15
zefektivnění,59
vylepšení,60
zvětšování,61
narušení,62
kolísání,63
ovlivnění,64
značnému,65
znehodnocení,66
zvýšených,15
ztrátě,67
maximálnímu,26
zmenšování,68
zavedení,69
zabránění,70
zdokonalení,71
redukce,20
snížit,72
obnovení,73
optimalizaci,74
mírnému,75
úspoře,76
urychlení,77
zrychlení,78
celkového,51
zbavení,79
změně,80
přesunutí,81
zastavení,82
zlepšování,83
přehodnocení,84
odlehčení,85
odvrácení,86
zvýraznění,87
maximální,26
propadu,88
zdůraznění,89
přerozdělení,90
nárůstem,9
počtu,91
přidání,92
většímu,93
nadměrnému,49
nízké,94
vyrovnání,95
celkovému,51
snižující,96
navrácení,97
zkvalitnění,98
získání,99
přerušení,100
minimální,50
překonání,101
nežádoucího,102
zhodnocení,103
částečnému,104
odnětí,105
přenesení,106
nízkého,94
značné,65
pozastavení,107
efektivity,108
růstu,109
oživení,110
zahrnutí,111
změny,80
odebrání,112
zlepšením,7
vymizení,113
významnému,114
vyčerpání,115
ztížení,116
výrazném,24
dvojnásobné,117
zvýšeném,15
snížený,12
zvyšující,118
značného,65
okamžitého,119
sníží,72
nižšího,94
přílišné,120
zajištění,121
útlumu,122
zvýšit,123
zklidnění,124
procento,125
rozložení,126
kompenzaci,127
mírné,75
zpřesnění,128
snížilo,72
vysokému,129
poškození,130
vyššímu,129
nahromadění,131
prudkému,132
okamžité,119
úbytek,30
umožnění,133
zvýhodnění,134
náhlé,135
roztažení,136
vyloučení,137
ponechání,138
částečné,104
důsledku,139
poklesem,11
optimálního,140
sjednocení,141
nulové,142
zničení,143
znovuobnovení,144
optimalizace,145
stabilizaci,146
zjištění,147
nedostatečného,148
převedení,149
rozšiřování,150
úspory,76
zdržení,151
prudké,132
odmítnutí,152
nižší,94
úspor,76
odbourávání,153
velkému,93
průměrného,154
posunu,155
náhlého,135
vzdání,156
rušení,157
ztráty,67
vyšší,129
zvedání,158
prominutí,159
většího,93
nežádoucímu,102
objemu,160
rozdělení,161
dosahování,162
celkových,51
využití,163
vysokého,129
plošné,164
odložení,165
vysoké,129
rozpuštění,166
menšímu,167
vrácení,168
propad,88
případného,169
průměrné,154
efektu,170
změnu,80
propouštění,171
zlomení,172
snížená,12
trvalého,173
odhalení,174
zatížení,175
maximálních,26
narovnání,176
částečného,104
usnadnění,177
úkor,178
osvobození,179
prosazení,180
uvolňování,181
udržování,182
minimálních,50
vzrůstu,183
nedostatečné,148
opětovnému,184
přemístění,185
nízkému,94
kompenzace,127
pocitu,186
spotřeby,187
prohlubování,188
vlivu,189
nahrazení,190
dodatečné,191
stanovování,192
trvalé,173
zvýšen,15
poměrné,193
procentuální,194
zvýšený,15
přiblížení,195
ztrátu,67
navození,196
nedostatku,197
obohacení,198
dočasnému,199
vypadávání,200
korekci,201
dopadu,202
mimořádné,203
odečtení,204
zviditelnění,205
podílu,206
klesání,207
hromadění,208
změna,80
následnému,209
zkreslení,210
drastické,211
zachycení,212
úplnému,213
přizpůsobení,214
nastavení,215
navýšit,216
množství,217
tlumení,218
intenzity,219
zpevnění,220
neplacení,221
uklidnění,222
zákazu,223
úrovně,224
zakrytí,225
ztrát,67
vzestupu,226
zamítnutí,227
zpochybnění,228
očištění,229
vyššího,129
zhoršené,230
zahuštění,231
maximálním,26
vytváření,232
vyrovnávání,233
dočasné,199
ponížení,234
výskytu,235
vytvoření,236
propadnutí,237
regulaci,238
snižuje,239
nedodržení,240
výrazných,24
vynechání,241
započtení,242
efektivnosti,243
dvojnásobek,244
vyřazení,245
uhrazení,246
možnému,247
stlačení,248
zvýší,123
sníženou,12
pročištění,249
následné,209
nízkých,94
přidávání,250
procentního,251
povýšení,252
sledování,253
nesplnění,254
přísunu,255
zásadnímu,256
dostatečného,148
možného,247
přepracování,257
ovlivňování,258
naplnění,259
srážení,260
výsledné,261
využívání,262
účinku,263
potlačování,264
úsporu,76
skutečné,265
zadržování,266
dodržení,267
deficitu,268
začlenění,269
určité,270
opětovné,184
zproštění,271
snižovat,239
ukončení,272
upravení,273
vypovězení,274
uložení,275
posouzení,276
rozvinutí,277
případné,169
určení,278
vyškrtnutí,279
účinnosti,280
prudkého,132
posilování,281
variability,282
efektivního,283
překrytí,284
vzniku,285
překračování,286
efektivnímu,283
přecenění,287
dostatečné,148
ztráta,67
největšímu,93
zvládnutí,288
vyvolání,289
znečištění,290
zvýšilo,123
