slovo,poradi
znovu,1
znova,2
opět,3
opětovně,4
zase,5
opakovaně,6
několikrát,7
podruhé,8
potřetí,9
pokaždé,10
vzápětí,11
konečně,12
poprvé,13
okamžitě,14
definitivně,15
postupně,16
brzy,17
následně,18
nejprve,19
poněkolikáté,20
nyní,21
naposledy,22
opakovat,23
dvakrát,24
mnohokrát,25
nejdříve,17
zanedlouho,26
urychleně,27
třikrát,28
mezitím,29
nejdřív,30
poté,31
záhy,32
vícekrát,33
prvně,34
tentokrát,35
několikáté,36
potom,37
důkladně,38
pak,39
ještě,40
rychle,41
úspěšně,42
pomalu,43
posléze,44
teprve,45
stále,46
vrátit,47
zpátky,48
počtvrté,49
předtím,50
párkrát,51
krátce,52
brzo,17
kdykoli,53
začít,54
jej,55
zas,56
zopakovat,57
obnovit,58
naposled,59
pořádně,60
později,61
pravidelně,62
ihned,63
čtyřikrát,64
vracet,65
tolikrát,66
nakrátko,67
neúspěšně,42
kdykoliv,53
víckrát,68
neustále,69
pětkrát,70
zakrátko,71
restartovat,72
příště,73
pozvolna,74
letos,75
zkoušet,76
dodatečně,77
náhle,78
teď,79
nečekaně,80
pořád,81
opìt,82
nanovo,83
naplno,84
hned,85
prudce,86
vždy,87
pokoušet,88
periodicky,89
automaticky,90
razantně,91
jednou,92
raději,93
nakonec,94
rovnou,95
pokorně,96
zpětně,97
kompletně,98
vrací,65
jaře,99
otevřít,100
opatrně,101
desetkrát,102
tisíckrát,103
poprve,104
pošesté,105
řádně,106
pokusit,107
budoucnu,108
nemilosrdně,109
pečlivě,110
chvíli,111
nadále,112
výrazněji,113
zkusit,114
společně,115
častěji,116
opakuji,23
chvilku,117
opet,118
přestat,119
předčasně,120
dočasně,121
obnoven,122
nedávno,123
tak,124
nadlouho,125
radostně,126
nejednou,127
načase,128
napřed,129
nově,130
samovolně,131
již,132
slavnostně,133
zničehonic,134
vždycky,135
chtít,136
dokonce,137
němu,55
opravit,138
důrazně,139
popáté,140
intenzivně,141
obnovovat,58
vrátí,47
natrvalo,142
rychleji,41
zázračně,143
neprodleně,144
zpět,145
skutečně,146
opakovala,23
klidně,147
plnohodnotně,148
aktivovat,149
však,150
náležitě,151
současně,152
směle,153
vrátil,47
nekompromisně,154
opravovat,155
muset,156
trpělivě,157
zákonitě,158
letech,159
naléhavě,160
určitě,161
pracně,162
zlehka,163
najednou,164
dokola,165
někdy,166
napříště,167
nějak,168
stokrát,169
počkat,170
opětovném,171
nedlouho,172
oživit,173
zkusil,114
hromadně,174
nastartovat,175
posedmé,176
zcela,177
občas,178
jednoduše,179
tajně,180
dlouze,181
poctivě,182
načas,183
vracím,65
rovněž,184
něj,55
radši,185
něco,186
opakuje,23
odmlce,187
nechtěně,188
zkusí,114
vrátila,47
pustit,189
snažit,190
tentokráte,35
jednorázově,191
nato,192
mnohonásobně,193
tentýž,194
otevírat,195
opětovným,171
spustit,196
bezpodmínečně,197
týdnech,198
nechat,199
opakoval,23
jindy,200
neočekávaně,201
nadechnout,202
neplánovaně,203
zkontrolovat,204
snadno,205
narychlo,206
nadobro,207
nejspíš,208
pokaždý,209
premiérově,210
tvrdě,211
jakmile,212
významně,213
nedobrovolně,214
moct,215
tam,216
načež,217
opakovalo,23
znenadání,218
proto,219
veřejně,220
snáze,205
permanentně,221
dávno,222
stejným,223
koncem,224
obnoví,58
odvážně,225
cíleně,226
několikanásobně,227
zároveň,228
nutno,229
bezodkladně,230
snadněji,205
pauze,231
dobrovolně,214
každoročně,232
honem,233
pokoušel,88
zřejmě,234
radikálně,235
průběžně,236
přijít,237
plně,238
musí,156
vracejí,65
přehodnotit,239
šanci,240
ním,55
důsledně,241
obnovena,122
příležitostně,242
pokouší,88
nikdy,243
oficiálně,244
systematicky,245
opraven,138
takhle,246
dnes,247
intenzivněji,141
dlouho,172
pokusí,107
vědomě,248
obnoveno,122
spontánně,249
jedenkrát,250
roce,159
patřičně,251
jistotu,252
normálně,253
násilně,254
taktéž,255
bezpečně,256
úplně,257
teprv,258
totiž,259
včas,260
pozdě,61
navždy,261
musím,156
donekonečna,262
zvolna,263
složitě,264
sklonku,265
devětkrát,266
přesto,267
přestane,119
tuto,268
nucen,269
samostatně,270
příští,271
opětovné,171
opustit,272
napodruhé,273
krátko,274
nutné,229
únoru,275
ovšem,276
zkraje,277
zastavit,278
objevovat,279
sedmkrát,280
musíme,156
zkouším,76
aktivně,281
podzim,282
vnitřně,283
zhluboka,284
jednotlivě,285
navrátit,286
pokračovat,287
málem,288
zaslouženě,289
náhodně,290
ale,291
silněji,292
prakticky,293
začátkem,294
účinně,295
říjnu,296
opětovnému,171
odložit,297
opravena,138
usilovat,298
také,299
osmkrát,300
preventivně,301
když,302
trvale,303
eventuálně,304
testovat,305
tady,306
třeba,307
výrazně,113
rázně,308
obnovený,122
přestala,119
bezplatně,309
přestal,119
nenávratně,310
přece,311
pěkně,312
přestali,119
tedy,313
abych,314
mocně,315
dál,316
pokusil,107
něm,55
nevyhnutelně,317
hnedka,318
rozhodnout,319
zde,320
měsících,321
počátkem,322
masivně,323
zkouší,76
přestalo,119
častokrát,324
někde,325
sebevědomě,326
desetiletích,327
zapnout,328
zkusila,114
mohli,215
příštím,271
dobývat,329
prosit,330
trochu,331
dubnu,332
marně,333
mohl,215
začal,54
musel,156
nedávnem,123
nazpět,334
rozebrat,335
dostavit,336
březnu,337
nechal,199
někam,338
dát,316
zopakuje,57
trošku,339
obnovuje,340
logicky,341
lépe,342
probudit,343
chvili,344
něho,55
rázem,345
navrací,346
abychom,314
rozsáhle,347
jít,348
částečně,349
šestkrát,350
vyměnit,351
hlouběji,352
obnovili,58
sejít,353
požadovat,354
vrátili,47
zásadně,355
objevit,356
beztrestně,357
nejspíše,358
každopádně,359
spolehlivě,360
správně,361
vstoupit,362
bleskově,363
dřív,17
nenásilně,364
novou,365
krásně,366
musela,156
formálně,367
tento,268
pokusili,107
lehce,368
květnu,369
záhadně,370
zkoumat,371
koncertovat,372
možno,373
začne,54
jemně,374
takto,375
přirozeně,376
přestávce,377
letošním,378
jistě,379
aby,314
létě,380
opakovaném,381
potají,382
otvírat,100
novém,365
samozřejmě,383
návratu,384
začnu,54
lednu,385
rozmyslet,386
opravdu,387
podrobně,388
dlouhodobě,389
otevřela,100
snad,390
často,116
nicméně,391
tímto,268
půl,392
dříve,17
stisknout,393
přepracovat,394
vrhnout,395
nutně,396
vše,397
nerušeně,398
obnovil,58
rozhodl,319
být,399
loni,400
hojně,401
vrátily,47
mohutně,402
nepřetržitě,403
zahájit,404
zkusíme,114
jakoby,405
začala,54
mohla,215
zkusím,114
symbolicky,406
bodovat,407
zastavovat,278
sice,408
restartu,409
minutách,410
rapidně,411
něčím,412
dokázat,413
taky,414
dostat,415
mírně,416
navíc,417
potřeba,418
chviličku,419
překvapivě,420
připravovat,421
obnovila,58
obnoveny,122
uvolnit,422
příležitost,423
nuceně,424
stejném,223
poslušně,425
zopakovala,57
zkrátka,426
roka,159
schválně,427
vrátím,47
aktualizovat,428
ožívá,429
nepřestává,430
časem,431
nim,55
vloni,400
dramaticky,432
pokusila,107
chce,136
intenzívně,433
vesele,434
následovat,435
možné,373
ještì,436
žádat,437
vytrvale,438
čtvrt,439
přestanou,119
opraveny,138
chci,136
opětovného,171
budu,399
svévolně,440
stoprocentně,441
kontinuálně,442
začali,54
šťastně,443
citlivě,444
chvilce,117
málokdy,445
konecne,446
složit,447
podařit,448
čase,431
hledat,449
nouzově,450
nepravidelně,62
krátkodobě,451
bezprostředně,452
postavit,453
připraveni,454
čekat,455
urgentně,456
létech,380
budeme,399
následujícím,457
nenápadně,458
omylem,459
totéž,194
nějakým,460
prý,461
přerušit,462
jasněji,463
pokoušela,88
všechno,397
zřetelně,464
chtějí,136
sobě,465
spojit,466
týden,198
vyjmout,467
