slovo,poradi
však,1
ovšem,2
totiž,3
sice,4
přitom,5
zřejmě,6
nicméně,7
ale,8
tedy,9
proto,10
rovněž,11
přesto,12
prý,13
pochopitelně,14
samozřejmě,15
nakonec,16
také,17
patrně,18
přece,19
zpočátku,20
bohužel,21
nyní,22
naštěstí,23
pak,24
nejspíš,25
ačkoli,26
nejspíše,27
avšak,28
zatím,29
zprvu,30
ačkoliv,31
údajně,32
ostatně,33
přestože,34
jistě,35
tudíž,36
navíc,37
paradoxně,38
rozhodně,39
nejenže,40
zde,41
snad,42
přeci,43
vždy,44
kupodivu,45
ještě,46
každopádně,47
obvykle,48
již,49
opět,50
možná,51
mnohdy,52
prozatím,53
zkrátka,54
neboť,55
jej,56
něj,56
pravděpodobně,57
zdá,58
tak,59
stále,60
zásadě,61
naopak,62
očividně,63
většinou,64
třebaže,65
taktéž,66
dnes,67
tehdy,68
zároveň,69
dokonce,70
určitě,71
mezitím,72
zpravidla,73
pokud,74
evidentně,75
skutečně,76
tentokrát,77
zjevně,78
nich,56
zato,79
často,80
bezpochyby,81
záhy,82
zdaleka,83
zanedlouho,84
potom,85
protože,86
byť,87
nejprve,88
posléze,89
zase,90
zajisté,91
podstatě,92
vlastně,93
ukázalo,94
vůbec,95
něho,56
jen,96
jim,56
zřejmé,97
někdy,98
současně,99
nepochybně,100
dosud,101
nadále,102
brzy,103
něm,56
koneckonců,104
povětšinou,105
když,106
teď,107
ani,108
jenom,109
tato,110
nikdy,111
asi,112
není,113
fakticky,114
předpokládá,115
jelikož,116
evidentní,117
tito,110
občas,118
možné,119
jisté,120
leckdy,121
napříště,122
překvapivě,123
mnozí,124
nezřídka,125
vesměs,126
taky,127
pouze,128
vzápětí,129
jež,130
tyto,110
zůstává,131
poté,132
tomto,110
domníváme,133
nutně,134
může,135
doposud,136
dozajista,137
zakrátko,138
tenkrát,139
spíše,27
pravděpodobné,140
natolik,141
opravdu,142
někteří,143
chvíli,144
tam,145
bývá,146
bezesporu,147
nutno,148
prostě,149
mnohé,124
vždycky,150
předpokládat,115
být,113
donedávna,151
beztak,152
vám,153
neznamená,154
přinejmenším,155
lze,156
letos,157
třeba,158
nutné,148
oficiálně,159
předpokládají,115
zdálo,58
tento,110
naznačuje,160
který,161
podotknout,162
víceméně,163
musí,164
toto,110
které,161
častokrát,165
možno,119
takže,166
tady,167
přičemž,168
mnohde,169
prakticky,170
jíž,130
následně,171
naznačují,160
němu,56
poněvadž,172
domnívají,133
kdy,173
obyčejně,174
skutečnost,175
jenž,130
tomu,176
tvrdí,177
teprve,178
nám,179
která,161
konečně,180
jednoznačně,181
sotva,182
případě,183
holt,184
nejdříve,103
jasné,185
případech,183
patrné,186
pořád,187
spíš,188
nás,179
takovém,189
původně,190
žádném,191
zas,192
především,193
raději,194
dlouho,195
tradičně,196
mimochodem,197
definitivně,198
mohou,135
konstatovat,199
standardně,200
jsou,113
nejenom,201
skutečnosti,175
bychom,113
zrovna,202
známo,203
zásadně,204
fakt,205
příliš,206
prokázalo,207
vás,153
kterou,161
formálně,208
zapotřebí,209
některé,143
tuto,110
málokdy,210
nichž,130
uvědomit,211
téměř,212
pakliže,213
přesvědčen,214
nikterak,215
tvrdil,177
nadto,216
postupně,217
současnosti,218
náhle,219
zdůraznit,220
teda,221
teoreticky,222
tentokráte,77
zda,223
alespoň,224
dokud,225
nikdo,226
nemusí,164
měl,227
domnívá,133
stejně,228
jich,56
poznamenat,229
většina,64
domníval,133
nimi,56
doopravdy,230
domnívat,133
logicky,231
tom,176
byl,113
nijak,232
většině,64
říci,233
nynějška,234
domnívali,133
nepředpokládá,115
kterého,161
dávno,235
nebývá,146
přesvědčeni,214
právě,236
kromě,237
kde,238
jaksi,239
ukázaly,94
domnívám,133
nějž,130
musejí,164
ukazuje,240
zdánlivě,241
tím,176
pokaždé,242
jsem,113
namístě,243
vsak,244
bývají,146
bylo,113
jsme,113
dokazují,245
kterému,161
nejsou,113
nelze,156
připouští,246
vskutku,247
můţe,248
něhož,130
kterým,161
momentálně,249
jakmile,250
ukazují,240
věru,251
myslím,252
jenže,253
kterých,161
tohle,254
primárně,255
nasvědčuje,256
hlavně,257
nesporně,258
ním,56
jenomže,259
tolik,260
existují,261
tvrdit,177
kupříkladu,262
obzvláště,263
stěží,264
nemůže,135
zcela,265
prokazatelně,266
oba,267
budoucnu,268
opětovně,269
důsledně,270
nejen,271
kterými,161
mnohých,124
skoro,272
době,273
jeví,274
výslovně,275
můžeme,135
moc,276
zjišťuje,277
potřeba,278
jemuž,130
aby,279
aspoň,280
samotná,281
bude,113
měla,227
nespočívá,282
pochopitelné,283
všechno,284
víme,285
několikrát,286
jediné,287
jimž,130
jestli,288
vysloveně,289
kteří,161
měly,227
němuž,130
nejednou,290
vždyť,291
mne,179
ona,56
například,292
předpokládáme,115
současné,293
mnoho,294
žel,295
některých,143
znovu,296
byla,113
takřka,297
samozřejmé,298
takovémto,299
němž,130
poukazují,300
zákonitě,301
mnohém,124
nějak,302
vyžaduje,303
byly,113
zdali,304
nanejvýš,305
významně,306
nevylučuje,307
důvodem,308
patrno,186
mnohým,124
též,309
chtěl,310
tvrdila,177
obecně,311
facto,312
zjistí,313
běžně,314
buď,315
mohl,135
totiz,316
podivem,317
zůstával,131
vše,284
všichni,284
vidno,318
předpokládalo,115
namítnout,319
nebyl,113
pravda,320
předně,321
přesvědčený,214
samozøejmì,322
předpokládám,115
jestliže,323
výrazněji,324
faktem,205
stoprocentně,325
počátku,326
zejména,327
okamžitě,328
jednou,329
letošek,330
muset,164
neustále,331
pravděpodobnější,140
zjevné,332
těchto,110
vyloženě,333
mají,227
níž,130
nepravděpodobné,140
nastává,334
kterém,161
nebývají,146
zjišťují,277
poukazuje,300
přiznávají,335
takové,189
nebyla,113
principiálně,336
mít,227
věděl,285
nečekaně,337
niž,130
předpokládala,115
dalece,338
předtím,339
uvědomil,211
zůstávalo,131
ikdyž,340
leč,341
zůstávají,131
doufejme,342
zvláště,343
taková,189
vyloučeno,344
dlouhodobě,345
nezbytně,346
dodnes,347
musel,164
takovýto,299
zůstávala,131
nedlouho,195
nadlouho,348
rozhodl,349
navzdory,350
nim,56
přestává,351
takovéto,299
bych,113
bezvýhradně,352
poměrně,353
připustit,354
nimiž,130
kdyby,355
doufají,342
nikomu,226
některá,143
výjimečně,356
měli,227
ještì,357
nejdřív,358
musíme,164
vţdy,359
prvé,360
neměl,227
takováto,299
připustil,354
zjistilo,313
usoudil,361
nic,362
každoročně,363
museli,164
jak,364
ukázala,94
