slovo,poradi
sehnat,1
najít,2
shánět,3
seženu,1
koupit,4
sehnala,1
sehnal,1
sežene,1
obstarat,5
pořídit,6
seženete,7
sehnání,8
sháním,3
získat,9
shání,3
vyrobit,10
sháněl,3
najit,2
nalézt,11
zakoupit,12
objednat,13
sháněla,3
dohledat,14
vyměnit,15
hledat,16
zajistit,17
poptat,18
dostat,19
narazit,20
zařídit,21
připravit,22
nakoupit,23
vymyslet,24
vyhledat,25
opatřit,26
vybrat,27
prodat,28
dovézt,29
půjčit,30
dát,31
použít,32
ulovit,33
nabídnout,34
zjistit,35
udělat,36
zkusit,37
vyřešit,38
uchytit,39
najmout,40
opravit,41
vypátrat,42
sháníte,3
nahradit,43
dokoupit,44
zvládnout,45
vytvořit,46
vytáhnout,47
vyjednat,48
kupovat,49
poradit,50
obejít,51
prosadit,52
namontovat,53
nacpat,54
vypůjčit,55
chytit,56
najdu,2
zrealizovat,57
vykoupit,58
umístit,59
vybavit,60
vzít,61
přivézt,62
sestavit,63
realizovat,64
udržet,65
postavit,66
našel,2
využít,67
koupím,4
pokusit,68
zaměstnat,69
nafotit,70
potřebovat,71
shánění,72
mání,73
poskytnout,74
zorganizovat,75
ukrást,76
oslovit,77
odkoupit,78
nasadit,79
vyzkoušet,80
představit,81
vykouzlit,82
zapůjčit,83
zhotovit,84
zprovoznit,85
objevit,86
vydělat,87
prodávat,88
ušít,89
zeptat,90
zlikvidovat,91
zaplatit,92
našla,2
dají,31
vybudovat,93
dodělat,94
prorazit,95
uživit,96
donést,97
naleznout,98
spravit,99
dopravit,100
hledají,16
shromáždit,101
poznat,102
vybírat,103
vydat,104
převézt,105
objednávat,106
zpracovat,107
odhadnout,108
poskládat,109
řešit,110
hledal,16
vyzvednout,111
odlišit,112
doložit,113
vyfotit,114
nabízet,115
převést,116
namíchat,117
vyrábět,118
dodat,119
přivést,120
zařadit,121
stihnout,122
potřeboval,71
nainstalovat,123
přemluvit,124
spočítat,125
zabezpečit,126
potkat,127
rozeznat,128
hledala,16
složit,129
vystopovat,130
nalákat,131
najdou,2
posbírat,132
koupíte,4
sundat,133
natočit,134
dostání,135
potřebuji,71
najde,2
vyžádat,136
koupil,4
očekávat,137
doporučit,138
vyrazit,139
spatřit,140
osadit,141
přespat,142
domluvit,143
stáhnout,144
předělat,145
doplnit,146
potřebovala,71
natáhnout,147
uhradit,148
koupíš,4
zaměnit,149
poohlédnout,150
rekonstruovat,151
zvolit,152
poslat,153
vypěstovat,154
navrhnout,155
vyhodit,156
pokrýt,157
přemístit,158
schovat,159
vyřídit,160
pomoct,161
doobjednat,162
dotáhnout,163
kouknout,164
zachránit,165
vyvinout,166
ušetřit,167
sebrat,168
usadit,169
přepravit,170
mrknout,171
ukrýt,172
doladit,173
prodávají,88
zrekonstruovat,174
vypracovat,175
zahlédnout,176
zaparkovat,177
identifikovat,178
vypravit,179
kupovala,49
sladit,180
vyhledávat,181
koupíme,4
určit,182
předložit,183
dělat,184
hledám,16
pronajmout,185
odhalit,186
otestovat,187
hledali,16
žádat,188
přivydělat,189
vzpomenout,190
připojit,191
koupila,4
uvařit,192
kupoval,49
netu,193
napsat,194
splnit,195
rozebrat,196
utáhnout,197
připevnit,198
doručit,199
přehodit,200
dovolit,201
obdržet,202
koupí,203
zajet,204
dokázat,205
potřebovali,71
napojit,206
považovat,207
přežít,208
nenajde,2
zastavit,209
pořídíte,6
zkombinovat,210
možně,211
sbalit,212
vyndat,213
nastudovat,214
zavést,215
rozlišit,216
strčit,217
spolehnout,218
ohlídat,219
přilákat,220
akceptovat,221
pořídím,222
potřebuju,71
převzít,223
připlatit,224
vyčistit,225
nechat,226
provést,227
schválit,228
dokončit,229
poprosit,230
čekat,231
našly,2
nabízeli,115
levnější,232
zřídit,233
poradíte,50
levný,232
zkoušet,234
naladit,235
zprostředkovat,236
nasbírat,237
prověřit,238
dojet,239
docílit,240
zmapovat,241
pohlídat,242
uvolnit,243
dovést,244
odvézt,245
nenašel,2
rozpoznat,246
ověřit,247
zachytit,248
upravit,249
zapomenout,250
zaslat,251
postarat,252
podpořit,253
načerpat,254
dohnat,255
sáhnout,256
hledá,16
vyčlenit,257
stanovit,258
dovážet,259
vypsat,260
demontovat,261
převážet,105
uskutečnit,262
vyčíslit,263
sjednat,264
přesvědčit,265
zorientovat,266
vyplatit,267
říct,268
zvednout,269
vyplnit,270
spojit,271
prostudovat,272
levné,232
nemožné,273
instalovat,274
vrátit,275
pořídila,6
uvést,276
možné,273
zažádat,277
dohodnout,278
nabrat,279
srovnat,280
odvést,281
zabavit,282
založit,283
napravit,284
stabilizovat,285
přestěhovat,286
zkusím,37
předpokládat,287
ocenit,288
požádat,289
vydržet,290
vystavit,291
pustit,292
získávat,293
kupuju,49
dorazit,294
podaří,295
zaskočit,296
nenajdou,2
uspět,297
předat,298
obsadit,299
vsadit,300
vydávat,301
vložit,302
propojit,303
zpřístupnit,304
pochopit,305
pořídil,6
oživit,306
vyprodukovat,307
prodají,28
uspořádat,308
vyměním,15
odstranit,309
zkontrolovat,310
nalepit,311
kupte,312
přesunout,313
zbavit,314
naplnit,315
přetáhnout,316
dávat,317
investovat,318
sestrojit,319
popsat,320
dodržet,321
chytat,322
zviditelnit,323
vyjet,324
přitáhnout,325
chtít,326
orientovat,327
naučit,328
říci,268
nastavit,329
dosadit,330
dodávat,331
peníz,332
jinde,333
oddělit,334
zaměřit,335
zapojit,336
zneškodnit,337
označit,338
odložit,339
nalezl,98
vysvětlit,340
podařit,295
přijmout,341
dosáhnout,342
zasadit,343
najdeme,2
nenašla,2
koupili,4
přijít,344
našlo,2
nahrát,345
přenést,346
upéct,347
rozjet,348
skloubit,349
kontaktovat,350
nenajdete,2
navázat,351
nakoupíte,23
kupovali,49
stvořit,352
hodit,353
uschovat,354
lokalizovat,355
utratit,356
zahrát,357
přeložit,358
lze,359
zaujmout,360
vylepšit,361
zlákat,362
sepsat,363
vyznat,364
nanést,365
vyhrát,366
aplikovat,367
potřebujeme,71
prezentovat,368
změřit,369
počkat,370
přikoupit,371
nazvat,372
vycvičit,373
strávit,374
brát,375
vychovat,376
vystavět,377
našli,2
zadat,378
obléct,379
porovnat,380
posadit,381
obnovit,382
sbírat,383
prozkoumat,384
objednal,13
rozložit,385
zabrat,386
trefit,387
půjčil,30
objednám,13
potřebují,71
zaplnit,388
nakupovat,389
připravovat,390
zhodnotit,391
donutit,392
hledaly,16
zajišťovat,393
utvořit,394
platit,395
spoléhat,396
navštívit,397
specifikovat,398
zvyknout,399
pěstovat,400
požadovat,401
ochutnat,402
přihodit,403
třeba,404
rozumnou,405
nalezli,98
dobít,406
nabídnou,34
zajít,407
zužitkovat,408
podařilo,295
navýšit,409
odvodit,410
vytisknout,411
překonat,412
ucházet,413
zaznamenat,414
šetřit,415
vyprostit,416
naplánovat,417
vysledovat,418
vygenerovat,419
porazit,420
prokázat,421
vyléčit,422
potřebujete,71
náhradu,423
přidělit,424
odkázat,425
posoudit,426
nabízím,115
přinést,427
točit,428
koupily,4
přehlédnout,429
mít,430
vyjít,431
nedají,31
nepodařilo,295
opsat,432
obrátit,433
vypočítat,434
používat,435
nosit,436
vystihnout,437
vytlačit,438
jednat,439
inzerovat,440
nabídněte,441
podepsat,442
dostanou,19
ubytovat,443
definovat,444
vysadit,445
přidat,446
zabalit,212
vyladit,447
zkusila,37
pomoci,448
pověsit,449
charakterizovat,450
uchovat,451
vozit,452
zkusil,37
darovat,453
zbudovat,454
vybojovat,455
vnutit,456
vystačit,457
počítat,458
udelat,459
nakoupil,23
dopřát,460
nikde,461
možno,273
vyžadovat,462
použiť,463
zaregistrovat,464
nejlevnější,232
vyčíst,465
nabídli,34
stěžovat,466
financovat,467
zničit,468
přepnout,469
dostupného,470
projet,471
angažovat,472
pokoušet,473
prodával,88
zachovat,474
zkusim,475
vyvážit,476
dalo,31
zaručit,477
narazíte,20
pořídí,478
uspokojit,479
studovat,214
pojistit,480
zkouším,234
vyhledal,25
adaptovat,481
nenašly,2
vyplatí,267
zdolat,482
zapnout,483
vytrhnout,484
sjednotit,485
držet,486
zvládat,487
zveřejnit,488
odnést,489
sejít,490
vyzkoušel,80
najdete,2
stavět,491
vyprat,492
zabít,493
propustit,494
vymýšlet,495
zakoupíte,12
naložit,496
potřeba,497
dostávat,498
obléci,499
výhodně,500
objednali,13
reklamovat,501
lepšího,502
tahat,503
potřebné,504
obohatit,505
někde,506
zvládnou,507
dostanu,19
kupuji,49
zamířit,508
nahrazovat,509
ošetřit,510
setkat,511
propagovat,512
obléknout,513
uvažovat,514
kvalitní,515
potřebuješ,71
půjčí,30
stíhat,516
projít,517
rozhodnout,518
vyslechnout,519
zasunout,520
pořizovat,521
utrácet,522
zdokumentovat,523
vyzdvihnout,524
ohřát,525
čerpat,526
ochránit,527
připnout,528
poslechnout,529
potřebovaly,71
jít,530
pomůžou,531
nasměrovat,532
pročíst,533
daly,31
integrovat,534
uspořit,535
nakoupili,23
potřebuje,71
dostupný,470
narazím,20
přečíst,536
uchopit,537
projednat,538
uhrát,539
rozšířit,540
chybí,541
zkusili,37
spustit,542
podívat,543
nakoupila,23
nekoupil,4
položit,544
problém,545
nastartovat,546
vyrobili,10
těžko,547
pojmenovat,548
vynutit,549
snažit,550
ukázat,551
zapracovat,552
potvrdit,553
přimět,554
prohlédnout,555
daj,556
odevzdat,557
zkoušel,234
nalezení,558
levněji,559
nemáte,430
kvalifikovat,560
nezapomenout,561
podat,562
napájet,563
namalovat,564
najíst,565
dražší,566
probojovat,567
evidovat,568
nepodaří,295
zkusíme,37
natáčet,569
nevíte,570
vyložit,571
ohodnotit,572
natřít,573
zkopírovat,574
obstará,5
nemáme,430
očistit,575
vynaložit,576
odstavit,577
jedině,578
vyřadit,579
vyčerpat,580
vydělávat,581
