slovo,poradi
kód,1
kod,2
kódy,1
kódem,1
kódu,1
číselný,3
název,4
identifikátor,5
zdrojový,6
objednací,7
čárový,8
kódů,1
číslo,9
text,10
znak,11
řetězec,12
dekodér,13
parametr,14
program,15
slevový,16
obrázek,17
typ,18
číselník,19
opište,20
vzorec,21
štítek,22
systém,23
certifikát,24
klíč,25
řádek,26
algoritmus,27
tvar,28
popis,29
přístupový,30
kupón,31
mechanismus,32
výsledek,33
modul,34
kupon,35
rozměr,36
princip,37
rozsah,38
chybové,39
proces,40
obsah,41
formát,42
balíček,43
obal,44
škodlivý,45
rozluštit,46
zadáte,47
údaj,48
návod,49
produktový,50
příznak,51
code,52
vápenatý,53
voucheru,54
symbol,55
odstín,56
překladač,57
prefix,58
identifikační,59
mechanizmus,60
kontejner,61
nomenklatury,62
časovač,63
koncept,64
číselníku,19
signál,65
kompilátor,66
ovladač,67
vygeneruje,68
materiál,69
soubor,70
znaky,11
odkaz,71
druh,72
objem,73
číslem,9
průkaz,74
napsaný,75
genetický,76
kufr,77
heslo,78
popruh,79
zobrazený,80
význam,81
model,82
dvoumístný,83
příběh,84
součet,85
zdarmakód,86
programátor,87
kontext,88
akumulátor,89
jazyk,90
klíček,91
kupujíkód,92
filtr,93
výkaz,94
položky,95
předvolba,96
scénář,97
strojový,98
procesor,99
atribut,100
operátor,101
analyzátor,102
kódování,103
indikátor,104
následek,105
titulek,106
zadejte,107
pořadové,108
zadat,107
úchyt,109
hash,110
obor,111
ukazatel,112
specifický,113
generátor,114
bonusový,115
účinek,116
zdrojového,6
rámeček,117
nástroj,118
faktor,119
nástavec,120
zásobník,121
požadavek,122
zadej,123
html,124
skriptu,125
číslice,126
číslicí,126
poukaz,127
software,128
displej,129
čip,130
script,131
draselný,132
výsledný,133
nazev,134
pilník,135
pruh,136
potenciál,137
čísla,9
kufřík,138
tón,139
teploměr,140
výstup,141
výrobce,142
jezdec,143
nápis,144
doklad,145
dávkovač,146
produkt,147
prvek,148
přiřazen,149
vzkaz,150
manuál,151
čtverec,152
standard,153
vozík,154
èíslo,155
způsob,156
přístroj,157
předmět,158
kupónu,159
otisk,160
kinobox,161
textový,162
datum,163
načíst,164
držák,165
stroj,166
