slovo,poradi
připojit,1
připojovat,1
připojí,1
připojíte,1
zapojit,2
odpojit,3
připevnit,4
připojili,1
připojil,1
přidat,5
připojuje,6
propojit,7
připojím,1
napojit,8
připojen,9
použít,10
připojují,6
spojit,11
přiřadit,12
využít,13
umístit,14
připnout,15
namontovat,16
připojený,9
nainstalovat,17
instalovat,18
připojila,1
přistoupit,19
nahrát,20
připojení,21
připojily,1
zprovoznit,22
přenést,23
vložit,24
nakonfigurovat,25
pustit,26
postavit,27
dokoupit,28
přihlásit,29
přistupovat,30
poslat,31
zapnout,32
připojeni,1
dostat,33
přiložit,34
přikoupit,35
zaregistrovat,36
nasadit,37
připojená,9
přidávat,38
napájet,39
připojena,9
přivést,40
založit,41
připojeny,1
přemístit,42
přesunout,43
vytvořit,44
spustit,45
dát,46
nastavit,47
připojilo,1
vyjádřit,48
připojeno,9
posadit,49
natáhnout,50
připojené,9
získat,51
zavěsit,52
odebrat,53
nabíjet,54
připojte,1
ovládat,55
přenášet,56
doplnit,57
používat,58
přidělit,59
zařadit,60
zasunout,61
využívat,62
připojením,21
nasměrovat,63
vrátit,64
objednat,65
pořídit,66
stáhnout,67
připojuji,68
integrovat,69
začlenit,70
konfigurovat,71
připravit,72
sestavit,73
položit,74
odkázat,75
vystoupit,76
dodat,77
zakoupit,78
zaznamenat,79
předat,80
přiblížit,81
vytáhnout,82
zřídit,83
vyslat,84
realizovat,85
upevnit,86
demontovat,87
osadit,88
odeslat,89
uspořádat,90
otevřít,91
synchronizovat,92
přepnout,93
vyměnit,94
propojovat,7
zpřístupnit,95
nahrávat,96
udělit,97
složit,98
zablokovat,99
převést,100
hlásit,101
zadat,102
vypnout,103
zavést,104
připojenou,9
pokusit,105
doobjednat,106
předložit,107
napsat,108
zachytit,109
zúčastnit,110
připsat,111
vznést,112
posílat,113
prezentovat,114
zapsat,115
vystavit,116
přizpůsobit,117
převzít,118
zaslat,119
provést,120
přijít,121
vstoupit,122
uvést,123
provozovat,124
najít,125
koupit,126
odesílat,89
vzít,127
připojeného,9
udělat,128
obejít,129
zapůjčit,130
oddělit,131
vybavit,132
pověsit,133
uchytit,134
schovat,135
zahájit,136
němu,137
ovládnout,138
rozdělit,139
montovat,140
vyřešit,141
podat,142
přispět,143
usadit,144
zorganizovat,145
registrovat,146
zkopírovat,147
dodávat,148
vydat,149
zahrnout,150
dobít,151
připojených,9
obohatit,152
poskytnout,153
přejít,154
specifikovat,155
dobíjet,156
vyrobit,157
přitáhnout,158
poskládat,159
přehodit,160
sednout,161
spravovat,162
dojít,163
zpracovat,164
zajistit,165
zapojovat,2
jít,166
odebírat,167
sdílet,168
zvolit,169
zkusit,170
obrátit,171
upravit,172
darovat,173
dorazit,174
směřovat,175
usednout,176
vybudovat,177
opravit,178
