slovo,poradi
stanice,1
stanici,1
stanicí,1
stanic,1
stanicích,1
stanicemi,1
metra,2
zastávky,3
stanoviště,4
čerpací,5
staniční,6
rozhlasové,7
soupravy,8
lanovky,9
střediska,10
jednotky,11
linky,12
nádraží,13
bioplynové,14
zastávka,3
dokovací,15
rádia,16
pracoviště,17
souprava,8
vysílače,18
centra,19
rozhlasová,7
radiostanice,20
meteorologická,21
základny,22
nemocnice,23
televize,24
nástupiště,25
laboratoře,26
tratě,27
rádiové,28
zařízení,29
jednotka,11
vysílání,30
radiové,31
polikliniky,32
sítě,33
elektrárny,34
železnice,35
koleje,36
station,37
trati,27
šachty,38
budovy,39
trasy,40
mise,41
kliniky,42
lince,12
ambulance,43
meteostanice,44
železniční,45
meteorologické,21
ústředny,46
vlaky,47
koncová,48
vysílací,49
četnická,50
dráha,51
instituce,52
záchranné,53
záchranky,54
trase,40
zastávce,3
zbrojnice,55
tramvaje,56
vlakové,57
přečerpávací,58
dráhy,51
družice,59
relace,60
vlaková,61
chovatelské,62
hygienická,63
centrála,64
zastávku,3
plošiny,65
centrály,64
služba,66
televizní,67
věznice,68
observatoře,69
benzinové,70
soupravě,8
lokality,71
smyčky,72
souprav,8
organizace,73
aplikace,74
zpravodajské,75
hvězdárny,76
haly,77
záchytné,78
linka,12
síť,33
elektrárna,34
rampy,79
trasa,40
metro,2
trať,27
středisko,10
ordinace,80
rádio,16
věže,81
posádka,82
letiště,83
věž,81
laboratoř,26
strojovny,84
vysílačky,85
přednosta,86
šachta,38
továrny,87
kanály,88
přednosty,86
benzínové,89
budova,39
vesnice,90
boudy,91
vozovny,92
depo,93
smyčka,94
sondy,95
kabelové,96
vesmírné,97
metropole,98
technika,99
lanovka,9
restaurace,100
parkoviště,101
vozidla,102
soupravou,8
přijímače,103
tramvaj,56
rezidence,104
budky,105
základna,22
hygienické,63
terminály,106
radarové,107
kolonie,108
programy,109
zóny,110
posádky,82
depa,111
kolejiště,112
hasičské,113
lokace,114
linku,12
systémy,115
pobočky,116
pumpy,117
muzea,118
mašinka,119
kanálu,88
vysílající,120
lodě,121
budově,39
zastávek,3
kabiny,122
stáje,123
skupiny,124
vysílá,120
výzkumná,125
nabíjecí,126
benzínová,89
loď,121
výzkumné,125
klientské,127
sídliště,128
nádražní,129
vodárna,130
linie,131
společnosti,132
skladiště,133
vysílačů,85
zpravodajství,134
školy,135
radio,16
chaty,136
konzole,137
přístroje,138
lodi,121
záchranná,53
vysílač,85
počítače,139
dispečinku,140
obslužné,141
rafinerie,142
služby,66
kasárna,143
nádrže,144
provozovatele,145
lokalitě,71
týmy,146
kanceláře,147
vlaku,47
polohy,148
vrátnice,149
odbočky,150
zoologické,151
soupravu,8
vysílala,120
kosmické,152
budovou,39
přípojka,153
centrum,19
části,154
lokomotivy,155
relaci,156
provozy,157
soustavy,158
platformy,159
osady,160
tunely,161
divize,162
meteo,163
vysílat,120
výstaviště,164
zoo,165
komise,166
vlakového,57
přípojky,153
rádií,16
autobusové,167
terminálu,106
hlídky,168
policie,169
multiplexu,170
vagóny,171
komory,172
pobočka,116
expozice,173
techniky,174
lanová,175
vlaků,47
veřejnoprávní,176
tvrze,177
pásma,178
baterie,179
zpravodajská,75
čekárny,180
ulice,181
pořady,182
hasičská,113
pokladny,183
pozice,184
kavárny,185
středisek,10
činnosti,186
místnosti,187
univerzity,188
výstavby,189
komora,172
škola,135
stejnojmenná,190
radnice,191
čtvrti,192
sídla,193
lokaci,194
anomálie,195
poliklinika,32
garáže,196
cílové,197
výcvikové,198
hvězdárna,76
firmy,199
mašinky,200
stroje,201
rada,202
funkce,203
vozy,204
serverové,205
kolejové,206
kotelny,207
hale,77
zástavby,208
síti,33
servery,209
obrazovka,210
záložní,211
skupina,124
lokalita,71
léčebny,212
složky,213
stejnojmenné,190
frekvence,214
expedice,215
sanitky,216
provozovny,217
traťové,218
tramvají,56
médium,219
lokomotiva,155
ambasády,220
čety,221
autobusová,167
kamery,222
pracovišť,17
redakce,223
sjezdovky,224
farmy,225
stanovišť,4
kolejí,36
vesmírná,97
observatoř,226
opravny,227
centrále,64
tramvajové,228
kolej,36
kanál,88
zastávkou,3
cesty,229
kapacity,230
infrastruktury,231
budovu,39
správy,232
nedaleké,233
kabina,122
rozhlasu,234
akademie,235
sady,236
koncové,48
benzinky,237
vlak,47
poradny,238
nástupišti,25
mobilní,239
autobusy,240
plošina,65
sekce,241
nástupišť,25
obydlené,242
službou,66
rozhlasovou,7
infrastruktura,231
koncepce,243
rampa,244
přestupní,245
vodárny,130
chovné,246
skříně,247
sesterské,248
pájecí,249
jednotkami,11
spoje,250
sousední,251
střelnice,252
čtvrť,192
budka,105
studio,253
obrazovky,210
profese,254
ústředna,46
domovské,255
výluka,256
prádelny,257
výšková,258
jednotce,11
nádrž,144
složka,213
show,259
plošině,65
tiskárny,260
aréna,261
diagnostická,262
kabelová,96
ubytovny,263
cisterny,264
antény,265
areálu,266
univerzita,188
návěstidla,267
zařízeními,29
plochy,268
sesterská,248
