slovo,poradi
manželka,1
dcera,2
matka,3
žena,4
partnerka,5
přítelkyně,6
milenka,7
švagrová,8
sestra,9
maminka,10
teta,11
vnučka,12
babička,13
manželkou,1
máma,14
kamarádka,15
manželky,1
manžel,16
manžela,16
vdova,17
herečka,18
tchyně,19
choť,20
rodina,21
sousedka,22
dcerka,23
neteř,24
sekretářka,25
dcerou,2
podnikatelka,26
sestřenice,27
tchýně,28
lékařka,29
novinářka,30
syn,31
kolegyně,32
majitelka,33
právnička,34
bývalá,35
zpěvačka,36
syna,31
zaměstnankyně,37
manželku,1
dáma,38
spisovatelka,39
přítelkyní,6
pacientka,40
učitelka,41
milenkou,7
dcery,2
služka,42
klavíristka,43
otec,44
asistentka,45
slečna,46
tchán,47
švagr,48
modelka,49
chůva,50
dceru,2
královna,51
moderátorka,52
těhotná,53
ségra,54
hospodyně,55
vnučkou,12
manažerka,56
scenáristka,57
agentka,58
princezna,59
lyžařka,60
ženou,4
vdaná,61
sestřička,62
zeť,63
bratr,64
houslistka,65
advokátka,66
prababička,67
mamka,68
synem,31
dcerami,2
nevěsta,69
reportérka,70
důchodkyně,71
prostitutka,72
řidička,73
milenku,7
producentka,74
režisérka,75
mladá,76
přítel,77
paní,78
dívka,79
manželce,1
vnuka,80
kráska,81
spolužačka,82
redaktorka,83
studentka,84
spolupracovnice,85
panička,86
překladatelka,87
tchána,47
blondýnka,88
císařovna,89
milenky,7
neteří,24
sestrou,9
švagra,48
třicetiletá,90
půvabná,91
vnučky,12
osoba,92
vnuk,80
manželovi,93
ona,94
pěvkyně,95
společnice,96
žalobkyně,97
ochranka,98
servírka,99
hrdinka,100
soudkyně,101
matkou,3
rozvedená,102
milovaná,103
milenec,7
dcerkou,23
zakladatelka,104
otce,44
fotografka,105
šéfredaktorka,106
senátorka,107
táta,108
návrhářka,109
provdaná,110
bratra,64
bratranec,111
sportovkyně,112
usměvavá,113
mamina,114
výtvarnice,115
synové,31
vnoučata,116
kněžna,117
poradkyně,118
vdala,119
uklízečka,120
zavražděného,121
šéfka,122
manželé,16
rychlobruslařka,123
prezidentka,124
amatérka,125
čtenářka,126
hraběnka,127
kuchařka,128
psycholožka,129
synovec,130
dcerku,23
tenistka,131
svědkyně,132
premiérka,133
politička,134
reprezentantka,135
manželem,16
chotí,20
sestřenicí,27
doktorka,136
masérka,137
partnerkou,138
strýc,139
ekonomka,140
umělkyně,141
básnířka,142
vychovatelka,143
prodavačka,144
sochařka,145
sopranistka,146
publicistka,147
šlechtična,148
synka,149
milence,150
grafička,151
muž,152
průvodkyně,153
terapeutka,154
gymnastka,155
skladatelka,156
malířka,157
nemocná,158
blondýna,159
vláda,160
nevlastní,161
starostka,162
profesorka,163
představitelka,164
ženatý,165
nevěra,166
přítelkyni,6
pracovnice,167
vdovec,168
kancelář,169
hvězda,170
ženská,171
zemřela,172
dcerky,23
zástupkyně,173
ilustrátorka,174
panna,175
vévodkyně,176
holčička,177
kurátorka,178
zkušená,179
ředitelka,180
