slovo,poradi
prezident,1
president,1
premiér,2
prezidentem,1
viceprezident,3
ministr,4
velvyslanec,5
předseda,6
prezidenta,1
prezidenti,1
guvernér,7
senátor,8
prezidentka,9
šéf,10
kancléř,11
vicepremiér,12
diktátor,13
ředitel,14
hejtman,15
prezidentovi,1
státník,16
prezidentský,17
občan,18
diplomat,19
papež,20
prezidentu,1
poslanec,21
rektor,22
místopředseda,23
tajemník,24
panovník,25
premiérem,2
král,26
parlament,27
generál,28
režisér,29
starosta,30
císař,31
profesor,32
primátor,33
prokurátor,34
prezidentů,1
zaměstnanec,35
konzul,36
europoslanec,37
kandidát,38
pan,39
právník,40
reprezentant,41
politik,42
představitel,43
premiérka,44
exministr,45
ministři,4
komunista,46
zakladatel,47
politolog,48
maršál,49
vláda,50
náčelník,51
velmistr,52
kapitán,53
funkcionář,54
policista,55
prezidentské,17
kancléřka,56
soudruh,57
generálporučík,58
úřadující,59
trenér,60
miliardář,61
podnikatel,62
prezidentkou,63
disident,64
prohlásil,65
arcibiskup,66
senát,67
novinář,68
ekonom,69
presidenta,1
ministerský,70
demokrat,71
velitel,72
spisovatel,73
americký,74
generální,75
biskup,76
tenista,77
muž,78
plukovník,79
vědec,80
voják,81
bankéř,82
velvyslance,5
zákonodárce,83
velvyslankyně,84
bývalý,85
kolega,86
viceprezidentem,3
velvyslancem,5
kouč,87
herec,88
prezidentská,17
vyslanec,89
lékař,90
politici,42
lídr,91
moderátor,92
úředník,93
historik,94
manažer,95
sekretář,96
senátoři,8
magnát,97
sociolog,98
viceprezidenta,3
prezidia,99
parlamentu,27
úřad,100
princ,101
náměstek,102
chirurg,103
majitel,104
představitelé,43
poradce,105
zákonodárci,83
spoluzakladatel,106
kongres,107
důstojník,108
jednatel,109
demokratický,110
kníže,111
volený,112
neurolog,113
mistr,114
zaměstnavatel,115
soudce,116
ředitelé,14
ministryně,117
zdůraznil,118
umělec,119
filozof,120
šampion,121
regent,122
advokát,123
doktor,124
psychiatr,125
současný,126
maršálek,127
člen,128
hráč,129
akademik,130
předsedou,6
pán,131
vůdce,132
patriarcha,133
astronaut,134
řekl,135
sportovec,136
delegát,137
člověk,138
humanista,139
expert,140
děkan,141
zpěvák,142
klient,143
kardinál,144
akcionář,145
přítel,146
ministry,4
generálové,28
ministrem,4
hrdina,147
reprezentanti,41
fotbalista,148
partner,149
prorektor,150
odborový,151
architekt,152
představenstva,153
konzulát,154
prezidentskou,17
mluvčí,155
kancléřem,11
pronesl,156
vládní,157
místostarosta,158
komisař,159
otec,160
dlouholetý,161
inspektor,162
velkovévoda,163
senátorka,164
kosmonaut,165
vlády,50
veterán,166
komunistický,167
velkokníže,168
admirál,169
štáb,170
oznámil,171
idiot,172
poslanci,21
soud,173
pracovník,174
meteorolog,175
předsedu,6
frontman,176
metropolita,177
pacient,178
student,179
přijel,180
prezidentského,17
novinářům,68
zvolený,181
vlastník,182
zastupitel,183
skladatel,184
dáma,185
gólman,186
parlamentní,187
abdikoval,188
filmař,189
ředitelka,190
přednosta,191
nadřízený,192
reformátor,193
továrník,194
aktivista,195
podepsal,196
geolog,197
zástupce,198
učitel,199
velvyslanectví,200
předsedající,201
dramatik,202
strýček,203
hokejista,204
parlamentem,27
odborník,205
premiérovi,2
sultán,206
rekordman,207
šerif,208
čestný,209
investor,210
zesnulý,211
pravicový,212
manžel,213
kněz,214
ministra,4
diplomaté,19
prorok,215
generálmajor,216
mladík,217
farář,218
lyžař,219
zvolen,181
řidič,220
průmyslník,221
fyzik,222
navrhovatel,223
slíbil,224
vězeň,225
uvedl,226
vládce,227
federální,228
psycholog,229
český,230
konstatoval,231
pravil,232
předák,233
šéfkuchař,234
držitel,235
finalista,236
génius,237
volič,238
vnitra,239
kuřák,240
protektor,241
šachista,242
výkonný,243
předsedy,6
předsedové,6
redaktor,244
zřizovatel,245
pilot,246
terorista,247
delegace,248
předsednictva,249
proděkan,250
školák,251
legionář,252
prezidentských,17
inženýr,253
sněmovna,254
příznivec,255
primář,256
kancléře,11
fotograf,257
šéfredaktor,258
jmenovaný,259
republiky,260
orgán,261
ústavy,262
tým,263
spolkový,264
ukrajinský,265
vyšetřovatel,266
byrokrat,267
hudebník,268
sládek,269
jmenoval,270
delegáti,137
reportér,271
atentátník,272
brankář,273
turista,274
vyhlásil,275
designér,276
zločinec,277
publicista,278
ambasády,279
premiéra,2
básník,280
útočník,281
politický,282
podplukovník,283
ústava,262
zástupci,198
sdělil,284
iniciátor,285
arcivévoda,286
hospodář,287
stranický,288
ruský,289
stratég,290
poplatník,291
ministrů,4
činitelé,292
předsednictvo,249
volen,112
senátu,67
katolík,293
organizátor,294
vatikánský,295
jezdec,296
dirigent,297
auditor,298
íránský,299
vikář,300
přesvědčen,301
guvernérem,7
předsedá,302
patriot,303
řečník,304
analytik,305
zmocněnec,306
vládě,50
kouzelník,307
bratr,308
rabín,309
rada,310
zákazník,311
rodák,312
moudrý,313
dokumentarista,314
vlád,50
spolumajitel,315
ministrovi,4
milionář,316
protivník,317
vyslovil,318
vyjádřil,319
šéfové,10
kamarád,320
výtvarník,321
projevu,322
nájemník,323
mexický,324
asociace,325
států,326
agent,327
arbitr,328
zoolog,329
levicový,330
scénárista,331
čínský,332
olympionik,333
znovuzvolení,334
summit,335
docent,336
fyziolog,337
přírodovědec,338
tchán,339
kongresu,107
wikipedista,340
občané,18
veterinář,341
krajan,342
návrhář,343
primátorka,344
filosof,120
fyzioterapeut,345
nemocný,346
cyklista,347
koordinátor,348
výbor,349
předsedkyně,350
černoch,351
dozorčí,352
muslim,353
senior,354
lid,355
závodník,356
slavný,357
spolupracovník,358
portugalský,359
přislíbil,360
řezník,361
žurnalista,362
pediatr,363
připomněl,364
barman,365
zubař,366
připustil,367
nynější,368
projev,322
esejista,369
dobrodruh,370
schválil,371
ředitelů,14
armáda,372
sněm,373
konzultant,374
hejtmanem,15
teolog,375
funkcionáři,54
skaut,376
astronom,377
demisi,378
vládu,50
severokorejský,379
obchodník,380
státu,326
dodal,381
dotyčný,382
kapelník,383
úředníci,93
provozovatel,384
producent,385
technolog,386
činitel,292
stavitel,387
sněmovnou,254
rakouský,388
basketbalista,389
sám,390
absolvent,391
vítěz,392
vojenský,393
poznamenal,394
členové,128
policejní,395
komentátor,396
gentleman,397
léčitel,398
rodič,399
náš,400
instruktor,401
právníci,40
jihokorejský,402
archeolog,403
myslitel,404
diktátora,13
poslancům,21
členský,405
místodržící,406
vzkázal,407
scenárista,408
naznačil,409
předsednictví,410
turecký,411
představitelů,43
úřadu,100
argentinský,412
ústavní,413
chilský,414
společnosti,415
podotkl,416
boss,417
spojenec,418
soupeř,419
pozorovatel,420
revolucionář,421
poradci,105
následník,422
zákon,423
komorník,424
vévoda,425
obviněný,426
krajský,427
malíř,428
ekolog,429
vojáci,81
blb,430
ministerstva,431
britský,432
senátorů,8
profesionál,433
národ,434
služebník,435
zavítal,436
žadatel,437
dědeček,438
syrský,439
předsedovi,6
nejmocnější,440
přesvědčený,301
zastupující,441
novináři,68
přítomný,442
československý,443
