slovo,poradi
zkušební,1
testovací,2
zkušebního,1
ověřovací,3
zkušebních,1
pracovní,4
studijní,5
zkušebním,1
experimentální,6
měřicí,7
certifikační,8
kalibrační,9
laboratorní,10
provozní,11
tříměsíční,12
předváděcí,13
soutěžní,14
zkoušky,15
kontrolní,16
garanční,17
dvouměsíční,18
pilotní,19
roční,20
atestační,21
půlroční,22
manipulační,23
letové,24
akreditační,25
školící,26
závodní,27
měsíční,28
revizní,29
schvalovací,30
výcvikové,31
zkoušku,15
srovnávací,32
bezpilotní,33
startovací,34
instalační,35
školicí,36
školní,37
vývojové,38
dvouleté,39
námořní,40
seznamovací,41
výrobní,42
zaváděcí,43
volební,44
udržovací,45
měřící,46
podzimní,47
bezpečnostní,48
vývojový,38
hrací,49
maturitní,50
spalovací,51
vyšetřovací,52
pozorovací,53
lisovací,54
dokumentační,55
výstavní,56
záruční,57
testování,58
služební,59
expoziční,60
montážní,61
regulérní,62
letní,63
přípravný,64
předvolební,65
tovární,66
vstupní,67
produkční,68
přijímací,69
cvičné,70
odvolací,71
první,72
normalizační,73
výcvikový,74
degustační,75
plavební,76
přepravní,77
vázací,78
hybridní,79
referenční,80
jednoroční,81
testovacího,82
evaluační,83
koncertní,84
několikaměsíční,85
skartační,86
sledovací,87
standardní,88
opakovací,89
přípravné,64
prezentační,90
porovnávací,91
reklamní,92
servisní,93
finální,94
zkušebně,95
aplikační,96
svařovací,97
výpovědní,98
kompenzační,99
publikační,100
jednodenní,101
funkční,102
promítací,103
okružní,104
kvalifikační,105
výzkumné,106
monitorovací,107
parní,108
parlamentní,109
licenční,110
speciální,111
zkouška,15
profesní,112
expanzní,113
výkonnostní,114
integrační,115
týdenní,116
železniční,117
sportovní,118
vzdělávací,119
propagační,120
rotační,121
čekací,122
učební,123
denní,124
divadelní,125
inspekční,126
konstrukční,127
opravný,128
špionážní,129
reakční,130
armádní,131
zkoušení,132
dezinfekční,133
tréninkové,134
kopírovací,135
virtuální,136
zahajovací,137
herní,138
učitelské,139
specializační,140
hudební,141
rychlostní,142
jarní,143
realizační,144
konzultační,145
informační,146
tříleté,147
zimní,148
spouštěcí,149
vědecké,150
rekvalifikační,151
kondiční,152
plánovací,153
redukční,154
poslední,155
semestrální,156
terénní,157
profilové,158
balistické,159
návštěvní,160
průzkumné,161
válcové,162
vazební,163
mezinárodní,164
kariérní,165
několikadenní,166
klasifikační,167
registrační,168
řídicí,169
policejní,170
rehabilitační,171
výstupní,172
obnovovací,173
ukázkové,174
dopolední,175
separační,176
jízdní,177
počáteční,178
akreditované,179
doplňovací,180
zakládací,181
traťové,182
prodlužovací,183
stabilizační,184
vyměřovací,185
noční,186
rozmnožovací,187
očkovací,188
prázdninové,189
stíhací,190
třídenní,191
motivační,192
zkoušce,15
dopravní,193
vánoční,194
výukové,195
brigádní,196
nástupní,197
šifrovací,198
expediční,199
pětileté,200
vyučovací,201
letištní,202
prodejní,203
vegetační,204
správní,205
vládní,206
svářecí,207
výzkumný,106
úřední,208
vývojovou,38
korekční,209
letecké,210
regulační,211
operační,212
poznávací,213
fyzikální,214
civilní,215
upínací,216
zemědělský,217
stacionární,218
startovní,219
oficiální,220
citační,221
testovacích,222
testy,223
strojní,224
penzijní,225
adaptační,226
výpůjční,227
drážní,228
expertní,229
legislativní,230
krmné,231
průzkumný,161
večerní,232
pevnostní,233
osvětlovací,234
cvičební,235
komunikační,236
hutní,237
interaktivní,238
studentské,239
vzorový,240
advokátní,241
redakční,242
odborné,243
implementační,244
televizní,245
přezkoušení,246
krátké,247
státní,248
odpolední,249
arbitrážní,250
vstřikovací,251
zbrojní,252
zkoušek,15
nahrávací,253
zapalovací,254
přistávací,255
sjednané,256
spojovací,257
senátní,258
vojenský,259
zkušebny,95
technologické,260
muzejní,261
recyklační,262
stavební,263
přechodové,264
vojenské,259
provoz,265
distribuční,266
soudní,267
řídící,268
dvoudenní,269
výuční,270
diskusní,271
právní,272
aktivační,273
provizorní,274
vzorové,240
lineární,275
uzavírací,276
vývojová,38
pojišťovací,277
sanační,278
letecký,210
čtvrtletní,279
lodní,280
prozatímní,281
filtrační,282
škrtící,283
diagnostické,284
promlčecí,285
záznamové,286
silniční,287
justiční,288
předávací,289
inovační,290
univerzitní,291
návrhové,292
ochranné,293
relaxační,294
výherní,295
prováděcí,296
bezplatné,297
vyrovnávací,298
slavnostní,299
prodloužené,300
úvodní,301
protikorupční,302
editační,303
kosmické,304
závěrečné,305
zajišťovací,306
zkouškou,15
tvůrčí,307
připojovací,308
testovacím,309
vyřazovací,310
pozemní,311
emisní,312
rybářské,313
hasicí,314
dodací,315
kompresní,316
obchodní,317
řádný,318
hlasovací,319
disciplinární,320
poradní,321
kanalizační,322
fakturační,323
proudové,324
vyzkoušení,325
plnicí,326
jazykové,327
rutinní,328
nové,329
miniaturní,330
test,223
protipožární,331
výběrové,332
dělostřelecké,333
trial,334
komise,335
ukázkový,174
habilitační,336
lhůty,337
vědecký,150
forenzní,338
písemné,339
recenzní,340
rekondiční,341
snímací,342
preventivní,343
záložní,344
odpalovací,345
netradiční,346
teplotní,347
novoroční,348
softwarový,349
klavírní,350
paralelní,351
fixační,352
řezací,353
stříkací,354
ohlašovací,355
zobrazovací,356
koncentrační,357
stimulační,358
maskovací,359
pololetní,360
dílčí,361
orientační,362
doba,363
polední,364
zvukový,365
výkonové,366
napájecí,367
konferenční,368
kompilační,369
detoxikační,370
vyjednávací,371
mazací,372
profesionální,373
jednoleté,374
lunární,375
laboratoře,376
regenerační,377
celní,378
celoroční,379
každoroční,380
orbitální,381
oznamovací,382
náhradní,383
natáčecí,384
úvěrové,385
skladovací,386
technické,387
reprodukční,388
plavecké,389
modelovací,390
odbavovací,391
motorové,392
minimální,393
chemické,394
dávkovací,395
imigrační,396
kratší,247
školské,397
cvičný,70
kosmický,304
časový,398
dobu,363
vyhledávací,399
dálniční,400
akademické,401
delší,402
stravovací,403
vodicí,404
zavírací,405
raketové,406
bezplatnou,297
zvláštní,407
multimediální,408
nabíjecí,409
digitální,410
dokončovací,411
výzkumnou,106
srpnové,412
automatické,413
koupací,414
pedagogické,415
šestileté,416
domovní,417
střední,418
zaškolení,419
zubní,420
pájecí,421
rigorózní,422
konverzační,423
oborové,424
čistící,425
limitní,426
diagnostický,284
poradenské,427
mezní,428
venkovní,429
transportní,430
uživatelské,431
prázdninový,189
šestidenní,432
velikonoční,433
tramvajové,434
betonové,435
dělostřelecký,333
polní,436
burzovní,437
tréninkový,134
pravidelné,438
čtvrteční,439
zaměstnanecké,440
procesní,441
jaderný,442
posilovací,443
teoretické,444
patentové,445
víceúčelové,446
módní,447
ordinační,448
projekční,449
kontinuální,450
zvukové,365
archivní,451
sériové,452
konzervační,453
neveřejné,454
vytrvalostní,455
předvánoční,456
zahradnické,457
nátěrové,458
povětrnostní,459
těsnící,460
izolační,461
oběžné,462
výzkumná,106
vodní,463
reprezentační,464
platební,465
komerční,466
vysílací,467
navigační,468
potvrzovací,469
důlní,470
reformní,471
střelecké,472
ústav,473
propojovací,474
úřednické,475
přívodní,476
nákupní,477
telefonické,478
paušální,479
investiční,480
doktorské,481
sběrné,482
rentgenové,483
konkurenční,484
privátní,485
otestování,486
meteorologické,487
signální,488
laboratoři,376
sklepní,489
šicí,490
komisi,335
čtyřleté,491
pohotovostní,492
znalostní,493
programovací,494
signalizační,495
palubní,496
letový,24
autorizované,497
bombardovací,498
kruhové,499
formální,500
agenturní,501
přívěsné,502
poradenský,427
stabilní,503
výchovný,504
standartní,505
vypouštěcí,506
učitelský,139
diskuzní,507
normativní,508
operní,509
vakuové,510
elektrotechnické,511
výměnné,512
doby,363
demo,513
restaurační,514
lyžařské,515
nejdelší,402
testované,516
inkubační,517
proudový,518
pivní,519
záchranný,520
desinfekční,521
rodičovské,522
zahraniční,523
detektivní,524
konfigurační,525
instrumentální,526
polární,527
ovládací,528
reprezentativní,529
akustické,530
přihlašovací,531
legální,532
putovní,533
tramvajový,434
mobilní,534
páteční,535
dobíjecí,536
přednáškové,537
úzkorozchodné,538
síťové,539
cestovní,540
praktické,541
lesní,542
lovecké,543
