slovo,poradi
vzor,1
vzory,1
vzorový,2
vzoru,1
vzorů,1
vzorem,1
příklad,3
motiv,4
tiskopis,5
podklad,6
styl,7
doklad,8
formulář,9
model,10
tvar,11
tiskopisu,5
základ,12
obrazec,13
symbol,14
důkaz,15
charakter,16
typ,17
obrys,18
geometrický,19
vzorované,20
materiál,21
obrázek,22
potisk,23
vzorové,2
vzorech,1
vzhled,24
předlohu,25
plakát,26
doplněk,27
design,28
ideál,29
návod,30
efekt,31
způsob,32
vzorek,33
pruhovaný,34
koncept,35
proužek,36
nákres,37
idol,38
prvek,39
dekor,40
pletený,41
užitný,42
dokument,43
princip,44
dodatek,45
dezén,46
ukázkový,47
pruh,48
ozdobný,49
návrh,50
kus,51
prostředek,52
puntíky,53
výtvor,54
dar,55
květinový,56
postup,57
barevný,58
projev,59
druh,60
dojem,61
předpoklad,62
vzorec,63
přehoz,64
vypracovaný,65
trend,66
odznak,67
opis,68
list,69
leták,70
čtverec,71
rozměr,72
originál,73
obdélník,74
znak,75
příslib,76
modelový,77
postoj,78
následování,79
patent,80
samopal,81
polštář,82
rys,83
vyplněný,84
jednobarevné,85
odkaz,86
vynález,87
formu,88
strukturovaný,89
béžový,90
stylový,91
talent,92
klín,93
aspekt,94
výstřih,95
vlněný,96
následovník,97
pas,98
koberec,99
předloha,25
plášť,100
jednoduchý,101
odstín,102
formuláře,9
maskovací,103
schéma,104
šátek,105
podpis,106
nástroj,107
odraz,108
podobu,109
protiklad,110
papírový,111
oboustranný,112
požadavek,113
květ,114
výklad,115
náznak,116
dopis,117
účel,118
otisk,119
nadčasový,120
útvar,121
účinek,122
předpis,123
důsledek,124
oděv,125
úplet,126
pás,127
věrný,128
úkol,129
štítek,130
střih,131
manuál,132
steh,133
okrasný,134
motivem,4
popruh,135
výšivka,136
význam,137
mechanismus,138
odstrašující,139
nápad,140
příznak,141
jednoznačný,142
formát,143
závazný,144
obraz,145
polštářek,82
plán,146
lem,147
kontrast,148
takový,149
jemný,150
citát,151
kříž,152
klenot,153
sedák,154
certifikát,155
pohled,156
standard,157
