slovo,poradi
základní,1
nejzákladnější,1
elementární,2
speciální,3
stěžejní,4
standardní,5
hlavní,6
základního,1
prvotní,7
nejdůležitější,8
obecné,9
střední,10
nejběžnější,11
standartní,12
vzdělávací,13
základních,1
primární,14
tradiční,15
nadstandardní,16
základy,17
výchozí,18
vstupní,19
kvalitativní,20
počáteční,21
praktické,22
potřebné,23
odborné,24
minimální,25
školy,26
dílčí,27
fyzikální,28
běžné,11
principy,29
podpůrné,30
mateřské,31
specifické,32
charakteristické,33
technické,34
dosavadní,35
konkrétní,36
kvalitní,37
aktuální,38
komplexní,39
zásadní,40
následující,41
zvláštní,42
určité,43
umělecké,44
veškeré,45
komunikační,46
kladn,47
zásady,48
nejrozšířenější,49
součásti,50
konstrukční,51
škole,26
pomocné,52
původní,53
školní,54
teoretické,55
další,56
moderní,57
chybějící,58
nejpodstatnější,59
přípravné,60
první,61
základními,1
strukturální,62
exkluzivní,63
koncepční,64
kompletní,65
podstatné,59
hudební,66
povinné,67
všeobecné,68
příslušné,69
herní,70
materiální,71
škola,26
ucelené,72
fundamentální,73
patřičné,74
praktická,22
informační,75
právní,76
nejmodernější,57
zákonné,77
stavební,78
vojenské,79
nejrůznější,80
klíčové,81
části,82
sídelní,83
nejčastější,84
ekonomické,85
osobní,86
základ,17
sportovní,87
nejvyšší,88
specializované,89
místní,90
kmenové,91
zdravotní,92
požadované,93
obchodní,94
kvalifikační,95
úvodní,96
pracovní,97
solidní,98
individuální,99
nejpoužívanější,100
strukturní,101
sociální,102
sekundární,103
vyšší,88
normativní,104
vybrané,105
určující,106
stávající,107
mateřská,31
vlastní,108
plnohodnotné,109
její,110
legislativní,111
mentální,112
dřívější,113
programové,114
organizační,115
nejzásadnější,40
rozšiřující,116
historické,117
civilizační,118
preventivní,119
rámcové,120
převládající,121
typy,122
jazykové,123
normální,124
vývojové,125
čtyři,126
rozšířené,49
životní,127
laboratorní,128
prostřední,129
klasické,130
funkční,131
praktickou,22
předškolní,132
interní,133
samostatné,134
vědomosti,135
specializační,136
běžnou,11
tři,137
jednotlivé,138
znalostní,139
pokročilejší,140
základním,1
výukové,141
inkluzivní,142
optimální,143
primitivní,144
investiční,145
stejné,146
souhrnné,147
internátní,148
doplňující,149
formální,150
přírodní,151
výkonnostní,152
dostatečné,153
zdravotnické,154
obdobné,155
výrobní,156
aplikační,157
středoškolské,158
netradiční,15
humanitní,159
filosofické,160
geometrické,161
dvě,162
alternativní,163
nižší,164
integrované,165
tyto,166
výstupní,167
srovnávací,168
jednotné,169
zbývající,170
nejvýznamnější,171
lidské,172
předpoklady,173
školu,26
armádní,174
znalosti,139
charakteristiky,175
podrobnější,176
provozní,177
