slovo,poradi
kus,1
kousek,2
kusy,1
kusu,1
kousíček,3
kusem,1
kousku,2
originál,4
exemplář,5
vzorek,6
centimetr,7
kusů,1
pořádný,8
metr,9
unikát,10
kilogram,11
kilometr,12
kouskem,2
kusech,1
zabalený,13
gram,14
cena,15
kousky,2
cenný,16
kousků,2
zbytek,17
litr,18
obrovský,19
nepoškozený,20
kuse,1
balík,21
proužek,22
rozměr,23
skvost,24
peníz,25
materiál,26
jednotlivý,27
půlrok,28
masa,29
cenu,15
dílek,30
starý,31
měsíc,32
plátek,33
nepoužitý,34
uzeného,35
pruh,36
kopeček,37
jeden,38
půlku,39
vadný,40
vzor,41
vystavený,42
komplet,43
malinký,44
mezník,45
prodané,46
použitý,47
krok,48
slušný,49
pěkný,50
doklad,51
náklad,52
nepoužité,47
rok,53
velký,54
poslední,55
pozůstatek,56
zlomek,57
kuřecího,58
použitého,47
ohromný,59
železa,60
kamínek,61
hodnotný,62
druh,63
pokrok,64
výtvor,65
okamžik,66
okraj,67
jiný,68
prvek,69
nějaký,70
poklad,71
drátu,72
vyrobený,73
určitý,74
exempláře,5
klenot,75
vršek,76
chleba,77
slon,78
historický,79
díl,80
mistrovský,81
předek,82
kilo,83
malovaný,84
hromadu,85
milník,86
kovaného,87
poctivý,88
tvrdého,89
celek,90
nepatrný,91
hovězího,92
podstatný,93
schovaný,94
malý,95
tunu,96
zbytky,17
drobný,97
úlovek,98
fragment,99
karton,100
papíru,101
přebytečný,102
veliký,103
znak,104
jedinečný,105
zakoupený,106
prkna,107
ceně,15
sklad,108
pouhý,109
práh,110
přesah,111
prototyp,112
kopec,37
den,113
počin,114
exponát,115
potřebný,116
jediný,117
rys,118
zachovalý,119
opravený,120
chlapa,121
vepřového,122
kaček,123
zub,124
metry,9
vybraný,125
koupi,126
vyřazený,127
velkej,128
odběr,129
výtisk,130
strom,131
klíčový,132
druhý,133
pytel,134
gramů,14
větší,54
krůček,135
skutečný,136
množství,137
kilometry,12
pytlík,138
nový,139
důležitý,140
hotového,141
plastu,142
samý,143
člověk,144
zpátky,145
provaz,146
uzel,147
plechový,148
drát,72
týden,149
stroj,150
pár,151
nákup,152
syrového,153
provázek,154
lístek,155
šrotu,156
nemalý,157
výrobek,158
vyrobeného,73
ocásek,159
něco,160
vrak,161
opravdový,162
blatník,163
velky,164
roh,165
otvor,166
nosič,167
artefakt,168
bod,169
testovaného,170
hodný,171
úkon,172
základ,173
polovinu,174
příklad,175
flíček,176
necelý,177
náznak,178
krásný,179
vrchol,180
rohlík,181
kovu,182
zážitek,183
ztracený,184
zachovalé,119
dar,185
náklaďák,186
nabízeného,187
cent,188
špinavý,189
kámen,190
hotový,141
typ,191
mrkve,192
úsek,193
fotce,194
posun,195
čistého,196
čtvereční,197
hodinu,198
vůz,199
jednotlivě,200
dřeva,201
započatý,202
pomyslný,203
šroub,204
výrazný,205
zakoupení,206
skladě,108
hektar,207
veškerý,208
opravdového,162
nehet,209
kapku,210
prázdný,211
hrníček,212
lidský,213
řádek,214
poštovného,215
model,216
ceny,15
zadek,217
plastový,218
dál,219
krabičku,220
symbol,221
starého,31
ideál,222
bezvadný,223
vadu,224
osobitý,225
nošený,226
rám,227
blok,228
hřebík,229
balení,230
nalezený,231
dárek,232
padělek,233
objednaný,234
záběr,235
drahý,236
můstek,237
požadovaný,238
takový,239
dřevěný,240
plech,241
někde,242
kuřete,243
cenného,16
salámu,244
kvalitního,245
zničený,246
každý,247
blistr,248
háček,249
obal,250
plechu,241
malinko,251
obrázek,252
traktor,253
neskutečný,136
onen,254
dodaného,255
rozbitý,256
prst,257
rámec,258
punc,259
umělý,260
vyprodaný,261
jednotlivého,27
jedinec,262
významný,263
ozdobný,264
skladem,108
štítek,265
nález,266
potřebného,116
centimetry,7
míň,267
originality,268
tisícovku,269
chlap,121
zánovní,270
menší,95
dobytek,271
nedostatek,272
cesty,273
zhotovený,274
těžký,275
originální,276
šálek,277
defekt,278
centimetrů,7
spodek,279
poctivé,88
frajer,280
kšeft,281
závan,282
obyčejného,283
obyčejný,283
symbolický,284
flek,285
opracovaného,286
úlet,287
kapka,210
důkaz,288
povrch,289
testovaný,290
hřebíček,229
skutek,291
nabídněte,292
plát,293
jednotku,294
objev,295
metrů,9
zářez,296
vozík,297
obrys,298
sud,299
sadu,300
veškerého,208
nábytku,301
doplněk,302
dáreček,232
nádherný,303
koupený,304
odlitek,305
víc,306
cíl,307
zajímavý,308
vyčnívající,309
lístku,155
zapomenutý,310
drahého,236
plast,142
ten,311
korun,312
hlíny,313
nahraný,314
půl,315
mix,316
získaný,317
papír,101
čin,318
výš,319
vyměnit,320
doprodej,321
obsah,322
kroužek,323
hranu,324
cennější,16
střed,325
hardwaru,326
nabízený,187
šrot,156
úbytek,327
zlata,328
kufřík,329
milion,330
nepoškozené,331
čerstvého,332
řádný,333
tuny,96
nárazník,334
chlapík,335
hmotný,336
plášť,337
nakrájený,338
okrasný,339
původní,340
stav,341
chlup,342
gumový,343
celý,177
ženský,344
tun,96
poškozený,331
většího,54
gumy,345
výřez,346
kovový,347
rohlíku,181
překážku,348
muž,349
kilometrů,12
námi,350
vady,224
stroužek,351
cestě,273
svůj,352
výsledek,353
šperk,354
poštovné,215
kovaný,355
kamene,190
čtverec,356
ušlechtilý,357
hrnek,212
sýra,358
přebytek,359
oblouk,360
staré,31
kilogramu,11
gramy,361
stožár,362
produkt,363
kluk,364
rovný,365
broušený,366
kolík,367
konec,368
mladý,369
trika,370
kabel,371
ještě,372
nejcennější,16
opuštěný,373
tah,374
zabalené,13
stranou,375
dostupnosti,376
obraz,377
ryzího,378
obvod,379
trošku,380
ztraceného,184
projev,381
originálního,276
někam,382
prken,107
dobytka,271
