slovo,poradi
republika,1
země,2
republiku,1
česká,3
vláda,4
společnost,5
eská,6
unie,7
československá,8
banka,9
velmoc,10
republik,1
demokratická,11
kraj,12
republiky,1
socialistická,13
pobočka,14
spořitelna,15
republic,16
republikou,1
federativní,17
inspekce,18
pojišťovna,19
obec,20
zemím,2
slovenská,21
evropská,22
armáda,23
zemí,2
lidová,24
vysočina,25
legislativa,26
unii,7
prezidentská,27
firma,28
ekonomika,29
strana,30
státy,31
zavázala,32
republice,1
moravská,33
automobilka,34
světová,35
pirátská,36
koruna,37
škola,38
církev,39
agentura,40
rozvojová,41
federace,42
plynárenská,43
spolková,44
hrdá,45
stránka,46
menšina,47
univerzita,48
osoba,49
pošta,50
planeta,51
politika,52
energetika,53
vyspělá,54
mapa,55
ústava,56
zemích,2
služba,57
televize,58
centrála,59
měna,60
dnes,61
jednička,62
komora,63
stát,31
desátá,64
států,31
zemi,2
krajská,65
fakulta,66
členská,67
mincovna,68
metropole,69
komunita,70
farmaceutická,71
provozovna,72
říše,73
iniciativa,74
současná,75
rakouská,76
německá,77
hostila,78
vlajka,79
hokejová,80
tuzemská,81
krajina,82
velmoci,10
tato,83
rada,84
samospráva,85
městská,86
rumunská,87
automobilová,88
město,89
region,90
římská,91
polská,92
konfederace,93
kancléřka,94
akciová,95
celá,96
správa,97
ukrajinská,98
skupina,99
rodina,100
válka,101
vesnička,102
jediná,103
protektorát,104
sněmovna,105
hymna,106
sovětská,107
značka,108
naše,109
monarchie,110
právnická,111
etapa,112
velkovévodství,113
uherská,114
pyšnit,115
portugalská,116
riviéra,117
desítka,118
sféra,119
letecká,120
muslimská,121
strojírenská,122
pražská,123
nabídka,124
zeměmi,2
liga,125
hora,126
knížka,127
americká,128
islámská,129
sklářská,130
kráska,131
biskupská,132
vinařská,133
evangelická,134
dáma,135
zóna,136
organizace,137
fotbalová,138
přijala,139
úspěšná,140
vázána,141
brněnská,142
samostatná,143
mladá,144
podrobná,145
vyhlásila,146
dvojka,147
chlubit,148
aerolinie,149
amatérka,150
medicína,151
infrastruktura,152
mapka,153
hvězdárna,154
soustava,155
řada,156
vyhlídka,157
káva,158
geologická,159
komunistická,160
lokalita,161
kancelář,162
sesterská,163
eurozóny,164
průmyslová,165
zpráva,166
rep,167
katolická,168
oprávněna,169
burza,170
subprovincie,171
britská,172
nezisková,173
vyhlášena,174
vlast,175
třída,176
třetina,177
španělská,178
bavorská,179
veřejnost,180
český,3
justice,181
uměleckoprůmyslová,182
domovská,183
státům,31
srbská,184
dánská,185
regionech,90
prezidentka,186
vodárenská,187
kapitola,188
čínská,189
charita,190
úmluva,191
chudoba,192
partnerská,193
webová,194
reprezentantka,195
maličká,196
státech,31
tenistka,197
celosvětová,198
proslulá,199
dělnická,200
diktatura,201
vodka,202
databanka,203
bývalá,204
žena,205
demokracie,206
pětina,207
kultura,208
tanková,209
podnikatelská,210
geografická,211
extraliga,212
švýcarská,213
čtyřka,214
španělština,215
připojila,216
belgická,217
pokladna,218
zem,2
východ,219
věda,220
elita,221
konference,222
slovanská,223
australská,224
civilizace,225
velmocí,10
pravoslavná,226
slezská,227
chorvatská,228
provincie,229
italská,230
adresa,231
značková,232
přistoupila,233
spoleènost,234
národnost,235
regiony,90
maďarská,236
výjimka,237
ruská,238
povinna,239
dvacátá,240
scéna,241
kanadská,242
národ,243
koupelna,244
potravinářská,245
instituce,246
osmnáctka,247
francouzština,248
devátá,249
astronomická,250
světě,251
švédská,252
vídeňská,253
kotlina,254
nizozemská,255
malá,256
uspěla,257
čtvrtina,258
působnost,259
filharmonie,260
křesťanská,261
příspěvková,262
jednotná,263
strojírna,264
diplomacie,265
mezinárodní,266
zahraničí,267
členský,67
uznala,268
kniha,269
plzeňská,270
zemědělská,271
hvězda,272
turecká,273
beseda,274
budoucnost,275
vnitra,276
finská,277
výstava,278
věc,279
doména,280
předsednictví,281
východní,282
psychiatrická,283
impérium,284
africká,285
zastoupená,286
vědoma,287
alpská,288
modelka,289
máma,290
specialita,291
divočina,292
aktualita,293
bezesporu,294
platforma,295
trojka,296
oblast,297
architektura,298
čeština,299
slavná,300
zásilka,301
desetiletích,302
pochlubit,303
olympijská,304
polovina,305
léčebna,306
reforma,307
statistika,308
dopustila,309
sama,310
skutečnost,311
nadnárodní,312
zastávka,313
angličtina,314
svobodná,315
internetová,316
doktrína,317
kapela,318
klinika,319
župa,320
krytina,321
pardubická,322
farnost,323
území,324
nová,325
stala,31
prognóza,326
basketbalová,327
víra,328
varianta,329
stručná,330
čtvrť,331
suverénní,332
česko,333
divize,334
golfová,335
síť,336
zakázková,337
kinematografie,338
národní,339
továrna,340
regionů,90
cyklistika,341
druhá,342
herečka,343
komise,344
samostatnost,345
prezident,346
slovinská,347
sedmá,348
cesta,349
vybrána,350
školka,351
francouzská,352
international,353
němčina,354
entita,355
rozhodla,356
desetiletí,302
rozvinutá,357
čtvrtá,358
nejlidnatější,359
celosvětově,360
příroda,361
dohoda,362
samotná,363
staletí,364
špičková,365
elektrárna,366
potravina,367
nezávislá,368
osamostatnila,369
pátá,370
vítězná,371
posádka,372
ustanovena,373
placka,374
nadále,375
jídelna,376
plochá,377
fronta,378
zaujímá,379
romská,380
vlajková,381
stanovila,382
realita,383
napříště,384
letošek,385
světově,386
dotyčná,387
paleta,388
ochotna,389
zpěvačka,390
norma,391
portugalština,392
letech,393
chudá,394
holandská,395
finalistka,396
vrchovina,397
lékařka,398
irská,399
nyní,400
katedra,401
doba,402
schopná,403
odborná,404
smluvní,405
staletích,364
vinotéka,406
část,407
šlechta,408
kontinentu,409
podnikatelka,410
taková,411
potýká,412
prohlašuje,413
historická,414
vyhlášená,174
nezaměstnanost,415
úřad,416
brazilská,417
pošesté,418
politická,419
brána,420
jednotka,421
ministerstvo,422
prémiová,423
observatoř,424
státu,31
planina,425
přesvědčena,426
zařadila,427
občanská,428
pojistitel,429
tahle,430
kariéra,431
římskokatolická,432
monarchií,110
zřizovatel,433
úrodná,434
zasloužila,435
autodoprava,436
hydrometeorologický,437
vojenská,438
dovolená,439
zřízena,440
letka,441
ustavena,442
radnice,443
prokuratura,444
euro,445
bývala,446
schopna,403
rubrika,447
prosperující,448
svadba,449
aréna,450
středohoří,451
oficiálně,452
kavárna,453
české,3
rodná,454
pravicová,455
bouda,456
letectvo,457
studie,458
policie,459
tenisová,460
členské,67
uznává,461
dceřiná,462
skotská,463
vyspělé,54
původu,464
šestá,465
garantovat,466
porota,467
veřejná,468
matka,469
počtvrté,470
letos,471
usnesla,472
prezentace,473
družina,474
ekonomická,475
klientela,476
stovka,477
zavazuje,478
tisková,479
ratolest,480
alkapinka,481
zahraničím,267
osada,482
zřízená,440
výroba,483
klubová,484
smlouva,485
zakázka,486
arbitráž,487
obrazovka,488
křižovatka,489
levná,490
babička,491
zásada,492
zaniklá,493
rozlehlá,494
výprava,495
soda,496
studentská,497
byzantská,498
kosmetika,499
dohodla,500
zažila,501
uhelná,502
schengenského,503
norská,504
evropské,22
rovněž,505
zahraniční,506
řecká,507
dlouhodobě,508
měnová,509
karta,510
kamera,511
zaměstnavatel,512
světové,35
sezóna,513
venkovská,514
indická,515
příslušná,516
malebná,517
metropolí,69
měnu,60
historiografie,518
špička,519
svoboda,520
pračka,521
učinila,522
krajková,523
kuchyně,524
poradenská,525
telekomunikace,526
miliarda,527
lesnická,528
státnosti,529
lékárna,530
knihovna,531
světa,251
lyžařka,532
biopaliva,533
kauza,534
zapojila,535
významná,536
laboratoř,537
móda,538
výjimečná,539
polština,540
kočka,541
přehrada,542
usilovala,543
národů,243
literatura,544
okres,545
plošina,546
vybudovala,547
vicemiss,548
biblická,549
společnosti,5
vládu,4
státem,31
filmová,550
vyspělých,54
zalesněná,551
pětka,552
svaz,553
tiskárna,554
zdravotnictví,555
nedávná,556
zveřejnila,557
uznávaná,558
riziková,559
loňská,560
federální,561
jedinečná,562
tuzemsku,563
analýza,564
asociace,565
uvítala,566
energetická,567
zřízení,568
končinách,569
slovenština,570
technologická,571
konzervatoř,572
zdravotnická,573
jazyková,574
rodinná,575
legie,576
rasa,577
wikipedie,578
složka,579
požaduje,580
poloha,581
soutěž,582
autorita,583
svatá,584
patříme,585
měsících,586
známá,587
kontinentech,409
mateřská,588
próza,589
pořádala,590
ekonomikou,29
chce,591
sídlem,592
solná,593
daň,594
daňová,595
šestka,596
klimatická,597
pravda,598
proslula,599
odvysílala,600
podpořila,601
premiérka,602
inspektorát,603
početná,604
dospělá,605
známka,606
představa,607
akademická,608
dobírka,609
úvaha,610
latinská,611
jíž,612
mise,613
premiéra,614
éra,615
stejnojmenná,616
směnárna,617
toaleta,618
schránka,619
poválečná,620
parlamentní,621
arabská,622
turistika,623
delegace,624
věta,625
vlajku,79
čistírna,626
cizině,627
disponuje,628
alternativa,629
jednota,630
rozmanitá,631
marihuana,632
léta,633
financí,634
československé,8
hlava,635
pásová,636
oprávněná,169
středoevropské,637
plnohodnotná,638
gotika,639
marmeláda,640
