slovo,poradi
nebo,1
anebo,1
případně,2
popřípadě,3
buď,4
buďto,5
eventuálně,6
nikoliv,7
eventuelně,8
nedejbože,9
nikoli,7
dokonce,10
respektive,11
třeba,12
rovnou,13
klidně,14
například,15
některou,16
bud,17
natož,18
chcete,19
pokud,20
spíš,21
raději,22
někde,23
použijete,24
někdy,25
většinou,26
jen,27
pouze,28
chystáte,29
některého,16
prostě,30
nějakým,31
máte,32
zpravidla,33
alespoň,34
kterékoliv,35
kterékoli,36
nějaké,31
možná,37
jenom,38
přímo,39
spíše,40
naopak,41
jestli,42
můžete,43
nějaký,31
jakékoliv,44
jakoukoli,45
použít,24
jestliže,46
nemáte,32
může,43
tak,47
nějakou,31
radši,48
obvykle,49
jakékoli,45
použijte,24
vlastníte,50
někdo,51
nějakého,31
jiné,52
některém,16
někomu,51
přemýšlíte,53
ale,54
necháte,55
prostřednictvím,56
někoho,51
které,57
pak,58
alternativně,59
jakoukoliv,44
jakýmkoli,45
hodláte,60
ideálně,61
využijete,62
mohou,43
příležitostně,63
aspoň,64
samostatně,65
jakýkoli,45
leda,66
plánujete,67
protože,68
můžou,43
takže,69
zda,70
jakože,71
potažmo,72
jakož,73
typicky,74
minimálně,75
nějaká,31
jako,76
nějakém,31
některý,16
preferujete,77
aniž,78
nechcete,19
kupříkladu,79
hromadně,80
kteréhokoliv,35
někam,81
nýbrž,82
nejspíš,83
jinou,52
něčí,84
něco,85
některé,16
nesmí,86
popř,3
nepřímo,39
jakéhokoliv,44
občas,87
onak,88
zkusit,89
alebo,90
povětšinou,91
jedině,92
vyžadují,93
stačí,94
způsobit,95
postačí,96
jednorázově,97
vyloženě,98
někým,51
zvolit,99
jakýkoliv,44
chtít,19
výjimečně,100
pomocí,101
kdykoli,102
kteréhokoli,36
rozhodnete,103
případě,104
byť,105
jednotlivě,106
provést,107
nechte,55
přeci,108
pošlete,109
používáte,110
jiný,52
povolí,111
kdykoliv,102
přednostně,112
jakéhokoli,45
využít,62
nejčastěji,113
jakákoliv,44
požádejte,114
určitého,115
kdybyste,116
částečně,117
koupí,118
přesunout,119
doporučí,120
použijí,24
povolit,111
doplnit,121
volitelně,122
dočasně,123
jakýmkoliv,44
třebas,124
omezit,125
často,113
jakákoli,45
jindy,126
používejte,110
zkuste,89
pakliže,127
jakkoliv,128
sháníte,129
některá,16
přesuňte,119
nepoužívejte,130
nechat,55
jste,131
obyčejně,132
pracujete,133
samozřejmě,134
když,135
výhradně,136
kupte,137
nejspíše,40
zvažte,138
některému,16
určitě,139
normálně,140
formou,141
používají,110
bezprostředně,142
využijte,143
jakkoli,128
namísto,144
potom,145
kdekoliv,146
použije,24
určené,147
snad,148
uděláte,149
cokoli,150
ledaže,151
zvolí,99
byste,131
vytvořte,152
nesmějí,86
neznamená,153
mnohdy,154
nechají,55
jezdíte,155
pořiďte,156
mající,157
přinejmenším,158
přidat,159
hodí,160
přece,161
zase,162
bojíte,163
lze,164
jiným,52
umístit,165
současně,166
nahradit,167
způsobující,168
jiných,52
stejně,169
nežli,170
mít,32
nemají,32
provedete,107
apod,171
provádět,172
majících,157
soukromě,173
nemusí,174
vašeho,175
zastavte,176
založit,177
jinak,178
cestujete,179
využíváte,180
ještě,181
jakoby,182
dáte,183
vytvoříte,152
udělat,149
umožní,184
cokoliv,185
podobně,186
koupit,187
začínáte,188
nahrazující,189
stavíte,190
možno,191
potřebujete,192
skutečně,193
můžeš,43
požadovat,194
výlučně,195
pokaždé,196
obojí,197
jiného,52
neumožní,198
udělá,149
vyměnit,199
zásadně,200
upřednostňují,201
nevyžadují,93
dotyčný,202
tudíž,203
půjdete,204
libovolného,205
čehokoliv,185
zdali,206
hrajete,207
přijdete,208
mimo,209
jedete,210
vyžadující,211
kdežto,212
přineste,213
také,214
kohokoliv,215
libovolným,205
vhodnější,216
konkrétní,217
krátkodobě,218
nechtějí,19
zkusí,89
vyměním,199
dělají,219
nejlépe,220
proveďte,107
zajít,221
kde,222
navrhne,223
nějakými,31
úmyslně,224
nemohou,43
nezpůsobí,95
dají,183
čehokoli,150
libovolný,205
připevnit,225
přemístit,226
chtějí,19
budete,131
vyjímečně,227
použitím,228
předpokládám,229
jinému,52
existující,230
účelem,231
zkrátka,232
obsahujících,233
mají,32
požádají,114
neb,234
označí,235
musíte,174
doplňte,121
vyrazit,236
náhodou,237
kdekoli,238
jiném,52
zvolte,99
udělají,149
umístěte,165
znemožní,239
vydáte,240
jinými,52
objeví,241
převážně,242
poškodí,243
kterýkoliv,35
nějak,244
osoby,245
kdokoliv,215
nechejte,55
zprostředkovaně,246
nevíte,247
jít,204
čistě,248
mívají,249
určité,115
doma,250
převzata,251
možné,191
zakázat,252
pošlou,109
zvláště,253
určitý,115
nahrazovat,254
určená,147
jdete,204
znáte,255
bývají,256
používat,110
potřebují,192
přechodně,257
nepotřebujete,192
kteroukoliv,35
obsahující,233
ikdyž,258
zčásti,259
jeslti,260
než,261
někteří,16
zakáže,252
jiná,52
nezřídka,262
zavolat,263
přivodit,264
dejte,183
kteří,57
kterému,57
uvažujete,265
omezí,125
půjde,204
nutně,266
kohokoli,267
musí,174
vhodně,268
kterémkoliv,35
taky,269
dotyčná,202
řekněme,270
nemůžete,43
vězte,271
způsobem,272
libovolné,205
pravděpodobně,273
napadají,274
prodají,275
vhodné,216
vyžadovat,93
jde,204
formě,141
navrhnout,223
případech,104
následně,276
převede,277
založte,177
vyvolat,278
takové,279
pořídí,280
tedy,281
poslat,109
způsobí,95
kdyby,116
využijí,62
kterémkoli,36
ohlásí,282
nahradí,167
volí,283
požadujete,194
maximálně,284
přijedete,285
abyste,286
dělat,219
způsobovat,287
konkrétního,217
berete,288
způsobené,289
nepovede,290
udělejte,149
vyžádat,291
přičemž,292
nejsou,131
omezují,293
kdokoli,267
volte,294
dáváte,295
příslušného,296
kteroukoli,36
obdobného,297
vzniknou,298
podejte,299
uložit,300
která,57
objevíte,241
přihodí,301
potřebovat,192
určených,147
vlastnit,50
být,131
doplní,121
dát,183
jakémkoli,45
libovolnou,205
objednat,302
případnou,303
rozhodnou,103
poškodit,243
jednoduše,304
kterém,57
vyměňte,199
převést,277
opatřit,305
přidáním,306
určí,307
