slovo,poradi
skupina,1
skupinka,2
skupinu,1
parta,3
skupiny,1
skupinou,1
partička,4
kapela,5
skupině,1
třída,6
skupin,1
komunita,7
banda,8
dvojice,9
trojice,10
čtveřice,11
sestava,12
jednotka,13
liga,14
řada,15
formace,16
rodina,17
elita,18
pětice,19
aktivita,20
osoba,21
společnost,22
četa,23
složka,24
iniciativa,25
skupinami,1
početná,26
rocková,27
firma,28
skladba,29
armáda,30
uskupení,31
entita,32
hlídka,33
část,34
deska,35
platforma,36
rada,37
kolona,38
komise,39
menšina,40
divize,41
buňka,42
smečka,43
scéna,44
skupinky,2
cílová,45
složená,46
skupinku,2
popová,47
vláda,48
vrstva,49
agentura,50
struktura,51
podskupiny,52
seskupení,53
výprava,54
odnož,55
americká,56
skupinách,1
posádka,57
šestice,58
skupinová,59
úloha,60
česká,61
britská,62
služba,63
letka,64
písnička,65
organizovaná,66
zájmová,67
muzika,68
klubová,69
základna,70
většina,71
síť,72
soustava,73
čtyřka,74
hrstka,75
etnická,76
desítka,77
značka,78
brněnská,79
zóna,80
německá,81
zpěvačka,82
množina,83
stránka,84
tematická,85
utvořila,86
tabulka,87
nahrávka,88
pražská,89
souprava,90
zformovala,91
přípravka,92
sada,93
založená,94
flotila,95
metalová,96
rota,97
tuzemská,98
tým,99
organizace,100
věková,101
tisícovka,102
schůzka,103
varianta,104
delegace,105
sesterská,106
větev,107
klientela,108
oblast,109
členka,110
specifická,111
dívka,112
pravicová,113
hvězda,114
píseň,115
dílna,116
křesťanská,117
vybraná,118
vzniklá,119
legenda,120
metoda,121
strana,122
soutěž,123
jednota,124
polovina,125
asociace,126
veličina,127
rasa,128
banka,129
rodinná,130
tvořená,131
sféra,132
sešla,133
činná,134
riziková,135
aliance,136
podskupin,137
australská,138
celá,139
slovenská,140
skupince,141
disciplína,142
levicová,143
terapeutická,144
nabídka,145
doprovodná,146
malá,147
nezisková,148
církev,149
pěvecká,150
řádka,151
rovina,152
tanková,153
vlna,154
irská,155
kapelu,5
kategorie,156
druhá,157
vytvořená,158
evropská,159
kavárna,160
belgická,161
škola,162
karta,163
kmenová,164
trio,165
hra,166
různorodá,167
hudba,168
garda,169
družina,170
československá,171
činnost,172
italská,173
specializovaná,174
půlka,175
hromada,176
turecká,177
průzkumná,178
bytost,179
postavička,180
účtová,181
mladá,182
samostatná,183
jmenovaná,184
velká,185
položka,186
eskadra,187
tvorba,188
švédská,189
žena,190
komanda,191
plzeňská,192
shoda,193
technika,194
nálada,195
rodinka,17
stejnojmenná,196
směs,197
vybrána,118
členové,198
nadšenců,199
charakteristická,200
plošina,201
trojka,202
centrála,203
zpravodajská,204
policie,205
etapa,206
forma,207
expertní,208
kapelou,5
občanská,209
zmiňovaná,210
hypotéza,211
vytvořena,158
špička,212
partu,3
látka,213
členská,214
jediná,215
rumunská,216
pětka,217
škála,218
výstava,219
romská,220
maďarská,221
plocha,222
partou,3
porota,223
výzkumná,224
identita,225
amatérská,226
fronta,227
hmota,228
družstva,229
pobočka,230
analýza,231
infrastruktura,232
společná,233
vytvořila,234
africká,235
ochranka,236
jedna,237
určitá,238
holka,239
rakouská,240
finská,241
grupa,242
komponenta,243
sekta,244
kapel,5
samospráva,245
síla,246
skotská,247
zřízená,248
stovka,249
zpráva,250
osada,251
dvojka,252
sezóna,253
kamarádka,254
internetová,255
laboratoř,256
zmíněná,257
počítačová,258
