slovo,poradi
ani,1
vůbec,2
nikdy,3
žádný,4
nikdo,5
žádné,4
nikde,6
žádném,4
zdaleka,7
nic,8
žádná,4
nikoho,5
žádnou,4
nikomu,5
natož,9
žádného,4
není,10
žádným,4
rozhodně,11
nijak,12
ale,13
nikterak,14
tudíž,15
snad,16
žádnému,4
žádní,4
vubec,17
nemůže,18
zatím,19
nemá,20
žádných,4
ovšem,21
nechybí,22
náhodou,23
bohužel,24
neměla,20
ačkoli,25
však,26
neměl,20
naštěstí,27
ačkoliv,28
protože,29
přestože,30
nebude,10
nikam,31
přesto,32
takže,33
nebyl,10
nelze,34
neměli,20
žádnej,35
zato,36
dokud,37
nemají,20
nejsou,10
tak,38
nesmí,39
zrovna,40
zkrátka,41
žádnými,4
skoro,42
neznamená,43
tolik,44
nestojí,45
nejde,46
nejspíš,47
nemohl,18
nebylo,10
jen,48
kupodivu,49
nebyla,10
jenom,50
prostě,51
přitom,52
nicméně,53
ještě,54
třebaže,55
přece,56
ničeho,8
nesmíme,39
moc,57
zřejmě,58
nemohou,18
nechtěl,59
nechce,59
nechyběl,60
zadny,61
nedokáže,62
zas,63
příliš,64
popravdě,65
nedokázal,62
nemohla,18
nemám,20
jelikož,66
nebyli,10
opomenout,67
nemusel,68
nechyběly,69
neboť,70
sice,71
nýbrž,72
ničím,8
nikým,5
nechtěli,59
dokonce,73
samozřejmě,74
nešlo,46
nechtěla,59
nemáme,20
nesnaží,75
proto,76
neměly,20
nechci,59
teda,77
přiliš,78
nemusí,68
nechyběla,22
tedy,79
nedá,80
nesměl,39
totiž,81
nebudou,10
poněvadž,82
pouze,83
pokud,84
nemohli,18
asi,85
nemůžeme,18
vždyť,86
ničem,8
chybět,22
nemusela,68
nemuseli,68
nejedná,87
nedokázala,62
nemůžou,18
nechtějí,59
patrně,88
nemělo,20
nemohu,18
leda,89
zadne,90
nemůžu,18
nepřijde,91
prý,92
nebudeme,10
nesměla,39
nedovolí,93
nepotřebovala,94
přeci,95
nepřišel,91
nezbude,96
neni,97
nedají,80
nebyly,10
nedala,80
nedovolil,93
neumí,98
pochopitelně,99
nedokázalo,62
nevadilo,100
ničemu,8
nezůstává,101
nesmíte,39
vyloženě,102
nesmím,39
nedokážou,62
naopak,103
nebudete,10
vùbec,104
nenajdeme,105
nebývá,106
nedali,80
náznakem,107
nedovolila,93
každopádně,108
nedal,80
neumožní,109
avšak,110
nevadí,100
nemusíme,68
nepřišla,91
nepotřeboval,94
nejenže,111
byť,112
ikdyž,113
nejsem,10
nemáte,20
nejsme,10
jaksi,114
nebudu,10
nedokázali,62
nepůjde,46
nezpůsobí,115
nezná,116
ostatně,117
neuměl,98
nepotřebují,94
nepomůže,118
neuměli,98
absolutně,119
nedosahuje,120
nestála,45
nemohlo,18
nepředpokládá,121
nestál,45
nemohly,18
jediný,122
pořádně,123
nenechal,124
dosud,125
nebrání,126
nenabízí,127
páč,128
nepřijdou,91
nepotřebuje,94
nezajistí,129
neumožňuje,130
neobsahuje,131
netvoří,132
vlastně,133
možná,134
nenechali,124
neuměla,98
určitě,135
nedostala,136
neznám,116
nemam,137
nenahradí,138
nedaly,80
nezachrání,139
neříkám,140
nesmějí,39
nezůstala,141
nenahrazuje,142
jenže,143
nenapadne,144
nedovede,145
nenapadlo,144
nepotřebovali,94
nepředstavuje,146
