slovo,poradi
příkaz,1
příkazu,1
pokyn,2
rozkaz,3
příkazem,1
příkazy,1
povel,4
příkazů,1
dekret,5
pokynu,2
rozkazu,3
požadavek,6
předpis,7
dopis,8
úkol,9
rozkazy,3
argument,10
podnět,11
instrukce,12
skript,13
úkon,14
zákaz,15
rozsudek,16
zápis,17
program,18
popud,19
protest,20
impuls,21
příkazům,1
písemný,22
dokument,23
řádek,24
návrh,25
script,26
nástroj,27
výrok,28
řetězec,29
parametr,30
souhlas,31
plán,32
dotaz,33
režim,34
výpis,35
soud,36
doklad,37
zadaný,38
záznam,39
dialog,40
posudek,41
zadán,42
výzvu,43
atribut,44
pokus,45
pokyny,2
nadřízený,46
vykonán,47
shell,48
zatykač,49
telefonát,50
postup,51
prostředek,52
přepínač,53
list,54
podřízený,55
vzorec,56
podmínka,57
implicitně,58
verdikt,59
přikazuje,60
instrukcí,12
objekt,61
akt,62
zadat,42
výstup,63
trest,64
tlačítko,65
odkaz,66
signál,67
důkaz,68
záměr,69
text,70
svolení,71
příkazového,72
adresář,73
příklad,74
příslušný,75
hromadný,76
krok,77
proces,78
podmínku,57
podklad,79
vzkaz,80
textový,81
útěk,82
zákon,83
pozdrav,84
make,85
prvek,86
dočasný,87
manifest,88
kodex,89
seznam,90
výměr,91
povolení,92
formulář,93
nařízení,94
závazek,95
vypíše,96
automatický,97
skok,98
účet,99
zásah,100
nouzový,101
podmínce,57
výslech,102
exekuční,103
manévr,104
spustit,105
nátlak,106
slib,107
pokynů,2
požadovaný,108
zavolání,109
výstrahu,110
závazný,111
zprávu,112
projev,113
povely,4
volbu,114
logický,115
nadřízeného,46
instance,116
telegram,117
systémový,118
terminál,119
ústup,120
symbol,121
protokol,122
cíl,123
výběrový,124
agent,125
řád,126
počítač,127
tajný,128
implicitní,129
instrukcemi,12
soubor,130
služebník,131
útok,132
příkazové,72
prokurátora,133
položku,134
prosbu,135
výkres,136
podmíněný,137
rámec,138
systém,139
nadřízených,46
úmysl,140
skriptu,141
výraz,142
vykonat,143
datový,144
pomocný,145
případ,146
objezd,147
výklad,148
limit,149
jednorázový,150
důvod,151
takovýto,152
zákazy,15
echo,153
pověření,154
úřad,155
zákonný,156
naučení,157
oprávněný,158
tiskopis,159
mechanismus,160
uzel,161
paragraf,162
znak,163
ikonu,164
nařídí,165
reset,166
králův,167
úder,168
poplach,169
stop,170
úhradě,171
diagram,172
žádost,173
postih,174
predikát,175
test,176
výstrahy,177
tendr,178
rozhodnutí,179
obrázek,180
opakovaný,181
pravomocný,182
předběžný,183
štít,184
papežský,185
impulz,186
zadal,42
podpis,187
poukaz,188
číselný,189
přímý,190
prostý,191
metodický,192
instanci,116
telefonický,193
nařídit,165
čin,194
algoritmus,195
útvar,196
pochod,197
soudu,36
nesmyslný,198
null,199
output,200
restart,201
takzvaný,202
panel,203
symbolický,204
příznak,205
závěrečný,206
varování,207
blok,208
nařízeno,209
vykonání,210
tlačítkem,65
konkurz,211
stisk,212
kurz,213
statický,214
graf,215
update,216
certifikát,217
požadavku,6
odstavec,218
monolog,219
kompilátor,220
hlášku,221
spis,222
sled,223
aparát,224
nesouhlas,225
exit,226
prefix,227
apoštolský,228
řadič,229
prováděný,230
objednávku,231
klávesa,232
dodatek,233
komentář,234
obrazec,235
klíč,236
nařídil,165
průzkum,237
automatizovaný,238
souborový,239
experiment,240
potvrzení,241
podprogramu,242
alarm,243
kroku,77
výkaz,244
dotazu,33
takový,245
dar,246
mód,247
převod,248
