slovo,poradi
eacute,1
iacute,2
aacute,3
yacute,4
oacute,5
uacute,6
dalš,7
prvn,8
předevš,9
někter,10
vaj,11
posledn,12
větš,13
vat,14
různ,15
kter,16
každ,17
vlastn,18
nen,19
velk,20
lně,21
vyšš,22
rodn,23
probl,24
největš,25
důležit,26
současn,27
kteř,28
předn,29
ostatn,30
syst,31
středn,32
jin,33
jedn,34
možn,35
pracovn,36
vysok,37
ročn,38
jednotliv,39
zen,40
vodn,41
hlavn,42
padě,43
kladn,44
česk,45
zat,46
mci,47
takov,48
rozd,49
nov,50
vhodn,51
mus,52
obdob,53
tek,54
nab,55
využ,56
sti,57
použ,58
dět,59
dobr,60
naš,61
šen,62
zvl,63
vzděl,64
znam,65
materi,66
nky,67
vac,68
tku,69
nutn,70
prostřed,71
nejake,72
odborn,73
zejm,74
cel,75
nem,76
tky,77
tka,78
poř,79
stěhov,80
nav,81
prov,82
čist,83
měř,84
stejn,85
zdrav,86
kladě,87
jem,88
mame,89
stolet,90
mal,91
daj,92
lem,93
roveň,94
spr,95
takove,96
veřejn,97
jine,98
pripadne,99
nejv,100
slo,101
pripade,102
nek,103
takovy,104
sla,105
takze,106
ktere,107
sledky,108
zacatku,109
jit,110
žně,111
nejaky,112
vsechny,113
rikala,114
maj,115
sve,116
nam,117
řešen,118
spatne,119
podm,120
stě,121
ruzne,122
zadne,123
poč,124
nemaj,125
urcite,126
prav,127
sam,128
protoze,129
velke,130
quot,131
kon,132
vetsinou,133
klad,134
padně,135
minul,136
spravne,137
rikam,138
zazitku,139
normalne,140
kem,141
rozhodnut,142
ktery,143
čten,144
sleduj,145
jineho,146
cem,147
kazdy,148
čka,149
nez,150
tyden,151
stejne,152
val,153
nazor,154
klady,134
prvni,155
určit,156
dalsi,157
manzel,158
prave,159
zadny,160
dan,161
problemy,162
kladů,163
bianocz,164
cdots,165
stejny,166
stř,167
věř,168
term,169
kteri,170
musi,171
nemuze,172
druh,173
bohuzel,174
muze,175
rict,176
modern,177
tiskove,178
spravnej,179
chtěj,180
vsechno,181
valy,153
dně,182
přep,183
navic,184
pravidelne,185
vysvětlen,186
pravě,127
pln,187
připrav,188
vetsi,189
dla,190
mozna,191
resit,192
maly,193
hnout,194
snaž,195
uměl,196
mesice,197
mesic,198
naj,199
vic,200
nach,201
dělaj,202
kdyz,203
kladu,134
chovy,204
odběrmagazín,205
jiny,206
jasne,207
měřen,84
normalni,208
clovek,209
nemam,210
nekde,211
vis,212
akorat,213
nemela,214
stech,121
span,215
meho,216
šek,217
such,218
jeste,219
zač,220
amp,221
radi,222
zak,223
problemu,224
sky,225
zvykl,226
zku,227
sit,228
příslušné,229
počas,230
představen,231
jist,232
take,233
neplatnévše,234
jake,235
jaky,236
chvili,237
odnejnovějšíhonejstaršíhonejlepšíhovybrat,238
zap,239
určité,240
neznam,241
ter,242
katalogwebových,243
nemaji,244
radsi,245
nemuzu,246
zal,247
problem,248
vyznačené,249
barvě,250
zkr,251
nemel,252
born,253
představami,254
uhličitého,255
mem,256
consenting,257
uplatněn,258
udelal,259
prepsat,260
ošetřen,261
nejrůznějšími,262
anal,263
muzes,264
rano,265
jedne,266
oicialni,267
kor,268
uvidime,269
zadni,270
krasne,271
věru,272
kal,273
stup,274
najit,275
totiz,276
dom,277
prac,278
přijet,279
vecer,280
čin,281
klidne,282
rovni,283
nema,284
nejlepsi,285
těžkosti,286
moku,287
ska,288
nemůžeme,289
obtížemi,290
podobě,291
sest,292
meli,293
nove,294
lid,295
choroby,296
novinkydle,297
anovinky,298
hromadě,299
starověk,300
lepsi,301
zjištěn,302
mozne,303
zalezi,304
kvuli,305
trval,306
pot,307
delat,308
vsude,309
komplikacemi,310
teto,311
myšlen,312
představeny,231
velkoform,313
praci,314
prod,315
zař,316
vidim,317
vlastni,318
mali,319
neni,320
vyplněny,321
nějak,322
prim,323
dobre,324
nech,325
změnami,326
aktu,327
odpoledni,328
velky,329
kaz,330
nosem,331
čtvrt,332
původ,333
mel,334
vazne,335
odebrali,336
nasi,337
misto,338
drž,339
obc,340
středověk,341
tem,342
plnosti,343
živ,344
chtel,345
nedělali,346
vek,347
kterym,348
nač,349
představ,254
nechyběly,350
rudé,351
podobne,352
mit,353
zvedava,354
pise,355
upevněn,356
rekl,357
pravy,358
stavy,359
měně,360
průkaz,361
prvky,362
uklidnit,363
představy,254
ned,364
jsme,365
těžké,366
potřeby,367
znázorňující,368
voj,369
nejlevněji,370
