slovo,poradi
obal,1
obalu,1
obaly,1
obalem,1
kryt,2
pytlík,3
pouzdro,4
obalů,1
papírový,5
vak,6
sáček,7
stojan,8
ubrousek,9
materiál,10
ochranný,11
plechový,12
kelímek,13
popruh,14
vnitřek,15
plastový,16
stojánek,8
povlak,17
plášť,18
výrobek,19
kufr,20
obale,1
polstrovaný,21
krabička,22
plakát,23
karton,24
látkový,25
silikonový,26
květináč,27
krabičku,22
tablet,28
kufřík,29
zabalený,30
použitý,31
poškozený,32
štítek,33
klip,34
pytel,35
disk,36
nosič,37
uzávěr,38
průhledný,39
krabičky,22
penál,40
rám,41
potah,42
přebal,43
krabice,44
gelový,45
obalech,1
papír,46
přiložený,47
obálku,48
kožený,49
nepoužitý,50
obálka,48
návlek,51
držák,52
box,53
nepoškozený,54
design,55
mobil,56
batoh,57
papírek,58
obsah,59
otvor,60
závěs,61
produkt,62
kovový,63
kartonové,64
povrch,65
hadřík,66
potisk,67
deštník,68
pásek,69
balíček,70
hrneček,71
krabici,44
provázek,72
průsvitný,73
notebook,74
diář,75
tvar,76
rámeček,77
leták,78
telefon,79
lak,80
batůžek,57
blistr,81
tenký,82
originální,83
fotoaparát,84
proužek,85
košík,86
hrnek,87
balení,88
tašku,89
kabel,90
obálky,48
foťák,91
vzorek,92
vlněný,93
polštář,94
laptop,95
polštářek,94
taštička,89
balicí,96
přenosný,97
kontejner,98
podnos,99
skleněný,100
bavlněný,101
cover,102
úchyt,103
polykarbonátový,104
dárek,105
taška,89
obrázek,106
růžový,107
samotný,108
vinyl,109
zápisník,110
obalové,111
brašnu,112
zabalení,113
pouzdra,4
lístek,114
soundtrack,115
měchýř,116
přívěšek,117
výtvor,118
značkový,119
víčko,120
přehrávač,121
kartáček,122
hrníček,87
koncept,123
košíček,124
kabát,125
ubrus,126
gumový,127
vajíčko,128
displej,129
pořadač,130
aplikátor,131
originál,132
stoleček,133
pevný,134
hliníkový,135
tašky,89
filtr,136
koš,137
taštičky,138
oděv,139
bubínek,140
kabátek,141
váček,142
podklad,143
uvnitř,144
obálce,48
voděodolný,145
magnetický,146
kapesníky,147
kondom,148
kolík,149
mechanismus,150
barevný,151
polykarbonát,152
pult,153
zip,154
rozbalení,155
prstenec,156
dáreček,105
kalíšek,157
zvukový,158
mix,159
krabičce,22
lahvičku,160
organizér,161
manuál,162
sýr,163
stan,164
pruh,165
odřený,166
bonusový,167
normalisovaný,168
membránu,169
skládací,170
brašna,112
tubus,171
smartphone,172
adaptér,173
nosný,174
přístroj,175
vodotěsný,176
sáčky,7
akumulátor,177
text,178
iphone,179
prázdný,180
poutko,181
pouzdře,4
víko,182
gel,183
složený,184
suchý,185
vozík,186
tištěný,187
vařič,188
rozměr,189
prostředek,190
membrány,169
grafický,191
zelený,192
plechovky,193
elastický,194
spacák,195
systém,196
silikon,197
černý,198
dřevěný,199
pás,200
plast,201
štít,202
popruhem,203
reproduktor,204
naplněný,205
kartáč,206
křehký,207
katalog,208
šátek,209
uzavřený,210
parfém,211
formát,212
list,213
měkký,214
komplet,215
nástavec,216
nůž,217
designový,218
zásobník,219
vzhled,220
funkciesklominerálnípouzdroobecný,221
opasek,222
obrazový,223
tvarovaný,224
odnímatelný,225
název,226
výplet,227
mokrý,228
pěnový,229
vyjímatelný,230
přehoz,231
hedvábný,232
desky,233
vaječný,234
nahraný,235
pytlíku,236
kapsa,237
odolný,238
modrý,239
tašce,89
korek,240
etiketa,241
plech,242
schovaný,243
souborový,244
láhev,245
zvuk,246
stylový,247
náramek,248
oblek,249
skladný,250
podstavec,251
folii,252
vevnitř,253
celokovový,254
charakter,255
pouzdrem,4
sešit,256
normalizovaný,257
balzám,258
příběh,259
balík,260
vložený,261
čárový,262
zapalovač,263
membrána,169
kapsu,237
videoklip,264
výrobku,19
zabalené,30
diplom,265
mechanizmus,266
hodnotný,267
obraz,268
žlutý,269
vyplněný,270
použitelný,271
stolek,272
hrnec,71
voňavý,273
dudlík,274
mikrofon,275
lahvičky,276
ovladač,277
kodex,278
otvírák,279
klíček,280
truhlík,281
sametový,282
roztok,283
promo,284
poklop,285
song,286
zipem,287
předpis,288
prstýnek,289
pláštěnka,290
komiks,291
bílý,292
nálepka,293
poutavý,294
mastný,295
měnič,296
žaludek,297
spotřebitel,298
stůl,299
prémiový,300
polyuretan,301
fólii,302
lahev,303
klobouk,304
kapsička,237
pudr,305
hadry,306
lesklý,307
konektor,308
kupon,309
flakonu,310
popis,311
dokument,312
keramický,313
aparát,314
folie,315
počítač,316
dopis,317
válcový,318
nabíječku,319
čaj,320
trailer,321
kabelový,322
kartony,323
zavěšený,324
zabalit,96
kreslený,325
šuplík,326
organický,327
flip,328
prodejní,329
ubrousky,9
vodič,330
udělaný,331
film,332
láhve,245
substrát,333
váleček,334
balením,88
sprej,335
lepenky,336
krabičkou,22
plátek,337
pilník,338
kryty,339
nepoužitelný,340
květináče,27
vyztužený,341
plán,342
síťový,343
čtvercový,344
artefakt,345
dvoudílný,346
věnec,347
chránící,348
plochý,349
pouzdru,4
fólie,302
materiály,10
hygienický,350
krém,351
sud,352
přichycení,353
červený,354
sedák,355
drát,356
ventil,357
plyšový,358
trojúhelníkový,359
krytka,360
dutý,361
tlustý,362
polstrovaná,363
slogan,364
stojánku,365
plechová,12
obalené,366
podložku,367
nový,368
sešity,256
motiv,369
síťka,370
magnet,371
prut,372
rukopis,373
jedlý,374
ipad,375
kroužek,376
prášek,377
chráněný,378
