slovo,poradi
stanovení,1
stanovování,2
určování,3
určení,4
stanovením,1
vymezení,5
zjišťování,6
definování,7
posouzení,8
výpočtu,9
posuzování,10
zjištění,11
zohlednění,12
vyhodnocení,13
výpočet,9
stanovit,14
zvýšení,15
snížení,16
vyhodnocování,17
zavedení,18
zpřesnění,19
měření,20
uplatňování,21
upřesnění,22
zahrnutí,23
dosažení,24
vypracování,25
stanoveného,26
zajištění,27
dodržení,28
získání,29
vykazování,30
popsání,31
zvyšování,32
stanoví,14
vytvoření,33
stanovené,26
zařazení,34
stanovených,26
splnění,35
stanovuje,36
poskytnutí,37
zhodnocení,38
provádění,39
překročení,40
rozdělení,41
objasnění,42
prokazování,43
formulování,44
vypsání,45
zmírnění,46
rozlišování,47
zařazování,48
zajišťování,49
zhotovení,50
identifikaci,51
zpřísnění,52
vytváření,53
minimálního,54
způsobu,55
odhadu,56
vyznačení,57
oceňování,58
snižování,59
stanovují,36
postupu,60
omezení,61
zkoumání,62
prokázání,63
využití,64
vyhlášení,65
stanoveny,26
navýšení,66
identifikace,51
navržení,67
dodržování,68
respektování,69
ustanovení,70
stanoven,26
přijetí,71
přidělení,72
sledování,73
přesného,74
přehodnocení,75
stanovovat,14
vybírání,76
zdůraznění,77
rozdělování,78
doplnění,79
ukazatelů,80
předpokládaného,81
zadání,82
ověření,83
ověřování,84
úhrady,85
poskytování,86
přiřazení,87
zkrácení,88
udržení,89
plnění,90
rozboru,91
zachování,92
zmapování,93
nastavení,94
zachycení,95
kalkulaci,96
monitorování,97
optimálního,98
nalezení,99
optimalizaci,100
diagnózy,101
doložení,102
uložení,103
prověření,104
umožnění,105
naplňování,106
vypočtené,107
posílení,108
určením,4
stanovená,26
přidělování,109
zrušení,110
započtení,111
použití,112
vyjádření,113
rozpoznání,114
rozhodování,115
změně,116
naplnění,117
udělování,118
zdůvodnění,119
vyjasnění,120
maximálního,121
přidání,122
určující,123
kalkulace,96
ovlivnění,124
vhodnosti,125
základě,126
přenesení,127
stanovena,26
udělení,128
zjištěných,129
pochopení,130
využívání,131
formulaci,132
analýzu,133
přezkoumání,134
minimálních,54
sestavování,135
předložení,136
rozpracování,137
porovnávání,138
odůvodnění,139
odstranění,140
nedodržení,141
stanovil,14
převedení,142
zmenšení,143
odvození,144
zaúčtování,145
ustavení,146
definice,147
zlepšení,148
analýzy,133
vyhlašování,149
přiměřeného,150
zaznamenávání,151
znázornění,152
kritérií,153
umístění,154
zpracování,155
detekci,156
koeficientů,157
zabezpečování,158
zvýraznění,159
sestavení,160
zjednodušení,161
úhradu,85
plánování,162
dosahování,163
koeficientu,157
nesplnění,164
maximálních,121
poměrné,165
přesné,74
ztížení,166
předpokládaných,81
zvážení,167
uskutečnění,168
uvedení,169
zavádění,170
generování,171
odlišení,172
navyšování,173
posunutí,174
uvádění,175
zveřejnění,176
odečtení,177
obnovení,178
analýze,133
metodiky,179
optimálních,98
rozbor,91
odhad,56
čerpání,180
udržování,181
prověřování,182
specifických,183
koncentrace,184
získávání,185
označování,186
testování,187
nastavování,188
týkající,189
zpřístupnění,190
návrhu,191
rozvržení,192
navození,193
dostatečného,194
závazných,195
odsouhlasení,196
zapsání,197
zásady,198
vyplácení,199
zveřejňování,200
definici,147
vyčlenění,201
zadávání,202
uplatnění,203
zřizování,204
předpokládané,81
začlenění,205
rozšíření,206
uskutečňování,207
prodloužení,208
navrhování,209
eliminaci,210
rozložení,211
realizaci,212
srovnávání,213
zabudování,214
správné,215
celkové,216
minimalizaci,217
prosazování,218
počítání,219
vyhledání,220
interpretaci,221
celkového,216
počtu,222
vybudování,223
vyloučení,224
zvládnutí,225
vypořádání,226
hodnocení,227
zapracování,228
nárůstu,229
popření,230
ponechání,231
minimalizace,232
potřebného,233
konkrétního,234
zamezení,235
přibližné,236
konkrétních,234
stanoveno,26
prosazení,237
týkajících,189
zvýšeného,238
požadovaného,239
schválení,240
limitů,241
uzavření,242
uhrazení,243
dle,244
rozúčtování,245
výši,246
stanovila,14
vynětí,247
určí,248
podrobného,249
vyrovnání,250
určit,248
kritéria,153
oddělování,251
upravení,252
detekce,156
správného,215
vyuţití,253
podmínek,254
zúžení,255
utváření,256
zaslání,257
rozhodné,258
určité,259
případného,260
ukládání,261
určuje,262
efektivního,263
výběru,264
složení,265
pořízení,266
překračování,267
součinitele,268
vyrovnávání,269
stanovili,14
požadavku,270
přesnému,74
rozhodnutí,271
prominutí,272
odchylky,273
cenového,274
výpočtem,9
dělení,275
nabytí,276
účely,277
přepočet,278
sjednání,279
rozdílu,280
zpeněžení,281
odhalení,282
zacílení,283
porovnání,284
zpochybnění,285
průměrného,286
rozvíjení,287
určovat,262
rozčlenění,288
maximalizaci,289
shromažďování,290
vymezených,291
očekávaného,292
poklesu,293
umísťování,294
odvodu,295
zaplacení,296
průměrné,286
úpravu,297
týkajícího,189
dílčího,298
zásad,198
vylučování,299
podílu,300
krácení,301
zopakování,302
cílení,303
odložení,304
zobrazování,305
odchylek,273
limitní,306
potřebných,233
včetně,307
schvalování,308
koncentraci,184
indikátorů,309
výchozích,310
překonání,311
přijímání,312
regulaci,313
zřízení,314
přerozdělení,315
výskytu,316
užití,317
základního,318
výměry,319
přiměřené,150
rozsahu,320
mezních,321
zohlednit,12
zlepšování,322
množství,323
aktuálního,324
vyšetření,325
otestování,326
specifikaci,327
obecných,328
výsledného,329
určují,262
zpoplatnění,330
vhodných,331
zahájení,332
odebrání,333
ozáření,334
přidávání,335
zakotvení,336
přesunutí,337
jednotných,338
klasifikaci,339
nařízení,340
směřování,341
četnosti,342
zaměření,343
informování,344
hodnoty,345
závazného,195
citlivosti,346
indikaci,347
úpravě,297
vystavení,348
předběžné,349
vysvětlení,350
kvantitativních,351
určitého,259
optimalizace,352
dodávání,353
interpretace,221
předání,354
nutných,355
jednotkové,356
rozhodného,258
významnosti,357
procentuální,358
vynechání,359
předkládání,360
analýza,133
přizpůsobení,361
odstraňování,362
zvýšené,238
přiblížení,363
chápání,364
vyplnění,365
eliminace,366
podrobných,249
úhradě,85
úhrad,367
časového,368
podávání,369
výše,370
parametrů,371
úhrada,85
účtování,372
snížené,373
přijatelnosti,374
přesných,74
používání,375
metody,376
charakteristik,377
vyplývajících,378
sepsání,379
vyslovení,380
monitoringu,381
vymezením,5
uchování,382
objektivního,383
přerozdělování,384
včasné,385
sjednaného,386
nároku,387
ohledně,388
odpovídajícího,389
možného,390
opatření,391
členění,392
výsledné,329
odmítnutí,393
stanoveném,26
účelu,277
vypuštění,394
vzniku,395
odměňování,396
navrácení,397
obsahu,398
zdokonalení,399
zapisování,400
možnosti,401
ovlivňování,402
ukazatele,80
použitelnosti,403
odevzdání,404
přiměřenosti,405
doporučení,406
definovaných,407
závazné,195
relativního,408
dávkování,409
jednoznačné,410
předběžného,349
vybrání,411
plošné,412
požadovaných,239
dostupnosti,413
zhoršení,414
náhrad,415
účinného,416
bližších,417
správnosti,418
zpracovávání,419
provedení,420
důsledné,421
kompenzace,422
narušení,423
ohraničení,424
regulačního,425
doplatku,426
potvrzení,427
usnadnění,428
limitu,241
sjednocení,429
využitelnosti,430
vložení,431
doporučených,432
zhotovování,433
metodického,434
sjednávání,435
zákazu,436
emisního,437
standardizaci,438
mezní,321
tvorbě,439
označení,440
korekci,441
kategorizace,442
uvažování,443
budování,444
konečného,445
vzdání,446
podle,447
vynesení,448
potřebnosti,449
umisťování,450
účinku,451
povinného,452
plošného,412
klasifikace,339
stanovujeme,36
uznání,453
metodice,454
přínosu,455
rozmístění,456
zmocnění,457
rozpouštění,458
postupů,60
pobírání,459
harmonogramu,460
hustoty,461
projednání,462
sladění,463
kvalitativních,464
zasílání,465
projednávání,466
předpokladu,467
předpokladů,467
pravidel,468
základních,318
nezbytného,469
vzorkování,470
hlediska,471
zahuštění,472
obvyklé,473
připomenutí,474
návratnosti,475
výnosu,476
oprávněnosti,477
uvolňování,478
vypouštění,479
výhodnosti,480
dokazování,481
účelnosti,482
definic,147
kritérium,153
prošetření,483
předávání,484
kvantitativního,351
doladění,485
udílení,486
zvládání,487
plánovaného,488
připsání,489
směrování,490
prozkoumání,491
realizace,212
hledání,492
klíčových,493
načasování,494
jednotné,338
účinnosti,495
jmenování,496
změny,116
vážení,497
pokrytí,498
uveřejnění,499
placení,500
rozpuštění,501
navrhovaných,502
posunu,503
charakteristických,504
účelem,277
navrhované,502
formování,505
cílových,506
redukci,507
kontroly,508
tvorbu,439
modelování,509
vyúčtování,510
určitých,259
standardizované,511
návrh,191
objevení,512
indikátoru,309
porušení,513
uznávání,514
predikce,515
navázání,516
