slovo,poradi
orientace,1
orientaci,1
orientací,1
identifikace,2
orientovaná,3
diferenciace,4
znalost,5
flexibilita,6
poloha,7
motivace,8
změna,9
stabilita,10
pohyblivosti,11
polohy,7
orientovat,12
informovanost,13
typologie,14
orientován,3
preference,15
perspektiva,16
segmentace,17
obtížná,18
volba,19
samostatnost,20
pozice,21
orientované,3
adaptace,22
zaměření,23
schopnost,24
lokalizace,25
pohyblivost,11
orientována,12
integrace,26
aktivita,27
dispozice,28
postoje,29
komunikace,30
situace,31
specializace,32
zdatnost,33
participace,34
manipulace,35
interpretace,36
přehlednost,37
angažovanost,38
podpora,39
práce,40
navigace,41
orientovaný,3
stabilizace,42
přizpůsobení,43
koordinace,44
hodnotové,45
vnímání,46
převaha,47
výhoda,48
změně,9
viditelnost,49
analýza,50
dovednosti,51
vizualizace,52
přizpůsobivost,53
odlišnost,54
otevřenost,55
neznalost,56
mobilita,57
terminologie,58
rozdílnost,59
polarizace,60
příprava,61
čitelnost,62
myšlení,63
kalkulace,64
kontrola,65
schopnosti,24
orientovaných,3
identita,66
praxe,67
profese,68
informovanosti,13
srozumitelnost,69
členění,70
komunikativnost,71
jistota,72
úvaha,73
poznávání,74
usnadnění,75
stálost,76
znalosti,5
povaha,77
dokumentace,78
orientovány,12
ovládání,79
aktivity,27
orientuje,12
ochrana,80
přístupnost,81
získávání,82
charakteristika,83
náročnost,84
kondice,85
preferenci,86
úprava,87
dimenze,88
variabilita,89
perspektivy,16
kategorizace,90
spolupráce,91
určování,92
postavení,93
životospráva,94
postojů,29
charakteristiky,83
vyhledávání,95
rozlišování,96
představa,97
prostorové,98
odlišnosti,54
nezávislost,99
orientovaného,3
definice,100
struktura,101
regulace,102
přístupnosti,103
argumentace,104
rovina,105
úloha,106
změny,9
kontinuita,107
přeměna,108
smýšlení,109
korekce,110
prostorová,98
strany,111
proměna,112
výchova,113
pružnost,114
struktury,101
vybavenosti,115
chůze,116
dominance,117
porucha,118
mapy,119
koncentrace,120
soběstačnosti,121
víra,122
neschopnost,123
rotace,124
chování,125
absence,126
politika,127
angažovanosti,38
připravenost,128
pohybu,129
orientují,12
výhodou,48
efektivita,130
kvalifikace,131
fixace,132
ochota,133
kreativita,134
vymezení,135
reflexe,136
umístění,137
filozofie,138
strategie,139
dovednost,51
činnosti,140
způsobilost,141
patrná,142
seberealizace,143
stylizace,144
zvyklosti,145
povahy,77
nálada,146
agresivita,147
deformace,148
orientačních,149
konfigurace,150
klasifikace,151
atraktivity,152
ztráta,153
distribuce,154
reakce,155
psychologie,156
záliba,157
nestabilita,158
koncepce,159
výměna,160
chápání,161
barevnost,162
rozpoznání,163
rozmístění,164
sebereflexe,165
náročnosti,84
tolerance,166
soběstačnost,167
zmatenost,168
detekce,169
symbolika,170
prezentace,171
expanze,172
kooperace,173
