slovo,poradi
letos,1
loni,2
vloni,2
letošním,3
předloni,4
letošek,5
loňském,6
jaře,7
létě,8
březnu,9
květnu,10
dubnu,11
podzim,12
únoru,13
každoročně,14
tentokrát,15
říjnu,16
lednu,17
červnu,18
letošní,3
tradičně,19
opět,20
srpnu,21
poprvé,22
příští,23
teď,24
prosinci,25
loňska,26
červenci,27
minulý,28
zřejmě,29
nyní,30
nejspíš,31
loňsku,26
potřetí,32
zase,33
příštím,23
letošního,3
podruhé,34
loňský,6
ještě,35
naposledy,36
nedávno,37
tak,38
zanedlouho,39
počtvrté,40
totiž,41
posedmé,42
nakonec,43
snad,44
pošesté,45
taky,46
loňskému,6
roce,47
zatím,48
budoucnu,49
loňského,6
sobotu,50
již,51
poněkolikáté,52
víkendu,53
dneska,54
určitě,55
přitom,56
teprve,57
naposled,58
také,59
dokonce,60
dnes,61
sice,62
prý,63
rovněž,64
pak,65
konečně,66
ovšem,67
pokaždé,68
brzy,69
možná,70
uplynulém,71
prázdninách,72
nejspíše,73
zimě,74
však,75
prvně,76
jich,77
dvakrát,78
nedávnem,37
tedy,79
zas,80
tentokráte,15
chystá,81
přece,82
neděli,83
minulém,28
někdy,84
když,85
rok,47
chystáme,81
loňské,6
proto,86
každopádně,87
ale,88
podzimu,12
včera,89
tehdy,90
patrně,91
navíc,92
takhle,93
znovu,94
pravděpodobně,95
loňská,6
oslaví,96
tady,97
popáté,98
začátkem,99
premiérově,100
minulých,28
samozřejmě,101
tam,102
plánujeme,103
vánocích,104
naopak,105
přesto,106
loňským,6
oficiálně,107
ostatně,108
vždycky,109
tenkrát,110
zrovna,111
zkraje,112
bude,113
letošních,3
počátkem,114
doufejme,115
koncem,116
napříště,117
příštího,23
asi,118
léto,8
jistě,119
opětovně,120
pochopitelně,121
poprve,122
teďka,123
netradičně,19
týden,124
překvapivě,125
paradoxně,126
kupodivu,127
nadcházejícím,128
doposud,129
hned,130
právě,131
plánuje,103
přeci,132
roku,47
chystají,81
rokem,47
pořád,133
vždy,134
nicméně,135
stejně,136
mezitím,137
naštěstí,138
nečekaně,139
celkově,140
taktéž,141
uplynulých,71
definitivně,142
rozhodně,143
pátek,144
dřív,69
meziročně,145
přelomu,146
minule,147
příště,148
sezonu,149
vůbec,150
bohužel,151
mimochodem,152
předběžně,153
brzo,69
neplánovaně,154
údajně,155
úspěšně,156
tuzemsku,157
jednou,158
přestože,159
předtím,160
dnech,161
půlce,162
sezoně,149
nějak,163
třikrát,164
dříve,69
teda,165
prozatím,166
třeba,167
muset,168
jsme,113
doufám,115
září,169
stále,170
prázdninami,72
budou,113
vlastně,171
skutečně,172
takže,173
letech,47
nikdy,174
pravidelně,175
holt,176
nadále,177
měsících,178
jara,7
výrazněji,179
loňských,6
budeme,113
zkrátka,180
několikrát,181
dosud,182
zimu,74
posledních,183
nově,184
ted,185
protože,186
kupříkladu,187
skoro,188
zdaleka,189
hodlá,190
sezónu,191
potom,192
třetice,193
slavit,194
obvykle,195
čtvrtek,196
nejdřív,197
uplynulý,71
vánoce,104
sezóně,191
chystám,81
tomu,198
plánuju,103
například,199
nadcházejících,128
zároveň,200
aktuálně,201
plánují,103
rekordně,202
rekordní,203
opravdu,204
výrazně,179
bychom,113
slaví,194
slavnostně,205
nám,206
dávno,207
jindy,208
jubilejním,209
víkend,53
loňskou,6
párkrát,210
výhledově,211
doufáme,115
mnohde,212
sklonku,213
zde,214
moct,215
chceme,216
beztak,217
aspoň,218
několikáté,219
málem,220
čtyřikrát,221
plánuji,103
zúčastní,222
dočkat,223
jenom,224
bylo,113
úterý,225
nejdříve,69
náhodou,226
bezpochyby,227
nich,77
akorát,228
kdy,229
budoucna,49
přibude,230
dodatečně,231
nebude,113
těší,232
uplynulého,71
necelý,233
vyjde,234
tudíž,235
jsem,113
prázdnin,72
jaro,7
předstihem,236
každoroční,237
zítra,238
čeká,239
vždyť,240
listopadu,241
léta,8
jelikož,242
republice,243
sezony,149
jim,77
týdnech,124
chystali,81
nás,206
máme,244
zakrátko,245
předešlém,246
vzápětí,247
uskuteční,248
čekají,239
každoročním,237
půlrok,249
plánovala,103
pokud,250
přijedou,251
současně,252
nadcházející,128
celoročně,253
stihla,254
něj,77
těšit,232
posledním,183
budu,113
zdárně,255
nim,77
všichni,256
měsíc,178
předpokládáme,257
měla,244
málokdy,258
pondělí,259
bezesporu,260
celosvětově,261
významně,262
ačkoliv,263
roka,47
konkrétně,264
polovině,265
určo,266
chystala,81
výjimečně,267
jubilejní,209
počítám,268
mohla,215
předpokládám,257
přibudou,230
půjde,269
pětkrát,270
spíš,271
předevčírem,272
začátku,99
odstartuje,273
jej,77
záhy,274
chystal,81
mohli,215
přijelo,251
tolik,275
jen,276
teprv,277
nedlouho,278
občas,279
brzké,280
tento,281
předčasně,282
dlouho,278
doufá,115
poté,283
týdnem,124
chtěli,216
oslavil,96
vyrazí,284
kdyby,285
nestihli,286
poslední,183
následně,287
fakt,288
představilo,289
květnový,290
posledně,291
rozhodli,292
ještì,293
chtěla,216
konat,294
hlavně,295
létem,8
někteří,296
pondělka,297
rozhodla,292
startuje,298
chvíli,299
lety,47
dočkáme,223
podzimním,300
přijdou,301
dočkají,223
zajisté,302
konci,116
obzvlášť,303
stejném,304
nestihla,254
doufají,115
kvůli,305
měli,244
historicky,306
každý,307
přijde,301
vás,308
organizátoři,309
postupně,310
tohle,311
hojně,312
odstartovat,273
věřím,313
uspěla,314
zato,315
vdávat,316
leto,317
předchozích,318
byla,113
soutěžit,319
mnohokrát,320
zhruba,321
ikdyž,322
něm,77
mít,244
být,113
pojedou,323
donedávna,324
pořadatelé,325
tomto,281
ačkoli,326
napodruhé,327
neočekávaně,328
přilákala,329
jubilejního,209
vám,308
slíbila,330
víceméně,331
radši,332
slavíme,194
pořádáme,333
prázdniny,72
jeste,334
chce,216
pomalu,335
minulého,28
ročnících,336
většinou,337
velikonoce,338
nepochybně,339
přibylo,230
létech,8
docela,340
uplyne,341
raději,342
bývá,343
měl,244
hodlám,344
poletí,345
podstatně,346
dlouhodobě,347
předvánočním,348
jinak,349
úplně,350
zimy,74
stihnout,254
uvidíme,351
sotva,352
minulou,28
sezona,149
chtělo,216
momentálně,353
prostě,354
zahájí,355
oslavila,96
oslavili,96
posléze,356
květnovém,290
původně,357
mohlo,215
nejvíc,358
pojede,323
těšíme,232
mohl,215
hostila,359
tenhle,311
předpokládá,257
pokaždý,360
němu,77
mnozí,361
zdá,362
představí,289
standardně,363
oslavit,96
zásadně,364
novém,365
první,366
téměř,367
předešlých,246
očekává,368
budem,369
zvykem,370
slavila,194
dvojnásobně,371
víckrát,372
rád,332
těším,232
společně,373
koneckonců,374
uplynulé,71
zaznamenali,375
startovat,298
čekalo,239
hostit,359
rádi,332
příštích,23
měly,244
pořádně,376
zavítá,377
osmkrát,378
kam,379
deset,380
nejenže,381
kdybych,285
pořádat,333
ozdobí,382
kdybychom,285
kolikrát,383
tomtéž,384
nekdy,385
minimálně,386
nejprve,387
teoreticky,388
kdysi,389
jednorázově,390
dozajista,391
jenže,392
minulému,28
těšíte,232
evidentně,393
myslím,394
doufat,115
bych,113
témže,395
průměrně,396
mohly,215
nimi,77
symbolicky,397
tolikrát,398
reálně,399
stihne,254
kde,400
nejbližších,401
napoprvé,402
pochlubit,403
neplánuje,103
neoficiálně,107
sezóna,191
logicky,404
tom,198
krátce,405
zadařilo,406
přálo,407
povedlo,408
někde,409
týdny,124
čtvrtstoletí,410
čtvrtým,411
připadá,412
několikanásobně,413
blíží,414
pátku,144
opakovaně,415
čtrnáct,416
mání,417
nemusela,168
průběžně,418
slavil,194
mělo,244
hodně,419
vdávala,316
nezvykle,420
desetkrát,421
snažit,422
zákonitě,423
dorazilo,424
připomínám,425
než,426
slavili,194
sedmkrát,427
zatim,428
ročníku,336
čtvrtletí,429
nejenom,430
pojedeme,323
klidně,431
sezóny,191
hodlají,190
osobně,432
nejvýrazněji,179
dokončena,433
náhle,434
napadlo,435
sem,436
sezonách,437
konal,294
nebudeme,113
ročně,438
ráda,332
pololetí,439
podařilo,440
chystáte,81
může,215
přijede,251
nebudou,113
čtyřech,441
víc,419
očividně,442
červnovém,443
tuzemském,444
leden,17
končinách,445
takto,446
současnosti,447
přišlo,301
později,448
jste,113
byli,113
rekordním,203
během,449
které,450
stihl,254
musím,168
šestkrát,451
rekordních,203
dost,452
sezónou,191
všude,453
fakticky,454
doopravdy,455
době,456
rozhodlo,292
dohledné,457
startují,298
oslavovat,96
stihli,254
dekádě,458
sešlo,459
nevyjde,234
patnácté,460
nechystá,81
plánováno,461
vskutku,462
zadaří,463
přilákal,329
poměrně,464
tomhle,311
měsícem,178
doma,465
měsíci,178
vánocům,104
plánujete,103
popravdě,466
třech,467
prvním,366
znova,468
trochu,469
chybět,470
poputuje,471
rozhodly,292
stihnu,472
načase,473
chtěl,216
jestli,474
obávám,475
byly,113
obyčejně,476
něco,477
sezonou,149
opìt,478
vinobraní,479
kdyz,480
počítala,268
druhý,481
sejde,459
námi,482
hostilo,359
čekáme,239
odhadů,483
rozhodl,292
nejednou,484
často,485
přinejmenším,486
tím,198
počítáme,268
nejvíce,419
pojedu,323
podvečer,487
chtít,216
dubnovém,488
příležitostně,489
musíme,168
pravděpodobné,490
jak,491
kterých,450
necelé,233
láká,492
kontě,493
připravuje,494
necelých,233
představila,289
připravujeme,494
pátým,495
tito,281
všechno,256
jichž,496
poslednímu,183
koná,294
jarem,7
ani,497
přesněji,498
přál,407
alespoň,499
naplánováno,500
avizoval,501
minulosti,502
byť,503
časem,504
musela,168
proběhne,505
sedmým,506
očekáváme,368
chystat,507
přijeli,251
týdne,124
podobně,508
devatenáct,509
úspěšný,510
jednoznačně,511
byl,113
plánoval,103
nedávné,512
festival,513
stoprocentně,514
čtvrtý,411
plánovali,103
nebyla,113
začínám,515
rodit,516
trošku,517
představili,289
devětkrát,518
premiéru,519
nakoupila,520
potrvá,521
přijela,251
jedině,522
můžou,215
tuto,281
slíbili,330
tuhle,311
úroda,523
oslavám,524
připravovat,494
mnohdy,525
částečně,526
týdnu,124
měsíce,178
dokončila,527
schválně,528
kvartálu,529
slibovala,530
pětadvacet,531
nepřálo,532
slibovali,530
dočká,223
večer,533
květnových,290
školáci,534
zpočátku,535
nejen,536
takovém,537
lednovém,538
furt,539
těšila,232
koncertovat,540
jenomže,541
přála,407
patnáct,542
desátým,543
vypadalo,544
pilně,545
osmým,546
nejmíň,547
vybralo,548
dorazit,424
vyjít,234
jaksi,549
začala,550
připravilo,551
končit,552
dokončeno,433
plánovalo,103
vícekrát,553
dařilo,554
mám,244
chtějí,216
podstatě,555
především,556
předpokládají,257
předcházejících,557
rovnou,558
odstartovali,273
citelně,559
nedopadlo,560
prakticky,561
můžu,215
dorazí,424
slibuje,530
prej,63
odstartoval,273
naplánovali,562
březnem,9
zažila,563
šestým,564
posledn,565
častokrát,566
slíbil,330
přijít,301
soboty,50
dobrovolně,567
předvečer,568
jedenáctý,569
slibují,530
chvilku,570
stěží,571
netrpělivě,572
odstartovala,273
zdraží,573
vyhlášeny,574
ješte,575
chtěly,216
patnácti,542
znatelně,576
zpravidla,577
uspěl,314
nichž,496
čtvrt,578
devět,579
narozky,580
tisícovku,581
ním,77
přibyla,230
prosincové,582
novinku,583
počátku,114
pokračovat,584
novinka,583
dva,585
začneme,550
zjevně,586
takřka,587
šanci,588
jedenáct,589
nezačala,550
květnem,10
jedenkrát,590
kvapem,591
uplynulo,341
chci,216
nevidět,592
kdoví,593
přiletí,594
pravomocně,595
tuším,596
zaručeně,597
obdobím,598
půjdou,269
připomínáme,425
dokončen,433
nemuselo,168
bodovat,599
muselo,168
pětadvaceti,531
povinně,600
klapne,601
který,450
čekal,239
navštívilo,602
začaly,550
celkem,603
doteď,604
průběhu,605
vydatně,606
soutěžilo,319
navzdory,607
kterou,450
zamíří,608
sedmnáct,609
vesměs,610
pátý,495
normálně,611
počítalo,268
kdo,612
nechyběla,470
naplánované,500
představil,289
můžeme,215
vybrala,548
spíše,73
automobilka,613
podaří,440
předstihu,236
nejbližší,401
směle,614
vyšlo,234
nejraději,342
úspěšná,510
zima,74
sliboval,530
oznámila,615
nejpozději,448
ukázalo,616
nevyšlo,234
svátcích,617
tři,467
celý,233
návštěvníci,618
podzimních,300
nadcházejícího,128
bohuzel,619
případech,620
březnovém,621
možné,622
přijet,251
míří,623
dokončuje,624
zásadě,625
nabídnou,626
museli,168
narychlo,627
řádně,628
musí,168
července,27
nemusí,168
nutně,629
nadlouho,630
dvaceti,631
pět,632
soutěž,633
souběžně,634
pořádali,333
nebylo,113
mají,244
proběhnou,505
sedmnácti,609
očekávat,368
přichystal,635
devátým,636
uspořádalo,637
soutěžili,319
potěšila,638
povede,408
hostí,639
tato,281
začne,550
někdo,640
předpokládat,257
minulým,28
běžně,641
neúspěšně,156
prosinec,25
nestihl,254
jinde,642
uspořádala,637
desetiletí,643
suverénně,644
vybraly,548
těšili,232
ohlásila,645
zavítala,646
uskutečnily,248
sejdou,459
přišly,301
podařit,440
předpokládalo,257
čtyřicet,647
dvacet,631
pořadatelům,325
stylově,648
rozjíždí,649
šampionát,650
začít,550
necelými,233
přibyl,651
oznámeno,652
nevypadá,544
novinkou,583
mnohém,361
prvnímu,366
začínáme,515
prvními,366
nechtěně,653
vcelku,654
dostala,655
dokončeny,433
mohou,215
uspěje,314
závodit,656
kteří,450
přispěje,657
nebývale,658
čtvrtka,196
čtyřmi,441
razantně,659
půl,660
čekat,239
nemusel,168
očekávají,368
uplynul,341
prvních,366
jarním,661
naplno,662
desátý,543
říjnové,663
čekaly,239
nato,664
hlásí,665
pořádalo,333
desátém,543
čtyři,441
přibližně,666
abych,667
sejdeme,459
festivaly,513
počítá,268
čerstvě,668
čekala,239
musely,168
tisícovka,581
kdykoli,669
nebyli,113
vyrazilo,670
nepatrně,91
uspěli,314
účastní,671
vypukne,672
najednou,673
dočkala,223
nemuseli,168
jež,496
dubnové,488
toho,198
neobvykle,195
konala,294
stabilně,674
sezónách,191
připravila,551
jela,323
kandidovat,675
přípravách,676
vyrazit,284
relativně,677
včas,678
úspěšní,510
intenzivně,679
dostalo,655
která,450
patnáctý,460
nabídlo,626
letních,680
obdobně,681
oznámil,615
nebudu,113
nemusely,168
zimou,74
ledna,17
odehraje,682
dalo,683
začínají,515
těšil,232
začíná,515
dubna,11
abychom,667
jarních,661
spolu,684
předchozím,318
konaly,294
desetiletích,643
plánovaný,461
svátky,617
pořádala,333
pádem,685
zažili,563
dvouletém,686
těžko,687
shodně,688
troufám,689
krapet,690
pravděpodobností,691
žně,692
kupovala,693
jíž,496
rozhodnuto,694
mnohem,695
jiţ,696
třebaže,697
vánoc,104
dostanou,655
vystoupí,698
jasno,699
upřímně,700
naznačila,701
neměla,244
veletrhu,702
začnou,550
přišla,301
mimořádně,703
vsadila,704
nejčastěji,485
čekám,239
musel,168
daří,554
mohutně,705
včerejška,706
osm,707
doufam,708
jaru,7
slavnosti,709
dostane,655
smůlu,710
šest,711
pyšnit,712
prodávat,713
výjimečný,714
devadesátých,715
uspořádali,637
udělovat,716
padesát,717
povětšinou,718
tuzemská,444
nepřijdou,301
pořádán,333
výhodně,719
čtyřiceti,647
zažije,563
nestihne,720
netěší,232
nemusíme,168
neznamená,721
konce,116
začalo,550
plánován,461
deseti,380
zahájeny,722
naplánoval,723
předčasné,724
nadstandardně,725
nabídne,626
nemohlo,215
připomenou,726
několik,727
pořídila,728
patnáctého,460
vypravit,729
festivalem,513
skončí,730
letními,680
tematicky,731
eventuálně,732
věří,313
akci,733
představena,289
říjnem,16
nijak,734
zavítají,735
sešly,459
jezdíme,736
přihlásilo,737
jakmile,738
květnové,290
březnové,621
zpětně,739
slavnostech,709
přiznám,740
přivítat,741
listopad,241
stačit,742
finančně,743
ona,77
poběží,744
hrozilo,745
dneška,746
vzdycky,747
počítali,268
padlo,748
hostil,359
aktivně,749
premiérovém,750
nabídly,626
formálně,751
výstavišti,752
stačilo,742
páč,753
dnešnímu,754
snažíme,422
prvn,755
kdykoliv,669
třicet,756
premiérový,750
sedmdesát,757
vyplatí,758
nimž,496
úspěšnější,510
nepřekvapí,759
sebou,760
října,16
dařit,554
jedeme,323
nedobrovolně,567
koupila,761
zahájena,722
chystaný,762
samozøejmì,763
přislíbil,764
neustále,765
těsně,766
nevypadalo,767
zvědaví,768
doufala,115
není,113
úspěchem,769
potkáme,770
ono,771
vím,772
lednové,538
uskutečnil,248
překvapit,773
jisté,774
neměli,244
tuzemské,444
zbývají,775
sedm,776
ročník,336
překvapením,777
půlstoletí,778
věřte,313
lednem,17
lákala,779
dvanáct,780
nestihnu,781
kterým,450
nebývá,343
něčem,477
přilákat,329
nezřídka,782
navečer,783
proběhnout,505
při,784
motoristé,785
stromečkem,786
bodoval,787
malinko,788
očekávalo,368
krásně,789
pojďme,269
letním,680
přivítá,790
třetím,791
přivítala,790
víkendovém,792
tahle,311
hnedka,793
devatenácti,509
přiveze,794
konecne,795
řadě,796
leccos,797
leda,798
němuž,496
připravují,494
metropoli,799
sto,800
neboť,801
června,18
moc,802
tyden,803
představily,289
něho,77
bezmála,804
vyplatilo,758
toto,281
třemi,467
představen,805
připravuji,806
blížícím,807
mozna,808
únorovém,809
dokončené,433
nechyběl,810
vydařila,811
zavítat,377
bývají,343
patřit,812
nejhůř,813
pěkně,814
povedly,815
počítají,268
čtrnácti,416
zažijí,816
říjen,16
přičemž,817
častěji,485
proč,818
tajně,819
navrhla,820
ročníků,336
dramaticky,821
chlubit,822
šestnáct,823
přibyly,230
třináct,824
ucházet,825
boduje,826
zúčastnit,222
avšak,827
přichystali,635
proběhly,505
pořádá,333
čtrnáctý,828
připomeneme,829
vyrazíme,830
rozjet,831
tuzemský,444
nováček,832
přispěla,657
desítka,833
dočkal,223
začal,550
května,10
stovka,834
následujícím,835
duben,11
něž,496
automaticky,836
startovala,298
přirozeně,837
vyrazím,838
pochlubila,403
plošně,839
dostání,840
tedka,841
srpnové,842
padesáti,717
oznámili,615
nemusím,168
rády,332
pouze,843
jako,844
připomněla,829
představeno,289
případě,620
jím,845
sází,846
vyjdou,234
týdnů,124
nastoupí,847
kalendářním,848
dvanáctý,849
nabídla,626
leckdy,850
očekávám,368
zájemci,851
startovalo,298
bát,852
musejí,168
užijeme,853
lyžovat,854
vinaři,855
nechceme,216
stejný,304
naznačil,701
sakra,856
nejradši,332
započala,857
povodním,858
věříme,313
zajímavější,859
přišel,301
příležitost,860
čtyřiadvacet,861
nečekala,862
slavní,863
taťka,864
pár,865
měsíců,178
zaslouženě,866
momentě,867
přiláká,329
jenž,496
potřeba,868
soutěži,633
zažil,563
taková,537
budete,113
pozdním,869
doufal,115
netušil,596
mnohonásobně,870
jubileum,871
osvědčilo,872
svatbu,873
nejzajímavější,859
zdálo,362
nesmíme,874
slavnost,709
plánována,461
startovali,298
maximálně,875
neodmyslitelně,876
možno,622
usilovat,877
nemusejí,168
podpoří,878
těm,198
aby,667
nachystáno,879
večeru,533
festivalu,513
vyhlásilo,880
exkluzivně,881
důvodem,882
nasvědčuje,883
nečekal,239
červnové,443
tímto,281
dostaly,655
nepletu,884
uskutečnila,248
nějakým,885
osvědčila,872
byste,113
došlo,886
startu,887
oslavách,524
kompletně,888
počasím,889
nebyl,113
koukám,890
plánu,891
dokončená,433
zúčastnilo,222
níž,496
chvílí,299
prvního,366
tejden,124
