slovo,poradi
klášter,1
kláštera,1
kostel,2
klášteře,1
chrám,3
klášteru,1
klášterem,1
klášterní,4
benediktinský,5
cisterciácký,6
františkánský,7
kláštery,1
konvent,8
opatství,9
špitál,10
hrad,11
kostelík,12
benediktinů,13
premonstrátů,14
palác,15
dominikánský,16
mniši,17
klášterů,1
augustiniánů,18
františkánů,19
dominikánů,20
areál,21
dům,22
mnichů,17
proboštství,23
pivovar,24
mnich,17
bazilika,25
mnichy,17
zámek,26
zámeček,27
dvůr,28
klášterního,4
hřbitov,29
klášterních,4
katedrála,30
baziliku,31
opata,32
ostrov,33
opevněný,34
kapucínů,35
gotický,36
klášterním,4
komplex,37
poutní,38
románský,39
opat,32
středověký,40
jezuitský,41
benediktinského,5
buddhistický,42
mlýn,43
katedrálu,30
nedaleký,44
kaple,45
hostel,46
pravoslavný,47
statek,48
chrámem,3
kostely,2
poloostrov,49
starobylý,50
městečko,51
kostelem,2
řeholníků,52
park,53
kostela,2
konventu,54
přístav,55
kostelu,2
hotel,56
dvorec,57
kostelů,2
chrámu,3
farnost,58
letohrádek,59
most,60
špitálu,61
abatyše,62
újezd,63
kapitulní,64
katolický,65
oltář,66
klub,67
hostinec,68
majetek,69
sál,70
faru,71
kostelíka,12
kapli,45
městys,72
památník,73
penzion,74
skanzen,75
panský,76
kapitula,77
probošt,78
kasárna,79
hrádek,80
cisterciáckého,81
františkánského,7
opuštěný,82
tvrz,83
klášterech,1
poustevník,84
rytířský,85
důl,86
svatý,87
biskup,88
hospic,89
templářů,90
kostele,2
domek,91
kopec,92
synagoga,93
řeholní,94
zříceninu,95
tábor,96
farní,97
mnichem,17
chrámy,3
útulek,98
stadion,99
kanovníků,100
chrámový,101
ateliér,102
opatem,32
památkový,103
hradu,11
zámecký,104
fara,105
rybník,106
muzeum,107
svatého,87
město,108
kostelíku,12
přilehlý,109
církev,110
kemp,111
kongregace,112
řád,113
sbor,114
osadu,115
šlechtický,116
biskupství,117
panenský,118
kaplí,45
mešitu,119
jezuitů,120
hradě,11
biskupský,121
královský,122
objekt,123
protestantský,124
byzantský,125
světec,126
arcibiskup,127
pokoj,128
karmelitánek,129
katedrály,30
kult,130
hradem,11
chrámů,3
slavný,131
kříž,132
hrob,133
mnišské,134
vybudovaný,135
zbořen,136
velkostatek,137
úřad,138
katedrálou,30
mnicha,17
farář,139
spolek,140
byt,141
zaniklý,142
vikariát,143
obec,144
hrobka,145
mešita,119
ves,146
synagogu,93
arcibiskupství,147
obnovený,148
tunel,149
lihovar,150
poutním,151
křesťanský,152
evangelický,153
vesnici,154
zbudován,155
rytířů,156
jezuité,157
kampus,158
kapitule,159
katedrální,30
fond,160
náhrobek,161
vybudován,162
středisko,163
vesnický,164
zřícenina,95
poutního,165
parlament,166
poutník,167
městečkem,51
knihovnu,168
městečku,51
institut,169
zrekonstruovaný,170
děkanství,171
domov,172
dobyt,173
panovník,174
aquapark,175
svah,176
rodový,177
ženský,178
baziliky,179
majetky,69
modlitebna,180
mariánský,181
farnosti,58
vysvěcen,182
hoře,183
barák,184
podnik,185
pension,186
střediskem,163
sklípek,187
muslimský,188
komunita,189
ubytovna,190
salon,191
cech,192
stol,193
cukrovar,194
pevnost,195
letovisko,196
církevní,197
budovu,198
jezuita,120
ústav,199
ostrově,33
muzeem,107
knížecí,200
rekonstruovaný,201
panství,202
městský,203
hradiště,204
kněz,205
bratrstvo,206
soud,207
svatých,87
císařský,208
síň,209
pavilon,210
poutníky,167
koncil,211
historický,212
lom,213
statky,48
proboštem,214
vesnice,154
zříceninou,95
dóm,215
dominikánského,16
portál,216
hrady,11
barokní,217
sester,218
osada,115
opevněné,219
gotika,220
krypta,221
tělocvična,222
kraj,223
horu,224
potok,225
hotelový,226
židovský,227
císař,228
sokolovna,229
diecézi,230
památku,231
observatoř,232
památkou,231
památky,231
překrásný,233
panstvím,202
festival,234
řádových,235
lyžařský,236
markrabě,237
pamětihodnosti,238
vystavěn,239
srub,240
betlém,241
vodovod,242
poutníci,167
svaté,87
rod,243
ostrůvek,244
osady,115
opevněním,245
knihovna,168
islámský,246
pustý,247
školský,248
hejtman,249
románského,39
seniorát,250
obnoven,148
věž,251
městu,108
mateřský,252
jezuitského,41
čtvrť,253
zříceniny,95
probošta,254
turistický,255
seminář,256
proslulý,257
středověk,258
farníci,259
obchůdek,260
křižáků,261
ruiny,262
obytný,263
rukopis,264
břeh,265
fotoaparát,266
krov,267
dřevěný,268
skalnatý,269
řeholnice,270
salón,271
vrch,272
jezero,273
pozemek,274
poliklinika,275
dochovaný,276
chlapecký,277
paláce,15
stejnojmenný,278
útulný,279
patriarcha,280
režim,281
hradní,282
rozkvět,283
husity,284
král,285
poloostrově,49
svatyně,286
centrum,287
autosalon,288
rodný,289
kolej,290
vsi,146
sklep,291
kroj,292
mauzoleum,293
lounský,294
pražský,295
depozitář,296
hora,224
kníže,297
škola,298
zasvěcený,299
kantor,300
zámku,26
hangár,301
les,302
zrušený,303
posvátný,304
misionář,305
antikvariát,306
orloj,307
buddhismus,308
skálu,309
zákoník,310
zbourán,311
postavený,312
blog,313
foťák,314
kamenný,315
sklárny,316
rozlehlý,317
bazilice,318
rodinný,319
svět,320
archanděla,321
městečka,51
postaven,312
jeskynní,322
lázně,323
jeruzalémský,324
deník,325
farností,58
trakt,326
faře,327
existoval,328
sakrálních,329
památek,231
středověku,258
prales,330
fary,331
ubytovny,190
bratrstva,206
výběžek,332
kapituly,333
svatá,87
rytíři,156
velmistr,334
fresky,335
sklářský,336
vojenský,337
řádové,235
starověký,338
dostavěn,339
papežský,340
vesnička,341
kaplička,342
nádherný,343
zrekonstruován,344
sektor,345
lanový,346
řeku,347
přejezd,348
osídlen,349
pozemkový,350
gotickou,36
panoramatický,351
architektonický,352
rytíř,156
kaplan,353
biskupa,88
slovanský,354
řehole,355
prapor,356
kibuc,357
stacionář,358
poutníků,167
oděv,359
knížete,297
koncert,360
tibetský,361
památka,231
pomník,362
dekret,363
gymnázium,364
univerzitu,365
mešity,119
vyhořel,366
náboženský,367
bytový,368
ráj,369
rotunda,370
pluk,371
světce,372
zbudovat,155
presbytář,373
světských,374
hradby,375
venkovský,376
litoměřický,377
filiální,378
internátu,379
skále,309
starý,380
jeskyně,381
výlet,382
svatyni,286
srbský,383
ostrohu,384
vystavaworkshopkinodivadlokoncertpartysportconkonferenceostatnifestival,385
domeček,386
dvory,28
plán,387
rezidenci,388
gotického,36
sídlil,389
kopci,92
meditační,390
zdejší,391
pronajatý,392
křižáci,261
archeologický,393
účet,394
svaz,395
hradeb,375
výšlap,396
sloup,397
školu,298
stezku,398
apartmán,399
katedrále,30
lékárnu,400
pravoslavnou,47
chorvatský,401
knihovník,402
zahrada,403
vypálen,404
památkám,231
chátrající,405
statku,48
útes,406
pískovcový,407
pohřebiště,408
pobyt,409
knížectví,410
horský,411
příbytek,412
zanikl,413
duchovní,414
vystavěný,239
patronát,415
opravený,416
biotop,417
život,418
jarmark,419
kaňon,420
hřbitovem,29
charita,421
mužský,422
rumunský,423
římskokatolický,424
univerzita,365
elektrárnu,425
bavorský,426
panovníka,174
měšťan,427
hvězdárna,428
vesničky,341
vesnicí,154
újezdu,63
vilu,429
viadukt,430
řeckokatolický,431
vesnic,154
farou,432
okrsek,433
varhaník,434
elektrárna,425
gymnázia,364
chór,435
století,436
čtenářský,437
pobytový,438
tenisový,439
zachovaný,440
pramen,441
památkami,231
bunkr,442
arcibiskupa,127
snímek,443
buddhistické,42
hrobek,145
portrét,444
hrobku,145
kněží,205
lázeňský,445
přestavěný,446
kanovník,447
prostorný,448
údolí,449
archiv,450
nevelký,451
skalách,309
zvonici,452
nepřístupný,453
rybníček,106
jídelna,454
zničen,455
zvonicí,452
gotickým,36
mohutný,456
vlek,457
tělocvičnu,222
paláci,15
pahorek,458
bývalý,459
salonek,460
strýc,461
církevních,197
růženec,462
císaře,228
výukový,463
bazén,464
freskami,465
gotickém,36
sídlili,389
léčebna,466
turismus,467
řeholních,468
pevnosti,195
biskupové,88
duchovních,414
dílnu,469
bydlet,470
opuštěn,471
kanál,472
okruh,473
nemocnice,474
vybudovali,162
oltářem,66
internátní,379
areálu,21
bazar,475
rezidence,388
zalesněný,476
hospodu,477
modlitební,180
bratři,478
biskupovi,88
markraběte,237
nemocnicí,474
vikář,479
chrámových,101
purkrabí,480
obchod,260
erb,481
statků,48
projekt,482
poutních,483
zámečku,27
velmistra,334
advent,484
sokol,485
amfiteátr,486
záliv,487
sněm,488
jízdárna,489
zázrak,490
rodák,491
magistrát,492
šátek,493
kněze,205
