slovo,poradi
památka,1
památkou,1
památku,1
památky,1
památce,1
nemovitá,2
památková,3
připomínka,4
historická,5
zřícenina,6
lokalita,7
chráněná,8
památkami,1
skála,9
rezervace,10
přírodní,11
architektonická,12
kulturní,13
archeologická,14
zrekonstruovaná,15
krajinná,16
památník,17
stráň,18
dominanta,19
technická,20
chráněný,8
katedrála,21
hrobka,22
socha,23
hora,24
dědictví,25
kaplička,26
bazilika,27
sláva,28
zvonička,29
katastrofa,30
kaple,31
vrcholová,32
chráněna,8
cenná,33
rotunda,34
obora,35
skvost,36
opravená,37
rozhledna,38
pískovcová,39
služba,40
budova,41
stezka,42
vyhlídka,43
čtvrť,44
zámecká,45
vyhlášená,46
botanická,47
památkově,48
tvrz,49
perla,50
zajímavost,51
vyhlášena,46
stavba,52
vzpomínka,53
zvonice,54
osada,55
naleziště,56
park,57
románská,58
sochařská,59
gotická,60
dochovaná,61
pamětihodnosti,62
vyhlídková,43
událost,63
turistická,64
sýpka,65
jediná,66
relikvie,67
vesnická,68
náboženská,69
fara,70
významná,71
kavárna,72
cukrárna,73
kašna,74
památkovou,3
středověká,75
obnovená,76
chátrající,77
památkového,3
památný,78
zahrada,79
synagoga,80
chráněn,8
zesnulých,81
stejnojmenná,82
pohroma,83
památkové,3
vila,84
krajina,85
prohlášena,86
trasa,87
louka,88
pocta,89
sakrální,90
pomník,91
geologická,92
busta,93
dřevěná,94
stodola,95
prdelka,96
chráněné,8
památkový,3
scéna,97
studánka,98
pevnost,99
bábovka,100
zvonicí,54
zachovaná,101
muzeum,102
pamětihodností,62
ostuda,103
kostel,104
chráněno,8
jedinečná,105
vizitka,106
známka,107
rostlina,108
ohrožená,109
výtvor,110
památek,1
výzva,111
smůla,112
úcta,113
malba,114
kovárna,115
poznámka,116
svatyně,117
svatá,118
urážka,119
připomínána,120
zámeček,121
roubenka,122
poutní,123
sopka,124
knihovna,125
dřevina,126
cihlová,127
podívaná,128
dílna,129
umělecká,130
národní,131
podlaha,132
lázeňská,133
adresa,134
hnízdiště,135
evidována,136
unikát,137
židovská,138
zrekonstruována,139
štola,140
historický,5
hrad,141
parcela,142
procházka,143
fasáda,144
vozovna,145
politická,146
výtvarná,147
cyklotrasa,148
elektrárna,149
památné,78
obec,150
výhra,151
trofej,152
obrazová,153
katastru,154
milostná,155
přilehlá,156
zříceninu,6
křížová,157
báseň,158
nehoda,159
historické,5
tragédie,160
památkáři,161
soška,162
klenot,163
plastika,164
chata,165
kamenná,166
pozoruhodná,167
zaniklá,168
krása,169
světice,170
součástka,171
zděná,172
chrám,173
hala,174
jáma,175
architektura,176
mrtvola,177
katastrofy,30
lékárna,178
ubytovna,179
krajinný,180
zříceninou,6
restituce,181
fontána,182
obnova,183
rašeliniště,184
oběť,185
zapsána,186
zasvěcená,187
samota,188
mechanická,189
nevěsta,190
jména,191
vzácná,192
podoba,193
novostavba,194
barokní,195
ozdoba,196
šlechtična,197
cesta,198
památkám,1
částka,199
ztracená,200
kytička,201
slavná,202
opravena,203
plocha,204
jednopatrová,205
skále,9
usedlost,206
dvoupatrová,207
romantická,208
restaurace,209
kandidátka,210
církevní,211
nemovité,212
buchta,213
dům,214
banka,215
atrakce,216
agentura,217
dobová,218
