slovo,poradi
hudebník,1
muzikant,2
zpěvák,3
skladatel,4
písničkář,5
kytarista,6
houslista,7
multiinstrumentalista,8
bubeník,9
umělec,10
klavírista,11
herec,12
saxofonista,13
spisovatel,14
pianista,15
baskytarista,16
textař,17
violoncellista,18
malíř,19
kontrabasista,20
výtvarník,21
básník,22
flétnista,23
novinář,24
klávesista,25
varhaník,26
producent,27
klarinetista,28
trumpetista,29
dirigent,30
kapelník,31
publicista,32
tanečník,33
komik,34
režisér,35
bavič,36
zpěvačka,37
frontman,38
fotograf,39
jazzový,40
filmař,41
muzikolog,42
folklorista,43
kněz,44
rockový,45
pedagog,46
dokumentarista,47
vědec,48
sólista,49
fyzik,50
hudebnice,1
rapper,51
politik,52
dramatik,53
pěvec,54
hudebníci,1
scenárista,55
humorista,56
sochař,57
moderátor,58
kreslíř,59
právník,60
fotbalista,61
historik,62
choreograf,63
aktivista,64
diplomat,65
teolog,66
sbormistr,67
klavíristka,11
bluesový,68
hudebníkem,1
antropolog,69
sportovec,70
hudební,71
kazatel,72
vypravěč,73
filosof,74
žurnalista,75
scénograf,76
interpret,77
hudebníka,1
disident,78
filozof,74
virtuos,79
teoretik,80
rodák,81
dramaturg,82
překladatel,83
talentovaný,84
etnograf,85
designér,86
houslistka,87
podnikatel,88
muzikanta,2
učitel,89
architekt,90
přírodovědec,91
kantor,92
skladatelka,4
hokejista,93
ilustrátor,94
zpěvákem,3
kritik,95
scénárista,96
posluchač,97
prozaik,98
textařka,99
muzikanti,2
metalový,100
karikaturista,101
příležitostný,102
návrhář,103
sběratel,104
řemeslník,105
policista,106
tenista,107
aranžér,108
dobrodruh,109
grafik,110
ekolog,111
matematik,112
otec,113
manažer,114
voják,115
lektor,116
herečka,117
biolog,118
redaktor,119
cestovatel,120
dabér,121
řezbář,122
archeolog,123
basketbalista,124
kameraman,125
reportér,126
badatel,127
esejista,128
nakladatel,129
sociolog,130
chemik,131
kamarád,132
geolog,133
chirurg,134
horolezec,135
politolog,136
hráč,137
psychiatr,138
inženýr,139
komentátor,140
spolupracovník,141
popularizátor,142
šachista,143
hudebníků,1
archivář,144
atlet,145
orientalista,146
romanopisec,147
restaurátor,148
zpěváci,3
reprezentant,149
úředník,150
ekonom,151
zoolog,152
kuchař,153
umělecký,154
mladík,155
hudebníky,1
komunista,156
programátor,157
libretista,158
lékař,159
fanoušek,160
státník,161
psycholog,162
kytarový,163
astronom,164
filmový,165
zpěváka,3
sólový,166
organizátor,167
tiskař,168
kouzelník,169
designer,170
klaun,171
advokát,172
knihovník,173
mecenáš,174
myslitel,175
terapeut,176
učenec,177
typograf,178
revolucionář,179
rozhlasový,180
přítel,181
léčitel,182
meteorolog,183
lingvista,184
senátor,185
neurolog,186
americký,187
básnířka,188
člen,189
zpěvačkou,37
biochemik,190
lyžař,191
astronaut,192
vydavatel,193
závodník,194
farmář,195
český,196
editor,197
student,198
řečník,199
bývalý,200
filolog,201
šlechtic,202
mistr,203
charismatický,204
odborník,205
důstojník,206
harmoniku,207
houslový,208
muzikantů,2
reggae,209
misionář,210
humanista,211
funkcionář,212
bratr,213
skladatelem,4
profesionál,214
studiový,215
bankéř,216
kurátor,217
obchodník,218
spisovatelka,219
spoluzakladatel,220
kronikář,221
mnich,222
britský,223
kapela,224
cyklista,225
manžel,226
farář,227
energický,228
šermíř,229
muzikanty,2
řidič,230
miliardář,231
představitel,232
zpěvačky,37
veslař,233
ostravský,234
entomolog,235
válečník,236
milionář,237
tatínek,238
pracovník,239
zakladatel,240
pěvkyně,54
mág,241
alkoholik,242
basový,243
zpěváků,3
kytaristou,244
bojovník,245
skladatelé,4
průmyslník,246
uznávaný,247
jazykovědec,248
samouk,249
pastor,250
občan,251
kontrabas,252
koncert,253
elektrikář,254
malířka,19
kolega,255
umělcem,10
producentka,27
milovník,256
zpěv,257
zpěvačku,37
informatik,258
nadaný,259
známý,260
kapely,224
orchestr,261
dlouholetý,262
partner,263
autor,264
chrámový,265
námořník,266
muž,267
stavitel,268
paleontolog,269
letec,270
znalec,271
veterán,272
syn,273
geograf,274
diktátor,275
amatérský,276
vlastenec,277
filantrop,278
projektant,279
světoznámý,280
modelka,281
zkušený,282
bezdomovec,283
sopranistka,284
baryton,285
zahradník,286
sedmnáctiletý,287
saxofon,288
jazzová,40
tlumočník,289
konstruktér,290
dudák,291
legionář,292
písničkáře,5
zápasník,293
indický,294
záložník,295
tanečnice,33
tenor,296
hudbě,297
lidový,298
kubánský,299
rabín,300
výtvarnice,301
stavebník,302
člověk,303
fyziolog,304
génius,305
katolík,306
plavec,307
milenec,308
spoluhráč,309
kanadský,310
poslanec,311
nadšenec,312
argentinský,313
skladatele,4
barman,314
nizozemský,315
jezuita,316
animátor,317
ministr,318
botanik,319
zpívající,320
profesor,321
konzultant,322
bubeníkem,9
mořeplavec,323
expert,324
zručný,325
zedník,326
amatér,327
skaut,328
umělci,10
hrdina,329
muzika,330
renomovaný,331
křesťan,332
výzkumník,333
zesnulý,334
vývojář,335
pozoun,336
rodič,337
zemědělec,338
kosmonaut,339
novinářka,24
varhaníkem,26
dělník,340
mladý,341
technolog,342
odbojář,343
nástroj,344
hudba,297
živnostník,345
rybář,346
syntezátor,347
popová,348
akordeon,349
slavný,350
jazz,351
výtvarný,352
finalista,353
umělkyně,354
lídr,355
australský,356
král,357
buditel,358
světec,359
boxer,360
zvukový,361
žák,362
hudby,297
kapele,224
vězeň,363
rockové,45
klávesové,364
detektiv,365
tvůrce,366
chlapec,367
spolumajitel,368
vysokoškolský,369
operní,370
šílenec,371
táta,372
vynálezce,373
zločinec,374
vášnivý,375
kytara,376
hudebních,71
klavír,377
vojevůdce,378
poutník,379
prokurátor,380
pěvecký,381
vrah,382
horník,383
rap,384
běžec,385
šéfkuchař,386
trenér,387
zámečník,388
dechový,389
zaměstnanec,390
chlapík,391
motorkář,392
magnát,393
hospodář,394
zvuk,395
scenáristka,396
truhlář,397
lékárník,398
nositel,399
útočník,400
propagátor,401
fotografka,39
činný,402
repertoár,403
investor,404
turista,405
akustický,406
rocková,45
kapelu,224
judista,407
analytik,408
hlasatel,409
muziku,330
hostinský,410
zastupitel,411
soused,412
středoškolský,413
anglický,414
dědeček,415
publicistka,416
koncertovat,417
makléř,418
umělce,10
slovenský,419
kartograf,420
svérázný,421
číšník,422
průkopník,423
reformátor,424
olympionik,425
prezident,426
moderátorka,58
návrhářka,103
irský,427
zasloužilý,428
stratég,429
ilustrátorka,430
skotský,431
strýc,432
kapelou,224
řezník,433
odchovanec,434
vzdělaný,435
doprovod,436
pilot,437
demokrat,438
italský,439
undergroundu,440
zloděj,441
katolický,442
levicový,443
rychlobruslař,444
harmonika,207
křesťanský,445
sklářský,446
synek,447
šikovný,448
kluk,449
švédský,450
klempíř,451
příznivec,452
měšťan,453
technik,454
pracovitý,455
zubař,456
lovec,457
polský,458
operetní,459
varhaníka,26
nářez,460
vlivný,461
frajer,462
fyzioterapeut,463
osmnáctiletý,464
fanda,465
hasič,466
zdatný,467
společník,468
jezdec,469
myslivec,470
dánský,471
rytec,472
prodavač,473
teenager,474
vokál,475
nováček,476
hudebního,71
skladatelů,4
profík,477
koncertoval,478
portugalský,479
mexický,480
patriot,481
tesař,482
kytaru,376
specialista,483
vlastník,484
bratranec,485
podvodník,486
iniciátor,487
kapelníkem,31
koordinátor,488
cizinec,489
hrající,490
africký,491
německý,492
zpěváky,3
avantgardní,493
pomocník,494
borec,495
brněnský,496
hokejový,497
klarinet,498
prostředník,499
znalý,500
kouč,501
koncertní,502
agent,503
festival,504
hlasový,505
šéf,506
pravicový,507
stoupenec,508
všestranný,509
písař,510
absolvent,511
biskup,512
rakouský,513
rádiový,514
grafička,515
ředitel,516
výtečný,517
kapelách,224
pop,518
wikipedista,519
homosexuál,520
doprovodný,521
školák,522
pořadatel,523
rekordman,524
korejský,525
velvyslanec,526
vyšetřovatel,527
majitel,528
slavík,529
pedagožka,530
instalatér,531
brazilský,532
koncertě,253
producentem,27
skautský,533
velšský,534
střelec,535
proslulý,536
tajemník,537
nadšený,538
brankář,539
belgický,540
kameník,541
židovský,542
muziky,330
hudbu,297
rockových,45
tibetský,543
francouzský,544
osobitý,545
režisérka,546
pediatr,547
host,548
příslušník,549
talent,550
písnička,551
kuřák,552
španělský,553
idol,554
holandský,555
sládek,556
služebník,557
generál,558
muslimský,559
premiér,560
akademik,561
komorník,562
komiksový,563
veterinář,564
podnikatelka,88
taneční,565
jihoafrický,566
masér,567
metalové,568
objevitel,569
navrhovatel,570
účastník,571
občasný,572
evangelický,573
country,574
piáno,575
schopný,576
obuvník,577
jazzové,40
sympatický,578
čaroděj,579
jazzu,351
finský,580
divák,581
nemocný,582
kanoista,583
zpěvačce,37
nájemník,584
dobrovolník,585
pomocný,586
folk,587
mládežnický,588
hercem,12
duchovní,589
dvacetiletý,590
kytaristu,244
londýnský,591
ošetřovatel,592
držitel,593
osmiletý,594
obviněný,595
panovník,596
uživatel,597
činitel,598
komunistický,599
orchestru,261
sedlák,600
bicí,601
banjo,602
politický,603
herce,12
švýcarský,604
kadeřník,605
manager,606
rebel,607
hudebním,71
norský,608
akcionář,609
kytarou,376
plodný,610
spisovatelé,14
kanonýr,611
zákonodárce,612
izraelský,613
kapel,224
rodilý,614
kandidát,615
černoch,616
začátečník,617
jedinec,618
slezský,619
hejtman,620
žijící,621
gynekolog,622
záchranář,623
volič,624
blázen,625
fotbalový,626
popové,518
estonský,627
překladatelka,628
pražský,629
mučedník,630
mládenec,631
strejda,632
europoslanec,633
vicemistr,634
nadějný,635
chilský,636
vesnický,637
parťák,638
výtvarníci,21
inspektor,639
sólová,166
bas,640
tuzemský,641
rolník,642
jezuitský,643
malířem,19
pekař,644
spolujezdec,645
instruktor,646
zprostředkovatel,647
sám,648
komorní,649
středověký,650
hudebně,651
publikum,652
spolužák,653
notář,654
trance,655
zpívá,320
náboženský,656
skokan,657
benediktinský,658
významný,659
terorista,660
odborový,661
františkánský,662
havířovský,663
uprchlík,664
továrník,665
pozorovatel,666
přispěvatel,667
vikář,668
interpreti,77
jazzových,40
grafický,669
orchestrů,261
indie,670
chodec,671
vítěz,672
hvězdný,673
výtvarníka,21
leader,674
terapeutka,176
řecký,675
nezaměstnaný,676
rytmus,677
sborový,678
chudý,679
ukrajinský,680
hostující,681
hudbou,297
plzeňský,682
kanovník,683
prorok,684
japonský,685
švagr,686
albánský,687
bubeníka,9
starosta,688
arménský,689
popu,518
koncertem,253
mandolína,690
primátor,691
crossover,692
smyčcový,693
písniček,551
sbor,694
muzikál,695
tvor,696
předseda,697
exministr,698
minimalistický,699
videoklip,700
asistent,701
beat,702
kazatelem,72
třinecký,703
kaplan,704
divadelní,705
punk,706
hostem,548
pastýř,707
gotický,708
jihokorejský,709
interprety,77
lyžařka,710
poradce,711
administrátor,712
ekvalizér,713
narozen,714
římskokatolický,715
kytar,376
ruský,716
mocný,717
folku,587
litevský,718
zpěvem,257
kytaristy,244
chorvatský,719
skladník,720
realizátor,721
potomek,722
puberťák,723
tiskový,724
narozený,714
interpretů,77
fotografický,725
chovatel,726
kámoš,727
herečky,117
svědek,728
autorizovaný,729
přehrávač,730
rozhlas,731
showbyznysu,732
webový,733
dlužník,734
chlápek,735
kvartet,736
čínský,737
sourozenec,738
herecký,739
princ,740
automechanik,741
softwarový,742
papež,743
rozvedený,744
sebevědomý,745
spisovatelem,14
sólisté,746
manželka,747
legenda,748
řadový,749
vůdce,750
vojenský,751
mezzosoprán,752
brácha,753
profesionální,754
opravář,755
