slovo,poradi
poslanec,1
europoslanec,2
senátor,3
poslankyně,4
místopředseda,5
zastupitel,6
ministr,7
politik,8
předseda,9
poslancem,1
starosta,10
poslance,1
hejtman,11
poslanci,1
novinář,12
exministr,13
primátor,14
advokát,15
právník,16
velvyslanec,17
místostarosta,18
šéf,19
kolega,20
prezident,21
podnikatel,22
komunista,23
aktivista,24
vicepremiér,25
funkcionář,26
policista,27
bývalý,28
premiér,29
tajemník,30
člen,31
poslanecký,32
senátorka,33
kandidát,34
občan,35
politolog,36
demokrat,37
lékař,38
předák,39
spisovatel,40
guvernér,41
představitel,42
náměstek,43
ekonom,44
redaktor,45
pravicový,46
zpěvák,47
frontman,48
diplomat,49
vědec,50
profesor,51
sociolog,52
publicista,53
učitel,54
miliardář,55
historik,56
soudruh,57
parlamentu,58
akademik,59
úředník,60
státník,61
zákonodárce,62
zemědělec,63
poslanců,1
pedagog,64
bankéř,65
reprezentant,66
zaměstnanec,67
biolog,68
lídr,69
ekolog,70
důstojník,71
psychiatr,72
soudce,73
disident,74
průmyslník,75
ředitel,76
pan,77
továrník,78
fyzik,79
politička,8
poslaneckého,32
odborník,80
nestraník,81
řečník,82
prokurátor,83
volič,84
poslancům,1
dlouholetý,85
děkan,86
statkář,87
radní,88
student,89
kapitán,90
kanoista,91
inženýr,92
voják,93
obviněný,94
viceprezident,95
farář,96
odborový,97
veterinář,98
mladík,99
zmocněnec,100
hlasoval,101
rodák,102
filozof,103
zastupitelka,6
olympionik,104
psycholog,105
maršálek,106
kancléř,107
živnostník,108
sněmovny,109
moderátor,110
expert,111
doktor,112
majitel,113
muž,114
manažer,115
výtvarník,116
vyšetřovatel,117
sportovec,118
biochemik,119
rektor,120
poslanecké,32
senátorem,3
obchodník,121
hokejista,122
kandiduje,123
cyklista,124
místopředsedou,5
architekt,125
poslankyní,4
herec,126
řidič,127
režisér,128
senátory,3
vyslanec,129
spoluzakladatel,130
vysokoškolský,131
kněz,132
opoziční,133
šlechtic,134
analytik,135
senátoři,3
rolník,136
velitel,137
místopředsedkyně,138
teolog,139
primář,140
hrdina,141
kandidující,123
docent,142
chemik,143
umělec,144
zakladatel,145
básník,146
sněmu,147
parlament,58
žurnalista,148
navrhovatel,149
humorista,150
delegát,151
gynekolog,152
neurolog,153
levicový,154
komisař,155
hudebník,156
tenista,157
skladatel,158
příznivec,159
odbojář,160
stavitel,161
přírodovědec,162
sněmovně,109
proděkan,163
reportér,164
chirurg,165
zákonodárci,62
humanista,166
lékárník,167
důchodce,168
fotograf,169
organizátor,170
šéfredaktor,171
komunistický,172
nájemník,173
legionář,174
pacient,175
biskup,176
dvacetiletý,177
ministerský,178
obžalovaný,179
fotbalista,180
trenér,181
vězeň,182
spolumajitel,183
filosof,103
rabín,184
sekretář,185
závodník,186
veterán,187
kritik,188
