slovo,poradi
nikoliv,1
nikoli,1
nýbrž,2
pouze,3
respektive,4
výlučně,5
spíše,6
výhradně,7
anebo,8
jenom,9
především,10
jen,11
čistě,12
toliko,13
primárně,14
nejenom,15
nebo,8
byť,16
nejedná,17
buď,18
spíš,19
buďto,20
nejen,21
víceméně,22
avšak,23
čili,24
jakožto,25
jedině,26
potažmo,27
povětšinou,28
hlavně,29
případně,30
podstatě,31
neznamená,32
skutečně,33
tudíž,34
tedy,35
převážně,36
jde,37
myšleno,38
přinejmenším,39
facto,40
fakticky,41
ale,42
jedná,17
nespočívá,43
neslouží,44
většinou,45
zejména,46
není,47
jako,48
nejspíše,6
natož,49
coby,50
předpokládám,51
samozřejmě,52
nemusí,53
zpravidla,54
nejde,37
pochopitelně,55
nanejvýš,56
nezávisí,57
nejednalo,17
nehledě,58
přímo,59
nejsou,47
takříkajíc,60
nepodstatné,61
stejně,62
pouhá,63
zásadě,64
řekněme,65
eventuálně,66
neboť,67
minimálně,68
ponejvíce,69
irelevantní,70
popřípadě,71
vlastně,72
jakkoliv,73
pouhou,63
nemusejí,53
netýká,74
vždy,75
nelze,76
leda,77
tak,78
nemyslím,79
nutně,80
mnohdy,81
vesměs,82
nicméně,83
přesněji,84
leč,85
patrně,86
sekundárně,87
jakkoli,73
skutečné,88
kdežto,89
nepřímo,59
rozhodující,90
zdali,91
přece,92
nutnou,93
samotné,94
jaksi,95
zřejmě,96
ryze,97
právě,98
nepovažuji,99
veskrze,100
závisí,57
neplatí,101
skutečnou,88
obráceně,102
alespoň,103
třebaže,104
sloužící,105
určitým,106
skutečným,88
nepotřebují,107
míněno,108
nepůsobí,109
nežli,110
zcela,111
zásadně,112
otázkou,113
určující,114
jakousi,115
opačně,116
vcelku,117
určitého,106
zda,118
nejspíš,119
nerozhoduje,120
rovnou,121
pouhým,63
obyčejně,122
rozhoduje,120
ovšem,123
naopak,124
prioritně,125
protože,126
ohledu,127
netvoří,128
přeci,129
výjimečně,130
skutečná,88
zároveň,131
jenomže,132
spočívající,133
určité,106
nezůstává,134
nesmysl,135
jednalo,17
částečně,136
skutečnosti,137
způsobem,138
jednat,17
koneckonců,139
šlo,37
jednak,140
něčí,141
zůstává,134
zvláště,142
nutné,93
principiálně,143
skutečný,88
omezenou,144
podobně,145
postačí,146
neovlivňuje,147
taktéž,148
typicky,149
nemohou,150
