slovo,poradi
odpoledne,1
dopoledne,2
ráno,3
večer,4
podvečer,5
poledne,6
odpolední,7
neděli,8
poledni,6
navečer,9
polednem,6
sobotu,10
úterý,11
půlnoci,12
pátek,13
pondělí,14
dopolední,15
odpoledni,1
víkendu,16
čtvrtek,17
večera,4
hodině,18
obědě,19
večeru,4
hodiny,20
rána,3
včera,21
sobotního,22
den,23
noci,24
sobotní,22
vecer,25
týdnu,26
odpoledních,7
hodinou,18
středu,27
oběda,19
soboty,10
hodin,18
večery,4
pátku,13
neděle,8
nedělní,28
páteční,29
rano,30
dopoledních,15
jedenácté,31
půlnocí,12
úterní,32
čtvrteční,33
ranní,34
středeční,35
pondělní,36
středy,27
zítra,37
hoďky,38
hodinu,18
víkend,16
večerní,39
týdne,26
odpo,40
dny,23
pátečního,29
desáté,41
pondělka,42
ránem,3
sobota,10
čtvrtka,17
hodinku,18
hodinách,18
středečního,35
úterního,32
dneska,43
osmé,44
týden,26
odpoledním,7
dne,23
dvanácté,45
nedělního,28
víkendy,16
dnech,23
oběd,19
deváté,46
časně,47
pondělního,36
chvilky,48
dnes,49
deštivé,50
procházce,51
šesté,52
setmění,53
čtvrtě,54
sedmé,55
večeři,56
volno,57
ranních,34
vstávám,58
slunečné,59
polední,60
víkendové,61
klání,62
čtvrt,54
setkání,63
večerních,39
snídani,64
chvilka,65
předevčírem,66
zítřejší,67
půl,68
chvíle,65
prázdnin,69
včerejšího,70
pršelo,71
slunečného,59
procházku,51
chvilku,48
obědem,19
hodina,18
včerejší,70
pozdě,72
chvíli,65
týdny,26
schůzky,73
pršet,71
procházka,51
obědu,19
poradě,74
měsíce,75
procházky,51
vstávat,76
svítání,77
dnešek,78
včerejška,79
víkendech,16
večeře,56
vystoupení,80
týdnech,26
slunečno,81
posezení,82
strávené,83
večerech,4
večerním,39
večerního,39
zejtra,84
večerem,4
sobotním,22
sváteční,85
chvilce,48
vycházku,86
středa,27
ránko,87
besedě,88
zábavné,89
víkendů,16
klubovně,90
utkání,91
zitra,92
vycházky,86
června,93
týdnem,26
vstávání,94
večírek,95
brzo,96
večerů,4
strávit,97
přestávce,98
volna,57
ránu,99
schůzce,73
sejdeme,100
seance,101
páté,102
prázdniny,69
počasí,103
vyrazím,104
vyjížděli,105
pozdního,106
schůzi,107
nedělním,28
patnácté,108
brzy,96
slunečný,59
pak,109
minut,110
dvacáté,111
přijdu,112
dorazit,113
října,114
přijeli,115
půlce,116
bouřce,117
vernisáže,118
venku,119
povídání,120
prší,71
dubna,121
sluníčko,122
jdu,123
půlnoční,124
začátkem,125
sejít,100
spát,126
nehodě,127
výlet,128
červnu,93
minuty,110
dni,23
březnu,129
krátce,130
patnáctého,108
přijela,115
května,131
noc,24
pátečním,29
chvílí,65
ranního,34
besedy,88
hod,132
kavárně,133
výletě,128
trávím,134
večírku,95
době,135
března,129
léto,136
schůzku,73
prázdninové,137
vyrazili,138
července,139
půlnoc,12
projížďky,140
čtvrtky,141
jednání,142
čtrnácté,143
tréninky,144
posedět,145
tělocvičně,146
listopadu,147
únoru,148
směny,149
projížďka,140
čtvrté,150
odjezd,151
vyučování,152
letošního,153
čas,154
polovině,155
odpočinkové,156
zpestření,157
celodenní,158
sešli,100
přijet,115
středečním,35
mrazivé,159
dorazili,113
vycházka,86
polojasno,160
potom,161
pohodové,162
hodinové,163
září,164
prosince,165
bouřka,117
měsících,75
sedím,166
srpna,167
červnové,168
přijedu,115
březnové,169
přijel,115
tréninku,144
dubnu,121
jedenáctého,31
sraz,170
jeli,171
čtvrtku,141
říjnové,172
příjezdu,173
všední,174
vyrážíme,175
představení,176
zábavného,89
zase,177
nálada,178
čtrnáctého,143
desátou,41
čtení,179
letního,180
seděli,166
přijít,112
vyjeli,181
vyrazila,138
přiletí,182
února,148
procházkou,51
práce,183
minulý,184
sejdou,100
zataženo,185
sednu,186
lednové,187
hospůdce,188
pivko,189
dekádě,190
květnu,131
devátou,46
pauze,191
nedělních,28
sněžit,192
doma,193
narozeniny,194
srpnu,167
prázdninami,69
vyrazit,138
třináctého,195
jedenáct,196
přednášky,197
relaxovat,198
týdně,199
zahradě,200
snídaně,64
náladu,178
dvoudenní,201
ledna,202
slavnostní,203
minutách,110
promítání,204
vcera,205
rozloučení,206
masopustní,207
vyrazíme,208
následujícího,209
zítřka,210
dorazil,113
chviličku,211
spala,126
říjnu,114
ranním,34
srpnové,212
zajdu,213
schůzka,73
jela,171
dvanáctého,45
opět,214
školce,215
mši,216
času,154
takhle,217
ježdění,218
minutě,110
dubnové,219
náladě,178
dešti,220
dekády,190
víkendovém,61
poté,221
tři,222
listopadové,223
létě,136
zítřek,210
prázdninách,69
práci,183
trávit,134
neformálně,224
bouřky,117
přestávku,98
sedět,166
pořádáme,225
úterním,32
květnové,226
červenci,139
okamžiku,227
časného,228
přednášce,197
hodinky,229
prosinci,165
besedu,88
terase,230
třinácté,195
exkurze,231
včerejším,70
devět,232
čtyři,233
desetiletí,234
kuse,235
půjdeme,123
jízdy,236
hřiště,237
kole,238
dorazila,113
léta,136
pozítří,239
zahájení,240
usnula,241
během,242
škole,243
podzimu,244
návštěvy,245
přestávky,98
jdeme,123
autobuse,246
soutěžní,247
přeháňky,248
dnů,23
chodím,249
prosincové,250
porada,74
prostranství,251
přijely,115
dvacátého,111
příjemné,252
vstává,76
vyrazily,138
školky,215
jedeme,171
tyden,253
směně,149
slavnosti,254
noční,255
dneška,78
probuzení,256
skupinkách,257
vernisáž,118
lednu,202
průběhu,258
čekalo,259
skončení,260
zacvičit,261
proběhnout,262
sedmého,55
sněžení,263
čekání,264
vyjížďky,265
sednout,186
havaroval,266
incidentu,267
dostavit,268
proběhne,262
spat,269
podzimního,270
proběhlo,262
poradu,74
čekala,259
sedmnáctého,271
neformální,272
týdnů,26
deště,220
čtvrtečním,33
chvili,273
chodit,249
objednání,274
párty,275
trénink,144
poèasí,276
velikonočního,277
dorazilo,113
výletu,128
přijede,115
tancovat,278
zpestřením,157
čase,154
strávili,97
jel,171
předvánoční,279
sezony,280
party,281
chodil,249
sedmou,282
sezóny,283
odjížděl,284
jaro,285
obědy,19
víkendový,61
usnul,241
návštěva,245
dnu,286
konferenci,287
nehoda,127
okamžiků,227
jedu,171
etapě,288
únorové,289
děti,290
čekat,259
jídelně,291
víkendových,61
cvičení,292
podzimní,270
spinkat,293
zasedání,294
sešly,100
pozdní,106
svačinku,295
osmou,44
workshopy,296
proběhnou,262
když,297
vedro,298
bohoslužbě,299
dětmi,290
trávila,134
rychlovka,300
spaním,301
náměstí,302
střetnutí,303
trávíme,134
odstartuje,304
denně,305
jsem,306
stihnu,307
schůze,107
příští,308
dojdu,309
svačina,310
kdy,311
lyžovat,312
ochutnávky,313
kavárny,133
dorazily,113
soustředění,314
příjezd,173
povídat,315
debatovat,316
srazu,170
slunného,317
osm,318
domluvené,319
lekce,320
čekal,259
měsíci,75
později,72
grilovat,321
vyrazil,138
jdem,322
družině,323
zážitkové,324
odjeli,325
otevřeno,326
dní,23
akce,327
parku,328
minulou,184
květnový,226
nejdřív,329
vyrazilo,330
trávili,134
čekám,259
zábavě,331
chodíme,249
ukázkové,332
přijedeme,115
někdy,333
vlakem,334
přálo,335
hřišti,237
minulého,184
vstala,336
překvapení,337
sportování,338
koncem,339
ceremoniálu,340
debatě,341
nadílka,342
chodí,249
silvestrovské,343
koncertem,344
vyjímečně,345
návštěvě,245
kalendářního,346
rozcvička,347
tvořivé,348
mamkou,349
tejden,26
ročníku,350
poněkolikáté,351
piknik,352
běhat,353
nato,354
hravé,355
nalačno,356
jara,285
akci,327
čekaly,259
přijedou,115
etapy,288
kolo,238
nádvoří,357
chystám,358
vystoupí,359
semináře,360
čtvrtletí,361
chystali,358
nespala,126
zahajovací,362
osmého,44
poklidu,363
přijďte,112
soutěže,364
jízdě,236
dnešního,365
brzkých,366
obloha,367
sezení,368
hned,369
odjezdu,151
hry,370
jsme,306
oznámil,371
uvařila,372
zábava,331
neplánovaně,373
šestou,52
spal,126
směnu,149
dusno,374
program,375
veselé,376
pobavit,377
poslechu,378
usnout,241
celé,379
příštího,308
letní,180
rozloučit,380
zkraje,381
zpříjemní,382
podzim,244
vzpomínkové,383
hvězdárně,384
jarní,385
tance,386
koncertu,344
pojedu,171
bavili,387
exkurzi,231
adventní,388
demonstraci,389
každé,390
zápasem,391
strávená,83
vystoupením,80
narozeninové,392
proběhl,262
devatenáctého,393
napadlo,394
oblačno,395
zábavy,331
pondělním,36
přijedete,115
velikonoční,277
loňského,396
slavnostního,203
užili,397
tradičně,398
nedělí,8
lehnout,399
projížďku,140
zpívání,400
uplynulého,401
zbytek,402
lekci,320
vedru,298
parketu,403
půjdu,123
teď,404
dovádění,405
bouřkami,117
vstát,336
stihnout,406
chystáme,358
mejdan,407
chodila,249
místo,408
přespat,409
dva,410
desíti,411
probíhat,412
hospůdky,188
sejde,100
vyrazíte,413
odpočívat,414
jindy,415
nedělích,8
úsvitu,416
parkovišti,417
chvil,65
občerstvení,418
upekla,419
třídenní,420
oslavy,421
jaře,285
dorazí,113
svačinu,310
louce,422
probudila,423
chystala,358
pojedeme,171
stmívání,424
ulici,425
přijelo,115
nestíhám,426
šest,427
herně,428
předvečer,429
mezitím,430
stanoviště,431
vyzvednout,432
nocích,24
