slovo,poradi
předseda,1
místopředseda,2
člen,3
šéf,4
předsedkyně,5
předsedou,1
tajemník,6
místopředsedkyně,7
ředitel,8
předsedové,1
předsedy,1
jednatel,9
prezident,10
viceprezident,11
místopředsedou,2
ministr,12
poslanec,13
spoluzakladatel,14
zakladatel,15
předsedu,1
předsedovi,1
představitel,16
sekretář,17
členové,3
předsednictva,18
starosta,19
místopředsedy,2
představenstva,20
náměstek,21
členka,22
spolumajitel,23
členem,3
dlouholetý,24
místostarosta,25
předsedkyní,5
bývalý,26
lídr,27
místopředsedů,2
velitel,28
místopředsedkyní,7
vicepremiér,29
funkcionář,30
místopředsedu,2
president,10
manažer,31
šéfka,32
europoslanec,33
mluvčí,34
koordinátor,35
trenér,36
rektor,37
předsedající,38
šéfredaktor,39
pan,40
předsedů,1
vedoucí,41
výbor,42
náčelník,43
přednosta,44
kolega,45
zástupce,46
premiér,47
velvyslanec,48
proděkan,49
předsednictvo,18
zastupitel,50
ředitelka,51
senátor,52
majitel,53
zmocněnec,54
redaktor,55
předák,56
výkonný,57
profesor,58
kapitán,59
děkan,60
organizátor,61
delegát,62
předsedá,63
frontman,64
reprezentant,65
výboru,42
pověřený,66
členky,22
hejtman,67
předsedal,63
iniciátor,68
ministerský,69
hospodář,70
generální,71
sekretariát,72
kouč,73
členy,3
členů,3
prorektor,74
exministr,75
komisař,76
komise,77
členkou,22
primátor,78
prezidentka,79
členům,3
právník,80
zástupci,46
člena,3
tajemníkem,6
guvernér,81
kancléř,82
ekonom,83
prezidia,84
představitelé,16
zaměstnanec,85
navrhovatel,86
dramaturg,87
šéfem,4
kandidát,88
politolog,89
někdejší,90
dozorčí,91
příznivec,92
ředitelé,8
garant,93
tajemnice,94
soudruh,95
pořádající,96
úřadující,97
pořadatel,98
kurátor,99
prohlásil,100
lékař,101
advokát,102
zdůraznil,103
konstatoval,104
řekl,105
spolupracovník,106
viceprezidentem,11
čestný,107
propagátor,108
expert,109
šéfa,4
uvedl,110
historik,111
kronikář,112
zakládající,113
sekretariátu,72
zakladatelka,114
vůdce,115
analytik,116
zakladatelů,15
držitel,117
zastupující,118
předsednictví,119
zástupkyně,120
odborový,121
učitel,122
vyslanec,123
podotkl,124
sbormistr,125
novinář,126
politik,127
poslankyně,128
účastník,129
sdělil,130
orgán,131
inspektor,132
poslaneckého,133
provozovatel,134
vedoucím,41
docent,135
představenstvo,20
ředitelem,8
vedoucího,41
odborník,136
současný,137
režisér,138
příslušník,139
ministři,12
absolvent,140
moderátor,141
důstojník,142
akcionář,143
starostka,144
rada,145
primář,146
dodal,147
lektor,148
ekolog,149
pracovník,150
krajský,151
spoluzakladatelem,14
přípravného,152
ředitelů,8
sociolog,153
vlastník,154
sdružení,155
poradce,156
plukovník,157
zasedání,158
mistr,159
zvolen,160
vikář,161
poznamenal,162
velmistr,163
senátu,164
prezidentem,10
student,165
členovi,3
spisovatel,166
farář,167
sekretářem,17
publicista,168
generál,169
bývalá,26
delegáti,62
otec,170
šéfkuchař,171
přednesl,172
odpovědný,173
ministryně,174
doplnil,175
výkonného,57
vědec,176
pedagog,177
reprezentanti,65
podplukovník,178
vítěz,179
zasloužilý,180
místostarostka,181
členek,22
zástupcem,46
zvolený,160
autor,182
funkcionáři,30
disident,183
zkušený,184
správní,185
vyšetřovatel,186
prokurátor,187
nositel,188
generálporučík,189
manažerka,190
přítel,191
delegace,192
klávesista,193
koordinátorka,35
členech,3
finalista,194
úředník,195
instruktor,196
kapelník,197
asociace,198
náměstkyně,199
stavitel,200
spoluautor,201
konstatuje,104
partner,202
připomněl,203
technolog,204
akademik,205
jednatelem,206
dlouholetým,24
odborové,121
veterán,207
zpěvák,208
viceprezidenta,11
spolužák,209
bývalé,26
schůze,210
podotýká,211
inženýr,212
zpravodaj,213
kytarista,214
komunista,215
představitelka,216
asistent,217
vysvětlil,218
konzultant,219
znalec,220
navrhl,221
občan,222
maršálek,223
aktivista,224
poslancem,13
ředitele,8
sekretářka,225
předložil,226
činitel,227
reditel,228
emeritní,229
soudce,230
ústředního,231
zakladatelé,15
podnikatel,232
starostou,19
čestným,107
spolupracovníci,106
funkcionářem,30
producent,233
okresní,234
vedoucímu,41
komentoval,235
ing,236
ministrem,12
představenstvu,20
archeolog,237
výtvarník,238
renomovaný,239
doktor,240
zakladatelem,15
bubeník,241
představitelů,16
předloží,226
reportér,242
volený,243
zastupitelka,50
zřizovatel,244
odchovanec,245
jmenován,246
mluvčím,34
schůzi,210
specialista,247
architekt,248
komisi,77
projektant,249
řečník,250
spolku,251
organizátorů,61
meteorolog,252
šéfové,4
delegátem,62
veterinář,253
bývalí,26
postěžoval,254
biolog,255
pediatr,256
brankář,257
kolegové,45
odboru,258
nakladatel,259
kamarád,260
míní,261
pronesl,262
pravil,263
volen,243
probošt,264
rodák,265
kazatel,266
šéfovi,4
podal,267
poznamenává,268
skladatel,269
vůdcem,115
řešitel,270
říká,271
konzul,272
představitelem,16
odborového,121
baskytarista,273
jmenovaný,246
pověřen,66
policista,274
přednášející,275
muž,276
zakládajícím,113
komentátor,277
obhájce,278
velitelé,28
