slovo,poradi
rodina,1
rodiny,1
rodinka,1
rodinou,1
matka,2
rodinu,1
máma,3
maminka,4
rodinná,5
babička,6
manželka,7
rodině,1
komunita,8
žena,9
domácnost,10
teta,11
parta,12
přítelkyně,13
rodin,1
přátelé,14
tchyně,15
skupina,16
dcera,17
církev,18
kamarádka,19
mamka,20
tchýně,21
švagrová,22
celá,23
kamarádi,24
skupinka,25
početná,26
příbuzní,27
dívka,28
rodinách,1
menšina,29
škola,30
sourozenci,31
kultura,32
kariéra,33
školka,34
víra,35
prarodiče,36
vnoučata,37
dcerka,38
šťastná,39
rodinami,1
společnost,40
armáda,41
rodinní,5
mladá,42
osoba,43
láska,44
žila,45
výchova,46
příbuzenstvo,47
posádka,48
identita,49
sestra,50
obec,51
rodiče,52
sousedé,53
partnerka,54
romská,55
bydlela,56
otec,57
vláda,58
sousedka,59
odstěhovala,60
královská,61
vdova,62
smečka,63
dvojice,64
klientela,65
elita,66
ségra,67
vrstevníci,68
solidarita,69
zdravá,70
křesťanská,71
chudá,72
firma,73
samospráva,74
dovolená,75
příroda,76
blízcí,77
katolická,78
partička,79
vnučka,80
malá,81
řada,82
ona,83
sestřenice,84
svatba,85
milovaná,86
dospělá,87
nevěsta,88
rodinné,5
svobodná,89
táta,90
služba,91
sexualita,92
farnost,93
občanská,94
družina,95
holka,96
politika,97
manžela,98
hypotéka,99
židovská,100
knihovna,101
krajina,102
potomci,103
vesnice,104
hrobka,105
rodinný,5
manžel,98
evangelická,106
mamina,107
ratolest,108
holčička,109
přítel,14
chůva,110
manželé,98
základna,111
jednota,112
venkovská,113
sourozenec,114
bratrská,115
psychika,116
prarodičů,36
charita,117
sourozenců,31
zábava,118
náboženská,119
nemocná,120
vyrůstala,121
manželská,122
pacientka,123
etnická,124
trojice,125
manželství,126
třída,127
šlechta,128
rodičů,52
bydlí,56
chudoba,129
půda,130
hvězda,131
matkou,2
velká,132
zahrada,133
česká,134
rozvedená,135
rodine,136
chata,137
dílna,138
chaloupka,139
životospráva,140
věda,141
milenka,142
hospodyně,143
ekonomika,144
partnerská,145
rodinnou,5
postava,146
výživa,147
ochranka,148
rodičovská,149
strava,150
osobnost,151
nešťastná,39
domácnosti,10
socializace,152
sbírka,153
kapela,154
služka,155
milující,156
večeře,157
zahrádka,158
stará,159
sourozence,31
mateřská,160
vila,161
majitelka,162
spoleènost,163
otce,57
vesnická,164
biologická,165
fasáda,166
mafie,167
bývalá,168
soukromá,169
buňka,170
adoptivní,171
svoboda,172
rovina,173
jednotka,174
hlava,175
zásoba,176
policie,177
ženská,178
rodinného,5
maminkou,4
sama,179
soustava,180
bláznivá,181
morálka,182
muslimská,183
mládež,184
rodinném,5
šikana,185
stavba,186
návštěva,187
farma,188
domov,189
rodič,52
kočka,190
rodiči,52
stěhovala,191
motorka,192
jednotlivec,193
emigrovala,194
přestěhovala,195
síť,196
kráska,197
střecha,198
továrna,199
kavárna,200
dům,201
rasa,202
neteř,203
zájmová,204
synové,205
rada,206
prababička,207
pobývala,208
představa,209
povaha,210
komunistická,211
babi,212
hokejová,213
letecká,214
vlastnila,215
nemoc,216
přátelská,217
císařská,218
škála,219
choroba,220
babičkou,6
válka,221
vražda,222
americká,223
tchán,224
pravicová,225
opuštěná,226
ekonomická,227
anamnéza,228
zpěvačka,229
většina,230
městská,231
nevěra,232
generace,233
kamarádů,24
svatá,234
pohromadě,235
soudržnost,236
žije,45
dětmi,237
cela,238
genealogická,239
společenská,240
harmonická,241
vesnička,242
polovina,243
káva,244
sociologie,245
pozůstalost,246
tatínek,247
právnička,248
svědkyně,249
současná,250
koruna,251
bytová,252
podniková,253
půjčka,254
autobusová,255
tradice,256
banka,257
fotbalová,258
manželkou,7
psychiatrická,259
příbuzenské,260
jediná,261
dětství,262
autorita,263
univerzita,264
kámoška,265
členská,266
dáma,267
maličkost,268
dítě,237
úloha,269
fakulta,270
důvěra,271
pyramida,272
polévka,273
dcery,17
čtenářka,274
levicová,275
kancelář,276
aristokracie,277
bohatá,278
matky,2
irská,279
správa,280
domku,281
neúplná,282
půlka,283
administrativa,284
jistota,285
koníčky,286
členové,287
pravoslavná,288
stáj,289
příbuznými,27
smrt,290
filmová,291
sféra,292
skotská,293
hostina,294
sestava,295
scéna,296
politická,297
adopce,298
syna,205
slavná,299
kronika,300
nadace,301
mámou,3
izolovaná,302
cukrárna,303
tisícovka,304
nezisková,305
lyžařka,306
uprchla,307
samotná,308
kovárna,309
herečka,310
hospoda,311
volba,312
osada,313
prarodiči,36
chudí,72
lékařská,314
společná,315
garda,316
dcerou,17
pohoda,317
obydlí,318
obrana,319
stovka,320
italská,321
částka,322
táty,90
rodná,323
přítelkyní,13
klinika,324
nežije,45
samostatná,325
bohoslužba,326
starala,327
spolužáci,328
cesta,329
čtveřice,330
finance,331
paleta,332
genetická,333
babičku,6
slečna,334
instituce,335
manželem,98
domovská,336
genetika,337
dcerami,17
část,338
výbava,339
herecká,340
československá,341
nabídka,342
muzika,343
každá,344
emigrace,345
panička,346
kamarádky,19
německá,347
přesídlila,348
právnická,349
lékařka,350
architektura,351
sousedi,53
tematika,352
větev,353
banda,354
klavíristka,355
římskokatolická,356
kauza,357
typologie,358
horská,359
nevlastní,360
senioři,361
hrstka,362
sebevražda,363
manželky,7
rezidence,364
vybraná,365
vrstva,366
péče,367
koupelna,368
výplata,369
hrdinka,370
školu,30
druhá,371
pečovatelská,372
specialita,373
dítětem,237
nálada,374
dotyčná,375
africká,376
hospodářská,377
děti,237
babičky,6
smíšená,378
centrála,379
příbuzenstva,47
kuchyň,380
spolužačka,381
pěstounů,382
kamarád,24
pětice,383
zvířata,384
tety,11
hudba,385
family,386
zelenina,387
alkoholik,388
biografie,389
naše,390
opravdová,391
čokoláda,392
dětská,393
mamky,394
záležitost,395
ohrožená,396
psychická,397
klubovna,398
švýcarská,399
planeta,400
klan,401
spisovatelka,402
hádka,403
dřevostavba,404
tragédie,405
třetina,406
spravedlnost,407
hrdá,408
entita,409
vrchnost,410
vojenská,411
domu,201
vlast,412
dívenka,413
jídelna,414
oslava,415
života,416
studentka,417
dědečka,418
mužská,419
majetek,420
kniha,421
elektronika,422
thajská,423
opustila,424
spolupracovníci,425
etika,426
automobilka,427
suma,428
stabilita,429
infrastruktura,430
raná,431
hlídka,432
rivalita,433
kritika,434
manželský,122
řecká,435
bratři,436
kuchařka,437
lokalita,438
obyvatelé,439
chalupa,440
soužití,441
problémová,442
ruka,443
krytina,444
objednávka,445
vnučky,80
otcové,57
opora,446
sklářská,447
novinářka,448
stránka,449
potrava,450
aktivita,451
veselá,452
strýc,453
koza,454
rozbila,455
soukromí,169
britská,456
výzdoba,457
dělnická,458
rodičem,52
evropská,459
kaple,460
pětina,461
turistika,462
druha,463
myšlenka,464
usadila,465
móda,466
dárci,467
milá,468
pohodová,469
psycholožka,470
kostra,471
stopa,472
abeceda,473
sekta,474
zeleninová,475
potomek,103
komunity,8
syn,205
dobrota,476
partneři,54
iniciativa,477
záliba,478
výuka,479
synka,480
zoologická,481
přijela,482
angažovanost,483
čtvrtina,484
dvojčata,485
tajná,486
jedinec,487
norská,488
sněmovna,489
matematika,490
organizace,491
rumunská,492
komunitu,8
předci,493
darovala,494
dcerkou,38
medicína,495
socialistická,496
společenství,497
pravá,498
gramatika,499
taková,500
byt,501
učitelka,502
dětma,503
dědičná,504
dráha,505
záliby,478
stráž,506
narozeniny,507
republika,508
pocházela,509
podnikatelka,510
moravská,511
sesterská,512
věc,513
situace,514
postavička,515
vychovatelka,516
sousedy,53
partu,12
pekárna,517
profese,518
ústava,519
výhra,520
taťka,521
pěstounské,522
švagr,523
knížka,524
odjela,525
sekretářka,526
princezna,527
vztahy,528
důchodkyně,529
nadílka,530
lebka,531
nejedna,532
událost,533
populace,534
zajištěná,535
obrazovka,536
jedna,537
fara,538
dcer,17
podnikatelská,539
zápletka,540
delegace,541
modlitebna,542
bohatí,278
prostitutka,543
partou,12
kamaráda,24
cyklistika,544
nemocnice,545
práce,546
vesnici,104
demokratická,547
zástavba,548
plocha,549
rodinných,5
studentská,550
pražská,551
chlapecká,552
tetou,11
vinotéka,553
prodejna,554
přítelem,14
bratra,436
samota,555
vinařská,556
domácností,10
civilizace,557
slovanská,558
synem,205
manželek,7
úroda,559
příslušníci,560
zesnulého,561
rodinným,5
národnost,562
devítiletá,563
atmosféra,564
otcova,565
literatura,566
tato,567
fenka,568
domek,281
spolubydlící,569
psychologická,570
struktura,571
terapeutka,572
prožila,573
touha,574
měna,575
lékárna,576
podpora,577
potomků,103
obrovská,578
belgická,579
školička,30
výborná,580
historická,581
dospívající,582
lidská,583
fronta,584
zamilovaná,585
smutná,586
jihočeská,587
problematika,588
loď,589
rozvedla,590
výroba,591
ves,592
věta,593
strýce,453
dieta,594
vina,595
hromadná,596
moje,390
tenisová,597
