slovo,poradi
režisér,1
scenárista,2
herec,3
scénárista,4
filmař,5
producent,6
režisérka,7
výtvarník,8
dokumentarista,9
scénograf,10
spisovatel,11
kameraman,12
dramaturg,13
choreograf,14
režisérem,1
skladatel,15
dramatik,16
dirigent,17
umělec,18
filmový,19
zpěvák,20
režiséři,1
hudebník,21
novinář,22
režiséra,1
herečka,23
fotograf,24
premiér,25
animátor,26
komik,27
designér,28
malíř,29
architekt,30
muzikant,31
scenáristka,32
publicista,33
tvůrce,34
autor,35
moderátor,36
návrhář,37
scénář,38
natočil,39
film,40
divák,41
historik,42
herci,3
písničkář,43
sochař,44
režisérů,1
žurnalista,45
vědec,46
klavírista,47
libretista,48
režíroval,49
textař,50
pedagog,51
básník,52
dabér,53
prezident,54
kytarista,55
producentka,6
reportér,56
režiséry,1
překladatel,57
herce,3
představitel,58
štáb,59
sbormistr,60
sociolog,61
kreslíř,62
muzikolog,63
filmoví,19
humorista,64
filmaři,5
filozof,65
vypravěč,66
režie,67
politolog,68
projektant,69
redaktor,70
tanečník,71
kritik,72
organizátor,73
profesor,74
herecký,75
filmaře,5
ilustrátor,76
hrdina,77
ministr,78
lektor,79
ředitel,80
bavič,81
umělecký,82
podnikatel,83
scenáristy,2
romanopisec,84
psycholog,85
chirurg,86
zakladatel,87
etnograf,88
frontman,89
policista,90
antropolog,91
pianista,92
biolog,93
inscenace,94
šéf,95
folklorista,96
učitel,97
ekonom,98
esejista,99
kolega,100
restaurátor,101
zkušený,102
neurolog,103
houslista,104
politik,105
meteorolog,106
badatel,107
dramaturgem,13
talentovaný,108
přírodovědec,109
fyzik,110
herců,3
filmu,40
teoretik,111
kouč,112
sólista,113
zoolog,114
inženýr,115
technolog,116
hercem,3
psychiatr,117
prozaik,118
konstruktér,119
snímek,120
námět,121
karikaturista,122
pan,123
právník,124
fyziolog,125
rodák,126
saxofonista,127
divadelní,128
šéfkuchař,129
klarinetista,130
interpret,131
komentátor,132
natáčení,133
tvůrci,34
vicepremiér,134
archivář,135
fotbalista,136
manažer,137
grafik,138
natáčel,139
kapelník,140
režisérky,1
baskytarista,141
aktivista,142
tatínek,143
disident,144
producenti,6
miliardář,145
manžel,146
