slovo,poradi
rekord,1
rekordu,1
rekordy,1
rekordem,1
rekordman,2
rekordů,1
rekordní,3
primát,4
překonán,5
limit,6
milník,7
maximum,8
halový,9
rekordních,3
triumf,10
unikát,11
pokořil,12
hattrick,13
překonala,5
prvenství,14
světový,15
překonal,5
dosažený,16
pokořit,12
přírůstek,17
půlmaraton,18
mítinku,19
rekordním,3
pokles,20
oštěp,21
údaj,22
nárůst,23
medailista,24
pokus,25
nejdelší,26
odhad,27
návštěvnický,28
metu,29
výškový,30
propad,31
gól,32
nejrychlejší,33
hit,34
plán,35
vylepšil,36
zisk,37
maxima,8
laťku,38
graf,39
šampionát,40
skok,41
úspěch,42
zaběhl,43
výsledek,44
trojboj,45
maraton,46
centimetr,47
obrat,48
zaznamenaný,49
trend,50
překonali,5
počin,51
loňský,52
zaběhla,43
úlovek,53
celosvětový,54
překonaly,5
famózní,55
standard,56
účet,57
klubový,58
mezník,59
nový,60
titul,61
závod,62
dluh,63
nepřekonatelný,64
doklad,65
úbytek,66
střelecký,67
historický,68
medaili,69
řád,70
žebříček,71
skore,72
vylepšila,36
nápad,73
maratonu,46
kurz,74
vítězný,75
výtvor,76
dosažen,16
šampionátu,40
šampion,77
průměr,78
ojedinělý,79
celkový,80
stovku,81
mistryní,82
odstup,83
narůst,84
rating,85
medailistka,86
předpis,87
zvyk,88
borec,89
zdolat,90
score,91
počet,92
bestseller,93
závodník,94
zážitek,95
zlepšil,96
maximu,8
sprinter,97
průměrný,98
nejúspěšnější,99
náskok,100
premiérový,101
olympijský,102
exemplář,103
vítězkou,104
bankrot,105
kontě,106
status,107
plavec,108
dvojnásobek,109
blog,110
znak,111
rival,112
statistiky,113
bodový,114
zápis,115
start,116
kodex,117
závazek,118
mistrovský,119
překonat,5
yardů,120
atletický,121
neuvěřitelný,122
pokrok,123
statistik,124
platný,125
vzestup,126
normál,127
dosáhl,128
bronzový,129
atletů,130
oštěpem,21
statistika,113
juniorský,131
gólů,32
vítězku,132
hodnotu,133
pokusem,25
čtvrtý,134
startů,116
vtip,135
návštěvnosti,136
majetek,137
pátý,138
výkon,139
kalendář,140
mítink,19
záznam,141
vrchol,142
neplatný,143
koncept,144
pohár,145
úctyhodných,146
padl,147
