slovo,poradi
odpověď,1
odpověd,2
odpovědi,1
otázku,3
odpoved,4
odpovědí,1
otázka,3
reakci,5
odpovědět,6
reakce,5
jednoznačná,7
zněla,8
odpověděli,6
kladná,9
odpověděl,6
zodpovězení,10
stížnost,11
radu,12
otázky,3
neodpověděl,6
odpověděla,6
žádost,13
dotaz,14
odpovídám,15
odpoví,6
jednoznačnou,7
zprávu,16
kladnou,9
informaci,17
správná,18
připomínku,19
odezva,20
odpov,21
připomínka,19
výzvu,22
prosba,23
odezvu,20
prosbu,23
omluva,24
zodpovědět,25
úvaha,26
výpověď,27
děkuji,28
nápovědu,29
zkušenost,30
poznámku,31
odpovím,6
kritiku,32
záležitost,33
námitku,34
jasná,35
volba,36
pozvánku,37
omluvu,24
nabídku,38
odpovědělo,6
námitka,34
záporná,39
stručnou,40
reakcí,5
řeč,41
výtku,42
pomoc,43
vysvětlení,44
pravdivá,45
podnět,46
recenzi,47
adekvátní,48
dotazy,14
jednoduchá,49
anketa,50
věc,51
jasnou,35
přibližnou,52
odpovědích,1
příčinu,53
pozvání,54
správnou,18
odpovídali,15
zpráva,16
upřímnost,55
hlášku,56
zpověď,57
prostá,58
pochvalu,59
tip,60
rychlá,61
anketu,50
respondenta,62
nesprávná,18
pozvánka,37
otázek,3
hypotéza,63
dotazu,14
diagnóza,64
špatná,65
píseň,66
zajímavost,67
otázkou,3
větu,68
vyčerpávající,69
logickou,70
zodpoví,71
přijatelná,72
zápornou,39
poptávku,73
názor,74
reportáž,75
opakovanou,76
překvapivá,77
položenou,78
odpovídala,15
pozdravem,79
odpovídat,15
odpovíme,6
hloupá,80
smrt,81
věta,68
ano,82
příležitost,83
otázce,3
podněty,46
nejčastější,84
nápověda,85
zvěst,86
komentář,87
reagoval,88
srozumitelnou,89
odpovídá,15
doplňující,90
myšlenka,91
klíčová,92
zní,8
jednoduchou,49
předpověď,93
ptáte,94
formulace,95
reagovala,88
prosbou,23
ptáme,96
reagovat,88
doporučení,97
spojitost,98
příčina,53
srozumitelná,89
přímou,99
přesná,100
vděčná,101
souvislost,102
nečekanou,103
upozornění,104
mockrát,105
položku,106
kritika,107
logická,70
dotazem,14
formulaci,95
čtenářka,108
stručná,40
nereagoval,88
poznámka,31
situace,109
překvapující,110
okamžitá,111
tuto,112
vtipnou,113
událost,114
možnost,115
položena,78
náhrada,116
upřímnou,117
požadavek,118
konkrétní,119
podmínka,120
odezvou,121
případnou,122
dekuji,123
žalobu,124
rychlou,61
zaslala,125
zprávou,16
chybná,126
dopis,127
adresu,128
ptal,94
informovanost,129
dostatečná,130
informace,17
blbost,131
zaslal,125
hodnotíte,132
zeptám,133
rada,12
ptá,94
odměnu,134
žaloba,124
nabídka,38
odborníka,135
léčbu,136
jedinou,137
návratnost,138
ptám,94
větou,68
okamžitou,111
nejasná,35
stížnosti,11
rozumnou,139
kampaň,140
zaslána,141
nepřišla,142
výzva,22
písemnou,143
cesta,144
dotazníku,145
zazněla,146
aktivitu,147
známku,148
dik,149
argumentaci,150
náhradu,116
složitá,151
jakoukoli,152
vyhovující,153
vyřešena,154
jediná,137
přiměřená,155
dostačující,156
pravda,157
zeptal,133
vzpomínka,158
vtipná,113
upřímná,117
vyjádření,159
dostupnost,160
neodpovídá,15
volbu,36
reagující,88
přezdívka,161
aktivita,147
báseň,162
odpovídal,15
formulovat,163
pochvala,59
knihu,164
respondentů,62
závada,165
nasnadě,166
přesnou,100
cestou,144
věcnou,167
takovouto,168
hláška,56
nahrávka,169
petici,170
děkuju,28
napsat,171
zbraň,172
nereaguje,173
zeptala,133
napadla,174
zvědavost,175
námět,176
konkrétnější,119
dotazů,14
alternativu,177
podobnou,178
témata,179
zeptá,133
reagovali,88
situaci,109
objednávka,180
zoufalá,181
nesprávnou,18
přímá,99
zmatená,182
pozornost,183
zareagovala,184
nenašla,185
častá,84
napadá,186
rozumná,139
špatnou,65
odezvy,20
hádanka,187
emailovou,188
jakoukoliv,189
skutečnost,190
blbou,191
zareaguje,184
adresa,128
přibližná,52
pitomost,192
domněnka,193
šanci,194
cestu,144
soutěžní,195
výhra,196
návštěvu,197
diagnózu,64
zeptali,133
odkaz,198
poukázka,199
přesnější,100
potravu,200
citaci,201
důležitá,202
očekávaná,203
platba,204
úloha,205
přednost,206
reklama,207
takovou,208
písničku,209
léčba,136
definici,210
snadná,211
prosby,23
neznám,212
uvedenou,213
volbou,36
jinou,214
ptali,94
předběžnou,215
názoru,74
příspěvek,216
podmínku,120
komentáře,87
jednoznačné,7
zvláštnost,217
nečinnost,218
překvapivou,77
mysl,219
metodu,220
chyba,221
neznámá,222
potravinu,223
vzpomínku,158
neznalost,224
chválu,225
cílená,226
pokládat,227
nejvhodnější,228
novinku,229
reklamaci,230
vyváženou,231
zmínku,232
přednášku,233
žízeň,234
ptají,94
žádná,235
stanovisko,236
nevím,237
cílenou,226
okolnost,238
stránku,239
příjemná,240
zeptat,133
čekám,241
ptát,94
reagovalo,88
stanoviska,236
blbá,191
vzkaz,242
jaká,243
ptala,94
předem,244
zmíněnou,245
obsáhlou,246
dobrá,247
chybu,221
prognóza,248
