slovo,poradi
baterie,1
baterii,1
baterií,1
baterky,2
akumulátory,3
akumulátor,3
bateriemi,1
akumulátoru,3
baterka,2
tužkové,4
nabíječky,5
akumulátorů,3
autobaterie,6
baterku,2
nabíječka,5
nabíjecí,7
akumulátorové,8
nabíjení,9
nabíječku,5
napájení,10
alkalické,11
výdrž,12
nabití,13
dobíjecí,14
akumulátorem,3
nabíječkou,5
výdrže,12
aku,15
nabíječce,5
termostatická,16
dobíjení,17
výdrží,12
vanová,18
dobíjet,19
dřezová,20
nabíjet,21
přístroje,22
vybití,23
svítilna,24
klávesnice,25
lithium,26
vodovodní,27
umyvadlová,28
nabíjí,29
svítilny,24
dioda,30
stojánková,31
vestavěná,32
diody,30
přijímače,33
dobití,34
sluchátko,35
lampy,36
nabít,21
elektrody,37
hlavice,38
zářivky,39
paměťové,40
umyvadla,28
nabíjecích,7
páková,41
energie,42
záložní,43
žárovky,44
napájecí,45
sluchátka,35
kapacity,46
svorky,47
notebooku,48
bateriový,49
spotřebiče,50
vrtačka,51
elektrospotřebiče,52
ovladače,53
životnost,54
krytka,55
sprchová,56
podomítková,57
brašny,58
fotoaparátu,59
zásuvky,60
vybíjení,61
nádobky,62
alkalických,63
krabička,64
foťáku,65
fotoaparáty,59
krabičky,64
kondenzátory,66
dobít,67
svítidla,68
elektronika,69
krytky,70
vrtačky,51
elektrické,71
hubice,72
sprchy,73
pouzdra,74
kartuše,75
motocyklová,76
elektromobily,77
dřezy,78
akumulátorový,79
žárovka,44
elektromotor,80
čidla,81
elektromotory,80
elektrika,82
pákové,41
paměťová,40
nabije,83
displeje,84
konvice,85
nádržka,86
kryt,87
čelovka,88
rukojeti,89
fotoaparátů,59
jednotky,90
indikátor,91
elektřina,92
elektrozařízení,93
sondy,94
hadice,95
vestavěné,32
kalibrace,96
pouzdro,74
notebooků,48
baterietypanalogovétvar,97
telefony,98
napájen,99
čidlo,81
nabíjením,9
čelovky,88
vozítka,100
fotoaparát,59
brzdy,101
vyměnitelné,102
svíčky,103
