slovo,poradi
slunce,1
sluníčko,2
sluníčka,2
slunci,1
sluncem,1
západu,3
sluníčku,2
moře,4
slunečního,5
světlo,6
paprsky,7
sluníčkem,2
svit,8
nebe,9
svítilo,10
slunečného,11
svitu,8
oblohu,12
záře,13
západem,3
svítání,14
slunění,15
teplo,16
hvězdy,17
světla,6
obloze,12
záři,13
vycházejícího,18
oblohy,12
slunečné,11
svítí,10
ohně,19
nesvítí,10
zatmění,20
východu,21
záření,22
západ,3
sluneční,5
deště,23
větru,24
vítr,24
poledne,25
horko,26
mraky,27
žár,28
obloha,12
nebi,9
svítit,10
hvězd,17
tmy,29
chlad,30
opálení,31
mraků,27
stínu,32
déšť,23
tma,29
slunečno,33
slunovratu,34
úplňku,35
úsvitu,36
stín,32
oheň,19
východem,21
mlhy,37
východ,21
slunečný,11
opalování,38
horka,26
obzoru,39
žáru,28
oceánu,40
hory,41
tepla,16
slunné,42
léto,43
mráz,44
světlu,6
teplé,45
jasného,46
zářivé,47
paprsek,7
slunečnice,48
rozpálené,49
blesku,50
energie,51
zimy,52
nebeského,53
slunečnímu,5
vzduch,54
moři,4
prší,55
pobřeží,56
vedro,57
temnoty,58
hvězdami,17
tmě,29
zářící,59
duhy,60
boha,61
vlhko,62
pouště,63
obzor,39
draka,64
chladné,65
slunného,42
oblohou,12
solárního,66
zářit,67
zářením,22
oceány,40
oblačnosti,68
horkého,69
solární,66
palmy,70
měsíce,71
teplého,45
země,72
horké,69
paprsku,7
plameny,73
větry,24
odlesky,74
bouřky,75
terasy,76
oblaka,77
letního,78
setmění,79
záblesku,80
větrů,24
hvězda,17
duha,60
pláže,81
seno,82
tmu,29
polední,83
srdce,84
bouře,85
vláhy,86
chladu,30
horami,41
listí,87
energii,51
počasí,88
terasu,76
sucho,89
jasnější,46
mlha,37
zapadá,90
planety,91
kouře,92
slunečními,5
oparu,93
elektřiny,94
paprsků,7
slunečních,5
plamene,73
svícení,95
zataženo,96
bouřce,75
zimě,52
hvězdného,97
chladno,98
střechy,99
slunečním,5
ráje,100
oceán,40
chladného,65
chladnější,65
vedra,57
jasu,101
podnebí,102
žhavé,103
vánek,104
terase,76
nebeské,53
hřeje,105
zastínění,106
noci,107
scenérie,108
zeměkoule,109
nebes,110
světlem,6
pomeranče,111
zima,52
teplejší,45
ozáření,112
grilování,113
pólu,114
stromy,115
ohnivé,116
vody,117
pršelo,55
teploty,118
dešti,23
pršet,55
rosa,119
mrazivé,120
pohody,121
jihozápadu,122
spálení,123
jaro,124
větrné,125
božstvo,126
nebeský,53
třpytí,127
blesky,50
mlze,37
ranního,128
nebem,9
voda,117
plody,129
ráno,130
odvrácené,131
viditelného,132
rudé,133
půlnoční,134
mrak,27
pláži,81
stíny,32
okny,135
sever,136
polokouli,137
očí,138
poušť,63
zahrádky,139
severu,136
středomořské,140
jih,141
hvězdě,17
ohňů,19
obilí,142
ohřát,143
krajina,144
osvětlené,145
přírody,146
tropického,147
stmívání,148
slunečník,149
tmou,29
písku,150
pálí,151
oblaků,77
plamen,73
šera,152
teplotu,118
světel,6
meče,153
sníh,154
božstva,126
zahrady,155
elektřinu,94
hvězdu,17
zářila,67
oknem,135
mlhu,37
oteplování,156
stráně,157
barvy,158
zářivá,47
skály,159
teplem,16
kříže,160
prázdno,161
mrazu,44
alergie,162
úsměvy,163
tropické,147
záblesky,164
planeta,91
lva,165
solária,166
jas,101
nasvícení,167
tropy,168
trpaslíka,169
krajiny,144
hřejivé,170
mrazy,44
hor,41
polokoule,137
jiskry,171
venku,172
štěstí,173
květy,174
kyslíku,175
rudého,133
letní,78
zlata,176
mořského,177
vzduchu,54
pozorování,178
ozařování,179
proudění,180
dřevo,181
měsíčku,182
teplý,45
deštivé,183
nebeských,53
kopce,184
oči,138
alergii,162
spát,185
topení,186
jasné,46
polárního,187
koupání,188
bouři,85
ven,189
pole,190
blesk,50
blahodárné,191
horku,26
podzimního,192
jarního,193
smutku,194
květu,174
večerního,195
studené,196
žhavý,103
deštěm,23
poušti,63
vločky,197
jara,124
atmosféry,198
slzy,199
bouřka,75
jezera,200
paprskem,201
vzhůru,202
plamenů,73
temnota,58
hojnosti,203
oblačnost,68
vrcholky,204
dopadajícího,205
kouř,92
větrem,24
ohni,19
krásného,206
zrození,207
pohoda,121
ohřívání,208
ostrého,209
denního,210
spánku,211
ledového,212
výsluní,213
domoviny,214
pláče,215
observatoře,216
oblaku,77
pyramidy,217
dálky,218
vodíku,219
poèasí,220
čerstvého,221
okna,135
lenošení,222
úsměvu,163
jihozápad,122
vycházející,18
draky,223
vyhřáté,224
náruč,225
modrého,226
květů,174
zeleného,227
