slovo,poradi
úvěr,1
půjčku,2
úvěry,1
půjčky,2
úvěru,1
hypotéku,3
hypotéky,3
úvěrem,1
úvěrový,4
leasing,5
úrok,6
úvěrů,1
hypotéka,3
půjčka,2
půjček,2
dluh,7
úvěrové,4
refinancování,8
splácet,9
splátku,10
hypoteční,11
ručitele,12
hypotékou,3
splátkový,13
splatit,14
půjčce,2
úrokem,6
splátka,10
spotřebitelský,15
nebankovní,16
půjčit,17
ručení,18
finance,19
splácení,20
splácí,9
bance,21
směnku,22
banky,21
vklad,23
hypo,24
věřitel,25
dotaci,26
splátky,10
úvěrová,4
půjčí,17
splacení,27
splátek,10
úroky,6
bankovní,28
financování,29
úvěrech,1
banku,21
kapitál,30
důchod,31
podnikatelský,32
automobil,33
úvěrového,4
účet,34
dluhopis,35
peníze,36
spořící,37
hypoték,3
poskytnutý,38
majetek,39
dlužník,40
leasingové,41
grant,42
hypotečního,11
leasingu,5
investor,43
ručit,44
bankrot,45
byt,46
obnos,47
investiční,48
úplatek,49
zástavy,50
dar,51
vklady,23
dluhy,7
zástavu,50
investici,52
úroků,6
dům,53
pujcky,54
azyl,55
finanční,56
bankou,21
vůz,57
banka,21
nájem,58
kreditní,59
spořitelnou,60
auto,61
splátkách,10
pozemek,62
úrokovou,63
pujcka,64
poskytnut,65
bankami,21
dotace,26
podvod,66
zástavou,67
doplatek,68
nákup,69
projekt,70
závazek,71
dluhopisy,35
spořitelny,72
spoření,73
odkup,74
dluhu,7
dluhů,7
příjem,75
družstevní,76
půjčené,77
rozpočet,78
úroku,6
částku,79
bankomat,80
fond,81
záruku,82
půjčovat,83
spořicí,84
přeplatek,85
rozjezd,86
věřitelé,25
bydlení,87
hotovost,88
výdaj,89
úvěrových,4
investora,43
bank,21
žadatel,90
zástavní,91
příspěvek,92
odklad,93
nebankovních,94
splatný,95
financovat,96
spořitelně,72
ručením,18
kredit,97
platbu,98
klient,99
bankovního,28
řidičák,100
penize,101
podvodník,102
vyřídíme,103
bankéř,104
zajištěný,105
spořit,106
žadatelé,90
kontrakt,107
kapitálový,108
oddlužení,109
vodovod,110
záchranný,111
podnikatel,112
rezervu,113
krátkodobý,114
přívěs,115
bankovnictví,116
úrokové,63
koncesi,117
hotovosti,88
akciový,118
klíč,119
půjčil,17
konkurz,120
splatností,121
splatnost,121
záruky,82
financovaný,122
investice,52
