slovo,poradi
věc,1
záležitost,2
blbost,3
drobnost,4
maličkost,5
vlastnost,6
otázka,7
pitomost,8
okolnost,9
věcí,1
skutečnost,10
událost,11
myšlenka,12
hloupost,13
věci,1
věta,14
kravina,15
pravda,16
úvaha,17
taková,18
chyba,19
záležitostí,2
druhá,20
zbytečnost,21
činnost,22
část,23
vec,24
volba,25
debata,26
jediná,27
nepříjemná,28
šílenost,29
důležitá,30
podstatná,31
příhoda,32
zbytečná,33
jiná,34
vada,35
bytost,36
myšlenku,12
zbraň,37
otázkou,7
stranu,38
zkušenost,39
dobrá,40
zajímavost,41
názoru,42
potíž,43
situace,44
problematická,45
sranda,46
podmínka,47
víra,48
jasná,49
připomínka,50
zvláštnost,51
kauza,52
správná,53
užitečná,54
osobnost,55
nezbytná,56
zásadní,57
podivná,58
napadla,59
disciplína,60
povinnost,61
řeč,62
stránka,63
závada,64
nevýhoda,65
námitka,66
veřejná,67
výjimka,68
nezbytnost,69
lež,70
tahle,71
výhoda,72
argumentace,73
představa,74
báječná,75
vážná,76
stížnost,77
špatná,78
takováto,79
pomůcka,80
žaloba,81
sporná,82
výzva,83
potřeba,84
podívaná,85
náhoda,86
jedna,87
varianta,88
chvíli,89
příležitost,90
píseň,91
změna,92
nemovitá,93
důležitost,94
překážka,95
oprávněná,96
hrozná,97
historka,98
nespravedlnost,99
alternativa,100
důležitější,30
vášeň,101
nejpodstatnější,31
takovou,18
osoba,102
odlišnost,103
divná,104
logiku,105
neobvyklá,106
nehoda,107
hezká,108
vadu,35
věcná,109
rozumná,110
hračka,111
nejdůležitější,30
dovednost,112
druhou,20
věda,113
cesta,114
žena,115
poznámka,116
nějaká,117
soutěž,118
chápu,119
povaha,120
fantastická,121
tato,122
kauzu,52
záhada,123
nejzásadnější,57
vtipná,124
lahůdka,125
úloha,126
poznámku,116
větu,14
zásada,127
místnost,128
ženská,129
povedená,130
jednoduchá,131
písnička,132
složitá,133
závažná,134
nechápu,119
zakázka,135
iniciativa,136
témata,137
námitku,66
skvělá,138
součástka,139
nutnost,140
záležitosti,2
jakákoliv,141
spravedlnost,142
maličkostí,5
zpráva,143
důležitou,30
samotná,144
škoda,145
lidská,146
kampaň,147
obvyklá,106
logika,105
nahrávka,148
pasáž,149
katastrofa,150
situaci,44
částka,151
samozřejmě,152
udělaná,153
priorita,154
osobou,102
praktika,155
láhev,156
cenná,157
stránku,63
nesmyslná,158
skutečně,159
opatrnost,160
zásadu,127
prostě,161
součást,162
vzpomínka,163
určitá,164
jednoznačná,165
báseň,166
domněnka,167
skutečná,168
možnost,169
příčina,170
účelnost,171
blbá,172
pomůcku,80
jakákoli,173
slušnost,174
korektnost,175
podstatnější,31
výtku,176
zaráží,177
obyčejná,178
cestou,114
přirozenost,179
pochybnost,180
nebezpečná,181
podstata,182
šílená,183
aktivita,184
přirozená,185
běžná,186
holka,187
drobností,4
příjemná,28
pěkná,188
hra,189
potřebná,190
rada,191
užitečnou,54
rovina,192
každýho,193
úžasná,194
podivnou,58
chuť,195
nešťastná,196
samozřejmost,197
výborná,198
procedura,199
starost,200
veličina,201
otázku,7
vůle,202
uvědomit,203
scéna,204
nedostatečnost,205
kniha,206
takova,207
služba,208
zábavná,209
rozhodnutá,210
strašná,211
zvědavost,212
uznávám,213
neskutečná,168
minulost,214
platforma,215
problematickou,45
neuvěřitelná,216
složka,217
hnusná,218
prospěšná,219
hračku,111
neznalost,220
ctnost,221
žádost,222
společnost,223
nálada,224
novinka,225
užitečnost,226
jistota,227
každopádně,228
shoda,229
knížka,230
realita,231
zprávou,143
tohle,71
vizitka,232
odpověď,233
opravdová,234
fakta,235
dohoda,236
evidentní,237
společnou,238
argumentaci,73
stránkou,63
ohromná,239
specifická,240
jedinou,27
daná,241
metoda,242
myšlenkou,12
logická,243
společná,238
myslím,244
chybu,19
vzácnost,245
vražda,246
slušná,247
práva,248
změnu,92
cenu,249
nepříjemnou,250
rychlovka,251
kritika,252
oblast,253
praktická,254
závadu,64
pecka,255
souvislost,256
zajímavá,257
bomba,258
stavba,259
takhle,260
pozornost,261
podstatou,182
zarážející,262
nemoc,263
oprávněnost,264
rozhodnutí,265
pohledu,266
jednotlivou,267
látka,268
schopnost,269
volbu,25
kytka,270
problémová,271
jedinečná,272
investici,273
způsobilost,274
jistá,275
podstatnou,31
vlastně,276
budoucnost,277
názor,42
reálná,278
komponenta,279
závěť,280
pochopitelně,281
snaha,282
tragická,283
tuhle,71
řešená,284
láska,285
osobu,102
pomoc,286
prosba,287
arbitráž,288
významná,289
jde,290
drzost,291
problematiku,292
levná,293
složku,217
sebevražda,294
krásná,295
hotová,296
zábava,297
přínosná,298
taktika,299
odpovědnost,300
zřejmá,301
kuriózní,302
politika,303
fraška,304
konkrétní,305
velká,306
nevýhodu,65
bláznivá,307
rozdílnost,308
motivace,309
nerovnost,310
drahá,311
omluva,312
nálepka,313
zkrátka,314
případ,315
dobrota,316
postava,317
soukromá,318
komplikovaná,319
výjimečná,320
zanedbatelná,321
větou,14
pověst,322
loď,323
šikovná,324
zkouška,325
funkčnost,326
chvilka,89
jaká,327
která,328
obtíž,329
hloupá,330
surovina,331
zajímavou,257
hrůza,332
jednu,87
chybou,19
přece,333
kamarádka,334
knížku,230
jenom,335
použitelnost,336
prioritu,154
dokonalost,337
mimořádná,338
fotka,339
stěžejní,340
dělaná,341
rovinu,192
subjektivní,342
jízda,343
otrava,344
úroveň,345
potřebu,84
knihu,206
válka,346
ozdoba,347
hotovou,296
popsaná,348
zodpovědnost,349
běžnou,186
zákonná,350
jinou,34
opravdu,351
stanoviska,352
záliba,353
normální,354
jednoznačně,355
slabost,356
závist,357
přijatelná,358
schůzka,359
čest,360
službu,208
výpověď,361
firmu,362
etická,363
problematika,292
tragédie,364
pravidla,365
smlouva,366
pomůckou,80
zajímalo,367
každého,368
smůla,369
pozoruhodná,370
doplňková,371
trofej,372
okrajová,373
smutná,374
drobnosti,4
kterou,328
změnou,92
nevinná,375
radost,376
banální,377
hmotná,378
paradoxní,379
klíčová,380
dobrovolná,381
ženu,115
tvář,382
reklama,383
oběť,384
diskutabilní,385
novinku,225
investice,273
nahrávku,148
zpověď,386
myšlena,244
idea,387
nepoužitelná,388
položku,389
dřina,390
písemnost,391
urážka,392
pozůstalost,393
pravomoc,394
spojitost,395
vina,396
případná,397
říkám,398
svoboda,399
nezbytností,69
nastala,400
taky,401
představivost,402
stranou,38
napadá,403
někomu,404
nápad,405
nákladná,406
výjimečnost,407
použitelná,408
zápletka,409
obslužnost,410
ukázka,411
okolností,9
fotku,339
hru,189
krádež,412
každá,368
móda,413
klasika,414
samou,415
aktivitu,184
mrzí,416
fyzická,417
droga,418
církev,419
správnou,53
ona,420
marketingová,421
nečekaná,422
nesprávná,53
taška,423
logickou,243
pravdu,16
hádka,424
škodlivá,425
nějakou,117
přístupnost,426
debatu,26
připomínku,50
pohodlnost,427
neznámá,428
pochvala,429
obava,430
daň,431
mrtvola,432
věčná,433
výchova,434
známá,435
auta,436
koupě,437
vždycky,438
zajímá,367
lahev,439
dotyčná,440
teoretická,441
nejde,290
nečinnost,442
politická,443
službou,208
podstatný,31
úlohu,126
krása,444
zásluha,445
nejzákladnější,446
navrhovaná,447
maličkosti,5
hlediska,448
proměna,449
cílená,450
technika,451
aféra,452
reportáž,453
těžká,454
měrou,455
chvílí,89
forma,456
povahu,120
riziková,457
možná,458
kapitolou,459
oprávněnou,96
díla,460
výhodu,72
fajn,461
mne,462
společenská,463
karta,464
prodiskutovat,465
partička,466
podobná,467
věcech,1
noc,468
technická,469
řešit,470
etapa,471
nová,472
dobou,473
obecně,474
realitu,231
položka,389
posedlost,475
zjevná,476
informaci,477
legitimní,478
trvalá,479
poctivost,480
výstroj,481
třeba,482
štve,483
skutečností,10
nebyla,484
prioritou,154
touha,485
domácnost,486
mužská,487
působivá,488
říci,489
dívka,490
prospěšnou,219
marná,491
alternativou,100
vadou,35
holčina,492
geniální,493
vážnost,494
hmota,495
pomsta,496
medicína,497
pravdivá,498
úleva,499
směna,500
zajímavější,257
parta,501
podstatu,182
vyváženost,502
potravina,503
etika,504
ale,505
nudná,506
zaprvé,507
praktickou,254
angažovanost,508
živá,509
evidentně,510
zmiňovaná,511
někoho,404
tatáž,512
bezva,513
bezpochyby,514
taktická,515
nádherná,516
iniciativu,136
bohoslužba,517
diagnóza,518
kritická,519
tekutina,520
volbou,25
znalost,521
výhra,522
půlka,523
sousedka,524
vím,525
závislost,526
ovšem,527
cyklistika,528
udělat,529
zásadě,127
složitější,133
důležité,30
paráda,530
tkáň,531
legrace,532
plnohodnotná,533
nutnou,534
považuji,535
koneckonců,536
legislativa,537
modlitba,538
novinkou,225
dobu,473
samostatná,539
přiznat,540
mysl,541
pohled,266
motivací,309
součinnost,542
určitě,543
využitelnost,544
odezva,545
vyřešena,546
mého,547
říct,489
nedávná,548
složkou,217
zbožnost,549
ruka,550
hrozba,551
mně,462
kritiku,552
myslet,244
bezesporu,553
zvlášť,554
hudba,555
zátěž,556
zmíněná,557
variantu,88
zrada,558
hlášku,559
věcnou,109
dobrodružná,560
podobnost,561
zrcadlovka,562
danou,241
neviditelná,563
moje,547
sporu,564
potravinu,503
fakt,565
nesmysl,566
zbytečnou,33
odvaha,567
nicméně,568
obrovská,569
doktrína,570
drobná,571
hromadná,572
větev,573
domněnku,167
špatnou,78
anketa,574
nepodstatné,31
hračkou,111
historku,98
úprava,575
kancelář,576
zprávu,143
zvláštní,577
doba,473
písničku,132
problému,578
stejná,579
specifickou,240
chybná,580
rychlá,581
řádka,582
bezpečnost,583
děsivá,584
důležitý,30
vlastností,6
techniku,585
obuv,586
strašnou,211
bitva,587
funkcionalita,588
postavička,589
výjimečnou,320
pravá,590
mylná,591
hodnou,592
neřeším,593
připomínám,594
nemyslím,595
místa,596
skutečnou,168
podařila,597
podotknout,598
nejjednodušší,131
škodu,145
nechuť,599
reklamaci,600
opakuji,601
agendu,602
považuju,535
vidím,603
opakovaná,604
samolepka,605
garáž,606
vlastníka,607
vlastnická,608
skupina,609
napadne,59
neschopnost,610
jednorázová,611
složitost,612
podmínkou,47
účelová,613
částku,151
odměna,614
maminka,615
předloha,616
známou,617
sláva,618
rozhodně,619
krabička,620
nedůvěra,621
vyjasnit,622
obžaloba,623
vkusu,624
úspěšná,625
reforma,626
ekonomická,627
činná,628
paměť,629
malá,630
nehodu,107
nikoliv,631
zásadnější,57
formulace,632
člověka,633
stať,634
příčinu,170
veliká,635
lhostejnost,636
drahou,311
jednostranná,637
legální,638
přednost,639
estetická,640
závažnou,134
ošklivá,641
argument,642
přesvědčená,643
můra,644
jednotka,645
říkáte,398
kázeň,646
žádná,647
skupinu,609
upřímnost,648
chvilku,649
neznámou,650
opatření,651
dobová,652
veselá,653
irelevantní,654
přednášku,655
záhadou,123
není,484
pohroma,656
hodina,657
muzika,658
upozorňuji,659
reakce,660
chvíle,89
představu,74
jakou,327
zjištění,661
autorita,662
reklamu,383
porada,663
veřejnou,67
trať,664
nenápadná,665
osobně,666
hroznou,97
designová,667
nemožná,668
akci,669
žádoucí,670
doopravdy,671
hodnost,672
zdůraznit,673
vůli,202
zručnost,674
přítomnost,675
metodu,242
zakázaná,676
náboženská,677
tedy,678
plánovaná,679
zakázkou,680
pominu,681
nuda,682
nemožnost,683
připravená,684
některá,685
obyčejnou,178
