slovo,poradi
krev,1
krve,1
moč,2
krví,1
tekutina,3
mlíko,4
tekutinu,3
žilách,5
tekla,6
voda,7
vodu,7
tkáň,8
krvi,1
játra,9
sperma,10
stolici,11
moči,12
neteče,13
mléko,14
krevní,15
tekutiny,3
smrt,16
krvácet,17
srdce,18
dřeň,19
krvinky,20
šťáva,21
sliny,22
lebku,23
mrtvola,24
plazma,25
bílkovinu,26
šťávu,21
tvář,27
žíla,28
žíly,28
nenávist,29
krvavá,30
tekutinou,3
kost,31
maso,32
cévy,33
střeva,34
bílkovina,26
duši,35
spravedlnost,36
vajíčka,37
tepny,38
těla,39
ledviny,40
žaludek,41
dech,42
jatka,43
hlen,44
vnitřnosti,45
pije,46
sliznice,47
lebka,23
moče,12
mrcha,48
teče,6
slzy,49
bolest,50
hrdost,51
mrtvoly,24
varlata,52
duše,35
močí,2
kůže,53
čerstvá,54
tkání,8
ultrazvuk,55
špína,56
nalačno,57
genetiku,58
sraženiny,59
žilní,60
injekci,61
ledvin,40
biopsie,62
čerstvou,54
plodnost,63
ruka,64
stolice,11
krvavou,30
nádobka,65
zlost,66
břicha,67
modřiny,68
kůži,53
žízeň,69
tepna,38
čistá,70
lázeň,71
potravu,72
pomsta,73
zvracet,74
nemoc,75
výkaly,76
přítomnost,77
zbraň,78
jater,9
plicích,79
mysl,80
rudá,81
odebrána,82
půda,83
hlava,84
vepřová,85
dárce,86
nákaza,87
pot,88
mrtvá,89
lidskost,90
spermatu,10
pijí,46
polévku,91
kapalinu,92
horkou,93
darovat,94
církev,95
plic,79
kostra,96
žlázu,97
slin,22
tkáně,8
polévka,91
odběry,98
tělo,39
ducha,99
arteriální,100
barvu,101
vytéká,102
saje,103
injekce,61
krvinek,20
embrya,104
sliznic,47
plazmy,25
láhev,105
větev,106
plíce,79
poušť,107
svátost,108
upíři,109
dárců,86
káva,110
kyselost,111
totožnost,112
pacientka,113
pánev,114
otravu,115
špinavou,116
krvácení,117
děloha,118
spermie,119
vášeň,120
alkohol,121
proudí,122
neplodnost,123
potvora,124
půdu,83
pít,46
odebírat,125
horká,93
vyšetření,126
špínu,56
ústa,127
přítomná,128
láska,129
stopa,130
doktorka,131
tráva,132
odpadní,133
železo,134
těle,39
lebky,23
žaludku,41
víra,135
víno,136
vývar,137
žena,138
kapalina,92
jed,139
koupel,140
minulost,141
čest,142
stříkající,143
vlažnou,144
menstruační,145
křeč,146
pumpa,147
proudící,148
ledvinách,40
studenou,149
zátka,150
kapilární,151
kyslík,152
upír,153
objednaná,154
zkumavky,155
energii,156
cysta,157
oběť,158
rukou,64
skvrna,159
holka,160
proudem,161
antibiotika,162
pečeť,163
mrtví,89
skvrnu,159
krutost,164
sílu,165
glukóza,166
kosti,31
nosu,167
oblaka,168
víru,135
končetiny,169
srdíčka,170
kokain,171
čistou,70
lahev,172
chuť,173
emoce,174
zástava,175
sexualitu,176
noha,177
vražda,178
špinavá,116
pila,179
agresivitu,180
sestřička,181
hmota,182
masa,32
pili,46
sliznici,47
vejce,183
cukrovku,184
žebra,185
bílkoviny,26
kapka,186
hrdlo,187
spásu,188
protilátky,189
tuk,190
hrdla,187
naftu,191
mrtvolu,24
cév,33
kořist,192
dobrotu,193
tmavá,194
laboratoř,195
jaterní,196
pokožku,197
psychiku,198
přirozenost,199
páteř,200
skála,201
kapku,186
nafta,191
temnota,202
koluje,203
bytost,204
lidská,205
podbřišku,206
žloutenka,207
vzduch,208
lásku,129
špinění,209
řečiště,210
všechnu,211
štítnou,212
prasata,213
mušku,214
pistole,215
řeka,216
vraždí,217
zem,218
nádoba,65
praskla,219
píchnout,220
monstra,221
sérum,222
očistu,223
hlína,224
sát,225
bestie,226
šťávou,21
proudit,122
živou,227
jehlu,228
prasečí,229
kávu,110
krevních,15
tváři,27
prsou,230
ženskou,231
mužská,232
hotovost,233
hovězí,234
důstojnost,235
identitu,236
chemikálie,237
hcg,238
zástavu,175
zlou,239
agresivita,180
hematologie,240
hořkost,241
čistí,70
zelenina,242
dračí,243
střev,34
zbroj,244
ruku,64
potrava,72
mléčnou,245
nádobu,65
kůží,53
čárka,246
řepa,247
lékařka,248
kyselinu,249
proud,161
pitva,250
pleť,251
soudržnost,252
slast,253
hlavu,84
jizva,254
píchá,255
končetin,169
plíseň,256
rakovina,257
zabijáka,258
kostru,96
omáčku,259
tkáních,8
pomstu,73
bolestivá,260
studená,149
bílou,261
cukr,262
vodivost,263
hmotu,182
odebírá,264
břicho,67
vína,136
hadí,265
bakterie,266
plodové,267
těl,39
lidskou,205
menstruaci,268
morálku,269
rudou,270
syrová,271
končetinách,169
hlínu,224
transplantaci,272
zvířecí,273
tekutin,3
milost,274
svědomí,275
zvědavost,276
falešná,277
pěsti,278
toxiny,279
stříkačku,280
pohotovost,281
krvavé,30
tepen,38
upíry,282
syrovátka,283
limonáda,284
zvěř,285
syfilis,286
průchodnost,287
odtéká,288
karta,289
vodou,7
masku,290
tváře,27
ženu,138
modrou,291
prach,292
pistoli,215
hlenu,293
gynekologa,294
dárci,86
červená,295
zemřelého,296
poctivost,297
citlivost,298
oddanost,299
zeleninu,242
vpichu,300
pijeme,46
kostní,301
vyšetří,302
srážlivosti,303
národnost,304
dárcovství,305
hladinu,306
srst,307
plastiku,308
pokožka,197
penisu,309
nádobky,310
hrůza,311
odvaha,312
směs,313
střevech,34
nohou,177
krk,314
tryska,315
paměť,316
žlučník,317
omáčka,259
teplou,318
zabíjí,319
zdravá,320
daň,321
embolie,322
srdíčko,18
propaganda,323
embryo,104
čokoláda,324
očista,223
mladá,325
holčička,326
naděje,327
vola,328
hladina,306
měchýře,329
maska,290
trofej,330
mozků,331
vraha,332
knížata,333
měď,334
ropu,335
hněv,336
peněženku,337
spermatem,10
živá,227
kolena,338
ovce,339
svalstvo,340
matka,341
rybí,342
prsu,343
pitná,344
šťáv,21
pýcha,345
olej,346
duch,99
závist,347
břiše,67
sono,348
mafie,349
genetika,58
mrkev,350
sláva,351
ženská,352
hruď,353
pečeně,354
infekci,355
labuť,356
kyselá,357
žláza,97
svinstvo,358
jehla,228
vina,359
životy,360
infekce,355
látka,361
teplotu,362
paži,363
vitalitu,364
bláto,365
vypila,366
čistotu,367
úzkost,368
vyšetřit,302
plátna,369
upíra,370
brutalita,371
stravu,372
pára,373
živiny,374
pěnu,375
mozku,331
svině,376
láva,377
svatá,378
oči,379
sůl,380
řeč,381
drůbež,382
lahvičku,383
pušku,384
slovanská,385
menstruace,268
pěna,375
ropa,335
postava,386
díra,387
aorty,388
scéna,389
mužskou,232
prdel,390
dívku,391
předloktí,392
trávu,132
zpověď,393
poranění,394
pupeční,395
rány,396
rakovinu,257
velryba,397
jistota,398
sleziny,399
popravu,400
touha,401
psychika,198
rajčata,402
gynekologii,403
alergie,404
rentgen,405
růže,406
tekoucí,407
protékající,408
dvojčátka,409
slabost,410
dřeně,19
černou,411
kapalná,412
dívka,391
detektivka,413
barviva,414
nervy,415
scénu,389
rasa,416
zvracení,74
slávu,351
pochodeň,417
mokrá,418
utz,419
darovali,94
stehna,420
