slovo,poradi
člověk,1
jedinec,2
dotyčný,3
každý,4
muž,5
chlap,6
clovek,7
někdo,8
občan,9
tvor,10
člověku,1
čtenář,11
pacient,12
kdo,13
každej,14
divák,15
klient,16
člověka,1
chudák,17
človek,18
posluchač,19
takový,20
sám,21
nemocný,22
zákazník,23
málokterý,24
mladý,25
málokdo,26
schopný,27
rozumný,28
moudrý,29
vzdělaný,30
jednotlivec,31
ten,32
dospělý,33
žák,34
hráč,35
uživatel,36
chlapík,37
sportovec,38
křesťan,39
řidič,40
kdokoliv,41
mladík,42
rodič,43
lidský,44
přece,45
hrdina,46
holt,47
postižený,48
prostě,49
živočich,50
člověkem,1
student,51
hlupák,52
který,53
umělec,54
vědec,55
návštěvník,56
zaměstnanec,57
kdokoli,58
turista,59
obyčejný,60
kluk,61
blbec,62
cyklista,63
chlapec,64
hloupý,65
líný,66
vždycky,67
chlápek,68
ochotný,69
šílenec,70
zkrátka,71
takovýto,72
mladej,25
pán,73
znalý,74
neschopný,27
podnikatel,75
občas,76
lidé,1
spotřebitel,77
pes,78
idiot,79
kdybych,80
blázen,81
schopen,27
voják,82
malej,83
myslitel,84
potřebuje,85
nadšenec,86
státník,87
zvyklý,88
když,89
mohl,90
manžel,91
pracovitý,92
borec,93
organismus,94
blbej,95
nikdo,96
řemeslník,97
cizinec,98
tazatel,99
nějaký,100
optimista,101
národ,102
kterej,103
jediný,104
tenhle,105
přeci,106
odborník,107
taky,108
trpělivý,109
volič,110
blbý,111
někoho,8
mnohý,112
může,90
kolikrát,113
učitel,114
prcek,115
unavený,116
zločinec,117
manža,118
rád,119
nemůže,90
přítel,120
pozná,121
lyžař,122
lidi,1
pocit,123
někdy,124
chudý,125
magor,126
měl,127
laik,128
génius,129
chce,130
puberťák,131
žadatel,132
totiž,133
poplatník,134
přitom,135
pejsek,136
subjekt,137
zloděj,138
někomu,8
zemědělec,139
dobrodruh,140
poutník,141
školák,142
skutečně,143
novinář,144
profesionál,145
ale,146
debil,147
jsem,148
nejspíš,149
frajer,150
nutně,151
dneska,152
bezdomovec,153
stát,154
nadaný,155
uvědomí,156
dokáže,157
musí,158
svět,159
slušný,160
pracovník,161
kuřák,162
běžný,163
blb,164
obchodník,165
snad,166
pak,167
vypravěč,168
cestovatel,169
humanista,170
zdravý,171
opravdový,172
zasloužilý,173
takhle,174
komunista,175
něho,176
nejsem,148
zkušený,177
takovej,178
světec,179
neměl,127
onen,180
kůň,181
pozorný,182
chytrý,183
vlastně,184
pozorovatel,185
nešťastný,186
jeden,187
tatínek,188
jednotlivý,189
osamělý,190
poctivý,191
úředník,192
spisovatel,193
něj,176
věděl,194
daný,195
jsi,148
dělník,196
dlužník,197
bojovník,198
kterýkoliv,199
lékař,200
šťastný,186
chodec,201
závodník,202
neuvědomuje,203
jedinej,104
zákonitě,204
teenager,205
protože,206
doopravdy,207
umět,208
dotyčná,3
mozek,209
kdekdo,210
chtěl,130
určitě,211
uchazeč,212
policista,213
doktor,214
uvědomit,156
málokdy,215
organizmus,216
evidentně,217
rozum,218
nich,176
muslim,219
život,220
statečný,221
filosof,222
absolvent,223
fakt,224
vůbec,225
terorista,226
cítí,227
třeba,228
pokud,229
jistý,230
musel,158
pochopí,231
ovšem,232
přesto,233
zřejmě,234
uvědomil,156
ďábel,235
něco,236
bych,148
nejeden,237
investor,238
zajde,239
lidstvo,240
fanoušek,241
uprchlík,242
pořád,243
kamarád,244
normálně,245
aspoň,246
kaţdý,247
účastník,248
nejsi,148
katolík,249
učenec,250
nerad,119
kněz,251
zaměstnavatel,252
živý,253
skromný,254
šikovný,255
uměl,208
životě,220
pachatel,256
milionář,257
alkoholik,258
jenom,259
parazit,260
ochoten,69
nepřítel,261
druhý,262
rybář,263
přesvědčený,264
policajt,265
myslel,266
nebyl,148
žena,267
tak,268
zvykne,269
upír,270
