slovo,poradi
dítě,1
dítko,2
děcko,3
děťátko,4
batole,5
děti,1
miminko,6
mimino,7
rodič,8
mimčo,9
dítěte,1
dítěti,1
rodiče,8
dítětem,1
mládě,10
mimi,11
dětičky,12
děvčátko,13
děvče,14
dospělý,15
matku,16
zvířátko,17
štěně,18
novorozence,19
holčičky,20
sourozence,21
dite,22
dcerku,23
maminky,24
kojence,25
maminku,24
školce,26
dítka,27
holčičce,20
zvíře,28
ratolesti,29
miminka,6
maminka,24
chlapeček,30
nezletilé,31
mamince,24
dcerka,23
matky,16
rodičem,8
ratolest,29
holčička,20
nemocné,32
dceru,33
matce,16
dětí,1
chlapec,34
dospělé,15
dospělého,15
prarodiče,35
miminku,6
dieťa,36
těhotenství,37
děcka,3
prcka,38
narodí,39
mámu,40
matka,16
miminkem,6
samo,41
holčičku,20
dcerky,23
chlapce,34
rodiči,8
kotě,42
dospívající,43
narozené,44
rodičů,8
tělo,45
dospělá,15
dceři,33
vozidlo,46
dospělí,15
kapesné,47
rodině,48
máma,40
předškolní,49
rodiny,48
rodičům,8
deti,50
sourozenec,51
potomka,52
bříško,53
těhotné,54
dcery,33
porodné,55
sedadlo,56
dětmi,1
jídlo,57
předškolního,49
lůžko,58
ženu,59
postýlce,60
kojení,61
sedačce,62
dětem,1
mateřské,63
porodit,64
školky,26
postižené,65
zdravé,66
porodí,67
tatínek,68
tělíčko,69
ženě,59
potomek,52
syna,70
porodu,71
zlatíčko,72
mléko,73
embryo,74
letadlo,75
lidstvo,76
dětské,77
rodinu,48
narodilo,39
kojit,61
mimča,78
chlapečka,30
osoby,79
vajíčko,80
nadané,81
kluk,82
mámy,40
vychovávat,83
synka,84
dospělou,15
pěstounské,85
kočárku,86
auto,87
předškoláky,88
prcek,38
nevinné,89
člověk,90
maminkou,24
sourozenci,21
školku,26
péči,91
sedátko,92
bříšku,93
děloze,94
autíčko,95
porodnici,96
malé,97
těhotná,54
dívky,98
schopno,99
chodidlo,100
vaše,101
maminy,102
babičku,103
žena,59
předškolním,49
mlíčko,73
plenky,104
teenager,105
dětech,1
dětství,106
zavazadlo,107
hračku,108
morče,109
tatínky,68
dvouleté,110
kočárek,86
adoptovat,111
autosedačku,112
holce,113
manžel,114
šestileté,115
pubertě,116
vrstevníky,117
vozítko,118
těhotnou,54
narodit,39
porodem,71
vnoučata,119
mrňouska,120
kojila,61
jedinec,121
školák,122
rádo,123
synek,84
pečující,124
autosedačky,112
dcera,33
miminek,6
školáka,125
jeslí,126
tatínka,68
vychovat,127
dospělosti,128
kamarádku,129
manželku,130
dospívání,131
pacientky,132
kluky,82
jedince,121
odrážedlo,133
leté,134
očkování,135
tříleté,136
manžela,114
kluka,82
dudlík,137
tatínkem,68
puberty,138
chrastítko,139
rodičovské,140
žák,141
očkovat,142
porodila,67
dívka,98
kamarády,143
děvčátka,13
školáky,144
pečovat,124
mateřství,145
klientky,146
trauma,147
handicapované,148
sedadle,56
dívce,98
výživné,149
postižený,65
předškolnímu,49
nezletilého,31
maličké,150
puberťák,151
hračky,108
dvojčátka,152
porodnice,96
docházky,153
těleso,154
kojenecké,155
mláďata,10
pětileté,156
matkou,16
nemocný,32
ženy,59
kamarádky,129
prso,157
výchově,158
novorozenců,19
prasátko,159
milované,160
dcerkou,23
otce,161
postýlku,60
opožděné,162
každé,163
kojenců,25
školkou,26
nechtěné,164
babičky,103
chlap,165
lehátko,166
mrtvé,167
spolužáky,168
osobu,79
rodičovství,169
postýlky,60
mladistvé,170
dospělými,15
nezletilý,171
synovi,70
mazlíček,172
ratolestí,29
doma,173
kojíte,61
vyrůstat,174
krůčky,175
holka,113
vychovatele,176
autismus,177
otec,161
děťátka,4
dívku,98
zralé,178
hladové,179
madlo,180
tátu,181
tatínkovi,68
přebalování,182
péče,91
holky,113
pěstounů,183
dívenka,184
dětma,185
osoba,79
mladší,186
dudlíky,137
adopci,187
spokojené,188
tchýně,189
školné,190
učitelky,191
žáky,141
rodina,48
muž,192
sluníčko,193
kolo,194
mamina,195
holku,113
syn,70
otcovství,196
dvojčata,197
porod,71
mazlíčka,198
pacient,132
někoho,199
štěněte,18
neklidné,200
pacienty,132
panenku,201
plakat,202
sourozenců,21
desetileté,203
táta,181
škole,204
malinké,205
mámě,40
plenek,206
maminek,24
prádlo,207
domácnosti,208
mateřský,63
přítelkyni,209
rodičovský,140
pacientka,210
autismem,211
chůva,212
náruči,213
jablko,214
mladé,186
pojištěnce,215
zvídavé,216
chlapci,34
autosedačka,112
oběti,217
pláče,218
školáci,219
jesle,126
muže,192
svačiny,220
šťastné,221
roztomilé,222
spaní,223
opuštěné,224
mlíko,225
svěřence,226
učitelce,191
přistýlce,227
žáka,141
oblečení,228
střevo,229
manželství,230
těhule,231
mamku,232
takové,233
židličky,234
plenkové,235
oko,236
osvojení,237
důchodce,238
pediatr,239
mámou,40
jedno,240
pejsek,241
dětský,77
břicho,53
hodné,242
malička,243
zraněné,244
plodové,245
sedačku,62
stádium,246
usínání,247
posadí,248
toto,249
mamky,250
matkám,16
babička,103
adoptivní,251
lidi,90
teenagery,252
raném,253
uvařené,254
syny,70
pojištěné,215
kamarádce,129
kočárky,86
pokojíček,255
dotyčné,256
kolečko,257
město,258
prsu,259
chlapa,165
romské,260
hračkou,108
pleny,261
věku,262
houpání,263
babičce,103
obyvatelstvo,264
mamka,265
spát,266
školka,26
docházce,267
spící,268
spinkat,269
kamarádka,129
kočár,270
milující,271
talentované,272
jíst,273
plavidlo,274
nastávající,275
psa,276
vychovává,277
kojím,61
nočník,278
maminkám,24
koupání,279
publikum,280
malýho,281
sebevědomé,282
někdo,199
plod,283
výchovu,158
postýlka,60
unavené,284
posadit,248
všechno,285
partnerku,286
mluvení,287
partnerce,286
invalidní,288
rodit,64
odložené,289
problémové,290
příkrmy,291
tchýni,189
měsíců,292
nemocnici,293
pejska,241
ségra,294
narození,295
třicítce,296
neslyšící,297
ucho,298
tchyně,299
plavání,300
křesílko,301
školu,204
školy,204
šestinedělí,302
porody,71
plínky,303
něj,304
druhé,305
těhotenstvím,37
když,306
otěhotněla,307
odmalička,308
maso,309
pacienta,132
prvňáčky,310
manželovi,311
hnízdo,312
pokřtít,313
potomstvo,314
partnerka,315
hračkami,108
srdíčko,316
vychovávají,83
dotyčná,256
bezpečí,317
vstávání,318
učitelku,191
kojí,61
studující,319
opěradlo,320
narozeného,44
tohle,321
spí,266
hračka,108
sedačky,62
náruče,213
krmení,322
nožičky,323
učitele,324
potratila,325
ministerstvo,326
batolata,5
chudák,327
chodit,328
vyrůstající,329
chlapcem,34
onemocní,330
opatrovníka,331
sedadlem,56
potomky,52
mami,40
čtyřleté,332
těhu,333
oblečené,228
pískoviště,334
bezpečně,335
klukovi,82
dvojčat,197
prenatální,336
manželce,130
táty,181
nejmladší,186
sama,337
stravu,338
spolužáci,168
kuře,339
dìti,340
svoje,341
osobě,79
lékaře,342
člověka,90
potrat,343
mladšího,186
zákonní,344
dospělých,15
dětském,77
prarodičů,35
prarodiči,35
zkumavky,345
zdravotníky,346
dvojče,197
bříška,93
rané,253
umírající,347
jízdě,348
očkováním,135
někomu,199
dospělým,15
pokoji,349
přirozené,350
právo,351
zemřelé,352
věk,262
vlásky,353
štěňata,18
šátku,354
babičkou,103
rodičák,355
znevýhodněné,356
svěřené,357
příkrm,358
torpédo,359
spolužačky,360
starce,361
batolat,5
osvojit,362
dět,363
předškolních,49
židlička,364
koloběžce,365
spolužačku,360
úzkostné,366
jízdné,367
pokojíčku,368
cizinec,369
cizí,370
školáků,125
vrstevníci,117
vozit,371
bezpečné,372
studenty,373
doučování,374
cestující,375
věci,376
vnučky,377
pískovišti,334
pití,378
dít,379
semínko,380
přídavky,381
místečko,382
jezírko,383
nemocného,32
sestřičku,384
zvyklé,385
malej,386
početí,387
nejmenší,97
autosedaček,112
hlídání,388
mládež,389
takhle,390
jestliže,391
holčina,392
slovíčko,393
rodinách,48
třídě,394
pejskovi,241
krmit,395
vyrostlo,396
lyžaře,397
prkno,398
rizikové,399
nejdřív,400
astma,401
pokoj,349
otcové,161
přirozeně,402
dřevo,403
své,341
zákonný,344
domácnost,208
