slovo,poradi
ústav,1
ústavu,2
ústavem,1
ústavů,1
institut,3
ústavy,2
fond,4
památkový,5
výzkumný,6
ústavech,1
úřad,7
meteorologický,8
učitelský,9
hydrometeorologický,10
zemědělský,11
spolek,12
pedagogický,13
institutu,3
znalecký,14
soud,15
stacionář,16
vědecký,17
zdravotní,18
potravinářský,19
odborného,20
diagnostický,21
ústavní,22
geologický,23
orgán,24
středisko,25
výbor,26
svaz,27
pracovišť,28
léčebný,29
laboratoř,30
institutem,3
posudek,31
léčiv,32
depozitář,33
fakulta,34
pozemkový,35
podnik,36
výchovný,37
zdravotnický,38
krajský,39
dozor,40
farmaceutický,41
sbor,42
inspektorát,43
laboratoře,30
odborový,44
pracoviště,28
výzkum,45
školský,46
archiv,47
lékařský,48
instituce,49
věd,50
univerzita,51
inspektor,52
archeologický,53
kabinet,54
báňský,55
špitál,56
centrum,57
stav,58
odbor,59
systém,60
specializovaný,61
dvůr,62
pracovník,63
domov,64
astronomický,65
pracovištěm,28
zkušebnictví,66
institucí,49
laboratoří,30
průmysl,67
filmový,68
veterinárního,69
vysokoškolský,70
kongres,71
subjekt,72
observatoř,73
zdravotnických,38
sociální,74
fakultu,34
útvar,75
ústava,2
veterinární,69
psychologický,76
dům,77
seminář,78
institutů,3
útulek,79
rehabilitační,80
parlament,81
nadační,82
střediskem,25
škola,83
vojenský,84
letecký,85
vývojový,86
komplex,87
odborný,20
příslušný,88
tým,89
slovník,90
vzdělávání,91
park,92
magistrát,93
ministerstva,94
katedru,95
státní,96
zdravotnickou,38
diagnostických,21
zdravotního,18
výcvikový,97
poradnu,98
hydrometeorologického,10
zřízený,99
konvent,100
tábor,101
střediska,25
systémů,60
registr,102
genetický,103
lékař,104
zkušební,105
chemický,106
ústavního,22
historický,107
potravinářských,19
hospic,108
záchranný,109
ředitel,110
atlas,111
akademie,112
zdravotnické,38
aparát,113
gigant,114
středisek,25
sektor,115
zeměměřický,116
léčebna,117
hospodářský,118
komise,119
středoškolský,120
palác,121
geografický,122
biologický,123
zaměstnavatel,124
areál,125
obor,126
ateliér,127
úřadu,7
katedry,95
intervenční,128
pobočka,129
elektrotechnický,130
vzdělávací,131
demografický,132
sekretariát,133
školu,83
program,134
podpůrný,135
akreditovaný,136
poskytovatel,137
vědeckých,17
plán,138
projekt,139
úřadů,7
zdravotnického,38
sociálních,74
poradce,140
garant,141
fakulty,34
klinický,142
štáb,143
ekonomický,144
soubor,145
katedra,95
sociologický,146
odborník,147
statistický,148
nemocnice,149
spolkový,150
pohřební,151
internátní,152
hmot,153
průmyslový,154
matematický,155
rozvojový,156
ústavě,2
akademií,112
fakultní,157
náboženský,158
pojišťovací,159
ekologický,160
senát,161
péče,162
ředitelství,163
jarmark,164
dohled,165
strojírenský,166
fondu,4
klinika,167
pavilon,168
sklad,169
muzea,170
sídlil,171
reformu,172
úřadem,7
tribunál,173
technický,174
úvěrový,175
univerzitu,51
poradenský,176
státního,96
středisku,25
experiment,177
inženýr,178
totalitních,179
psychiatr,180
dětský,181
projektový,182
zákoník,183
pracovníků,63
politický,184
rodový,185
banka,186
ombudsmana,187
ošetřovatelská,188
pracovištích,28
národní,189
lékařskou,48
kliniku,167
statek,190
elektronický,191
inženýrů,178
poradny,98
akreditační,192
psychický,193
stejnojmenný,194
služeb,195
katalogwebových,196
vzorový,197
majetkový,198
pojišťovnu,199
léčebny,117
zřizovatel,200
výzkumů,45
rehabilitačních,201
škol,83
důchodový,202
zákon,203
báňská,204
archivu,47
demokratický,205
ministerstvo,94
zřízen,99
kateder,95
vědeckého,17
knihovna,206
fotografický,207
pediatr,208
archív,209
ústavních,22
oddělení,210
časopis,211
veterinárních,69
kliniky,167
akciový,212
závod,213
zemský,214
vyspělý,215
výzkumná,6
úředník,216
výzkumu,45
evropský,217
festival,218
provoz,219
potravinářského,19
klášter,220
neziskový,221
účet,222
vědecká,17
oblastní,223
personál,224
pomocný,225
památkového,5
hvězdárna,226
anatomický,227
penzijní,228
referát,229
koncern,230
terapeutický,231
pobyt,232
patologie,233
okresní,234
studijní,235
hygienický,236
instituty,3
důchod,237
muzeum,170
lékařských,48
fakultou,34
fyzikální,238
loutkový,239
sklářský,240
stranický,241
klub,242
tajný,243
městský,244
psychiatrických,245
ústavodárný,246
jaderný,247
komisi,119
zbrojní,248
akademii,112
chrám,249
biskupský,250
techniků,251
technologický,252
trakt,253
zdravotních,18
vývoj,254
válečný,255
měšťanskou,256
dávek,257
litoměřický,258
katalog,259
ústředí,260
penzijního,228
řádný,261
zdravotnická,38
režim,262
nemocnic,149
ministerstvem,94
brněnský,263
centrála,264
jazykový,265
dispečink,266
skanzen,267
mikrobiologie,268
kampus,269
cech,270
učiliště,271
táborů,101
krizový,272
židovský,273
poradní,274
národního,189
univerzity,51
reforma,172
garanční,275
stacionáře,276
prokurátor,277
přístroj,278
veřejný,279
dílnu,280
stát,281
lidový,282
řád,283
vědeckou,17
sál,284
softwarový,285
církevní,286
lázeňský,287
deník,288
reforem,172
fondem,4
vnitra,289
inženýrství,290
analytický,291
pedagogická,13
nemocenského,292
fakult,34
studií,293
rukopis,294
odborná,20
ministerstvu,94
peněžní,295
sborník,296
řetězec,297
přípravný,298
technik,251
rybářský,299
profesor,300
univerzitní,301
výchovu,302
lékařů,104
odborníků,147
national,303
přechodný,304
zařízení,305
konzervatoř,306
studentský,307
zdrav,308
vyhlášený,309
sněm,310
inkubátor,311
obytný,312
mimořádný,313
ambulantní,314
architektonický,315
zřídil,316
výchovy,302
epidemiologie,317
fondů,4
výzkumné,6
instituci,49
světový,318
nestátní,96
fyziky,319
výkaz,320
français,321
prognóz,322
bytový,323
vyhledávač,324
kodex,325
sirotčince,326
průzkumný,327
pojišťovna,199
expert,328
university,329
výzkumných,6
diecézní,330
chorob,331
kurz,332
věstník,333
unie,334
převrat,335
reformy,172
konkurz,336
metodik,337
školského,46
vývoje,254
odborné,20
mikroskop,338
státních,96
ples,339
akreditovaného,340
víceúčelový,341
odborných,20
jednotný,342
školských,46
předpisů,343
laboratorní,344
režimů,262
vědeckotechnický,345
dřevozpracující,346
koutek,347
kurs,332
podnikatelský,348
objekt,349
klinik,350
vatikánský,351
pedagogických,13
umělecký,352
socialistický,353
posudků,31
ochranný,354
poradna,98
školské,46
agentura,355
laboratořích,30
hematologie,356
skript,357
hutní,358
neurolog,359
portál,360
zdravotnictví,361
doktorský,362
inspektorátu,43
komunitní,363
kraj,364
divadla,365
újezd,366
odštěpný,367
kvintet,368
studia,369
fakultě,34
seminářů,78
kvalifikovaný,370
biochemických,371
lyžařský,372
lékařská,48
polytechnického,373
charity,374
lid,375
průvod,376
jaderného,247
farmaceutických,41
ročníkový,377
bankovní,378
měnový,379
metod,380
český,381
dočasný,382
nakladatelství,383
památkových,5
farmakologie,384
školicí,385
rozvoje,386
kongresů,387
nouzový,388
domeček,389
nepřetržitý,390
vzdělávacích,131
psychiatrická,245
smíšený,391
informatiky,392
certifikovaný,393
univerzit,51
rehabilitačního,394
lékárna,395
letohrádek,396
kosmetický,397
univerzitou,51
obvodní,398
onkologického,399
komisí,119
orgánem,24
postgraduální,400
dokumentace,401
výchovné,37
parků,92
zaměstnanec,402
strojnická,403
konstituční,404
správa,405
nemocniční,406
pohybový,407
státu,281
monopol,408
duševního,409
energetický,410
nový,411
chemických,106
mládežnický,412
psychologů,413
výuku,414
audit,415
radiační,416
byznys,417
bankovních,378
pražský,418
centrem,57
přístav,419
zkoušek,420
počítačový,421
vedený,422
standardů,423
školství,424
svět,425
standardy,423
záložna,426
manželský,427
hospodářských,118
základ,428
znaleckého,14
konzulát,429
dokumentační,430
provozů,219
odbornou,20
islámský,431
tendr,432
dílna,280
filosofický,433
sociálního,74
měšťanských,256
archivů,47
učitelek,434
ostravský,435
letectva,436
soukromý,437
institucemi,49
útvarem,75
vědy,50
materiál,438
pomůcek,439
velkostatek,440
institucionální,441
důchodců,442
polytechnická,373
sborem,42
nezávislý,443
vědec,444
akademiků,445
výzkumnou,6
bezpečností,446
oprávněný,447
večírek,448
všeobecný,449
archivář,450
ústavou,2
sněmovna,451
soustav,452
knihovnu,206
nadace,453
samostatný,454
charakter,455
učilišť,271
atelier,456
pracovišti,28
svazu,27
léčebných,29
střediscích,25
kybernetiky,457
