slovo,poradi
disk,1
disku,1
disky,1
disků,1
diskem,1
discích,1
diskety,2
počítač,3
diskové,4
souborový,5
flash,6
disková,7
kotouč,8
minidisk,9
řadič,10
médium,11
notebook,12
nosič,13
obal,14
pevný,15
plechový,16
rekordér,17
přehrávač,18
kabel,19
zálohovat,20
adresář,21
server,22
stroj,23
pásek,24
plech,25
mechaniku,26
swap,27
povrch,28
boot,29
souborového,5
drive,30
box,31
storage,32
úložiště,33
kryt,34
procesor,35
pás,36
ovladač,37
záznam,38
soubor,39
diskových,4
systémový,40
zálohu,41
rámeček,42
válec,43
datový,44
přenosný,45
uložiště,46
port,47
hardware,48
usb,49
kámen,50
konektor,51
mechanika,26
talíř,52
glóbus,53
souborů,39
koš,54
notebooku,12
kufr,55
počítači,3
bonusový,56
paměťový,57
soubory,39
přístroj,58
firmware,59
zápis,60
program,61
modem,62
kolík,63
úložišť,64
adaptér,65
stůl,66
kovový,67
síťový,68
tenký,69
akumulátor,70
obraz,71
médiu,72
databázový,73
dat,74
hard,75
obrubník,76
externí,77
sektor,78
paměti,79
kroužek,80
balíček,81
počítače,3
ocelový,82
pytel,83
kotouče,8
vodič,84
fotoaparát,85
kotoučů,86
nahraný,87
mechanik,26
adresáře,21
linux,88
šuplík,89
klíč,90
kelímek,91
plochý,92
klíček,93
čip,94
souborům,39
slot,95
odpad,96
hliníkový,97
mechanizmus,98
pytlík,99
dvd,100
paprsek,101
datům,102
přijímač,103
blok,104
zálohování,105
kartu,106
plastový,107
tuner,108
magnetický,109
mechaniky,26
vadný,110
mechanice,26
papír,111
cache,112
chladič,113
kazetu,114
mixér,115
oštěp,116
modul,117
prostor,118
vzorek,119
rám,120
míček,121
nainstalovaný,122
router,123
vůz,124
batoh,125
paket,126
zvuk,127
ráfek,128
sešit,129
míč,130
snímek,131
projektor,132
softwarový,133
hrnec,134
plášť,135
trpaslíka,136
sýr,137
kontejner,138
windows,139
sáček,140
řetěz,141
prach,142
vypálit,143
software,144
kompakt,145
úložišti,146
placku,147
řemen,148
nůž,149
film,150
track,151
vinyl,152
zásobník,153
formát,154
prstenec,155
souborové,5
stojan,156
kruh,157
slotu,95
paměťové,57
prémiový,158
paměťového,57
monitor,159
displej,160
alu,161
mechanikou,26
uložený,162
televizor,163
interface,164
papírový,165
klip,166
přepínač,167
kořenový,168
cloud,169
nosiče,13
prášek,170
připojený,171
jogurt,172
foťák,173
plotny,174
lístek,175
motor,176
kotoučky,177
hřídel,178
rotující,179
laptop,180
plát,181
složku,182
úložný,183
nosičích,13
desku,184
můstek,185
adapter,186
kulovitý,187
soundtrack,188
kufřík,189
měnič,190
videozáznam,191
materiál,192
instalační,193
snímač,194
zip,195
balvan,196
složky,182
popruh,197
paměť,79
batůžek,125
účet,198
driver,199
systém,200
bit,201
vložený,202
přebytečný,203
oddíl,204
blesk,205
panel,206
antivirový,207
kout,208
drcený,209
brusný,210
kazety,114
nainstalován,211
buben,212
interní,213
stříbrný,214
vozík,215
kouli,216
pásky,24
tvarovaný,217
přívěšek,218
palcový,219
startér,220
koláč,221
otvor,222
zapisovat,223
podvozek,224
nápoj,225
trávník,226
potisk,227
obdélník,228
okraj,229
přehrávače,18
hrneček,134
balík,230
štítek,231
pedál,232
notebookem,12
prvek,233
zdrojový,234
chlebíček,235
kartáč,236
optický,237
počítačový,238
nástroj,239
železný,240
hosting,241
olej,242
novy,243
paměťovou,57
strojek,23
dokument,244
kolečko,245
křemičitý,246
koberec,247
záznamem,38
jednotku,248
elektron,249
linuxu,250
paměťová,57
sektorů,251
strouhání,252
kompaktní,253
vesmír,254
stolek,255
ztracený,256
chléb,257
frisbee,258
restart,259
terč,260
plugin,261
odšťavňovač,262
džus,263
pásku,24
webový,264
memory,265
fyzický,266
upgrade,267
šrot,268
skener,269
vyplněný,270
data,102
kříž,271
laserový,272
uložit,273
počítačích,3
kernel,274
kruhový,275
zkopírovat,276
smartphone,277
kurzor,278
polstrovaný,279
player,280
hrnek,281
přehrávači,18
drát,282
podstavec,283
plochu,284
rotor,285
doklad,286
rozbitý,287
ploténky,288
master,289
adresářů,21
úchyt,290
stylový,291
záznamník,292
přiložený,293
skryt,294
kondenzátor,295
meč,296
předmět,297
diamantový,298
nový,299
načte,300
lak,301
lisovaný,302
podložku,303
držák,304
napájecí,305
bonus,306
tablet,307
serveru,22
betonový,308
zapalovač,309
obrazový,310
link,311
operační,312
píst,313
vymazat,314
komponent,315
zvukový,316
zub,317
stopu,318
hranolky,319
trpaslík,136
nepoškozený,320
objektiv,321
bod,322
hardwaru,48
ukládat,323
přístupový,324
čtecí,325
videoklip,326
trenažér,327
záznamové,328
zrcadlový,329
placky,147
portem,330
diář,331
